problem,method,seed,probe,policy,coords,loss,grad_norm,n_params,n_blocks,top1,top2,min,top1_rel_resid,top2_rel_resid,min_rel_resid,top1_start1,min_start1,converged_start0,converged_start1,iterations_start0,iterations_start1,min_rayleigh_f64,source
plain_s3_test_centre_frozen_rel,plain,3,test_probe,centre_frozen,relative,0.761147528886795,7.372191152821192,268336,698,5670.13194535396,5069.747552311256,-16.628678581382342,4.920390187372645e-07,5.570507715313239e-07,0.000470441219267157,5670.132155398023,-16.628711838662916,True,True,60,60,-16.62857552572337,maximemonstrenikez
plain_s3_test_saved_ord,plain,3,test_probe,saved,ordinary,0.767693042755127,7.053101995452172,268336,698,3598.170676628489,3316.7215296077325,-9.24323005441043,4.855490440298807e-07,5.79156892860871e-07,0.000994502415423107,3598.1704582640423,-9.243286485268701,True,True,70,60,-9.243208496182225,maximemonstrenikez
plain_s3_test_saved_rel,plain,3,test_probe,saved,relative,0.767693042755127,7.053101995452172,268336,698,5765.866624974115,5210.665231255458,-14.586676705587236,4.840651371004575e-07,5.784378863099317e-07,0.00021442737418311288,5765.866564959259,-14.586680816527114,True,True,90,80,-14.586650280001521,maximemonstrenikez
plain_s3_train_centre_frozen_ord,plain,3,train_probe,centre_frozen,ordinary,0.1770452857017517,3.899627744365763,268336,698,2476.0502264205174,2123.334482952679,-6.6004607894777685,4.923600872231008e-07,5.780150340870584e-07,0.00042223331309533215,2476.0502141641873,-6.600398946749103,True,True,60,50,-6.600412034450921,maximemonstrenikez
plain_s3_train_centre_frozen_rel,plain,3,train_probe,centre_frozen,relative,0.1770452857017517,3.899627744365763,268336,698,3935.4693246469283,3360.8187445282874,-10.30958165186809,4.973203026263501e-07,5.494567239558743e-07,0.00030736808272286087,3935.469247075288,-10.309592464310292,True,True,60,70,-10.309497048394139,maximemonstrenikez
plain_s3_train_saved_ord,plain,3,train_probe,saved,ordinary,0.17937830090522766,4.42861092513591,268336,698,2501.5944418576,2189.7061245044506,-7.502238119459047,4.671389597754224e-07,5.765019746472204e-07,0.00012913364318218646,2501.5943287511814,-7.502149258793034,True,True,60,50,-7.502058332308964,maximemonstrenikez
plain_s3_train_saved_rel,plain,3,train_probe,saved,relative,0.17937830090522766,4.42861092513591,268336,698,3978.9319549315974,3461.076592407755,-11.709265745826656,4.859876110433495e-07,5.459377509079739e-07,0.00026875695073339684,3978.931876391832,-11.709275906322034,True,True,60,70,-11.708903953446313,maximemonstrenikez
resolution_s3_test_centre_frozen_ord,resolution_max_b1,3,test_probe,centre_frozen,ordinary,0.5726373195648193,3.2620633199296103,268336,698,1677.6904570011932,1190.2367663811658,-4.5043318226298465,4.5780928221169925e-07,5.416999717777282e-07,0.00044325748765504326,1677.6904377645267,-4.504343870552451,True,True,70,80,-4.504463900522822,maximemonstrenikez
resolution_s3_test_centre_frozen_rel,resolution_max_b1,3,test_probe,centre_frozen,relative,0.5726373195648193,3.2620633199296103,268336,698,2678.054356552542,1906.0453059982701,-7.127204766024397,4.419822702748733e-07,5.270568479011475e-07,6.304104042020342e-05,2678.054460802514,-7.020820438981475,True,True,80,70,-7.127392481186485,maximemonstrenikez
resolution_s3_test_saved_ord,resolution_max_b1,3,test_probe,saved,ordinary,0.5767435133457184,2.7943733336411882,268336,698,1702.1498878263112,1205.470325539427,-3.720552378039654,4.706672192503509e-07,5.244180621137634e-07,9.104100335445363e-05,1702.1499021049056,-3.720550991881956,True,True,90,70,-3.720625077564137,maximemonstrenikez
resolution_s3_test_saved_rel,resolution_max_b1,3,test_probe,saved,relative,0.5767435133457184,2.7943733336411882,268336,698,2714.331039148576,1930.831578417839,-5.939435745086436,4.4299941761413286e-07,5.29300177051016e-07,0.00030311066471047643,2714.3309936663604,-5.939425476523658,True,True,80,90,-5.939619821251221,maximemonstrenikez
resolution_s3_train_centre_frozen_ord,resolution_max_b1,3,train_probe,centre_frozen,ordinary,0.28435562551021576,2.1132299401279884,268336,698,1372.6100665187528,1020.5077113448266,-2.5375141092049778,4.4073482450146784e-07,4.6120683461180056e-07,0.0005173455444088881,1372.6100572406433,-2.5374650582650684,True,True,100,70,-2.537743421225506,maximemonstrenikez
resolution_s3_train_centre_frozen_rel,resolution_max_b1,3,train_probe,centre_frozen,relative,0.28435562551021576,2.1132299401279884,268336,698,2206.33867377344,1621.2095191748988,-4.013709712700649,4.309868974002455e-07,4.523376066391383e-07,0.0008929639449100344,2206.338696540779,-4.0127477710376445,True,True,90,70,-4.014017980576639,maximemonstrenikez
