method,seed,policy,evaluation_set,n_images,amplitude,n_directions,S,centre_ce,centre_acc
resolution_max_b1,2,saved,test_full,10000,0.1,20,0.39825274734497074,0.5689506484985352,0.8081
resolution_max_b1,2,saved,test_full,10000,0.25,20,3.6548621719360357,0.5689506484985352,0.8081
resolution_max_b1,2,recalibrated,train_large,10000,0.1,20,0.13611478721618653,0.2883103744506836,0.9116
resolution_max_b1,2,recalibrated,train_large,10000,0.25,20,0.7709131970214844,0.2883103744506836,0.9116
resolution_max_b1,2,recalibrated,test_full,10000,0.1,20,0.08927986053466797,0.5657248916625977,0.8098
resolution_max_b1,2,recalibrated,test_full,10000,0.25,20,0.6179565297698975,0.5657248916625977,0.8098
resolution_max_b1,3,saved,train_large,10000,0.1,20,0.46783265830993653,0.3045261459350586,0.9008
resolution_max_b1,3,saved,train_large,10000,0.25,20,3.7496660664367676,0.3045261459350586,0.9008
resolution_max_b1,3,saved,test_full,10000,0.1,20,0.4103665087890625,0.5919819396972656,0.8
resolution_max_b1,3,saved,test_full,10000,0.25,20,3.5617265716552735,0.5919819396972656,0.8
resolution_max_b1,3,recalibrated,train_large,10000,0.1,20,0.1435253212356567,0.30402949676513674,0.9018
resolution_max_b1,3,recalibrated,train_large,10000,0.25,20,0.793896629486084,0.30402949676513674,0.9018
resolution_max_b1,3,recalibrated,test_full,10000,0.1,20,0.0960269457244873,0.5891114990234375,0.7993
resolution_max_b1,3,recalibrated,test_full,10000,0.25,20,0.6427959395599364,0.5891114990234375,0.7993
resolution_max_b1,4,saved,train_large,10000,0.1,20,0.47481362003326416,0.30194659576416016,0.9035
resolution_max_b1,4,saved,train_large,10000,0.25,20,3.713349794921875,0.30194659576416016,0.9035
resolution_max_b1,4,saved,test_full,10000,0.1,20,0.412746135559082,0.5932301376342773,0.7993
resolution_max_b1,4,saved,test_full,10000,0.25,20,3.5091889402770997,0.5932301376342773,0.7993
resolution_max_b1,4,recalibrated,train_large,10000,0.1,20,0.13291439460754398,0.29677796478271484,0.9053
resolution_max_b1,4,recalibrated,train_large,10000,0.25,20,0.7753366359710693,0.29677796478271484,0.9053
resolution_max_b1,4,recalibrated,test_full,10000,0.1,20,0.08782787277221685,0.5901467071533203,0.8023
resolution_max_b1,4,recalibrated,test_full,10000,0.25,20,0.6202202957153321,0.5901467071533203,0.8023
gaussian_postrelu,0,saved,train_large,10000,0.1,20,0.6796469558334352,0.27610514068603514,0.9151
gaussian_postrelu,0,saved,train_large,10000,0.25,20,4.521748625793457,0.27610514068603514,0.9151
gaussian_postrelu,0,saved,test_full,10000,0.1,20,0.5989286227416992,0.5883055130004883,0.7983
gaussian_postrelu,0,saved,test_full,10000,0.25,20,4.294650198364257,0.5883055130004883,0.7983
gaussian_postrelu,0,recalibrated,train_large,10000,0.1,20,0.2326000635528564,0.2740815330505371,0.9177
gaussian_postrelu,0,recalibrated,train_large,10000,0.25,20,1.155580810699463,0.2740815330505371,0.9177
gaussian_postrelu,0,recalibrated,test_full,10000,0.1,20,0.1713201879882813,0.5889578536987304,0.7981
gaussian_postrelu,0,recalibrated,test_full,10000,0.25,20,0.9679444308471681,0.5889578536987304,0.7981
gaussian_postrelu,1,saved,train_large,10000,0.1,20,0.7002464923858642,0.2707480529785156,0.9148
gaussian_postrelu,1,saved,train_large,10000,0.25,20,4.398008700256349,0.2707480529785156,0.9148
gaussian_postrelu,1,saved,test_full,10000,0.1,20,0.6070746690368651,0.5938298919677735,0.8008
gaussian_postrelu,1,saved,test_full,10000,0.25,20,4.139764033203124,0.5938298919677735,0.8008
gaussian_postrelu,1,recalibrated,train_large,10000,0.1,20,0.27489054550170905,0.27234716339111326,0.9168
gaussian_postrelu,1,recalibrated,train_large,10000,0.25,20,1.2552525918579103,0.27234716339111326,0.9168
gaussian_postrelu,1,recalibrated,test_full,10000,0.1,20,0.20566274032592777,0.5900511291503906,0.7996
gaussian_postrelu,1,recalibrated,test_full,10000,0.25,20,1.0514553382873535,0.5900511291503906,0.7996
gaussian_postrelu,2,saved,train_large,10000,0.1,20,0.639085320777893,0.2630251655578613,0.9199
gaussian_postrelu,2,saved,train_large,10000,0.25,20,4.237390951690673,0.2630251655578613,0.9199
gaussian_postrelu,2,saved,test_full,10000,0.1,20,0.5462468515014649,0.5934026245117188,0.7987
gaussian_postrelu,2,saved,test_full,10000,0.25,20,3.965369573669433,0.5934026245117188,0.7987
gaussian_postrelu,2,recalibrated,train_large,10000,0.1,20,0.2518320803833008,0.2625134010314941,0.9197
gaussian_postrelu,2,recalibrated,train_large,10000,0.25,20,1.240853679275513,0.2625134010314941,0.9197
gaussian_postrelu,2,recalibrated,test_full,10000,0.1,20,0.18175448936462404,0.5901561996459961,0.7998
gaussian_postrelu,2,recalibrated,test_full,10000,0.25,20,1.0284542555236817,0.5901561996459961,0.7998
gaussian_postrelu,3,saved,train_large,10000,0.1,20,0.8620947869873048,0.25766022872924804,0.9185
gaussian_postrelu,3,saved,train_large,10000,0.25,20,4.683888872528074,0.25766022872924804,0.9185
gaussian_postrelu,3,saved,test_full,10000,0.1,20,0.7654329059600831,0.5513179992675781,0.8098
gaussian_postrelu,3,saved,test_full,10000,0.25,20,4.442448341064454,0.5513179992675781,0.8098
gaussian_postrelu,3,recalibrated,train_large,10000,0.1,20,0.3558067882919312,0.2574573196411133,0.9204
gaussian_postrelu,3,recalibrated,train_large,10000,0.25,20,1.4791416318511963,0.2574573196411133,0.9204
gaussian_postrelu,3,recalibrated,test_full,10000,0.1,20,0.2810451987457275,0.5476052368164063,0.8099
