seed,n_checkpoints,evr_pc1,evr_pc1_2,evr_pc1_4,evr_pc1_10,median_unexplained_2pc,max_unexplained_2pc,median_unexplained_5pc,max_unexplained_5pc
0,220,0.31780697073577047,0.579296005243752,0.9341835645750618,0.9861226796368167,0.36959112663418214,0.9922968985554002,0.05321024239308826,0.31090814342855577
1,220,0.30892373863799893,0.5898671313667041,0.9328167560266005,0.9857607429238211,0.5054621662377172,0.9945361149835488,0.0712983208855483,0.23257951196904156
2,220,0.3096358881993704,0.5691442625287912,0.9319576344040228,0.9857770033156249,0.4896554467856167,0.9969403405501647,0.06204136533401787,0.3271734200394911
3,220,0.3038152813175986,0.5716917780185986,0.9339387421976426,0.9860082456413082,0.3701961136620242,0.994527165154687,0.056044182587576305,0.27339162503558206
4,220,0.3024690448541577,0.5661476766178026,0.9319053757210674,0.9855445766608583,0.3644258576396986,0.9945827414749346,0.05980038904199007,0.2860698688884834
