method,seed,policy,split,direction,amplitude,S_f32,S_f64,abs_diff
plain,1,saved,test_probe,1,0.02,0.0468467712402344,0.04684668741356113,8.382667326944926e-08
plain,1,saved,test_probe,1,0.05,0.28955084228515615,0.28955077963529796,6.264985819015578e-08
plain,1,recalibrated,train_probe,0,0.005,0.0005268707275390416,0.0005269632585908068,9.253105176521004e-08
plain,1,recalibrated,train_probe,0,0.01,0.0021961975097656294,0.002196271087585744,7.357782011441216e-08
plain,1,recalibrated,train_probe,0,0.02,0.008373062133789078,0.008373153997266403,9.186347732503819e-08
plain,1,recalibrated,train_probe,0,0.05,0.04749780654907226,0.04749781089568139,4.346609128180745e-09
plain,1,recalibrated,train_probe,1,0.005,0.0007160148620605489,0.0007160759013472018,6.103928665290859e-08
plain,1,recalibrated,train_probe,1,0.01,0.002881980895996089,0.0028819894946379987,8.598641909607352e-09
plain,1,recalibrated,train_probe,1,0.02,0.010668029785156241,0.010668060029611542,3.024445530130926e-08
plain,1,recalibrated,train_probe,1,0.05,0.06541220474243165,0.06541220108895085,3.6534807956734028e-09
plain,1,recalibrated,test_probe,0,0.005,0.000208816528320388,0.00020865438786099588,1.6214045939211275e-07
plain,1,recalibrated,test_probe,0,0.01,0.0008152008056641069,0.0008151584565430081,4.234912109879474e-08
plain,1,recalibrated,test_probe,0,0.02,0.0025016479492188104,0.002501481984989118,1.6596422969250568e-07
plain,1,recalibrated,test_probe,0,0.05,0.015543548583984435,0.015543415314110964,1.332698734701765e-07
plain,1,recalibrated,test_probe,1,0.005,0.0001479949951171955,0.00014788137405419288,1.1362106300261132e-07
plain,1,recalibrated,test_probe,1,0.01,0.0009613342285156312,0.0009613041230092101,3.0105506421129746e-08
plain,1,recalibrated,test_probe,1,0.02,0.005013046264648491,0.005012910229943768,1.3603470472300927e-07
plain,1,recalibrated,test_probe,1,0.05,0.03398078918457037,0.03398073151964476,5.766492561232184e-08
plain,1,centre_frozen,train_probe,0,0.005,0.0014097442626953005,0.0014098060653812694,6.180268596889249e-08
plain,1,centre_frozen,train_probe,0,0.01,0.0056417541503906155,0.005641791743121016,3.759273040082611e-08
plain,1,centre_frozen,train_probe,0,0.02,0.021546459197998025,0.021546514757022295,5.555902427012427e-08
plain,1,centre_frozen,train_probe,0,0.05,0.12969614410400393,0.12969621665554815,7.255154421681453e-08
plain,1,centre_frozen,train_probe,1,0.005,0.0033383560180663963,0.003338382712480964,2.669441456770727e-08
plain,1,centre_frozen,train_probe,1,0.01,0.012694179534912087,0.012694248983569606,6.944865751923324e-08
plain,1,centre_frozen,train_probe,1,0.02,0.0499989356994629,0.049998975066846196,3.9367383297683745e-08
plain,1,centre_frozen,train_probe,1,0.05,0.32561940765380865,0.3256195878130674,1.8015925873360317e-07
plain,1,centre_frozen,test_probe,0,0.005,0.0007487792968751128,0.0007488218470454999,4.255017038712339e-08
plain,1,centre_frozen,test_probe,0,0.01,0.0032278747558595056,0.003227880813614137,6.057754631250134e-09
plain,1,centre_frozen,test_probe,0,0.02,0.013503082275390654,0.01350296651222238,1.1576316827355271e-07
plain,1,centre_frozen,test_probe,0,0.05,0.08651414489746101,0.08651425847691263,1.1357945162160377e-07
plain,1,centre_frozen,test_probe,1,0.005,0.0026735687255859952,0.0026736834326697156,1.1470708372041116e-07
plain,1,centre_frozen,test_probe,1,0.01,0.011216339111328133,0.01121614304584495,1.96065483182295e-07
plain,1,centre_frozen,test_probe,1,0.02,0.04550514221191404,0.04550494858553389,1.936263801516347e-07
plain,1,centre_frozen,test_probe,1,0.05,0.2849013366699219,0.28490133015604346,6.513878436642528e-09
plain,2,saved,train_probe,0,0.005,0.0016516685485840066,0.001651668030960285,5.176237216630852e-10
plain,2,saved,train_probe,0,0.01,0.006527084350585938,0.006527112127153567,2.77765676293118e-08
plain,2,saved,train_probe,0,0.02,0.02473611068725587,0.024736164595608873,5.390835300378427e-08
plain,2,saved,train_probe,0,0.05,0.15396150970458988,0.1539614307093991,7.899519077758654e-08
plain,2,saved,train_probe,1,0.005,0.0017652397155761834,0.0017652407596212283,1.0440450448623295e-09
plain,2,saved,train_probe,1,0.01,0.006851299285888679,0.006851320765228819,2.1479340139851644e-08
plain,2,saved,train_probe,1,0.02,0.02685286331176756,0.026852870071555623,6.759788062637995e-09
plain,2,saved,train_probe,1,0.05,0.16335181427001955,0.163351882565496,6.829547644082723e-08
plain,2,saved,test_probe,0,0.005,0.0014035034179687988,0.0014032558822846264,2.4753568417246186e-07
plain,2,saved,test_probe,0,0.01,0.005556640624999942,0.005556438828935639,2.017960643030392e-07
plain,2,saved,test_probe,0,0.02,0.021755004882812456,0.021755033479365915,2.8596553458548613e-08
plain,2,saved,test_probe,0,0.05,0.13589021301269522,0.13589007023999677,1.4277269844154006e-07
plain,2,saved,test_probe,1,0.005,0.0009616394042968324,0.0009615067941610711,1.3261013576126857e-07
plain,2,saved,test_probe,1,0.01,0.004585083007812463,0.004584964490098042,1.1851771442028536e-07
plain,2,saved,test_probe,1,0.02,0.019836608886718676,0.01983647657749743,1.3230922124574107e-07
plain,2,saved,test_probe,1,0.05,0.13015832519531245,0.1301580737577288,2.5143758364265523e-07
plain,2,recalibrated,train_probe,0,0.005,0.0005649337768554585,0.0005650151049642615,8.132810880301378e-08
plain,2,recalibrated,train_probe,0,0.01,0.0022467765808105444,0.0022468218573988286,4.527658828412662e-08
plain,2,recalibrated,train_probe,0,0.02,0.00851979064941405,0.008519851713009341,6.106359529134409e-08
plain,2,recalibrated,train_probe,0,0.05,0.04686835098266601,0.04686837265603966,2.167337365133193e-08
plain,2,recalibrated,train_probe,1,0.005,0.000621505737304684,0.0006215809974542963,7.526014961234395e-08
plain,2,recalibrated,train_probe,1,0.01,0.002310073852539063,0.0023101128390194403,3.898648037736763e-08
plain,2,recalibrated,train_probe,1,0.02,0.009246818542480467,0.009246838837276061,2.0294795594066883e-08
plain,2,recalibrated,train_probe,1,0.05,0.054758102416992166,0.05475822577440398,1.2335741181312976e-07
plain,2,recalibrated,test_probe,0,0.005,-2.8793334960974803e-05,-2.8790123167254933e-05,3.2117937198705704e-09
plain,2,recalibrated,test_probe,0,0.01,7.45697021484748e-05,7.458133980697834e-05,1.1637658503538262e-08
plain,2,recalibrated,test_probe,0,0.02,0.0010061340332032653,0.0010061834136819714,4.938047870606255e-08
plain,2,recalibrated,test_probe,0,0.05,0.010284118652343799,0.01028406582489938,5.282744441892362e-08
plain,2,recalibrated,test_probe,1,0.005,0.0003740692138671786,0.0003740796312542427,1.041738706408779e-08
plain,2,recalibrated,test_probe,1,0.01,0.001538177490234438,0.0015381733340359416,4.156198496474417e-09
plain,2,recalibrated,test_probe,1,0.02,0.005671615600586044,0.0056717564708755885,1.4087028954445913e-07
plain,2,recalibrated,test_probe,1,0.05,0.03288127136230479,0.03288128237726473,1.1014959944155578e-08
plain,2,centre_frozen,train_probe,0,0.005,0.0016404914855956965,0.0016405551456842304,6.366008853397886e-08
plain,2,centre_frozen,train_probe,0,0.01,0.0063844528198241934,0.006384476659073268,2.3839249074786295e-08
plain,2,centre_frozen,train_probe,0,0.02,0.024825275421142545,0.02482537891732778,1.0349618523308735e-07
plain,2,centre_frozen,train_probe,0,0.05,0.15390243530273434,0.15390242167203644,1.3630697903721511e-08
plain,2,centre_frozen,train_probe,1,0.005,0.0016472511291503733,0.0016473469271323093,9.579798193604105e-08
plain,2,centre_frozen,train_probe,1,0.01,0.006539924621582038,0.00654002636646106,1.0174487902192553e-07
plain,2,centre_frozen,train_probe,1,0.02,0.025729087829589825,0.025729170231915705,8.240232587941598e-08
plain,2,centre_frozen,train_probe,1,0.05,0.15960904693603511,0.15960899981316978,4.71228653320388e-08
plain,2,centre_frozen,test_probe,0,0.005,0.0013085479736327787,0.0013086666553866477,1.1868175386897661e-07
plain,2,centre_frozen,test_probe,0,0.01,0.00517036437988283,0.005170445202741902,8.082285907207165e-08
plain,2,centre_frozen,test_probe,0,0.02,0.02176458740234377,0.021764628673920927,4.127157715583252e-08
plain,2,centre_frozen,test_probe,0,0.05,0.13608551025390625,0.13608551869925745,8.445351196151307e-09
plain,2,centre_frozen,test_probe,1,0.005,0.001396743774414122,0.0013968348762076754,9.110179355342751e-08
plain,2,centre_frozen,test_probe,1,0.01,0.004736114501953104,0.004736118799790856,4.297837752353928e-09
plain,2,centre_frozen,test_probe,1,0.02,0.01926290893554694,0.019262965717247393,5.678170045264608e-08
plain,2,centre_frozen,test_probe,1,0.05,0.12715077209472658,0.12715092918602966,1.570913030768395e-07
plain,3,saved,train_probe,0,0.005,0.002820281982421874,0.0028203425029806883,6.052055881444751e-08
plain,3,saved,train_probe,0,0.01,0.011640636444091773,0.011640719393692794,8.294960102128712e-08
plain,3,saved,train_probe,0,0.02,0.04683573913574218,0.046835817633159305,7.849741712195879e-08
plain,3,saved,train_probe,0,0.05,0.31820399475097655,0.318203985873736,8.877240553761823e-09
plain,3,saved,train_probe,1,0.005,0.0025831031799316284,0.0025831669281370373,6.37482054088867e-08
plain,3,saved,train_probe,1,0.01,0.010436721801757809,0.010436785693097556,6.389133974660233e-08
plain,3,saved,train_probe,1,0.02,0.04330223464965818,0.04330229392228829,5.927263010963024e-08
plain,3,saved,train_probe,1,0.05,0.2872142181396484,0.2872142680279891,4.988834068075931e-08
plain,3,saved,test_probe,0,0.005,0.003216476440429661,0.003216419895826994,5.654460266679706e-08
plain,3,saved,test_probe,0,0.01,0.012358673095703154,0.012358544954667705,1.2814103544922517e-07
plain,3,saved,test_probe,0,0.02,0.04655587768554681,0.046555762221274444,1.1546427236552859e-07
plain,3,saved,test_probe,0,0.05,0.3017773895263671,0.3017770335439367,3.559824304222303e-07
plain,3,saved,test_probe,1,0.005,0.002931365966796884,0.002931332433798506,3.353299837804968e-08
plain,3,saved,test_probe,1,0.01,0.011564819335937448,0.011564742222229585,7.711370786367411e-08
plain,3,saved,test_probe,1,0.02,0.04491876220703128,0.04491872093421123,4.1272820050508585e-08
plain,3,saved,test_probe,1,0.05,0.28436204528808595,0.2843619625908771,8.269720885856202e-08
plain,3,recalibrated,train_probe,0,0.005,0.0007254524230957127,0.0007254390932361909,1.332985952173793e-08
plain,3,recalibrated,train_probe,0,0.01,0.0031773872375488177,0.003177405723701371,1.8486152553176538e-08
plain,3,recalibrated,train_probe,0,0.02,0.011536315917968748,0.011536339325003364,2.3407034616118594e-08
plain,3,recalibrated,train_probe,0,0.05,0.060997177124023444,0.06099715462768543,2.2496338014654782e-08
plain,3,recalibrated,train_probe,1,0.005,0.0006602058410644374,0.0006601927281708886,1.311289354877232e-08
plain,3,recalibrated,train_probe,1,0.01,0.002370643615722673,0.002370611465266792,3.2150455880897155e-08
plain,3,recalibrated,train_probe,1,0.02,0.008769054412841787,0.008769014392162405,4.002067938158049e-08
plain,3,recalibrated,train_probe,1,0.05,0.047961044311523426,0.04796096074397729,8.35675461330343e-08
plain,3,recalibrated,test_probe,0,0.005,0.0006123962402344585,0.0006127897253599413,3.9348512548276204e-07
plain,3,recalibrated,test_probe,0,0.01,0.0015707550048827956,0.0015709312921162732,1.7628723347762332e-07
plain,3,recalibrated,test_probe,0,0.02,0.004841842651367223,0.004842065437082654,2.227857154313284e-07
plain,3,recalibrated,test_probe,0,0.05,0.030979125976562494,0.030979409402488334,2.8342592583996407e-07
plain,3,recalibrated,test_probe,1,0.005,0.00012200927734373757,0.0001221532371861178,1.4395984238024795e-07
plain,3,recalibrated,test_probe,1,0.01,0.000641860961914098,0.00064213971809024,2.787561761419255e-07
plain,3,recalibrated,test_probe,1,0.02,0.0035631408691406685,0.0035635410499649245,4.00180824255969e-07
plain,3,recalibrated,test_probe,1,0.05,0.03268748474121097,0.03268770138133947,2.1664012850308723e-07
plain,3,centre_frozen,train_probe,0,0.005,0.0028850326538086,0.00288497682050487,5.5833303730379313e-08
plain,3,centre_frozen,train_probe,0,0.01,0.01154340362548828,0.011543377274443212,2.6351045068206957e-08
plain,3,centre_frozen,train_probe,0,0.02,0.04605390930175782,0.04605382625704707,8.304471074693787e-08
plain,3,centre_frozen,train_probe,0,0.05,0.31073694610595703,0.3107367894577019,1.5664825514516423e-07
plain,3,centre_frozen,train_probe,1,0.005,0.0028556098937988217,0.002855564614710815,4.527908800677771e-08
plain,3,centre_frozen,train_probe,1,0.01,0.010966445922851564,0.010966400295106093,4.562774547078874e-08
plain,3,centre_frozen,train_probe,1,0.02,0.044012557983398454,0.04401251325641925,4.4726979203657535e-08
plain,3,centre_frozen,train_probe,1,0.05,0.288940071105957,0.2889399885815134,8.252444361200872e-08
plain,3,centre_frozen,test_probe,0,0.005,0.0029868469238281126,0.002987132132648007,2.852088198945779e-07
plain,3,centre_frozen,test_probe,0,0.01,0.01160929870605476,0.011609569413659093,2.707076043328982e-07
plain,3,centre_frozen,test_probe,0,0.02,0.044895935058593794,0.04489614459869973,2.095401059332147e-07
plain,3,centre_frozen,test_probe,0,0.05,0.29128865051269526,0.2912887347397142,8.422701891497297e-08
plain,3,centre_frozen,test_probe,1,0.005,0.0025569152832031206,0.002557113924791077,1.9864158795623865e-07
plain,3,centre_frozen,test_probe,1,0.01,0.010588439941406236,0.010588705825515854,2.658841096181419e-07
plain,3,centre_frozen,test_probe,1,0.02,0.044280899047851596,0.0442810156252782,1.1657742660098336e-07
plain,3,centre_frozen,test_probe,1,0.05,0.2831436004638672,0.2831436510271794,5.056331220387733e-08
plain,4,saved,train_probe,0,0.005,0.0015976181030273318,0.0015976707873431584,5.268431582661215e-08
