pair,seed,alpha,policy,train_probe_ce,test_probe_ce,source
plain_gaussian,0,0.08,recalibrated,0.33975169372558595,0.7895990600585937,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.1,recalibrated,0.3961494445800781,0.8155034790039063,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.12,recalibrated,0.4628878479003906,0.8456751098632812,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.14,recalibrated,0.5369229431152344,0.8793403015136719,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.16,recalibrated,0.6161689453125,0.9188881530761719,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.18,recalibrated,0.6996854248046875,0.9672609558105468,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.2,recalibrated,0.7904715576171875,1.0233306274414062,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.22,recalibrated,0.8880038452148438,1.0878570251464843,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.24,recalibrated,0.9893925476074219,1.1578968505859375,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.26,recalibrated,1.0930726928710937,1.2321195068359374,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.28,recalibrated,1.19794921875,1.311331298828125,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.3,recalibrated,1.3015938720703124,1.3937532958984375,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.32,recalibrated,1.4025706787109375,1.4760358276367187,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.34,recalibrated,1.5003135375976562,1.5564739990234375,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.36,recalibrated,1.5926389770507812,1.6339584350585938,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.38,recalibrated,1.6796141357421874,1.708101806640625,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.4,recalibrated,1.7488564453125,1.7710831909179687,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.42,recalibrated,1.7944207763671876,1.8174608154296874,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.44,recalibrated,1.8264389038085938,1.846201416015625,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.46,recalibrated,1.8411221313476562,1.8548470458984374,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.48,recalibrated,1.8361585083007812,1.847358154296875,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.5,recalibrated,1.81483056640625,1.827169921875,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.52,recalibrated,1.7814583129882813,1.7928524169921876,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.54,recalibrated,1.7384491577148438,1.7475617065429687,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.56,recalibrated,1.6850291748046875,1.6919678955078126,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.58,recalibrated,1.622370361328125,1.6260908813476562,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.6,recalibrated,1.549207275390625,1.5535377197265625,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.62,recalibrated,1.4692832641601563,1.4741281127929688,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.64,recalibrated,1.3839632568359375,1.3922015380859376,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.66,recalibrated,1.29438134765625,1.3067708129882813,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.68,recalibrated,1.2024212646484376,1.223501953125,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.7000000000000001,recalibrated,1.1104119262695313,1.1407031860351562,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.72,recalibrated,1.0187274169921876,1.0601102294921876,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.74,recalibrated,0.9295816040039062,0.986582763671875,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.76,recalibrated,0.8438594970703125,0.918571533203125,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.78,recalibrated,0.7603968200683594,0.8551609191894531,v2:interp__plain_gaussian__seed0.jsonl
plain_gaussian,0,0.8,recalibrated,0.6820790710449218,0.7960442810058593,v2:interp__plain_gaussian__seed0.jsonl
