method,epoch,state_label,state,seed,policy,split,centre_ce
gaussian_postrelu,3,before,r-_G1,4,saved,test_probe,1.1471448974609375
gaussian_postrelu,3,before,r-_G1,4,recalibrated,train_probe,1.0478839111328124
gaussian_postrelu,3,before,r-_G1,4,recalibrated,test_probe,1.0870165405273438
gaussian_postrelu,3,after,r-_G0.85,0,saved,train_probe,1.168889892578125
gaussian_postrelu,3,after,r-_G0.85,0,saved,test_probe,1.188793701171875
gaussian_postrelu,3,after,r-_G0.85,0,recalibrated,train_probe,1.1194549560546876
gaussian_postrelu,3,after,r-_G0.85,0,recalibrated,test_probe,1.149741943359375
gaussian_postrelu,3,after,r-_G0.85,1,saved,train_probe,1.2389942626953125
gaussian_postrelu,3,after,r-_G0.85,1,saved,test_probe,1.2595172119140625
gaussian_postrelu,3,after,r-_G0.85,1,recalibrated,train_probe,1.0909322509765624
gaussian_postrelu,3,after,r-_G0.85,1,recalibrated,test_probe,1.1359733276367188
gaussian_postrelu,3,after,r-_G0.85,2,saved,train_probe,1.1384300537109375
gaussian_postrelu,3,after,r-_G0.85,2,saved,test_probe,1.1935607299804687
gaussian_postrelu,3,after,r-_G0.85,2,recalibrated,train_probe,1.0749354858398437
gaussian_postrelu,3,after,r-_G0.85,2,recalibrated,test_probe,1.1240944213867188
gaussian_postrelu,3,after,r-_G0.85,3,saved,train_probe,1.1819275512695313
gaussian_postrelu,3,after,r-_G0.85,3,saved,test_probe,1.223607421875
gaussian_postrelu,3,after,r-_G0.85,3,recalibrated,train_probe,1.0639041137695313
gaussian_postrelu,3,after,r-_G0.85,3,recalibrated,test_probe,1.1126860961914062
gaussian_postrelu,3,after,r-_G0.85,4,saved,train_probe,1.2161080322265625
gaussian_postrelu,3,after,r-_G0.85,4,saved,test_probe,1.2320928344726563
gaussian_postrelu,3,after,r-_G0.85,4,recalibrated,train_probe,1.0677860107421875
gaussian_postrelu,3,after,r-_G0.85,4,recalibrated,test_probe,1.1012086791992188
gaussian_postrelu,3,final,r-_G0,0,saved,train_probe,4.967013427734375
gaussian_postrelu,3,final,r-_G0,0,saved,test_probe,4.86751806640625
gaussian_postrelu,3,final,r-_G0,0,recalibrated,train_probe,1.9362769165039062
gaussian_postrelu,3,final,r-_G0,0,recalibrated,test_probe,1.9167481079101563
gaussian_postrelu,3,final,r-_G0,1,saved,train_probe,3.550977783203125
gaussian_postrelu,3,final,r-_G0,1,saved,test_probe,3.5573143310546875
gaussian_postrelu,3,final,r-_G0,1,recalibrated,train_probe,1.8868575439453126
gaussian_postrelu,3,final,r-_G0,1,recalibrated,test_probe,1.8730616455078124
gaussian_postrelu,3,final,r-_G0,2,saved,train_probe,5.019407958984375
gaussian_postrelu,3,final,r-_G0,2,saved,test_probe,4.858581787109375
