method,seed,policy,split,amplitude,S_mean,S_direction_sd,n_directions
gaussian_postrelu,0,saved,train_probe,0.5,16.332534298706054,4.109853063941408,20
gaussian_postrelu,1,centre_frozen,test_probe,0.005,0.0011345317840576324,0.00039692703972110617,20
gaussian_postrelu,1,centre_frozen,test_probe,0.01,0.00444916687011721,0.0015447986519419375,20
gaussian_postrelu,1,centre_frozen,test_probe,0.02,0.018552968215942416,0.0062386061143284285,20
gaussian_postrelu,1,centre_frozen,test_probe,0.025,0.029580728912353544,0.009988398883822065,20
gaussian_postrelu,1,centre_frozen,test_probe,0.05,0.13294531631469728,0.04823326379043619,20
gaussian_postrelu,1,centre_frozen,test_probe,0.1,0.6192020805358887,0.2089821451205693,20
gaussian_postrelu,1,centre_frozen,test_probe,0.2,2.6508831146240235,0.7349304549917269,20
gaussian_postrelu,1,centre_frozen,test_probe,0.25,4.113316583251953,1.1114960734406578,20
gaussian_postrelu,1,centre_frozen,test_probe,0.35,7.873771276855469,2.0926573586056483,20
gaussian_postrelu,1,centre_frozen,test_probe,0.5,16.85935372924805,4.092873170107085,20
gaussian_postrelu,1,centre_frozen,train_probe,0.005,0.0015319004058838154,0.00037617981343070244,20
gaussian_postrelu,1,centre_frozen,train_probe,0.01,0.006105278778076191,0.0016030559073345462,20
gaussian_postrelu,1,centre_frozen,train_probe,0.02,0.024300868988037135,0.006658843377694094,20
gaussian_postrelu,1,centre_frozen,train_probe,0.025,0.03804000549316408,0.010500245060384808,20
gaussian_postrelu,1,centre_frozen,train_probe,0.05,0.15889171371459962,0.047216373193951576,20
gaussian_postrelu,1,centre_frozen,train_probe,0.1,0.676634009552002,0.19828677718888987,20
gaussian_postrelu,1,centre_frozen,train_probe,0.2,2.7950875228881835,0.6912596276933404,20
gaussian_postrelu,1,centre_frozen,train_probe,0.25,4.304346243286133,1.067375566878524,20
gaussian_postrelu,1,centre_frozen,train_probe,0.35,8.141311810302735,2.064737046880535,20
gaussian_postrelu,1,centre_frozen,train_probe,0.5,17.195633517456052,4.07335913383365,20
gaussian_postrelu,1,recalibrated,test_probe,0.005,0.0004708103179931894,0.0001944975349532481,20
gaussian_postrelu,1,recalibrated,test_probe,0.01,0.001694673919677764,0.0007675694440939598,20
gaussian_postrelu,1,recalibrated,test_probe,0.02,0.007096252059936544,0.0033484258617777736,20
gaussian_postrelu,1,recalibrated,test_probe,0.025,0.011369956970214859,0.0052998396394963,20
gaussian_postrelu,1,recalibrated,test_probe,0.05,0.05025964660644535,0.024750034882142006,20
gaussian_postrelu,1,recalibrated,test_probe,0.1,0.21799902801513676,0.0894646500362979,20
gaussian_postrelu,1,recalibrated,test_probe,0.2,0.7564304016113281,0.19480984920783068,20
gaussian_postrelu,1,recalibrated,test_probe,0.25,1.084013331604004,0.2289841935465673,20
gaussian_postrelu,1,recalibrated,test_probe,0.35,1.7556593185424805,0.24724643341526945,20
gaussian_postrelu,1,recalibrated,test_probe,0.5,2.585156329345703,0.24722875119388485,20
gaussian_postrelu,1,recalibrated,train_probe,0.005,0.0007097232818603736,0.0002044350329865131,20
gaussian_postrelu,1,recalibrated,train_probe,0.01,0.0027775787353515866,0.00085883318867808,20
