method,seed,policy,split,direction,amplitude,centre_ce,dL_plus,dL_minus,S
plain,0,saved,train_probe,0,0.005,0.2235287322998047,-0.00028132629394531095,0.0028029785156249987,0.0012608261108398439
plain,0,saved,train_probe,0,0.01,0.2235287322998047,0.002511001586914058,0.008617004394531252,0.005564002990722655
plain,0,saved,train_probe,0,0.02,0.2235287322998047,0.0167283935546875,0.02884651184082032,0.02278745269775391
plain,0,saved,train_probe,0,0.025,0.2235287322998047,0.028175292968749988,0.043100387573242194,0.03563784027099609
plain,0,saved,train_probe,0,0.05,0.2235287322998047,0.12812873840332029,0.16464973449707032,0.1463892364501953
plain,0,saved,train_probe,0,0.1,0.2235287322998047,0.5451551361083984,0.6911362152099609,0.6181456756591797
plain,0,saved,train_probe,0,0.2,0.2235287322998047,2.5141608428955076,2.8424716339111327,2.67831623840332
plain,0,saved,train_probe,0,0.25,0.2235287322998047,4.15501985168457,4.3370193634033205,4.246019607543945
plain,0,saved,train_probe,0,0.35,0.2235287322998047,7.62926106262207,7.894774734497071,7.76201789855957
plain,0,saved,train_probe,0,0.5,0.2235287322998047,14.186853103637695,14.286695877075195,14.236774490356446
plain,0,saved,train_probe,1,0.005,0.2235287322998047,0.0012707824707031135,0.002421829223632821,0.0018463058471679672
plain,0,saved,train_probe,1,0.01,0.2235287322998047,0.006035308837890635,0.008595375061035165,0.0073153419494629
plain,0,saved,train_probe,1,0.02,0.2235287322998047,0.027081237792968726,0.03211769866943359,0.02959946823120116
plain,0,saved,train_probe,1,0.025,0.2235287322998047,0.04365578460693359,0.049446121215820316,0.04655095291137695
plain,0,saved,train_probe,1,0.05,0.2235287322998047,0.18927874755859375,0.19752413940429686,0.1934014434814453
plain,0,saved,train_probe,1,0.1,0.2235287322998047,0.8149656524658202,0.9026845245361328,0.8588250885009765
plain,0,saved,train_probe,1,0.2,0.2235287322998047,3.6104409942626954,4.0758892364501955,3.8431651153564452
plain,0,saved,train_probe,1,0.25,0.2235287322998047,5.8807903594970705,6.540322341918945,6.210556350708008
plain,0,saved,train_probe,1,0.35,0.2235287322998047,12.500870681762695,12.422550369262694,12.461710525512695
plain,0,saved,train_probe,1,0.5,0.2235287322998047,27.771596267700197,22.115322830200196,24.943459548950194
plain,0,saved,train_probe,2,0.005,0.2235287322998047,0.0004595413208007826,0.0017372589111327996,0.001098400115966791
plain,0,saved,train_probe,2,0.01,0.2235287322998047,0.0028418426513671935,0.0051648254394531246,0.004003334045410159
plain,0,saved,train_probe,2,0.02,0.2235287322998047,0.013773864746093739,0.016948600769042976,0.015361232757568358
plain,0,saved,train_probe,2,0.025,0.2235287322998047,0.02225588226318359,0.025592758178710928,0.02392432022094726
plain,0,saved,train_probe,2,0.05,0.2235287322998047,0.09514659118652341,0.095134765625,0.09514067840576171
plain,0,saved,train_probe,2,0.1,0.2235287322998047,0.4427994232177735,0.36526509094238285,0.40403225708007817
plain,0,saved,train_probe,2,0.2,0.2235287322998047,2.4558515167236328,1.4021226959228514,1.928987106323242
plain,0,saved,train_probe,2,0.25,0.2235287322998047,4.217191482543945,2.060603469848633,3.1388974761962887
plain,0,saved,train_probe,2,0.35,0.2235287322998047,8.580276443481445,3.354337966918945,5.9673072052001945
plain,0,saved,train_probe,2,0.5,0.2235287322998047,17.834122634887695,5.7346719512939455,11.78439729309082
plain,0,saved,train_probe,3,0.005,0.2235287322998047,0.0011437225341796864,0.0016453170776367099,0.0013945198059081981
plain,0,saved,train_probe,3,0.01,0.2235287322998047,0.005400016784667977,0.006001342773437501,0.005700679779052739
plain,0,saved,train_probe,3,0.02,0.2235287322998047,0.02435193634033203,0.023538208007812506,0.02394507217407227
plain,0,saved,train_probe,3,0.025,0.2235287322998047,0.039593688964843776,0.03744467163085935,0.03851918029785156
plain,0,saved,train_probe,3,0.05,0.2235287322998047,0.19081637573242188,0.15705462646484375,0.17393550109863282
plain,0,saved,train_probe,3,0.1,0.2235287322998047,1.1456900787353514,0.6920526580810547,0.918871368408203
plain,0,saved,train_probe,3,0.2,0.2235287322998047,8.502859939575195,3.05278742980957,5.7778236846923825
plain,0,saved,train_probe,3,0.25,0.2235287322998047,14.503815994262695,4.826835769653321,9.665325881958008
plain,0,saved,train_probe,3,0.35,0.2235287322998047,28.665320877075196,9.917461013793945,19.29139094543457
plain,0,saved,train_probe,3,0.5,0.2235287322998047,62.626041580200194,20.079840408325197,41.352940994262696
plain,0,saved,train_probe,4,0.005,0.2235287322998047,0.0010115509033203074,0.0008398971557617152,0.0009257240295410113
plain,0,saved,train_probe,4,0.01,0.2235287322998047,0.004102012634277341,0.0035708694458007895,0.0038364410400390653
plain,0,saved,train_probe,4,0.02,0.2235287322998047,0.016353843688964836,0.014675865173339853,0.015514854431152345
plain,0,saved,train_probe,4,0.025,0.2235287322998047,0.024897613525390633,0.0227110137939453,0.023804313659667967
plain,0,saved,train_probe,4,0.05,0.2235287322998047,0.10049078369140624,0.08938658142089845,0.09493868255615234
plain,0,saved,train_probe,4,0.1,0.2235287322998047,0.4255896148681641,0.35705229187011717,0.39132095336914063
plain,0,saved,train_probe,4,0.2,0.2235287322998047,2.187861770629883,1.5562528839111327,1.8720573272705079
plain,0,saved,train_probe,4,0.25,0.2235287322998047,3.8384716339111327,2.442548049926758,3.140509841918945
plain,0,saved,train_probe,4,0.35,0.2235287322998047,8.128922927856445,4.6209158477783205,6.374919387817383
plain,0,saved,train_probe,4,0.5,0.2235287322998047,14.911074783325196,13.557201736450196,14.234138259887697
plain,0,saved,train_probe,5,0.005,0.2235287322998047,0.0003577880859375049,0.0021940612792968606,0.0012759246826171827
plain,0,saved,train_probe,5,0.01,0.2235287322998047,0.003254234313964849,0.0068665313720703,0.005060382843017575
plain,0,saved,train_probe,5,0.02,0.2235287322998047,0.017675598144531235,0.024134391784667975,0.020904994964599605
plain,0,saved,train_probe,5,0.025,0.2235287322998047,0.02922859954833984,0.036261360168457046,0.03274497985839844
plain,0,saved,train_probe,5,0.05,0.2235287322998047,0.1369772491455078,0.1375828552246094,0.1372800521850586
plain,0,saved,train_probe,5,0.1,0.2235287322998047,0.7044557037353516,0.5784513702392577,0.6414535369873047
