method,seed,a,b,train_ce,test_ce,source,policy
gaussian_postrelu,0,-0.5,0.275,3.5488665771484373,3.484671142578125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.3,3.543443359375,3.472959838867188,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.325,3.5416021728515625,3.463572143554688,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.35,3.5446458740234377,3.46092578125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.375,3.550748046875,3.461546142578125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.4,3.558266845703125,3.4677510986328124,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.425,3.569337646484375,3.4790379638671878,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.45,3.5881383056640623,3.49453662109375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.475,3.6080621337890624,3.5156529541015624,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.5,0.5,3.62801416015625,3.538594970703125,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.5,4.183001708984375,4.08053662109375,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.475,4.086956665039063,3.970090576171875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
gaussian_postrelu,0,-0.475,-0.45,3.9871707763671873,3.8618544921875,maxmonstre/eval/grid__gaussian__seed0__epoch_030__r-_G0__probes__f32.jsonl,recalibrated
