A,B,seed,alpha,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
plain,gaussian_postrelu,3,0.22,0.7318262939453125,0.722,0.9994346008300782,0.659
plain,gaussian_postrelu,3,0.24,0.814964599609375,0.693,1.0500521240234375,0.645
plain,gaussian_postrelu,3,0.26,0.9014666748046875,0.662,1.1051553344726563,0.63
plain,gaussian_postrelu,3,0.28,0.9895056762695312,0.638,1.164347412109375,0.605
plain,gaussian_postrelu,3,0.3,1.077011474609375,0.598,1.2252557373046875,0.585
plain,gaussian_postrelu,3,0.32,1.1625254516601562,0.569,1.2852428588867189,0.561
plain,gaussian_postrelu,3,0.34,1.241174560546875,0.545,1.3443416137695312,0.544
plain,gaussian_postrelu,3,0.36,1.313929931640625,0.534,1.39990185546875,0.528
plain,gaussian_postrelu,3,0.38,1.3806851806640625,0.506,1.4490245971679687,0.519
plain,gaussian_postrelu,3,0.4,1.438999755859375,0.493,1.4925198974609375,0.508
plain,gaussian_postrelu,3,0.42,1.4881739501953124,0.487,1.530581787109375,0.497
plain,gaussian_postrelu,3,0.44,1.527552001953125,0.48,1.5597823486328124,0.485
plain,gaussian_postrelu,3,0.46,1.5540950927734376,0.468,1.5785335083007812,0.483
plain,gaussian_postrelu,3,0.48,1.5663543090820313,0.469,1.5879701538085937,0.477
plain,gaussian_postrelu,3,0.5,1.5671622924804687,0.478,1.5861969604492188,0.474
plain,gaussian_postrelu,3,0.52,1.556948486328125,0.481,1.576606201171875,0.481
plain,gaussian_postrelu,3,0.54,1.5361176147460938,0.488,1.5584614868164062,0.491
plain,gaussian_postrelu,3,0.56,1.5055858154296875,0.493,1.5314259033203126,0.493
plain,gaussian_postrelu,3,0.58,1.4635726318359374,0.518,1.4958732299804687,0.496
plain,gaussian_postrelu,3,0.6,1.411926513671875,0.532,1.4507621459960938,0.513
plain,gaussian_postrelu,3,0.62,1.351306640625,0.538,1.3985892944335938,0.524
plain,gaussian_postrelu,3,0.64,1.2829723510742188,0.557,1.341923095703125,0.536
plain,gaussian_postrelu,3,0.66,1.2083583984375,0.574,1.2794798583984375,0.551
plain,gaussian_postrelu,3,0.68,1.1300054931640624,0.6,1.2128928833007813,0.575
plain,gaussian_postrelu,3,0.7000000000000001,1.0483428344726562,0.627,1.1417704467773437,0.605
plain,gaussian_postrelu,3,0.72,0.9636514282226563,0.655,1.0689073181152344,0.639
plain,gaussian_postrelu,3,0.74,0.8790912780761718,0.687,0.9995058288574219,0.659
plain,gaussian_postrelu,3,0.76,0.7955666198730469,0.716,0.93265380859375,0.684
plain,gaussian_postrelu,3,0.78,0.7149049682617188,0.738,0.8705358581542969,0.713
