study,method,seed,epoch,update,lr_last_update,train_loss_epoch,state_used_resolution,state_used_sigma,current_train_probe_acc,current_train_probe_ce,current_test_acc,current_test_ce,target_train_probe_acc,target_train_probe_ce,target_test_acc,target_test_ce
cifar10_5k/reference_updates,gaussian_postrelu,1,190,7600,0.0013890958852299032,0.030293378072977065,,0.3,1.0,0.006245026588439942,0.6072,1.6157175415039062,1.0,0.007861888408660889,0.604,1.609364422607422
cifar10_5k/reference_updates,gaussian_postrelu,1,200,8000,0.0011546370813296928,0.0385972334086895,,0.3,1.0,0.005756131649017334,0.6092,1.6470354125976563,1.0,0.007199082374572754,0.6063,1.6360164672851563
cifar10_5k/reference_updates,gaussian_postrelu,1,210,8400,0.0009357896711095129,0.03584713178873062,,0.0,1.0,0.00542726993560791,0.6101,1.6492610290527343,1.0,0.00542726993560791,0.6101,1.6492610290527343
cifar10_5k/reference_updates,gaussian_postrelu,1,220,8800,0.0007350931277697843,0.020118618071079255,,0.0,1.0,0.003820816278457642,0.6107,1.6724807556152343,1.0,0.003820816278457642,0.6107,1.6724807556152343
cifar10_5k/reference_updates,gaussian_postrelu,1,230,9200,0.0005548763045179314,0.02212031796872616,,0.0,1.0,0.0032970428466796873,0.605,1.6670712341308593,1.0,0.0032970428466796873,0.605,1.6670712341308593
cifar10_5k/reference_updates,gaussian_postrelu,1,240,9600,0.00039723041089786835,0.015734838393330574,,0.0,1.0,0.00248792028427124,0.6072,1.690369158935547,1.0,0.00248792028427124,0.6072,1.690369158935547
cifar10_5k/reference_updates,gaussian_postrelu,1,250,10000,0.00026398474670163486,0.01581580176204443,,0.0,1.0,0.0024959335327148437,0.6101,1.6794263549804687,1.0,0.0024959335327148437,0.6101,1.6794263549804687
cifar10_5k/reference_updates,gaussian_postrelu,1,260,10400,0.00015668547504333054,0.014897415733337402,,0.0,1.0,0.002583624839782715,0.6103,1.674571728515625,1.0,0.002583624839782715,0.6103,1.674571728515625
cifar10_5k/reference_updates,gaussian_postrelu,1,270,10800,7.657768090946093e-05,0.011974261255562306,,0.0,1.0,0.002583225727081299,0.6085,1.6771078796386718,1.0,0.002583225727081299,0.6085,1.6771078796386718
cifar10_5k/reference_updates,gaussian_postrelu,1,280,11200,2.4590923375653608e-05,0.013128512918949127,,0.0,1.0,0.002133911371231079,0.6067,1.6840676330566406,1.0,0.002133911371231079,0.6067,1.6840676330566406
cifar10_5k/reference_updates,gaussian_postrelu,1,290,11600,1.3284491396925446e-06,0.01390880050510168,,0.0,1.0,0.0020591621398925782,0.6089,1.6829056457519531,1.0,0.0020591621398925782,0.6089,1.6829056457519531
cifar10_5k/reference_updates,gaussian_postrelu,1,293,11720,9.074290013844078e-11,0.01365696025788784,,0.0,1.0,0.0023232941627502443,0.6067,1.6800366271972655,1.0,0.0023232941627502443,0.6067,1.6800366271972655
cifar10_5k/reference_updates,gaussian_postrelu,2,0,0,8.333333333333333e-05,,,,0.096,3.47655712890625,0.1,3.612704797363281,0.096,3.35979931640625,0.1,3.4897026611328124
cifar10_5k/reference_updates,gaussian_postrelu,2,10,400,0.004989578983014394,1.4517818664550781,,1.0,0.488,1.420378662109375,0.4279,1.5661784118652344,0.152,4.4869951171875,0.1651,4.62940830078125
cifar10_5k/reference_updates,gaussian_postrelu,2,20,800,0.004950606903951322,1.1388938926696777,,1.0,0.576,1.095796875,0.493,1.4144785705566407,0.11,7.666978515625,0.1109,7.85450478515625
cifar10_5k/reference_updates,gaussian_postrelu,2,30,1200,0.004883198342358766,0.9237094530105591,,0.85,0.61,1.044199951171875,0.4907,1.5165168334960937,0.134,6.6652978515625,0.128,6.818578442382813
cifar10_5k/reference_updates,gaussian_postrelu,2,40,1600,0.004788135497283408,0.6833083379745484,,0.85,0.764,0.6530890502929687,0.5313,1.4860248291015625,0.158,6.49383447265625,0.1643,6.737344409179688
cifar10_5k/reference_updates,gaussian_postrelu,2,50,2000,0.0046665214640151656,0.49813234510421756,,0.85,0.872,0.40574685668945315,0.5678,1.38498466796875,0.132,8.666458984375,0.1361,8.746168994140625
cifar10_5k/reference_updates,gaussian_postrelu,2,60,2400,0.004519767433931488,0.39371551434993746,,0.7,0.924,0.25451202392578126,0.5861,1.3868869750976562,0.136,6.62991650390625,0.1307,6.905713452148437
cifar10_5k/reference_updates,gaussian_postrelu,2,70,2800,0.004349576319239909,0.2012030881881714,,0.7,0.958,0.16183584594726563,0.5761,1.6736719360351562,0.18,6.23273046875,0.1948,6.432895458984375
cifar10_5k/reference_updates,gaussian_postrelu,2,80,3200,0.004157922992634942,0.25240993354320523,,0.7,0.96,0.13447451782226563,0.5941,1.6002583129882813,0.146,7.2790693359375,0.151,7.612017797851562
cifar10_5k/reference_updates,gaussian_postrelu,2,90,3600,0.0039470313711654345,0.18692857446670533,,0.6,0.986,0.06639860534667968,0.6096,1.412682794189453,0.278,3.7788466796875,0.2647,4.258072900390625
cifar10_5k/reference_updates,gaussian_postrelu,2,100,4000,0.0037193486102278174,0.06774277144670486,,0.6,0.998,0.026764869689941406,0.5966,1.6198837463378906,0.282,3.822901611328125,0.2547,4.401098046875
cifar10_5k/reference_updates,gaussian_postrelu,2,110,4400,0.003477516707134358,0.15564581052064896,,0.6,0.978,0.0757541961669922,0.5908,1.7988391357421876,0.248,4.0677353515625,0.2405,4.529688110351563
cifar10_5k/reference_updates,gaussian_postrelu,2,120,4800,0.003224341843764452,0.10201883409023285,,0.5,1.0,0.02184553337097168,0.6197,1.5190543518066406,0.45,1.986419921875,0.3637,2.827092138671875
cifar10_5k/reference_updates,gaussian_postrelu,2,130,5200,0.002962761824042309,0.04623205858767033,,0.5,0.998,0.0197012996673584,0.6096,1.6686454467773437,0.528,1.6296357421875,0.3918,2.6255319213867185
cifar10_5k/reference_updates,gaussian_postrelu,2,140,5600,0.0026958119840917666,0.028822435224056243,,0.5,0.998,0.00957522201538086,0.6134,1.700025555419922,0.518,1.75635498046875,0.3746,2.9815364990234374
cifar10_5k/reference_updates,gaussian_postrelu,2,150,6000,0.0024265899706417916,0.08250283745527268,,0.4,1.0,0.018606847763061523,0.61,1.5337912658691406,0.91,0.2973693542480469,0.5377,1.737504833984375
cifar10_5k/reference_updates,gaussian_postrelu,2,160,6400,0.00215821979638886,0.02874224199950695,,0.4,1.0,0.004996415138244629,0.6159,1.5965447021484376,0.962,0.1557802734375,0.5488,1.7767244750976563
cifar10_5k/reference_updates,gaussian_postrelu,2,170,6800,0.0018938155894125412,0.04616029497385025,,0.4,1.0,0.012825700759887695,0.6117,1.6527501220703125,0.978,0.1020770263671875,0.5754,1.6534564514160157
cifar10_5k/reference_updates,gaussian_postrelu,2,180,7200,0.0016364454572907084,0.06344517251849174,,0.3,1.0,0.016668350219726562,0.6082,1.565483856201172,1.0,0.021155492782592773,0.6051,1.5637609252929687
cifar10_5k/reference_updates,gaussian_postrelu,2,190,7600,0.0013890958852299032,0.0464106493294239,,0.3,1.0,0.007232717514038086,0.6103,1.6225300231933595,1.0,0.009308839797973633,0.6035,1.6254824829101562
cifar10_5k/reference_updates,gaussian_postrelu,2,200,8000,0.0011546370813296928,0.03914650654196739,,0.3,1.0,0.007661639213562011,0.6058,1.6572252624511719,1.0,0.009208603858947754,0.6017,1.6499334533691405
cifar10_5k/reference_updates,gaussian_postrelu,2,210,8400,0.0009357896711095129,0.026569354322552682,,0.0,1.0,0.004578801155090332,0.6044,1.6629593688964843,1.0,0.004578801155090332,0.6044,1.6629593688964843
cifar10_5k/reference_updates,gaussian_postrelu,2,220,8800,0.0007350931277697843,0.030976176247000695,,0.0,1.0,0.0042299690246582035,0.6083,1.6447909851074218,1.0,0.0042299690246582035,0.6083,1.6447909851074218
cifar10_5k/reference_updates,gaussian_postrelu,2,230,9200,0.0005548763045179314,0.018024591460824014,,0.0,1.0,0.004543764114379883,0.6128,1.6737931884765624,1.0,0.004543764114379883,0.6128,1.6737931884765624
cifar10_5k/reference_updates,gaussian_postrelu,2,240,9600,0.00039723041089786835,0.015592993208765983,,0.0,1.0,0.0026574759483337404,0.609,1.66614091796875,1.0,0.0026574759483337404,0.609,1.66614091796875
cifar10_5k/reference_updates,gaussian_postrelu,2,250,10000,0.00026398474670163486,0.013919134479761123,,0.0,1.0,0.0024139256477355956,0.6097,1.6600815490722656,1.0,0.0024139256477355956,0.6097,1.6600815490722656
cifar10_5k/reference_updates,gaussian_postrelu,2,260,10400,0.00015668547504333054,0.013794011425971985,,0.0,1.0,0.0023786368370056154,0.6094,1.6815663513183594,1.0,0.0023786368370056154,0.6094,1.6815663513183594
cifar10_5k/reference_updates,gaussian_postrelu,2,270,10800,7.657768090946093e-05,0.014084873779118061,,0.0,1.0,0.00195590615272522,0.6096,1.6821774841308594,1.0,0.00195590615272522,0.6096,1.6821774841308594
cifar10_5k/reference_updates,gaussian_postrelu,2,280,11200,2.4590923375653608e-05,0.011835723003745078,,0.0,1.0,0.002004310131072998,0.6114,1.6614970703125,1.0,0.002004310131072998,0.6114,1.6614970703125
cifar10_5k/reference_updates,gaussian_postrelu,2,290,11600,1.3284491396925446e-06,0.01327928277105093,,0.0,1.0,0.001929275631904602,0.61,1.6713668701171875,1.0,0.001929275631904602,0.61,1.6713668701171875
cifar10_5k/reference_updates,gaussian_postrelu,2,293,11720,9.074290013844078e-11,0.01456219802647829,,0.0,1.0,0.002005126953125,0.6114,1.6527627380371093,1.0,0.002005126953125,0.6114,1.6527627380371093
cifar10_5k/reference_updates,plain,0,0,0,8.333333333333333e-05,,,,0.086,2.801917236328125,0.1,2.7896129272460937,,,,
cifar10_5k/reference_updates,plain,0,10,400,0.004989578983014394,1.6106894994735719,,,0.43,1.531861572265625,0.3966,1.6022669555664062,,,,
cifar10_5k/reference_updates,plain,0,20,800,0.004950606903951322,1.2104689601898193,,,0.604,1.07359912109375,0.4742,1.418253240966797,,,,
cifar10_5k/reference_updates,plain,0,30,1200,0.004883198342358766,0.8449396175384521,,,0.668,0.8759769897460937,0.4394,1.7567965209960938,,,,
cifar10_5k/reference_updates,plain,0,40,1600,0.004788135497283408,0.6026768728256225,,,0.748,0.6318433227539062,0.4205,2.042797790527344,,,,
cifar10_5k/reference_updates,plain,0,50,2000,0.0046665214640151656,0.36878015060424807,,,0.802,0.5054197082519531,0.409,2.5572781494140626,,,,
cifar10_5k/reference_updates,plain,0,60,2400,0.004519767433931488,0.23141625151634215,,,0.89,0.2884814453125,0.4289,2.646719384765625,,,,
cifar10_5k/reference_updates,plain,0,70,2800,0.004349576319239909,0.21529047853946687,,,0.876,0.30958602905273436,0.4252,2.71814873046875,,,,
cifar10_5k/reference_updates,plain,0,80,3200,0.004157922992634942,0.10792658492326737,,,0.928,0.19780722045898438,0.4434,3.000677001953125,,,,
cifar10_5k/reference_updates,plain,0,90,3600,0.0039470313711654345,0.30841206529140475,,,0.946,0.14320828247070314,0.455,2.6309302978515623,,,,
cifar10_5k/reference_updates,plain,0,100,4000,0.0037193486102278174,0.1581106617629528,,,0.938,0.188806396484375,0.4232,2.9841637573242186,,,,
cifar10_5k/reference_updates,plain,0,110,4400,0.003477516707134358,0.02173236211836338,,,1.0,0.0038749103546142577,0.485,2.459377087402344,,,,
cifar10_5k/reference_updates,plain,0,120,4800,0.003224341843764452,0.07380176411867141,,,0.934,0.16974539184570311,0.4133,3.2247472412109377,,,,
cifar10_5k/reference_updates,plain,0,130,5200,0.002962761824042309,0.03394311520904303,,,0.998,0.009907659530639648,0.4748,2.490317492675781,,,,
cifar10_5k/reference_updates,plain,0,140,5600,0.0026958119840917666,0.07796821753978729,,,0.998,0.017866937637329102,0.4782,2.6464485107421876,,,,
cifar10_5k/reference_updates,plain,0,150,6000,0.0024265899706417916,0.021506747937202454,,,1.0,0.0028293638229370116,0.4874,2.496785205078125,,,,
cifar10_5k/reference_updates,plain,0,160,6400,0.00215821979638886,0.010384421030431986,,,1.0,0.0013295377492904663,0.4872,2.510032666015625,,,,
cifar10_5k/reference_updates,plain,0,170,6800,0.0018938155894125412,0.009979918065667153,,,1.0,0.0010381252765655517,0.4932,2.520343408203125,,,,
cifar10_5k/reference_updates,plain,0,180,7200,0.0016364454572907084,0.059250371235981585,,,0.998,0.011762813568115234,0.4786,2.6231063232421876,,,,
cifar10_5k/reference_updates,plain,0,190,7600,0.0013890958852299032,0.016365079973638057,,,1.0,0.0022162139415740968,0.4914,2.501905554199219,,,,
cifar10_5k/reference_updates,plain,0,200,8000,0.0011546370813296928,0.019379489865899085,,,1.0,0.0024546985626220704,0.4858,2.602330908203125,,,,
cifar10_5k/reference_updates,plain,0,210,8400,0.0009357896711095129,0.009851467707753182,,,1.0,0.0008413341045379639,0.5023,2.4784894653320313,,,,
cifar10_5k/reference_updates,plain,0,220,8800,0.0007350931277697843,0.006155704265460372,,,1.0,0.0008415545225143432,0.4904,2.4729134521484375,,,,
cifar10_5k/reference_updates,plain,0,230,9200,0.0005548763045179314,0.007910137579590082,,,1.0,0.000902863621711731,0.4932,2.4902160888671876,,,,
cifar10_5k/reference_updates,plain,0,240,9600,0.00039723041089786835,0.008432370156794787,,,1.0,0.0012599575519561769,0.494,2.5203087158203124,,,,
cifar10_5k/reference_updates,plain,0,250,10000,0.00026398474670163486,0.006850510169565677,,,1.0,0.0008820337057113647,0.4933,2.48025947265625,,,,
cifar10_5k/reference_updates,plain,0,260,10400,0.00015668547504333054,0.006923138869181275,,,1.0,0.0006310427784919739,0.5014,2.4695593994140626,,,,
cifar10_5k/reference_updates,plain,0,270,10800,7.657768090946093e-05,0.005630819502472877,,,1.0,0.0006315767765045166,0.4963,2.4597317749023437,,,,
cifar10_5k/reference_updates,plain,0,280,11200,2.4590923375653608e-05,0.004938321321085095,,,1.0,0.0006039576530456542,0.4975,2.481608801269531,,,,
cifar10_5k/reference_updates,plain,0,290,11600,1.3284491396925446e-06,0.0050472369901835915,,,1.0,0.0007064090967178344,0.4945,2.470172131347656,,,,
cifar10_5k/reference_updates,plain,0,293,11720,9.074290013844078e-11,0.006972172728739679,,,1.0,0.0005917623043060303,0.4972,2.4713173828125,,,,
cifar10_5k/reference_updates,plain,1,0,0,8.333333333333333e-05,,,,0.104,2.511177734375,0.1,2.5560952514648436,,,,
cifar10_5k/reference_updates,plain,1,10,400,0.004989578983014394,1.5705217666625977,,,0.426,1.4771025390625,0.4043,1.569427899169922,,,,
cifar10_5k/reference_updates,plain,1,20,800,0.004950606903951322,1.1773230781555175,,,0.61,1.0462626953125,0.4885,1.41968125,,,,
cifar10_5k/reference_updates,plain,1,30,1200,0.004883198342358766,0.7309111217498779,,,0.68,0.7836273193359375,0.4325,1.8257660461425782,,,,
cifar10_5k/reference_updates,plain,1,40,1600,0.004788135497283408,0.38388407135009767,,,0.716,0.7764552001953124,0.4241,2.4808766723632814,,,,
cifar10_5k/reference_updates,plain,1,50,2000,0.0046665214640151656,0.3617200697422028,,,0.928,0.24406477355957032,0.4721,2.156054309082031,,,,
cifar10_5k/reference_updates,plain,1,60,2400,0.004519767433931488,0.17812387251853942,,,0.954,0.13927023315429687,0.4562,2.5714662231445313,,,,
cifar10_5k/reference_updates,plain,1,70,2800,0.004349576319239909,0.19311648318767546,,,0.774,0.6198383178710938,0.3583,3.2933385986328125,,,,
cifar10_5k/reference_updates,plain,1,80,3200,0.004157922992634942,0.24995447907447815,,,0.906,0.2224008026123047,0.4571,2.6299027709960936,,,,
cifar10_5k/reference_updates,plain,1,90,3600,0.0039470313711654345,0.15168011504411696,,,0.992,0.039448558807373045,0.4986,2.4702289428710937,,,,
cifar10_5k/reference_updates,plain,1,100,4000,0.0037193486102278174,0.04072504689991474,,,0.998,0.01457147216796875,0.4962,2.4205219360351564,,,,
cifar10_5k/reference_updates,plain,1,110,4400,0.003477516707134358,0.025199479684233667,,,1.0,0.005442639350891113,0.5034,2.3786313354492186,,,,
cifar10_5k/reference_updates,plain,1,120,4800,0.003224341843764452,0.08325273544490337,,,0.996,0.0299942626953125,0.4961,2.489989709472656,,,,
cifar10_5k/reference_updates,plain,1,130,5200,0.002962761824042309,0.017638408043980598,,,1.0,0.002330848217010498,0.5074,2.415348681640625,,,,
cifar10_5k/reference_updates,plain,1,140,5600,0.0026958119840917666,0.009792301812767983,,,1.0,0.001426680564880371,0.5153,2.4490917724609376,,,,
cifar10_5k/reference_updates,plain,1,150,6000,0.0024265899706417916,0.01973741517961025,,,1.0,0.0022208678722381594,0.5097,2.4546875732421873,,,,
cifar10_5k/reference_updates,plain,1,160,6400,0.00215821979638886,0.025124086017906666,,,1.0,0.0022437200546264646,0.5033,2.5178771606445314,,,,
cifar10_5k/reference_updates,plain,1,170,6800,0.0018938155894125412,0.016431286218762397,,,1.0,0.002267030715942383,0.5069,2.4788197631835938,,,,
cifar10_5k/reference_updates,plain,1,180,7200,0.0016364454572907084,0.03812712014466524,,,0.998,0.006533371448516846,0.4884,2.644557019042969,,,,
cifar10_5k/reference_updates,plain,1,190,7600,0.0013890958852299032,0.007282577258720994,,,1.0,0.0007327418923377991,0.503,2.4897550048828125,,,,
