optimizer,method,n,acc,sd,delta,delta_sd,positive,per_seed,wall_minutes,wall_ratio
adam,plain,3,84.13000000000001,0.5919459434779476,0.0,0.0,0,"[0.0, 0.0, 0.0]",8.20557580376111,1.0
adam,resolution_max_b1,3,85.31,0.2651414716712576,1.1799999999999926,0.4003748243833505,3,"[1.1999999999999886, 1.5699999999999932, 0.769999999999996]",8.2720948955,1.007971117513269
adam,gaussian_postrelu,3,83.95,0.07211102550927924,-0.18000000000000208,0.606300255648959,2,"[0.1799999999999926, 0.1599999999999966, -0.8799999999999955]",10.364294855533332,1.2631300356515025
adam,resolution_max_b1_gaussian_conv,3,85.27666666666666,0.26102362600602685,1.1466666666666658,0.35571524191877035,3,"[1.2199999999999989, 1.4599999999999937, 0.7600000000000051]",12.273916645466668,1.4960139347635322
adamw,plain,3,84.12,0.4915282290977791,0.0,0.0,0,"[0.0, 0.0, 0.0]",8.286871773544442,1.0
adamw,resolution_max_b1,3,86.28000000000002,0.21999999999999886,2.1600000000000015,0.6761656601750753,3,"[2.9399999999999977, 1.740000000000009, 1.7999999999999972]",8.217280614044446,0.9915318155088517
adamw,gaussian_postrelu,3,83.71333333333332,0.28676354952004524,-0.4066666666666663,0.7215492591177225,1,"[0.4200000000000017, -0.9099999999999966, -0.730000000000004]",10.309542169738892,1.2443054191541547
adamw,resolution_max_b1_gaussian_conv,3,86.21,0.2893095228297915,2.0899999999999985,0.6187891401761964,3,"[2.769999999999996, 1.5600000000000023, 1.9399999999999977]",12.129446670833333,1.463962759333411
radam,plain,3,84.37666666666667,0.1234233905438203,0.0,0.0,0,"[0.0, 0.0, 0.0]",8.296841012155559,1.0
radam,resolution_max_b1,3,85.63,0.40447496832313645,1.2533333333333303,0.5272886622461475,3,"[1.8499999999999943, 1.0600000000000023, 0.8499999999999943]",8.214499863644441,0.9901327190529271
radam,gaussian_postrelu,3,84.74666666666667,0.1913983629327394,0.36999999999999983,0.18193405398659288,3,"[0.47999999999998977, 0.1600000000000108, 0.46999999999999886]",10.461821928316668,1.261873900639513
radam,resolution_max_b1_gaussian_conv,3,85.25666666666666,0.1530795000427383,0.8800000000000002,0.25865034312755475,3,"[1.1099999999999994, 0.9300000000000068, 0.5999999999999943]",12.339938450605556,1.4883588926012852
sgd,plain,3,75.43,0.7615116545398384,0.0,0.0,0,"[0.0, 0.0, 0.0]",,
sgd,resolution_max_b1,3,80.36666666666666,0.6107645481962164,4.936666666666663,0.500233278914286,3,"[5.390000000000001, 4.3999999999999915, 5.019999999999996]",,
sgd,gaussian_postrelu,3,79.90666666666668,0.2655811238272242,4.476666666666669,0.9672814137226702,3,"[5.480000000000004, 4.3999999999999915, 3.5500000000000114]",,
sgd,resolution_max_b1_gaussian_conv,3,81.51,0.21517434791350357,6.079999999999998,0.5599999999999993,3,"[6.719999999999999, 5.839999999999989, 5.680000000000007]",,
