cell,radius,energy_fraction
resolution_max_b1_gaussian_conv__wd_low__seed0,4,0.023736793878527153
resolution_max_b1_gaussian_conv__wd_low__seed0,5,0.0241944218513506
resolution_max_b1_gaussian_conv__wd_low__seed0,6,0.03895072493402716
resolution_max_b1_gaussian_conv__wd_low__seed0,7,0.04309343691622361
resolution_max_b1_gaussian_conv__wd_low__seed0,8,0.05673673321261281
resolution_max_b1_gaussian_conv__wd_low__seed0,9,0.08366881399410024
resolution_max_b1_gaussian_conv__wd_low__seed0,10,0.07115787769619188
resolution_max_b1_gaussian_conv__wd_low__seed0,11,0.09524971941488827
resolution_max_b1_gaussian_conv__wd_low__seed0,12,0.08736841387935321
resolution_max_b1_gaussian_conv__wd_low__seed0,13,0.10681927824050755
resolution_max_b1_gaussian_conv__wd_low__seed0,14,0.10088612837653828
resolution_max_b1_gaussian_conv__wd_low__seed0,15,0.09443987203383825
resolution_max_b1_gaussian_conv__wd_low__seed0,16,0.08378191590877615
resolution_max_b1_gaussian_conv__wd_low__seed0,17,0.036179465675018244
resolution_max_b1_gaussian_conv__wd_low__seed0,18,0.015154173185110302
resolution_max_b1_gaussian_conv__wd_low__seed0,19,0.008425834661725076
resolution_max_b1_gaussian_conv__wd_low__seed0,20,0.0031887437195365956
resolution_max_b1_gaussian_conv__wd_low__seed0,21,0.0036280422802071567
resolution_max_b1_gaussian_conv__wd_low__seed0,22,0.0008643004678279766
resolution_max_b1_gaussian_conv__wd_low__seed0,23,0.0003793667099175351
gaussian_postrelu__reference__seed0,0,0.0005022110143705383
gaussian_postrelu__reference__seed0,1,0.003790769980970707
gaussian_postrelu__reference__seed0,2,0.008002710301124738
gaussian_postrelu__reference__seed0,3,0.014174615763133402
gaussian_postrelu__reference__seed0,4,0.035686662038422634
gaussian_postrelu__reference__seed0,5,0.03612653052906127
gaussian_postrelu__reference__seed0,6,0.05522696638334347
gaussian_postrelu__reference__seed0,7,0.05626142096084343
gaussian_postrelu__reference__seed0,8,0.06706113772965763
gaussian_postrelu__reference__seed0,9,0.08782947667332291
gaussian_postrelu__reference__seed0,10,0.06755546172005089
gaussian_postrelu__reference__seed0,11,0.08080302703035064
gaussian_postrelu__reference__seed0,12,0.07058258451002912
gaussian_postrelu__reference__seed0,13,0.0847443560475295
gaussian_postrelu__reference__seed0,14,0.08069311038461847
gaussian_postrelu__reference__seed0,15,0.07489688502186292
gaussian_postrelu__reference__seed0,16,0.07642186332468173
gaussian_postrelu__reference__seed0,17,0.04584617074351355
gaussian_postrelu__reference__seed0,18,0.024301143273611832
gaussian_postrelu__reference__seed0,19,0.014944445646947115
gaussian_postrelu__reference__seed0,20,0.005950705967840862
gaussian_postrelu__reference__seed0,21,0.006660295958125012
gaussian_postrelu__reference__seed0,22,0.0014189901000590359
gaussian_postrelu__reference__seed0,23,0.0005184588965286064
gaussian_postrelu__wd_low__seed0,0,0.0005103576085513242
gaussian_postrelu__wd_low__seed0,1,0.0037698927013338317
gaussian_postrelu__wd_low__seed0,2,0.007706605146380957
gaussian_postrelu__wd_low__seed0,3,0.013461111115383619
gaussian_postrelu__wd_low__seed0,4,0.033514491072050054
gaussian_postrelu__wd_low__seed0,5,0.034498785553698036
gaussian_postrelu__wd_low__seed0,6,0.0532528236938148
gaussian_postrelu__wd_low__seed0,7,0.05564228811003463
gaussian_postrelu__wd_low__seed0,8,0.06698289538257757
gaussian_postrelu__wd_low__seed0,9,0.0883421979661841
gaussian_postrelu__wd_low__seed0,10,0.06764359235136502
gaussian_postrelu__wd_low__seed0,11,0.08160854712913651
gaussian_postrelu__wd_low__seed0,12,0.07107399625961217
gaussian_postrelu__wd_low__seed0,13,0.08567666210374902
gaussian_postrelu__wd_low__seed0,14,0.08143195298480069
gaussian_postrelu__wd_low__seed0,15,0.07599752826446278
gaussian_postrelu__wd_low__seed0,16,0.07789922968768606
gaussian_postrelu__wd_low__seed0,17,0.04658182063108533
gaussian_postrelu__wd_low__seed0,18,0.024838049808681054
gaussian_postrelu__wd_low__seed0,19,0.015122695252519336
gaussian_postrelu__wd_low__seed0,20,0.005995830142649494
gaussian_postrelu__wd_low__seed0,21,0.006637658887704148
gaussian_postrelu__wd_low__seed0,22,0.0013608724574189642
gaussian_postrelu__wd_low__seed0,23,0.00045011568912050085
plain__reference__seed1,0,0.00029935857668464026
plain__reference__seed1,1,0.0023659088690291073
plain__reference__seed1,2,0.004820264332619466
plain__reference__seed1,3,0.008675400856482522
plain__reference__seed1,4,0.022438916272120753
plain__reference__seed1,5,0.023992877393647014
plain__reference__seed1,6,0.03814512252085683
plain__reference__seed1,7,0.041048994835602225
plain__reference__seed1,8,0.05125329706265738
plain__reference__seed1,9,0.07336602921468965
plain__reference__seed1,10,0.06191107522536979
plain__reference__seed1,11,0.0816040764277062
plain__reference__seed1,12,0.08005154267267295
plain__reference__seed1,13,0.10361540421469156
plain__reference__seed1,14,0.10642947251894029
plain__reference__seed1,15,0.10674380772030749
plain__reference__seed1,16,0.10028871013202692
plain__reference__seed1,17,0.04563573358701303
plain__reference__seed1,18,0.021757513994912974
plain__reference__seed1,19,0.012845774081740705
plain__reference__seed1,20,0.005130935715542659
plain__reference__seed1,21,0.005819497652232143
plain__reference__seed1,22,0.001294703103950866
plain__reference__seed1,23,0.0004655830185028345
resolution_max_b1__lr_high__seed0,0,0.00025085083278975203
resolution_max_b1__lr_high__seed0,1,0.0019918270341991212
resolution_max_b1__lr_high__seed0,2,0.003970258231021268
resolution_max_b1__lr_high__seed0,3,0.006623274988426478
resolution_max_b1__lr_high__seed0,4,0.015588451685677294
resolution_max_b1__lr_high__seed0,5,0.01541604141026407
resolution_max_b1__lr_high__seed0,6,0.024452563231674516
resolution_max_b1__lr_high__seed0,7,0.02709138600453145
resolution_max_b1__lr_high__seed0,8,0.03617777312059453
resolution_max_b1__lr_high__seed0,9,0.05580085767305837
resolution_max_b1__lr_high__seed0,10,0.050974978156152574
resolution_max_b1__lr_high__seed0,11,0.0735000280023627
resolution_max_b1__lr_high__seed0,12,0.0786894577276864
resolution_max_b1__lr_high__seed0,13,0.11329992958609034
resolution_max_b1__lr_high__seed0,14,0.12561976560344656
resolution_max_b1__lr_high__seed0,15,0.12688873824758834
resolution_max_b1__lr_high__seed0,16,0.12575705800247938
resolution_max_b1__lr_high__seed0,17,0.06424863309174364
resolution_max_b1__lr_high__seed0,18,0.029311692921579223
resolution_max_b1__lr_high__seed0,19,0.015086730476815266
resolution_max_b1__lr_high__seed0,20,0.004620429759812779
resolution_max_b1__lr_high__seed0,21,0.003919497287030557
resolution_max_b1__lr_high__seed0,22,0.0005798426264922089
resolution_max_b1__lr_high__seed0,23,0.00013993429848318975
resolution_max_b1__reference__seed2,0,0.0003125926886966233
resolution_max_b1__reference__seed2,1,0.0023348278767888796
resolution_max_b1__reference__seed2,2,0.004240955619423943
resolution_max_b1__reference__seed2,3,0.006800861586001911
resolution_max_b1__reference__seed2,4,0.015766903337261294
resolution_max_b1__reference__seed2,5,0.016016124122132068
resolution_max_b1__reference__seed2,6,0.02512886706767414
resolution_max_b1__reference__seed2,7,0.027351683270913602
resolution_max_b1__reference__seed2,8,0.03553264874943553
resolution_max_b1__reference__seed2,9,0.05386551529920805
resolution_max_b1__reference__seed2,10,0.05057556621377707
resolution_max_b1__reference__seed2,11,0.07434896443688035
resolution_max_b1__reference__seed2,12,0.08084255133096024
resolution_max_b1__reference__seed2,13,0.11681645631062382
resolution_max_b1__reference__seed2,14,0.12581689710157795
resolution_max_b1__reference__seed2,15,0.1206517422399111
resolution_max_b1__reference__seed2,16,0.11722966482191509
resolution_max_b1__reference__seed2,17,0.06044387722183309
resolution_max_b1__reference__seed2,18,0.03298132392199817
resolution_max_b1__reference__seed2,19,0.018300587652593285
resolution_max_b1__reference__seed2,20,0.006545675366293328
resolution_max_b1__reference__seed2,21,0.0065757545116817175
resolution_max_b1__reference__seed2,22,0.0011880226958131258
resolution_max_b1__reference__seed2,23,0.0003319365566056285
resolution_max_b1_gaussian_conv__lr_low__seed0,0,0.0007306710343251955
resolution_max_b1_gaussian_conv__lr_low__seed0,1,0.00396093385899502
resolution_max_b1_gaussian_conv__lr_low__seed0,2,0.006235173466282606
resolution_max_b1_gaussian_conv__lr_low__seed0,3,0.009634051673092088
resolution_max_b1_gaussian_conv__lr_low__seed0,4,0.0228517493572428
resolution_max_b1_gaussian_conv__lr_low__seed0,5,0.023931430508090042
resolution_max_b1_gaussian_conv__lr_low__seed0,6,0.03970669607453652
resolution_max_b1_gaussian_conv__lr_low__seed0,7,0.044208296570284834
resolution_max_b1_gaussian_conv__lr_low__seed0,8,0.05821835268782452
resolution_max_b1_gaussian_conv__lr_low__seed0,9,0.08420866051244831
resolution_max_b1_gaussian_conv__lr_low__seed0,10,0.06994700330487774
resolution_max_b1_gaussian_conv__lr_low__seed0,11,0.09226859873418333
resolution_max_b1_gaussian_conv__lr_low__seed0,12,0.08346428207423032
resolution_max_b1_gaussian_conv__lr_low__seed0,13,0.10107153597830791
resolution_max_b1_gaussian_conv__lr_low__seed0,14,0.09607157122916236
resolution_max_b1_gaussian_conv__lr_low__seed0,15,0.09127476321707002
resolution_max_b1_gaussian_conv__lr_low__seed0,16,0.08560274297765824
resolution_max_b1_gaussian_conv__lr_low__seed0,17,0.04029987202247643
resolution_max_b1_gaussian_conv__lr_low__seed0,18,0.0205371888404225
resolution_max_b1_gaussian_conv__lr_low__seed0,19,0.012401631290655534
resolution_max_b1_gaussian_conv__lr_low__seed0,20,0.00514081569688836
resolution_max_b1_gaussian_conv__lr_low__seed0,21,0.006193320077741273
resolution_max_b1_gaussian_conv__lr_low__seed0,22,0.0015172388550374464
resolution_max_b1_gaussian_conv__lr_low__seed0,23,0.0005234199581665666
resolution_max_b1_gaussian_conv__wd_high__seed0,0,0.0005161400181574011
resolution_max_b1_gaussian_conv__wd_high__seed0,1,0.0037801216740099724
resolution_max_b1_gaussian_conv__wd_high__seed0,2,0.0066571571182617835
resolution_max_b1_gaussian_conv__wd_high__seed0,3,0.010863908612368977
resolution_max_b1_gaussian_conv__wd_high__seed0,4,0.025793934345173276
resolution_max_b1_gaussian_conv__wd_high__seed0,5,0.026295279978519992
resolution_max_b1_gaussian_conv__wd_high__seed0,6,0.040770547724741715
resolution_max_b1_gaussian_conv__wd_high__seed0,7,0.04370764523907151
resolution_max_b1_gaussian_conv__wd_high__seed0,8,0.05425215939718548
resolution_max_b1_gaussian_conv__wd_high__seed0,9,0.07766827892741648
resolution_max_b1_gaussian_conv__wd_high__seed0,10,0.06660306722117226
resolution_max_b1_gaussian_conv__wd_high__seed0,11,0.08941456596911651
resolution_max_b1_gaussian_conv__wd_high__seed0,12,0.08624096183720842
resolution_max_b1_gaussian_conv__wd_high__seed0,13,0.10997471329710046
resolution_max_b1_gaussian_conv__wd_high__seed0,14,0.10650115179305425
resolution_max_b1_gaussian_conv__wd_high__seed0,15,0.09834491829907258
resolution_max_b1_gaussian_conv__wd_high__seed0,16,0.08741551721813508
resolution_max_b1_gaussian_conv__wd_high__seed0,17,0.037915434703982315
resolution_max_b1_gaussian_conv__wd_high__seed0,18,0.01401853093656472
resolution_max_b1_gaussian_conv__wd_high__seed0,19,0.007183330768375615
resolution_max_b1_gaussian_conv__wd_high__seed0,20,0.0025213116133773997
resolution_max_b1_gaussian_conv__wd_high__seed0,21,0.0027170824297386743
resolution_max_b1_gaussian_conv__wd_high__seed0,22,0.0006032559632492037
resolution_max_b1_gaussian_conv__wd_high__seed0,23,0.0002409849149459277
