cell,radius,energy_fraction
resolution_max_b1__reference__seed1,10,0.057852869731512484
resolution_max_b1__reference__seed1,11,0.08167600937511069
resolution_max_b1__reference__seed1,12,0.08333293052635107
resolution_max_b1__reference__seed1,13,0.11459967036681838
resolution_max_b1__reference__seed1,14,0.11471440180310685
resolution_max_b1__reference__seed1,15,0.1033980431363544
resolution_max_b1__reference__seed1,16,0.10561016837122379
resolution_max_b1__reference__seed1,17,0.058800404377080895
resolution_max_b1__reference__seed1,18,0.030821127985012034
resolution_max_b1__reference__seed1,19,0.016630691406736474
resolution_max_b1__reference__seed1,20,0.005976971368050437
resolution_max_b1__reference__seed1,21,0.006267581727457955
resolution_max_b1__reference__seed1,22,0.001271091649589112
resolution_max_b1__reference__seed1,23,0.00044716135079145514
resolution_max_b1_gaussian_conv__lr_high__seed0,0,0.0003891938797739355
resolution_max_b1_gaussian_conv__lr_high__seed0,1,0.0028993523810464756
resolution_max_b1_gaussian_conv__lr_high__seed0,2,0.005389042426476503
resolution_max_b1_gaussian_conv__lr_high__seed0,3,0.00889473662901766
resolution_max_b1_gaussian_conv__lr_high__seed0,4,0.02031761014090507
resolution_max_b1_gaussian_conv__lr_high__seed0,5,0.019701507406525803
resolution_max_b1_gaussian_conv__lr_high__seed0,6,0.0298241225061942
resolution_max_b1_gaussian_conv__lr_high__seed0,7,0.03267947197669062
resolution_max_b1_gaussian_conv__lr_high__seed0,8,0.043170419819475774
resolution_max_b1_gaussian_conv__lr_high__seed0,9,0.06763243524862002
resolution_max_b1_gaussian_conv__lr_high__seed0,10,0.06336231354132366
resolution_max_b1_gaussian_conv__lr_high__seed0,11,0.09145377646797138
resolution_max_b1_gaussian_conv__lr_high__seed0,12,0.09403482217427456
resolution_max_b1_gaussian_conv__lr_high__seed0,13,0.12339793352436311
resolution_max_b1_gaussian_conv__lr_high__seed0,14,0.12169986684825938
resolution_max_b1_gaussian_conv__lr_high__seed0,15,0.11518951931309505
resolution_max_b1_gaussian_conv__lr_high__seed0,16,0.09912227466783334
resolution_max_b1_gaussian_conv__lr_high__seed0,17,0.03840949805212106
resolution_max_b1_gaussian_conv__lr_high__seed0,18,0.012779361515531523
resolution_max_b1_gaussian_conv__lr_high__seed0,19,0.005659872628319921
resolution_max_b1_gaussian_conv__lr_high__seed0,20,0.0017711051947109687
resolution_max_b1_gaussian_conv__lr_high__seed0,21,0.0017480526410682434
resolution_max_b1_gaussian_conv__lr_high__seed0,22,0.0003578913364240838
resolution_max_b1_gaussian_conv__lr_high__seed0,23,0.00011581967997768131
resolution_max_b1_gaussian_conv__reference__seed2,0,0.0004871802810508583
resolution_max_b1_gaussian_conv__reference__seed2,1,0.0034908387388479394
resolution_max_b1_gaussian_conv__reference__seed2,2,0.0063653963460341785
resolution_max_b1_gaussian_conv__reference__seed2,3,0.010560201983692806
resolution_max_b1_gaussian_conv__reference__seed2,4,0.0262167242807528
resolution_max_b1_gaussian_conv__reference__seed2,5,0.027971296803170412
resolution_max_b1_gaussian_conv__reference__seed2,6,0.04518502689042953
resolution_max_b1_gaussian_conv__reference__seed2,7,0.050314220440740035
resolution_max_b1_gaussian_conv__reference__seed2,8,0.06520183342396646
resolution_max_b1_gaussian_conv__reference__seed2,9,0.09620032122943684
resolution_max_b1_gaussian_conv__reference__seed2,10,0.08118039467880359
resolution_max_b1_gaussian_conv__reference__seed2,11,0.10500236149593216
resolution_max_b1_gaussian_conv__reference__seed2,12,0.08967636814257485
resolution_max_b1_gaussian_conv__reference__seed2,13,0.10162081093236668
resolution_max_b1_gaussian_conv__reference__seed2,14,0.084568485238315
resolution_max_b1_gaussian_conv__reference__seed2,15,0.06930840310920454
resolution_max_b1_gaussian_conv__reference__seed2,16,0.06318907315264548
resolution_max_b1_gaussian_conv__reference__seed2,17,0.031768949057686124
resolution_max_b1_gaussian_conv__reference__seed2,18,0.016578140755286006
resolution_max_b1_gaussian_conv__reference__seed2,19,0.010608109633948
resolution_max_b1_gaussian_conv__reference__seed2,20,0.00499538338579774
resolution_max_b1_gaussian_conv__reference__seed2,21,0.006847489368138968
resolution_max_b1_gaussian_conv__reference__seed2,22,0.0019358339312468035
resolution_max_b1_gaussian_conv__reference__seed2,23,0.0007271566999322007
gaussian_postrelu__lr_high__seed0,0,0.0005637658799232893
gaussian_postrelu__lr_high__seed0,1,0.004414255007590751
gaussian_postrelu__lr_high__seed0,2,0.008527245245434655
gaussian_postrelu__lr_high__seed0,3,0.01406622258337769
gaussian_postrelu__lr_high__seed0,4,0.03311045982908356
gaussian_postrelu__lr_high__seed0,5,0.03214674984393438
gaussian_postrelu__lr_high__seed0,6,0.04735779291822693
gaussian_postrelu__lr_high__seed0,7,0.048202822724954825
gaussian_postrelu__lr_high__seed0,8,0.05754996055482374
gaussian_postrelu__lr_high__seed0,9,0.07973389221302522
gaussian_postrelu__lr_high__seed0,10,0.06721227173098612
gaussian_postrelu__lr_high__seed0,11,0.08370856339302281
gaussian_postrelu__lr_high__seed0,12,0.08002641384922876
gaussian_postrelu__lr_high__seed0,13,0.0966357749328109
gaussian_postrelu__lr_high__seed0,14,0.09425322969026068
gaussian_postrelu__lr_high__seed0,15,0.08960463991386085
gaussian_postrelu__lr_high__seed0,16,0.0827934076587504
gaussian_postrelu__lr_high__seed0,17,0.04114023128237153
gaussian_postrelu__lr_high__seed0,18,0.018750039188749672
gaussian_postrelu__lr_high__seed0,19,0.010930017434949242
gaussian_postrelu__lr_high__seed0,20,0.004024036719606154
