seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,test_loss,test_acc,test_acc_at_s1,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total
1,0,0.020000000000000004,2.205570731407557,0.14983974358974358,4.167518138885498,1197.8352183813145,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,2.8313630615234375,0.1844,0.1844,nan,nan,17.71177028263464,55.25639670790396
1,1,0.04000000000000001,1.8637920770889673,0.2864583333333333,4.132043123245239,1208.1190469472556,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,2.2510373046875,0.2667,0.2667,,,,
1,2,0.06,1.711471560673836,0.35757211538461536,4.135619163513184,1207.0743950609142,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.671515673828125,0.3925,0.3925,,,,
1,3,0.08000000000000002,1.6246248911588619,0.38822115384615385,4.138288974761963,1206.295652731004,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.6815166015625,0.3995,0.3995,,,,
1,4,0.1,1.5243333058479505,0.4423076923076923,4.139466047286987,1205.9526380876503,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.7191081176757812,0.3838,0.3838,,,,
1,5,0.09988436608295112,1.445466976899367,0.4729567307692308,4.147510051727295,1203.613719494424,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.8730155151367187,0.3881,0.3881,,,,
1,6,0.09952578065845874,1.3330383881544456,0.5110176282051282,4.144619941711426,1204.453018661747,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.665246337890625,0.4545,0.4545,,,,
1,7,0.09892591060891241,1.2267673428242023,0.5657051282051282,4.148273229598999,1203.3922848622392,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.4547659423828125,0.5013,0.5013,,,,
1,8,0.0980876784408948,1.127795928563827,0.5975560897435898,4.147889137268066,1203.503718348628,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.5345859619140625,0.5203,0.5203,,,,
1,9,0.09701516793726968,1.0654039474634023,0.6254006410256411,4.147359132766724,1203.6575179998488,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.3334063720703124,0.5535,0.5535,,,,
