method,transition_update,seed,state_label,state,split,L_center_saved,L_center_recalibrated,S_recal_eps0.025,n_dirs_eps0.025,S_recal_eps0.05,n_dirs_eps0.05,S_recal_eps0.1,n_dirs_eps0.1,S_recal_eps0.2,n_dirs_eps0.2,S_recal_eps0.25,n_dirs_eps0.25
resolution_max_b1,2346,4,after,"{""resolution"": 24, ""sigma"": null}",train_probe,1.1800250854492187,1.0790322265625,0.003298461914062423,10,0.013790509033203047,10,0.05440813293457027,10,0.21513053588867176,10,0.32715584411621085,10
resolution_max_b1,2346,4,after,"{""resolution"": 24, ""sigma"": null}",test_probe,1.2327152099609375,1.1355589599609375,0.0029829956054688413,10,0.012319827270507821,10,0.051635894775390635,10,0.20791139221191415,10,0.31699219360351566,10
resolution_max_b1,2346,4,r=32,"{""resolution"": 32, ""sigma"": null}",train_probe,3.23225048828125,1.663835693359375,0.003756964111328154,10,0.01445105895996095,10,0.05377586975097655,10,0.19040787963867192,10,0.28184124450683595,10
resolution_max_b1,2346,4,r=32,"{""resolution"": 32, ""sigma"": null}",test_probe,3.3200411376953123,1.7710031127929688,0.0022186859130858493,10,0.010685159301757684,10,0.047358718872070216,10,0.18523773193359366,10,0.2755343231201171,10
resolution_max_b1,4692,0,before,"{""resolution"": 24, ""sigma"": null}",train_probe,0.5678358764648438,0.573742919921875,0.0039501296997070615,10,0.017033132934570327,10,0.07089467315673831,10,0.2827545166015625,10,0.43811840362548826,10
resolution_max_b1,4692,0,before,"{""resolution"": 24, ""sigma"": null}",test_probe,0.6980221252441406,0.6934968566894532,0.0039858459472655984,10,0.01518453216552731,10,0.06065570526123043,10,0.24686280670166014,10,0.3856620513916015,10
resolution_max_b1,4692,0,after,"{""resolution"": 32, ""sigma"": null}",train_probe,2.9066181640625,1.1573116455078125,0.005262268066406217,10,0.022624432373046854,10,0.09434035644531247,10,0.3615014343261719,10,0.5308486846923829,10
resolution_max_b1,4692,0,after,"{""resolution"": 32, ""sigma"": null}",test_probe,2.9722142333984376,1.2090360717773438,0.006268136596679597,10,0.023210498046874896,10,0.09497600402832018,10,0.3595611541748046,10,0.5240479461669921,10
resolution_max_b1,4692,0,r=16,"{""resolution"": 16, ""sigma"": null}",train_probe,0.9747857055664062,0.8417015686035156,0.004368183898925781,10,0.016431820678710952,10,0.06468383636474609,10,0.2540195175170898,10,0.3913038574218751,10
resolution_max_b1,4692,0,r=16,"{""resolution"": 16, ""sigma"": null}",test_probe,1.03313818359375,0.9162609252929688,0.0035116653442382796,10,0.014245823669433577,10,0.05621962127685544,10,0.22414996185302732,10,0.3483774475097657,10
resolution_max_b1,4692,1,before,"{""resolution"": 24, ""sigma"": null}",train_probe,0.5121796569824218,0.5021781463623047,0.005193385314941357,10,0.02089738311767573,10,0.08444109344482419,10,0.3369711807250976,10,0.5221535827636719,10
resolution_max_b1,4692,1,before,"{""resolution"": 24, ""sigma"": null}",test_probe,0.6943160095214844,0.6875833129882812,0.004197209167480476,10,0.016057377624511725,10,0.06338017578125003,10,0.26475564117431644,10,0.42003487396240236,10
resolution_max_b1,4692,1,after,"{""resolution"": 32, ""sigma"": null}",train_probe,3.92296923828125,0.9290115051269531,0.006140124511718792,10,0.026306730651855535,10,0.10940699615478526,10,0.42723732299804695,10,0.6329665130615234,10
resolution_max_b1,4692,1,after,"{""resolution"": 32, ""sigma"": null}",test_probe,3.934190673828125,1.0039336547851563,0.006132710266113217,10,0.02589690704345695,10,0.10378510131835932,10,0.4056861785888672,10,0.60181357421875,10
resolution_max_b1,4692,1,r=16,"{""resolution"": 16, ""sigma"": null}",train_probe,0.8914259033203125,0.7575336303710938,0.005163047790527331,10,0.01945639648437497,10,0.07656671752929682,10,0.31422415924072256,10,0.4930254486083984,10
resolution_max_b1,4692,1,r=16,"{""resolution"": 16, ""sigma"": null}",test_probe,1.0270143127441407,0.90850244140625,0.00404785308837885,10,0.016993350219726543,10,0.06987571868896483,10,0.27261776580810543,10,0.42454078369140624,10
resolution_max_b1,4692,2,before,"{""resolution"": 24, ""sigma"": null}",train_probe,0.5121905212402343,0.5013813781738281,0.005052563476562499,10,0.020759536743164074,10,0.08422129364013672,10,0.3271253280639649,10,0.5016466674804687,10
resolution_max_b1,4692,2,before,"{""resolution"": 24, ""sigma"": null}",test_probe,0.6945444641113281,0.6715369567871093,0.00389858551025396,10,0.014937033081054717,10,0.06338005218505863,10,0.26630920104980477,10,0.42105832519531255,10
resolution_max_b1,4692,2,after,"{""resolution"": 32, ""sigma"": null}",train_probe,4.3196259765625,0.9998417663574218,0.007810952758789069,10,0.03077146911621096,10,0.11575880584716805,10,0.4208749755859375,10,0.6213913665771484,10
resolution_max_b1,4692,2,after,"{""resolution"": 32, ""sigma"": null}",test_probe,4.249080078125,1.0862196044921875,0.007847337341308647,10,0.02914864349365238,10,0.1105557312011719,10,0.41245032043457047,10,0.6096738739013673,10
resolution_max_b1,4692,2,r=16,"{""resolution"": 16, ""sigma"": null}",train_probe,0.8875193481445313,0.7172816772460937,0.005029478454589875,10,0.020891868591308684,10,0.08579863586425782,10,0.3245383819580079,10,0.4936274017333986,10
resolution_max_b1,4692,2,r=16,"{""resolution"": 16, ""sigma"": null}",test_probe,1.0427979736328126,0.8629151611328125,0.005322944641113247,10,0.018694989013671857,10,0.0713332550048828,10,0.2860975509643554,10,0.44349703674316404,10
resolution_max_b1,4692,3,before,"{""resolution"": 24, ""sigma"": null}",train_probe,0.5234846038818359,0.513119384765625,0.005318534088134752,10,0.021119685363769514,10,0.07900548706054684,10,0.2931756195068359,10,0.4492810882568358,10
resolution_max_b1,4692,3,before,"{""resolution"": 24, ""sigma"": null}",test_probe,0.7369509582519531,0.7193437805175781,0.003623109436035221,10,0.01451459350585943,10,0.05780502166748053,10,0.23723144836425783,10,0.37607777404785164,10
resolution_max_b1,4692,3,after,"{""resolution"": 32, ""sigma"": null}",train_probe,3.7391563720703127,0.9738525390625,0.006197059631347646,10,0.02584343109130859,10,0.10349183349609377,10,0.3774967681884766,10,0.5540685333251953,10
resolution_max_b1,4692,3,after,"{""resolution"": 32, ""sigma"": null}",test_probe,3.7522493896484375,1.10557275390625,0.006551551818847523,10,0.026676329040527257,10,0.10483302001953114,10,0.37458921813964835,10,0.5464043182373046,10
resolution_max_b1,4692,3,r=16,"{""resolution"": 16, ""sigma"": null}",train_probe,0.8540349731445313,0.7659295043945312,0.005259913635253921,10,0.020133982849121122,10,0.07368817443847658,10,0.2793894439697266,10,0.43352582397460937,10
resolution_max_b1,4692,3,r=16,"{""resolution"": 16, ""sigma"": null}",test_probe,0.9986639404296875,0.9335975646972656,0.0039295547485351575,10,0.015763513183593748,10,0.06342116394042968,10,0.2536435546875,10,0.3910382141113281,10
resolution_max_b1,4692,4,before,"{""resolution"": 24, ""sigma"": null}",train_probe,0.5140712890625,0.5033207092285156,0.0053985023498535735,10,0.021477049255371174,10,0.08368355102539067,10,0.3115588699340821,10,0.47628346405029304,10
resolution_max_b1,4692,4,before,"{""resolution"": 24, ""sigma"": null}",test_probe,0.6981687316894531,0.6889906921386719,0.004766757202148364,10,0.017674302673339803,10,0.06534304656982416,10,0.2519237411499023,10,0.39637607421874993,10
resolution_max_b1,4692,4,after,"{""resolution"": 32, ""sigma"": null}",train_probe,2.93426513671875,1.1205453491210937,0.006396778869628949,10,0.024882456970214895,10,0.09579999389648435,10,0.3578698455810547,10,0.5318490020751954,10
resolution_max_b1,4692,4,after,"{""resolution"": 32, ""sigma"": null}",test_probe,2.98906982421875,1.2589154052734375,0.0074623168945312955,10,0.027906201171875034,10,0.09403789978027341,10,0.3268090789794922,10,0.48967663574218745,10
resolution_max_b1,4692,4,r=16,"{""resolution"": 16, ""sigma"": null}",train_probe,0.8962281188964843,0.8258057250976563,0.005581442260742175,10,0.019906413269042966,10,0.07624359436035154,10,0.2917025436401367,10,0.44637579956054696,10
resolution_max_b1,4692,4,r=16,"{""resolution"": 16, ""sigma"": null}",test_probe,0.996478759765625,0.9624988403320313,0.0031592437744140667,10,0.013576188659667966,10,0.059002873229980476,10,0.2506852081298828,10,0.3942630828857422,10
gaussian_postrelu,1173,0,before,"{""resolution"": null, ""sigma"": 1.0}",train_probe,1.13690380859375,1.11490087890625,0.006927856445312464,10,0.027374938964843797,10,0.10504710693359372,10,0.3674663879394531,10,0.5308517639160156,10
gaussian_postrelu,1173,0,before,"{""resolution"": null, ""sigma"": 1.0}",test_probe,1.1731246337890624,1.1559302978515624,0.005633242797851601,10,0.022991543579101624,10,0.09476474914550788,10,0.3481221191406251,10,0.504398861694336,10
gaussian_postrelu,1173,0,after,"{""resolution"": null, ""sigma"": 0.85}",train_probe,1.168889892578125,1.1194549560546876,0.00608747558593743,10,0.024392971801757722,10,0.09516452331542961,10,0.33485106811523435,10,0.4862435455322265,10
gaussian_postrelu,1173,0,after,"{""resolution"": null, ""sigma"": 0.85}",test_probe,1.188793701171875,1.149741943359375,0.005398327636718769,10,0.022252261352539125,10,0.09070640869140627,10,0.3266810791015625,10,0.4726109100341798,10
gaussian_postrelu,1173,0,final,"{""resolution"": null, ""sigma"": 0.0}",train_probe,4.967013427734375,1.9362769165039062,0.0026333953857422764,10,0.010465255737304724,10,0.038370217895507874,10,0.12888658142089846,10,0.1848656158447266,10
gaussian_postrelu,1173,0,final,"{""resolution"": null, ""sigma"": 0.0}",test_probe,4.86751806640625,1.9167481079101563,0.002880831909179693,10,0.011333605957031256,10,0.04219572143554682,10,0.13928198242187495,10,0.1973616088867188,10
