seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
0,0,0.020000000000000004,2.08813710243274,0.22065304487179488,59.6772825717926,836.4992145871512,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.9501282051282052,0.9501282051282052,0.9501282051282052,[0.9501282051282052],1.9934281616210938,0.2598,0.2598,0.1909,0.022069602908738155,0.01024077292627027,0.16037925327116714,1.642485983032953,0.03497512767430307,0.49978816509246826,0.0
0,1,0.04000000000000001,1.963908572991689,0.26564503205128204,54.599841594696045,914.2883668155064,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.9001282051282051,0.9001282051282051,0.9001282051282051,[0.9001282051282051],1.836454443359375,0.3034,0.3034,0.2426,,,,,,,
0,2,0.06,1.7699791856301137,0.3423878205128205,55.25941276550293,903.3755065736748,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.8501282051282051,0.8501282051282051,0.8501282051282051,[0.8501282051282051],1.7306888549804686,0.3867,0.3867,0.2453,,,,,,,
0,3,0.08000000000000002,1.628486178471492,0.3966145833333333,55.10735559463501,905.8681815038857,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.8001282051282051,0.8001282051282051,0.8001282051282051,[0.8001282051282051],1.71231982421875,0.3909,0.3909,0.1843,,,,,,,
0,4,0.1,1.5300254280750567,0.43615785256410255,55.34385967254639,901.9970832421556,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.7501282051282051,0.7501282051282051,0.7501282051282051,[0.7501282051282051],1.4547467163085936,0.4728,0.4728,0.2697,,,,,,,
0,5,0.09979974491999366,1.3860859497999534,0.49895833333333334,55.097392082214355,906.031993774064,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.7001282051282052,0.7001282051282052,0.7001282051282052,[0.7001282051282052],1.6145067626953125,0.4575,0.4575,0.3951,0.394343070280549,0.39051261607849425,2.257900972913429,8.577079365597776,0.1989145666607579,0.49668855526868033,0.0
0,6,0.099198532899931,1.2137877673674853,0.5665064102564102,54.825831174850464,910.51971179051,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.6501282051282051,0.6501282051282051,0.6501282051282051,[0.6501282051282051],1.149715283203125,0.5846,0.5846,0.4552,,,,,,,
0,7,0.09820120322122694,1.0961675202235197,0.6097355769230769,54.91818332672119,908.9885530811202,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.6001282051282051,0.6001282051282051,0.6001282051282051,[0.6001282051282051],1.0669685302734375,0.6241,0.6241,0.457,,,,,,,
0,8,0.09681578579603412,0.9986383730020278,0.6446714743589743,55.28389000892639,902.9755321476055,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.5501282051282051,0.5501282051282051,0.5501282051282051,[0.5501282051282051],1.1980425415039062,0.5775,0.5775,0.5349,,,,,,,
0,9,0.09505343519084788,0.8942962030569712,0.6838341346153847,55.078635931015015,906.3405285222366,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.5001282051282051,0.5001282051282051,0.5001282051282051,[0.5001282051282051],0.8367762756347656,0.7084,0.7084,0.6136,,,,,,,
