seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,test_loss_at_a0,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
0,0,0.09353230514177552,2.1508778303097458,0.19701522435897437,16.525429248809814,604.1597981921748,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],2.0715996826171876,0.2182,0.2182,0.182,2.159298681640625,0.036056964509062886,0.017361069432695567,0.15438595951271078,1.4191458481494392,0.0,0.500239000600927,0.0
0,1,0.05917131409512663,2.075015190320137,0.22355769230769232,9.94088363647461,1004.3372767554778,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],2.0211440307617186,0.2662,0.2662,0.2375,2.0939803955078125,,,,,,,
0,2,0.018266834147258576,2.024873603612949,0.24869791666666666,10.24963092803955,974.0838543451479,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],1.97241044921875,0.2854,0.2854,0.2325,2.106056982421875,,,,,,,
0,3,3.124802623627465e-06,1.9908732970555623,0.2675280448717949,10.638935327529907,938.439767949791,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],1.9570478881835938,0.2943,0.2943,0.2294,2.0920464599609376,,,,,,,
0,4,0.09380455756570981,1.9935945303012164,0.26231971153846156,11.090243577957153,900.2507410968042,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],1.9015766723632812,0.3154,0.3154,0.22,2.2077023193359375,,,,,,,
0,5,0.05917131409512663,1.897936327335162,0.297275641025641,10.865054845809937,918.9093052623004,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],1.8226230834960937,0.3382,0.3382,0.1907,2.368887841796875,0.10029473176641542,0.1026635123897637,0.4072414186245217,1.9114927462176419,0.07671829213713353,0.5021260135314044,0.0
0,6,0.018266834147258576,1.8064633455031958,0.3334334935897436,10.656620502471924,936.8823819600311,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],1.71921962890625,0.3571,0.3571,0.197,2.4448047119140623,,,,,,,
0,7,1.2498819918843608e-05,1.7223302981792352,0.3658854166666667,10.715420007705688,931.7413589780234,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],1.6758726318359376,0.3882,0.3882,0.2095,2.38449892578125,,,,,,,
0,8,0.09380455756570981,1.752272475988437,0.3464543269230769,10.75558590888977,928.2618431551892,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],1.7831572021484374,0.3378,0.3378,0.2677,1.935725390625,,,,,,,
0,9,0.05972024739849622,1.686550572896615,0.3798076923076923,10.789628744125366,925.3330431258807,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],1.6437063842773438,0.3987,0.3987,0.2841,1.9573579223632813,,,,,,,
0,10,0.01870079900469392,1.611828557955913,0.4117588141025641,10.777114152908325,926.4075575654643,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],1.5537152465820312,0.4301,0.4301,0.2982,1.9015234375,0.15998334377450815,0.18332055102559577,0.8286661699652424,4.023433304493596,0.14905207743321355,0.503582519643447,0.0
0,11,1.2498819918843608e-05,1.5505326650081537,0.42758413461538464,10.728225469589233,930.6292106090749,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2,0.7777777777777778,0.7777777777777778,0.7777777777777778,[0.7777777777777778],1.5118295166015625,0.4492,0.4492,0.3007,1.9086159790039063,,,,,,,
