method,seed,probe,policy,amplitude,mean_dHd,C_mean_finite,ratio_C_over_dHd
resolution_max_b1,2,train_probe,saved,0.05,70.74261779755514,81.69034118652341,1.1547542871582372
resolution_max_b1,2,train_probe,saved,0.1,70.74261779755514,91.35307067871094,1.291344221104977
resolution_max_b1,2,train_probe,saved,0.2,70.74261779755514,115.41837730407713,1.6315253930010203
resolution_max_b1,2,train_probe,saved,0.25,70.74261779755514,123.92439999999999,1.7517644081907697
resolution_max_b1,2,train_probe,saved,0.35,70.74261779755514,134.34418750996494,1.8990559254453807
resolution_max_b1,2,train_probe,saved,0.5,70.74261779755514,159.31893706054686,2.2520927556917876
resolution_max_b1,2,train_probe,centre_frozen,0.005,69.98927662750128,72.00753784179592,1.028836720588445
resolution_max_b1,2,train_probe,centre_frozen,0.01,69.98927662750128,76.62944793701165,1.0948741240011788
resolution_max_b1,2,train_probe,centre_frozen,0.02,69.98927662750128,79.57248497009275,1.1369239518447298
resolution_max_b1,2,train_probe,centre_frozen,0.025,69.98927662750128,80.07518432617185,1.1441064715149156
resolution_max_b1,2,train_probe,centre_frozen,0.05,69.98927662750128,82.71889068603514,1.1818794917153341
resolution_max_b1,2,train_probe,centre_frozen,0.1,69.98927662750128,92.52351898193356,1.3219670703894342
resolution_max_b1,2,train_probe,centre_frozen,0.2,69.98927662750128,116.27159408569332,1.6612772654376322
resolution_max_b1,2,train_probe,centre_frozen,0.25,69.98927662750128,124.51283701171874,1.7790273454947128
resolution_max_b1,2,train_probe,centre_frozen,0.35,69.98927662750128,134.29793297592477,1.91883584810697
resolution_max_b1,2,train_probe,centre_frozen,0.5,69.98927662750128,158.4200656982422,2.2634905421496145
