coords,policy,probe,quantity,method,comparison,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
ordinary,saved,train_probe,top1,plain,value,5,2381.8390985108904,147.27380073190085,0,5,0,2351.418102372386,2183.353983861659,2550.734700277317,2501.5944418576,2322.0942641854917
ordinary,saved,train_probe,top1,resolution_max_b1,value,5,1444.1996258641898,100.46545647123338,0,5,0,1531.3892123588812,1428.7541317805167,1316.2210703719672,1386.9559283728356,1557.677786436749
ordinary,saved,train_probe,top1,resolution_max_b1,difference vs plain,5,-937.6394726467006,221.8134821821868,5,0,0,-820.0288900135047,-754.5998520811422,-1234.51362990535,-1114.6385134847644,-764.4164777487426
ordinary,saved,train_probe,top1,resolution_max_b1,ratio to plain,5,0.609379904059962,0.06944288112903656,0,5,0,0.6512619813608802,0.6543850160538351,0.5160164521339153,0.5544287695742275,0.6708073011769516
ordinary,saved,train_probe,top1,gaussian_postrelu,value,5,1280.8276130639545,116.29812305032286,0,5,0,1301.963336996178,1317.2288347005824,1166.7391622189384,1171.7825097721775,1446.4242216318962
ordinary,saved,train_probe,top1,gaussian_postrelu,difference vs plain,5,-1101.0114854469361,245.47814090966668,5,0,0,-1049.454765376208,-866.1251491610765,-1383.9955380583788,-1329.8119320854225,-875.6700425535955
ordinary,saved,train_probe,top1,gaussian_postrelu,ratio to plain,5,0.5411443412150311,0.07583773336263551,0,5,0,0.55369282718484,0.6033052104408757,0.45741298069614605,0.46841426018761506,0.6228964275656788
ordinary,saved,train_probe,top1,resolution_max_b1_gaussian_conv,value,5,1148.2305659924818,55.59803940010157,0,5,0,1217.483530414775,1164.3456174446408,1148.072371423497,1062.7390716160278,1148.5122390634692
ordinary,saved,train_probe,top1,resolution_max_b1_gaussian_conv,difference vs plain,5,-1233.608532518409,180.48321372471298,5,0,0,-1133.9345719576108,-1019.0083664170181,-1402.66232885382,-1438.8553702415722,-1173.5820251220225
ordinary,saved,train_probe,top1,resolution_max_b1_gaussian_conv,ratio to plain,5,0.4841140089564668,0.045641409712717344,0,5,0,0.5177656534949846,0.5332830251305762,0.4500947790841118,0.42482468534223056,0.4946019017304306
ordinary,saved,train_probe,top2,plain,value,5,1955.0731115184067,211.4986678369689,0,5,0,1638.1400510139313,2037.5452791667692,2046.1623143110778,2189.7061245044506,1863.8117885958043
ordinary,saved,train_probe,top2,resolution_max_b1,value,5,1151.8014266268897,143.66875632248073,0,5,0,1083.8263678259525,1384.8040087330717,1085.790075293157,1017.4628195269646,1187.1238617553024
ordinary,saved,train_probe,top2,resolution_max_b1,difference vs plain,5,-803.2716848915169,255.6773262469061,5,0,0,-554.3136831879788,-652.7412704336975,-960.3722390179207,-1172.2433049774859,-676.6879268405019
ordinary,saved,train_probe,top2,resolution_max_b1,ratio to plain,5,0.5947002136152191,0.09285904825966658,0,5,0,0.6616200899032505,0.6796433055462558,0.53064708879595,0.4646572469888968,0.6369333368417427
ordinary,saved,train_probe,top2,gaussian_postrelu,value,5,1089.9371085290823,67.91270531472685,0,5,0,1136.5579031605553,1108.2335768353516,1066.8347658518062,983.7878719252953,1154.2714248724023
ordinary,saved,train_probe,top2,gaussian_postrelu,difference vs plain,5,-865.1360029893245,269.1060105335576,5,0,0,-501.582147853376,-929.3117023314176,-979.3275484592716,-1205.9182525791553,-709.5403637234019
ordinary,saved,train_probe,top2,gaussian_postrelu,ratio to plain,5,0.5655369626136519,0.09391304024301486,0,5,0,0.6938099721431508,0.5439062327432307,0.5213832540997603,0.44927849491581207,0.6193068591663058
ordinary,saved,train_probe,top2,resolution_max_b1_gaussian_conv,value,5,930.8076140992935,37.83608601462409,0,5,0,913.7452255017784,963.1839252045386,970.8502237842451,928.1427801505691,878.1159158553363
ordinary,saved,train_probe,top2,resolution_max_b1_gaussian_conv,difference vs plain,5,-1024.2654974191132,195.47100391640808,5,0,0,-724.3948255121529,-1074.3613539622306,-1075.3120905268327,-1261.5633443538813,-985.695872740468
ordinary,saved,train_probe,top2,resolution_max_b1_gaussian_conv,ratio to plain,5,0.4799984011513515,0.048386504533260134,0,5,0,0.5577943259101767,0.4727178016865577,0.4744737096338912,0.4238663671640485,0.4711398013620832
ordinary,saved,train_probe,min,plain,value,5,-5.507566203399955,1.8618403176875797,5,0,0,-3.1511903593165353,-4.545861000596373,-5.043661702109482,-7.502238119459047,-7.294879835518339
ordinary,saved,train_probe,min,resolution_max_b1,value,5,-4.0807767984259335,1.2609292414932887,5,0,0,-3.6407062708904414,-3.2545854466817086,-3.8999019712648315,-3.320482293656378,-6.288208009636309
ordinary,saved,train_probe,min,resolution_max_b1,difference vs plain,5,1.4267894049740217,1.6983105301042634,1,4,0,-0.48951591157390606,1.2912755539146645,1.1437597308446503,4.18175582580267,1.0066718258820302
ordinary,saved,train_probe,min,resolution_max_b1,ratio to plain,5,0.789823621479664,0.2574455765364966,0,5,0,1.1553431737713482,0.7159447783939584,0.7732283015004199,0.44259889392791,0.8620029598046832
ordinary,saved,train_probe,min,gaussian_postrelu,value,5,-3.607810435931218,0.5437971811236146,5,0,0,-2.9056741641199912,-3.4246210485166184,-3.3979744270189522,-4.0760593387811195,-4.23472320121941
ordinary,saved,train_probe,min,gaussian_postrelu,difference vs plain,5,1.899755767468737,1.3307557648847779,0,5,0,0.2455161951965441,1.1212399520797547,1.6456872750905296,3.426178780677928,3.060156634298929
ordinary,saved,train_probe,min,gaussian_postrelu,ratio to plain,5,0.6945935081029877,0.15128103070528923,0,5,0,0.9220877931189805,0.7533492660834419,0.6737118045799482,0.5433124454166254,0.580506231315942
ordinary,saved,train_probe,min,resolution_max_b1_gaussian_conv,value,5,-2.9838069179171822,0.6440323753363277,5,0,0,-2.2841058990864336,-3.1106707116567636,-3.783598311654325,-2.376358937092321,-3.3643007300960677
ordinary,saved,train_probe,min,resolution_max_b1_gaussian_conv,difference vs plain,5,2.523759285482773,1.8892228041912211,0,5,0,0.8670844602301018,1.4351902889396095,1.2600633904551568,5.1258791823667265,3.930579105422271
ordinary,saved,train_probe,min,resolution_max_b1_gaussian_conv,ratio to plain,5,0.5874468586016003,0.18970346911199554,0,5,0,0.7248390730612148,0.6842863675877185,0.7501689318440722,0.31675333403889205,0.4611865864761043
ordinary,saved,train_probe,grad_norm,plain,value,5,3.70640465139979,0.7669438518241471,0,5,0,2.6719993978198704,3.308771472070774,3.6422787494708513,4.42861092513591,4.480362712501544
ordinary,saved,train_probe,grad_norm,resolution_max_b1,value,5,2.932507302102271,0.44799067570359813,0,5,0,2.9854811433682364,2.6193126428168503,2.741919289983407,2.626899773531119,3.688923660811742
ordinary,saved,train_probe,grad_norm,resolution_max_b1,difference vs plain,5,-0.7738973492975191,0.7520346980733086,4,1,0,0.31348174554836605,-0.6894588292539239,-0.9003594594874444,-1.801711151604791,-0.7914390516898022
ordinary,saved,train_probe,grad_norm,resolution_max_b1,ratio to plain,5,0.8156541318910324,0.19045398502309585,0,5,0,1.117321038995795,0.791626942182734,0.7528032527388937,0.5931656264092565,0.823353799128483
ordinary,saved,train_probe,grad_norm,gaussian_postrelu,value,5,2.781401489091894,0.1971598281961338,0,5,0,2.5295194363653835,2.7244397477897757,2.704375186265533,2.9094602482879264,3.03921282675085
ordinary,saved,train_probe,grad_norm,gaussian_postrelu,difference vs plain,5,-0.9250031623078965,0.5805137203502156,5,0,0,-0.14247996145448694,-0.5843317242809984,-0.9379035632053183,-1.5191506768479837,-1.4411498857506944
ordinary,saved,train_probe,grad_norm,gaussian_postrelu,ratio to plain,5,0.7695762131135314,0.11832067141928353,0,5,0,0.946676649114989,0.8233991893325597,0.7424953915617862,0.6569690355443988,0.6783408000139235
ordinary,saved,train_probe,grad_norm,resolution_max_b1_gaussian_conv,value,5,2.233602430153277,0.2639668145202355,0,5,0,1.9479538769131557,2.19223569262443,2.5892952777629765,2.0342244521615593,2.404302851304263
ordinary,saved,train_probe,grad_norm,resolution_max_b1_gaussian_conv,difference vs plain,5,-1.472802221246513,0.7205982704518189,5,0,0,-0.7240455209067147,-1.1165357794463442,-1.0529834717078748,-2.3943864729743507,-2.0760598611972814
ordinary,saved,train_probe,grad_norm,resolution_max_b1_gaussian_conv,ratio to plain,5,0.6196891204883144,0.11696410908322222,0,5,0,0.7290248188313682,0.6625527665264935,0.7108998118661698,0.4593369086942608,0.5366312965232799
ordinary,saved,test_probe,top1,plain,value,5,3237.156236855745,323.8764278370193,0,5,0,2988.6282788438034,2846.146676067084,3510.2276433304805,3598.170676628489,3242.607909408869
