method,epoch,update,joint_change,state_label,state,seed,split,centre_ce_saved,centre_acc_saved,centre_ce_recalibrated,centre_acc_recalibrated,S_recalibrated_eps0.025,S_recalibrated_eps0.05,S_recalibrated_eps0.1,S_recalibrated_eps0.2,S_recalibrated_eps0.25,S_saved_eps0.1,S_saved_eps0.25
resolution_max_b1,6,2346,False,before,r=16,0,train_probe,0.83456396484375,0.694,0.8184943237304687,0.701,0.0032548767089844,0.013719895935058613,0.05575522766113287,0.2164990585327149,0.3319255004882814,0.1843996185302735,1.2479221649169923
resolution_max_b1,6,2346,False,before,r=16,0,test_probe,0.9431787109375,0.677,0.9242914123535156,0.67,0.003218031311035152,0.012444329833984368,0.047895822143554666,0.1842630386352539,0.28455463562011724,0.1769639587402343,1.221014614868164
resolution_max_b1,6,2346,False,before,r=16,1,train_probe,0.795326416015625,0.719,0.7794854431152344,0.732,0.004055348205566411,0.016201496887207047,0.06497377777099608,0.2574694625854492,0.3969604934692383,0.19958648223876946,1.3762397186279298
resolution_max_b1,6,2346,False,before,r=16,1,test_probe,0.9194975280761719,0.686,0.89855078125,0.692,0.003321180725097661,0.013811940002441426,0.05656734619140628,0.2236057800292969,0.3492454528808594,0.1747497009277343,1.2781924896240233
resolution_max_b1,6,2346,False,before,r=16,2,train_probe,0.7674596557617187,0.71,0.752070556640625,0.726,0.004812207031249916,0.018591094970703093,0.07091969604492179,0.26241816711425775,0.3955860565185547,0.17983880615234385,1.3146668212890624
resolution_max_b1,6,2346,False,before,r=16,2,test_probe,0.9331883544921875,0.671,0.8985945434570313,0.674,0.0036438400268554495,0.014087974548339821,0.05622118530273438,0.21897713623046872,0.3367572479248047,0.15728087921142578,1.212964047241211
resolution_max_b1,6,2346,False,before,r=16,3,train_probe,0.7944664611816407,0.711,0.7852612609863281,0.71,0.0052386306762695735,0.017975181579589872,0.06512098083496096,0.23858359069824217,0.36123146362304687,0.1788392333984375,1.244886505126953
resolution_max_b1,6,2346,False,before,r=16,3,test_probe,0.9377419738769531,0.665,0.9351083374023438,0.666,0.002752400207519501,0.012210636901855443,0.051283355712890576,0.1998956588745117,0.3046807067871093,0.15483543243408202,1.1438254730224606
resolution_max_b1,6,2346,False,before,r=16,4,train_probe,0.8358128356933594,0.697,0.8219534606933594,0.701,0.003666615295410125,0.015002545166015614,0.05871586608886716,0.23249991912841797,0.3571969635009765,0.15763392181396485,1.1112630950927733
resolution_max_b1,6,2346,False,before,r=16,4,test_probe,0.9866314086914062,0.653,0.9610070190429687,0.649,0.003027729797363343,0.012181240844726627,0.04877838134765631,0.1970774322509766,0.3071617126464844,0.13497247314453134,1.02324658203125
resolution_max_b1,6,2346,False,after,r=24,0,train_probe,1.0730078735351563,0.612,1.04701171875,0.606,0.0030589752197264673,0.013519410705566236,0.05535396118164053,0.21128043823242176,0.3198772033691405,0.2588893463134766,1.6743443054199219
resolution_max_b1,6,2346,False,after,r=24,0,test_probe,1.0931363525390625,0.612,1.0596719360351563,0.606,0.0034673965454101287,0.013958630371093683,0.054539135742187474,0.20324064331054678,0.30584695129394524,0.25786182250976564,1.6669266357421875
resolution_max_b1,6,2346,False,after,r=24,1,train_probe,1.1230718383789062,0.591,1.046666015625,0.627,0.0035099868774413736,0.014422540283203045,0.05929423065185542,0.23818052978515625,0.3674271575927734,0.27406571655273443,1.9055630279541016
