policy,split,amplitude,method,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4,mean_relative_to_plain
recalibrated,test_probe,0.1,resolution_max_b1,5,-0.009573359985351604,0.006292635688012369,5,0,0,-0.0008358871459961392,-0.015028817749023426,-0.014260950469970779,-0.012699559020996135,-0.00504158554077154,-0.08745603229226534
recalibrated,test_probe,0.1,gaussian_postrelu,5,0.11137903579711912,0.0408561365747598,0,5,0,0.07786244430541986,0.10656859283447268,0.0684131652832031,0.16581060867309572,0.1382403678894043,1.0680684674174787
recalibrated,test_probe,0.1,resolution_max_b1_gaussian_conv,5,-0.013439123077392617,0.015705576979627146,4,1,0,-0.022350523376464815,-0.028657019805908276,-0.022063683319091892,0.008633090209960947,-0.0027574790954590506,-0.1308732830512757
recalibrated,test_probe,0.2,resolution_max_b1,5,-0.04654395401000973,0.04324272352337433,4,1,0,0.008111615753173873,-0.10345113372802728,-0.07373335266113284,-0.038204055023193295,-0.02544284439086908,-0.09766387728179358
recalibrated,test_probe,0.2,gaussian_postrelu,5,0.3164838716125488,0.09073508261102614,0,5,0,0.2781323020935057,0.25931533050537126,0.23610140075683594,0.460382169342041,0.34848815536499034,0.7203294458758208
recalibrated,test_probe,0.2,resolution_max_b1_gaussian_conv,5,-0.06316860275268553,0.07240183661918931,4,1,0,-0.07248582000732412,-0.14231402587890624,-0.0988470680236817,0.05200013885498045,-0.05419623870849605,-0.13947121769183268
recalibrated,test_probe,0.25,resolution_max_b1,5,-0.07645219741821281,0.06533882111258746,5,0,0,-0.0009847610473633361,-0.1647456878662108,-0.12036696319580065,-0.05294516067504873,-0.04321841430664053,-0.10123402274750604
recalibrated,test_probe,0.25,gaussian_postrelu,5,0.3827144195556642,0.11728527250484223,0,5,0,0.3632738845825194,0.2875016174316407,0.2829813949584965,0.5694453155517579,0.4103698852539066,0.5474570357950662
recalibrated,test_probe,0.25,resolution_max_b1_gaussian_conv,5,-0.10474246444702143,0.10213627909773283,4,1,0,-0.1056813705444335,-0.22010376968383794,-0.15482272491455074,0.05612950210571299,-0.09923395919799793,-0.14369327316295816
recalibrated,test_probe,0.35,resolution_max_b1,5,-0.1327531591796875,0.09900577264416116,5,0,0,-0.024231700134277112,-0.2572688674926755,-0.2158356414794924,-0.09085367889404306,-0.07557590789794943,-0.09243191709101072
recalibrated,test_probe,0.35,gaussian_postrelu,5,0.39720744354248066,0.15715395487613582,0,5,0,0.4381000732421878,0.25521817779541034,0.2568863662719729,0.6365018020629885,0.39933079833984375,0.295045139649992
recalibrated,test_probe,0.35,resolution_max_b1_gaussian_conv,5,-0.1871573626708983,0.12837734063992803,4,1,0,-0.16613173522949154,-0.32395743865966775,-0.270316227722168,0.012469166564941458,-0.1878505783081057,-0.13331609260875116
recalibrated,test_probe,0.5,resolution_max_b1,5,-0.17780038177490248,0.10603143594003824,5,0,0,-0.04499221801757791,-0.29063825988769576,-0.2803050140380865,-0.15506841430664053,-0.11799800262451177,-0.0723521758520206
recalibrated,test_probe,0.5,gaussian_postrelu,5,0.20813206237792975,0.17642606008806502,0,5,0,0.3098912292480467,0.08624422912597662,0.027421310424804446,0.46097951660156333,0.1561240264892576,0.08951198831259657
recalibrated,test_probe,0.5,resolution_max_b1_gaussian_conv,5,-0.26400154296875017,0.12329304332589756,5,0,0,-0.21833676300048843,-0.34298994445800757,-0.42217611541748123,-0.10070511474609356,-0.23579977722168,-0.10840539859113267
centre_frozen,train_probe,0.005,resolution_max_b1,5,-0.0006256404495239246,0.00023600611657484532,5,0,0,-0.0005523979187011751,-0.0008149354934692196,-0.0009250114440918001,-0.0004712537765502872,-0.00036460361480714076,-0.3675385772363434
