method,seed,epoch,masked_weight_norm,mean_block_norm,fc_weight_norm,bn_gamma_norm
plain,0,3,36.19844276720997,1.3671418390265466,2.5857253442704904,25.567694666711454
plain,0,6,35.48901740958896,1.3416815279379322,3.520358982050614,24.948681495264324
plain,0,9,34.87816059506435,1.318809908947594,4.148724579059394,24.414006192758755
plain,0,12,34.38475279238141,1.2999241305438287,4.633109254036312,23.985975276922773
plain,0,18,33.73443322288824,1.2743886982299293,5.3506963474734075,23.456384763825593
plain,0,21,33.55387551787915,1.2671009676055354,5.5899950802184915,23.33167034032319
plain,0,30,33.40463728559258,1.2609832682993898,5.8108411914978815,23.24654080782704
plain,1,3,36.20588395586729,1.3673356461518869,2.6546489222645677,25.577415841725355
plain,1,6,35.49137311720923,1.3414703613049894,3.4966124034847064,24.95408209719514
plain,1,9,34.89329741782461,1.3190767877366683,4.142383750817615,24.42441183079643
plain,1,12,34.407905888612866,1.300477683281939,4.640402535787579,23.999703250412352
plain,1,18,33.76109688853042,1.27505421138369,5.352097497514729,23.47119810808851
plain,1,21,33.581600062515875,1.2678050236920981,5.593166954369226,23.346599006835266
plain,1,30,33.43174916807258,1.2616708795670766,5.811637459108847,23.26099949688035
plain,2,3,36.41016389157506,1.3752173745033767,2.753464404328799,25.586303114952134
plain,2,6,35.69091648087407,1.349156803101266,3.6446347848307457,24.973211179100417
plain,2,9,35.084537678397226,1.3263653881179098,4.274987206106556,24.445959671513833
plain,2,12,34.59804417115948,1.3076480487976099,4.779156484646156,24.026524498252638
plain,2,18,33.958334134333825,1.2823616969577578,5.505291168802206,23.50569962018535
plain,2,21,33.77944998939133,1.275093716683716,5.747360105559968,23.383562039348284
plain,2,30,33.6302027364812,1.268938929529519,5.968494072015269,23.30030377840793
plain,3,3,36.26305086880068,1.3694494802848358,2.6452416216889243,25.573351244433997
plain,3,6,35.54123098931586,1.3433426359599743,3.4861307023107027,24.94551183223654
plain,3,9,34.93321762334346,1.3206031103152651,4.099595050957595,24.411429438441107
plain,3,12,34.445629661618305,1.301984863254075,4.576015849526296,23.982486693768347
plain,3,18,33.80666850968559,1.276928656748653,5.305841418858024,23.456589407550346
plain,3,21,33.62854537336273,1.269740651338374,5.552290018610707,23.333103033000928
plain,3,30,33.47961265411852,1.2636412089981806,5.77740019499795,23.24922719839709
plain,4,3,36.33253722291887,1.3722800188775055,2.6838810082328832,25.581510668296495
plain,4,6,35.62127692379505,1.346539747477281,3.576354567514063,24.96482135329758
plain,4,9,35.0188211125629,1.3239415008251851,4.202144412327726,24.434630427622622
plain,4,12,34.532694860429345,1.3053054816873126,4.699073347618529,24.01155411309219
