method,seed,policy,split,direction,amplitude,L_centre,dL_plus,dL_minus,S,C_d
plain,0,saved,train_probe,19,0.25,0.2235287322998047,4.5871761016845705,4.329296463012695,4.458236282348633,142.66356103515625
plain,0,saved,train_probe,0,0.35,0.2235287322998047,7.62926106262207,7.894774734497071,7.76201789855957,126.72682283362565
plain,0,saved,train_probe,1,0.35,0.2235287322998047,12.500870681762695,12.422550369262694,12.461710525512695,203.4564983757175
plain,0,saved,train_probe,2,0.35,0.2235287322998047,8.580276443481445,3.354337966918945,5.9673072052001945,97.42542375837054
plain,0,saved,train_probe,3,0.35,0.2235287322998047,28.665320877075196,9.917461013793945,19.29139094543457,314.96148482342164
plain,0,saved,train_probe,4,0.35,0.2235287322998047,8.128922927856445,4.6209158477783205,6.374919387817383,104.08031653579403
plain,0,saved,train_probe,5,0.35,0.2235287322998047,10.956024978637695,8.574442947387695,9.765233963012694,159.43239123286034
plain,0,saved,train_probe,6,0.35,0.2235287322998047,7.080015213012695,14.781536209106445,10.930775711059571,178.4616442621971
plain,0,saved,train_probe,7,0.35,0.2235287322998047,7.5232505645751955,5.87584797668457,6.699549270629882,109.38039625518176
plain,0,saved,train_probe,8,0.35,0.2235287322998047,13.054916580200196,9.687994705200195,11.371455642700194,185.65641865632972
plain,0,saved,train_probe,9,0.35,0.2235287322998047,9.469650955200196,5.60548420715332,7.5375675811767575,123.06232785594707
plain,0,saved,train_probe,10,0.35,0.2235287322998047,9.156110427856445,7.526653396606445,8.341381912231444,136.18582713847258
plain,0,saved,train_probe,11,0.35,0.2235287322998047,7.728955154418945,11.875342849731446,9.802149002075195,160.03508574816647
plain,0,saved,train_probe,12,0.35,0.2235287322998047,6.24249104309082,9.715526931762696,7.979008987426758,130.26953448860013
plain,0,saved,train_probe,13,0.35,0.2235287322998047,10.359021072387696,9.371295974731446,9.865158523559572,161.06381262954406
plain,0,saved,train_probe,14,0.35,0.2235287322998047,13.838237380981445,10.498741775512695,12.168489578247069,198.6692176040338
plain,0,saved,train_probe,15,0.35,0.2235287322998047,7.920512771606445,15.542655349731445,11.731584060668945,191.53606629663585
plain,0,saved,train_probe,16,0.35,0.2235287322998047,10.348848709106445,14.196981521606446,12.272915115356446,200.37412433235016
plain,0,saved,train_probe,17,0.35,0.2235287322998047,11.198114334106446,11.569296463012694,11.38370539855957,185.85641467036035
plain,0,saved,train_probe,18,0.35,0.2235287322998047,8.506020584106444,26.385806228637694,17.44591340637207,284.8312392877073
plain,0,saved,train_probe,19,0.35,0.2235287322998047,9.384218338012696,7.17567951965332,8.279948928833008,135.18283965441648
plain,0,saved,train_probe,0,0.5,0.2235287322998047,14.186853103637695,14.286695877075195,14.236774490356446,113.89419592285157
plain,0,saved,train_probe,1,0.5,0.2235287322998047,27.771596267700197,22.115322830200196,24.943459548950194,199.54767639160156
plain,0,saved,train_probe,2,0.5,0.2235287322998047,17.834122634887695,5.7346719512939455,11.78439729309082,94.27517834472656
plain,0,saved,train_probe,3,0.5,0.2235287322998047,62.626041580200194,20.079840408325197,41.352940994262696,330.82352795410156
plain,0,saved,train_probe,4,0.5,0.2235287322998047,14.911074783325196,13.557201736450196,14.234138259887697,113.87310607910158
plain,0,saved,train_probe,5,0.5,0.2235287322998047,23.066880447387696,20.647057205200195,21.856968826293944,174.85575061035155
plain,0,saved,train_probe,6,0.5,0.2235287322998047,12.267786209106445,25.316913650512696,18.79234992980957,150.33879943847657
plain,0,saved,train_probe,7,0.5,0.2235287322998047,20.485139236450195,17.175036697387696,18.830087966918946,150.64070373535156
plain,0,saved,train_probe,8,0.5,0.2235287322998047,21.643274978637695,18.298949783325195,19.971112380981445,159.76889904785156
plain,0,saved,train_probe,9,0.5,0.2235287322998047,20.328272048950197,18.119580642700196,19.2239263458252,153.7914107666016
plain,0,saved,train_probe,10,0.5,0.2235287322998047,21.884208572387696,14.075481033325195,17.979844802856444,143.83875842285155
plain,0,saved,train_probe,11,0.5,0.2235287322998047,16.526526931762696,30.320110916137697,23.423318923950198,187.38655139160159
plain,0,saved,train_probe,12,0.5,0.2235287322998047,14.386592361450194,22.708239822387696,18.547416091918947,148.37932873535158
plain,0,saved,train_probe,13,0.5,0.2235287322998047,21.772943923950194,28.457003494262697,25.114973709106444,200.91978967285155
plain,0,saved,train_probe,14,0.5,0.2235287322998047,22.977265213012696,27.905921463012696,25.441593338012694,203.53274670410156
plain,0,saved,train_probe,15,0.5,0.2235287322998047,19.501709548950195,32.6425532989502,26.072131423950196,208.57705139160157
plain,0,saved,train_probe,16,0.5,0.2235287322998047,23.604542556762695,19.604892166137695,21.604717361450195,172.83773889160156
plain,0,saved,train_probe,17,0.5,0.2235287322998047,27.790153884887694,25.561407791137697,26.675780838012695,213.40624670410156
plain,0,saved,train_probe,18,0.5,0.2235287322998047,16.489447830200195,56.69689900207519,36.593173416137695,292.74538732910156
plain,0,saved,train_probe,19,0.5,0.2235287322998047,19.492039627075194,12.312433181762696,15.902236404418943,127.21789123535154
plain,0,saved,test_probe,0,0.005,0.7621461791992188,0.0003393249511718377,0.000949859619140625,0.0006445922851562313,51.56738281249851
plain,0,saved,test_probe,1,0.005,0.7621461791992188,0.003034240722656234,-0.00023239135742192385,0.0014009246826172106,112.07397460937685
plain,0,saved,test_probe,2,0.005,0.7621461791992188,-0.0008927612304687749,0.0020895690917968057,0.0005984039306640154,47.872314453121234
plain,0,saved,test_probe,3,0.005,0.7621461791992188,-0.002388549804687501,0.004619903564453076,0.0011156768798827876,89.25415039062301
plain,0,saved,test_probe,4,0.005,0.7621461791992188,-0.0006979370117188299,0.0015437011718749671,0.0004228820800780131,33.83056640624105
plain,0,saved,test_probe,5,0.005,0.7621461791992188,-2.4078369140645428e-05,0.0015184326171874263,0.0007471771240233904,59.774169921871234
plain,0,saved,test_probe,6,0.005,0.7621461791992188,0.008008026123046852,-0.0048163452148437536,0.0015958404541015492,127.66723632812393
plain,0,saved,test_probe,7,0.005,0.7621461791992188,0.002089172363281211,-0.0001512451171875595,0.0009689636230467702,77.51708984374162
plain,0,saved,test_probe,8,0.005,0.7621461791992188,0.0003367919921875018,0.0018932495117187642,0.001115020751953133,89.20166015625064
plain,0,saved,test_probe,9,0.005,0.7621461791992188,-0.0009693298339844558,0.0028905944824217933,0.0009606323242186132,76.85058593748906
plain,0,saved,test_probe,10,0.005,0.7621461791992188,-0.002228942871093764,0.0034822082519531117,0.0006266326904296182,50.13061523436946
plain,0,saved,test_probe,11,0.005,0.7621461791992188,-0.0011081237792969212,0.0031872863769530912,0.001039581298828085,83.1665039062468
plain,0,saved,test_probe,12,0.005,0.7621461791992188,0.0025295104980468386,-0.00021026611328123224,0.0011596221923828587,92.7697753906287
plain,0,saved,test_probe,13,0.005,0.7621461791992188,0.0030221862792968457,-0.0018736877441406508,0.0005742492675780975,45.9399414062478
plain,0,saved,test_probe,14,0.005,0.7621461791992188,0.004370697021484293,-0.0014397888183593777,0.0014654541015624023,117.23632812499218
plain,0,saved,test_probe,15,0.005,0.7621461791992188,0.00513510131835937,-0.0025344543457032076,0.0013003234863280255,104.02587890624204
plain,0,saved,test_probe,16,0.005,0.7621461791992188,0.0024237060546874467,-0.0005893249511719212,0.0009171905517577628,73.37524414062102
plain,0,saved,test_probe,17,0.005,0.7621461791992188,0.002712677001953101,0.0005005493164061958,0.0016066131591796484,128.52905273437187
plain,0,saved,test_probe,18,0.005,0.7621461791992188,0.0013390502929686576,0.0014550476074218777,0.0013970489501953232,111.76391601562585
