seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,test_loss,test_acc,test_acc_at_s1,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total
0,0,0.020000000000000004,1.9643278195307805,0.26933092948717946,55.53049993515015,898.9654344603016,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.7420048828125,0.3594,0.3594,0.04234431201263614,0.006896005406275554,0.2968000947787684,2.9325769672070705
0,1,0.04000000000000001,1.5720307811712608,0.4110977564102564,54.068923473358154,923.2660240516442,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.4506920288085938,0.4554,0.4554,,,,
0,2,0.06,1.1915163957155668,0.5679487179487179,52.85831069946289,944.4115663065875,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.247291162109375,0.5694,0.5694,,,,
0,3,0.08000000000000002,0.9593432589983328,0.6582532051282052,53.49946618080139,933.0934224894022,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.1685323974609374,0.5951,0.5951,,,,
0,4,0.1,0.819789138971231,0.7092748397435897,53.238686323165894,937.6640080294051,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.1422434204101561,0.6575,0.6575,,,,
0,5,0.09995636609927228,0.6949940817478376,0.7578926282051283,53.53109431266785,932.5421167074236,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.9192568664550781,0.7038,0.7038,0.6212463868607816,0.1706216163709052,2.4460618314378797,8.5085054340799
0,6,0.09982509204551433,0.6038031154718154,0.7903846153846154,53.36016345024109,935.5293682065071,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.6202440307617187,0.7883,0.7883,,,,
0,7,0.09960640784962854,0.552214281910505,0.8097956730769231,53.20940136909485,938.1800718584028,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.5933715942382812,0.7998,0.7998,,,,
0,8,0.09930069715800383,0.5171957093935746,0.8233373397435897,53.101022481918335,940.0948920898553,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.7067357238769532,0.7696,0.7696,,,,
0,9,0.09890849629107451,0.483696742164783,0.8346354166666666,53.03347396850586,941.2922870118822,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.6770637756347656,0.7754,0.7754,,,,
0,10,0.09843049330243195,0.465728250451577,0.840645032051282,52.95896553993225,942.6165993057247,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.7474453002929687,0.7676,0.7676,0.8853506988309618,0.23092437278557038,2.2522781799720977,7.491877170908949
0,11,0.0978675267717447,0.4476651899325542,0.8451722756410256,53.05859446525574,940.8466338604017,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.6135140319824218,0.8017,0.8017,,,,
0,12,0.09722058433360492,0.4227554534490292,0.8561498397435897,53.20492482185364,938.2590082994653,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.5623063781738281,0.8129,0.8129,,,,
0,13,0.09649080094488163,0.4107490414610276,0.8581730769230769,53.28702521324158,936.8134137762885,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4994227783203125,0.8293,0.8293,,,,
0,14,0.09567945689362072,0.3963675236472717,0.864863782051282,53.27570414543152,937.0124862869734,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.7547655334472656,0.7662,0.7662,,,,
0,15,0.09478797555298463,0.38823612110737044,0.8677884615384616,53.03690791130066,941.2313418324952,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.6168813110351562,0.8087,0.8087,0.9450830754741697,0.2669476925430298,2.838796161510703,9.273465889041256
0,16,0.09381792088417225,0.38004899934316294,0.8715344551282052,52.89413571357727,943.771919638081,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4802938812255859,0.8401,0.8401,,,,
0,17,0.09277099469269945,0.3715315270118224,0.8709535256410257,52.83785438537598,944.7771977246761,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.6305080932617187,0.7968,0.7968,,,,
0,18,0.09164903364285402,0.36070032796034446,0.8756410256410256,52.857569456100464,944.4248101770894,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.5716745880126953,0.8135,0.8135,,,,
0,19,0.09045400603556229,0.35224274079769086,0.8784254807692308,53.06556820869446,940.7229901633452,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4671494110107422,0.8432,0.8432,,,,
0,20,0.08918800835532056,0.342050371834865,0.8827323717948717,53.15993642807007,939.0530417120799,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.7848198486328125,0.7663,0.7663,1.0465727350623948,0.24216350675212783,3.203373198263091,10.572003082054295
0,21,0.08785326159224889,0.3401127829383581,0.8834735576923077,53.15772843360901,939.0920468384433,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.5457051879882813,0.8348,0.8348,,,,
0,22,0.08645210734571969,0.3321078922504034,0.8858173076923077,53.21837544441223,938.0218690091835,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.6398410766601562,0.7973,0.7973,,,,
0,23,0.08498700371639678,0.32336165171403153,0.8890625,53.124329566955566,939.682446948964,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.43919840698242185,0.8533,0.8533,,,,
0,24,0.08346052099389158,0.32108707015330973,0.8891826923076923,52.91725540161133,943.3595832046864,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4826237518310547,0.8427,0.8427,,,,
0,25,0.08187533714760165,0.31522053896616664,0.8916266025641025,52.78922653198242,945.6474981643443,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4258845886230469,0.8569,0.8569,1.0985849757315125,0.28474945261611273,0.8942042636428458,2.8547725905592474
0,26,0.08023423312864249,0.3099969763022203,0.8933693910256411,52.74530482292175,946.4349512737302,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4364093292236328,0.8581,0.8581,,,,
0,27,0.07854008799111423,0.30351740293777907,0.8956931089743589,52.96545433998108,942.5011193063209,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4365769989013672,0.8599,0.8599,,,,
0,28,0.0767958738412625,0.29632417261600497,0.8982972756410257,53.083112955093384,940.4120674352826,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.5392126281738281,0.8334,0.8334,,,,
0,29,0.07500465062339406,0.28608719456272247,0.903485576923077,53.163370847702026,938.9923777219965,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4367906036376953,0.8602,0.8602,,,,
0,30,0.07316956075169483,0.28334401280452043,0.9026442307692307,53.221466064453125,937.9673972067036,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.4635323516845703,0.8576,0.8576,1.1313088858558336,0.25985249772380065,1.2278248076500384,3.9509268725587026
0,31,0.0712938235973675,0.27426939472938194,0.9062299679487179,53.19166040420532,938.4929821828487,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.532425717163086,0.8364,0.8364,,,,
0,32,0.06938072984076048,0.2716860293195798,0.9079527243589743,53.06719756126404,940.6941066064263,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.35921354370117187,0.8804,0.8804,,,,
0,33,0.06743363569839651,0.26081226997268503,0.9113581730769231,52.88105273246765,944.0054125350338,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.42776722717285154,0.8641,0.8641,,,,
0,34,0.06545595703502836,0.25729833222352544,0.9125801282051282,52.73007369041443,946.7083299197957,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.48330692749023435,0.8476,0.8476,,,,
0,35,0.06345116337105126,0.2469471321083032,0.9162660256410257,52.7952401638031,945.5397843653642,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.355429931640625,0.8824,0.8824,1.1843465117003498,0.2704684048720937,0.6814107138741522,2.158996320446832
