method,seed,checkpoint,update,reason,state_label,resolution,sigma_G,policy,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,update_001223.pt,1223,transition_window,final,32,0.0,recalibrated,1.6522689208984376,0.431,1.6663790893554689,0.388
resolution_max_b1_gaussian_conv,3,update_001223.pt,1223,transition_window,current,16,0.85,saved,0.9590989685058594,0.646,1.044353515625,0.606
resolution_max_b1_gaussian_conv,3,update_001223.pt,1223,transition_window,current,16,0.85,recalibrated,0.9484978637695313,0.644,1.0232757568359374,0.619
resolution_max_b1_gaussian_conv,3,epoch_004.pt,1564,epoch_end,final,32,0.0,saved,3.516589111328125,0.209,3.4981297607421875,0.195
resolution_max_b1_gaussian_conv,3,epoch_004.pt,1564,epoch_end,final,32,0.0,recalibrated,1.5675908203125,0.454,1.6030494384765626,0.417
resolution_max_b1_gaussian_conv,3,epoch_004.pt,1564,epoch_end,current,16,0.85,saved,0.8825809631347656,0.668,1.0161829223632812,0.639
resolution_max_b1_gaussian_conv,3,epoch_004.pt,1564,epoch_end,current,16,0.85,recalibrated,0.8346448059082031,0.684,0.9541453247070313,0.65
resolution_max_b1_gaussian_conv,3,epoch_005.pt,1955,epoch_end,final,32,0.0,saved,3.987739990234375,0.215,3.97909521484375,0.195
resolution_max_b1_gaussian_conv,3,epoch_005.pt,1955,epoch_end,final,32,0.0,recalibrated,1.5870679931640626,0.422,1.5992915649414063,0.431
resolution_max_b1_gaussian_conv,3,epoch_005.pt,1955,epoch_end,current,16,0.85,saved,0.7939097290039062,0.725,0.9087994079589844,0.684
resolution_max_b1_gaussian_conv,3,epoch_005.pt,1955,epoch_end,current,16,0.85,recalibrated,0.7548945007324219,0.736,0.8810160827636718,0.695
resolution_max_b1_gaussian_conv,3,update_002296.pt,2296,transition_window,final,32,0.0,saved,3.580580810546875,0.205,3.5859542236328124,0.204
resolution_max_b1_gaussian_conv,3,update_002296.pt,2296,transition_window,final,32,0.0,recalibrated,1.5771903076171876,0.414,1.6133097534179688,0.4
resolution_max_b1_gaussian_conv,3,update_002296.pt,2296,transition_window,current,16,0.85,saved,0.6970386352539063,0.76,0.836545654296875,0.702
resolution_max_b1_gaussian_conv,3,update_002296.pt,2296,transition_window,current,16,0.85,recalibrated,0.6799283752441406,0.761,0.8173957214355468,0.71
resolution_max_b1_gaussian_conv,3,update_002336.pt,2336,transition_window,final,32,0.0,saved,3.832288330078125,0.219,3.841565673828125,0.213
resolution_max_b1_gaussian_conv,3,update_002336.pt,2336,transition_window,final,32,0.0,recalibrated,1.5794099731445312,0.424,1.61381591796875,0.389
resolution_max_b1_gaussian_conv,3,update_002336.pt,2336,transition_window,current,16,0.85,saved,0.6933576049804687,0.761,0.829888916015625,0.71
resolution_max_b1_gaussian_conv,3,update_002336.pt,2336,transition_window,current,16,0.85,recalibrated,0.687437744140625,0.768,0.8182007446289062,0.716
resolution_max_b1_gaussian_conv,3,update_002345.pt,2345,transition_window,final,32,0.0,saved,3.49429443359375,0.211,3.49676611328125,0.207
resolution_max_b1_gaussian_conv,3,update_002345.pt,2345,transition_window,final,32,0.0,recalibrated,1.5899801635742188,0.434,1.617066162109375,0.411
resolution_max_b1_gaussian_conv,3,update_002345.pt,2345,transition_window,current,16,0.85,saved,0.7177464599609376,0.75,0.8238067321777344,0.705
resolution_max_b1_gaussian_conv,3,update_002345.pt,2345,transition_window,current,16,0.85,recalibrated,0.710978759765625,0.752,0.8178199768066406,0.7
resolution_max_b1_gaussian_conv,3,epoch_006.pt,2346,epoch_end,final,32,0.0,saved,3.5098621826171876,0.213,3.5115869140625,0.208
resolution_max_b1_gaussian_conv,3,epoch_006.pt,2346,epoch_end,final,32,0.0,recalibrated,1.5824459228515626,0.426,1.6048214111328125,0.411
resolution_max_b1_gaussian_conv,3,epoch_006.pt,2346,epoch_end,current,16,0.85,saved,0.7096893005371093,0.747,0.8138185424804687,0.715
resolution_max_b1_gaussian_conv,3,epoch_006.pt,2346,epoch_end,current,16,0.85,recalibrated,0.6992846984863281,0.748,0.8054020080566406,0.72
resolution_max_b1_gaussian_conv,3,update_002347.pt,2347,transition_window,final,32,0.0,saved,3.479402099609375,0.22,3.4728265380859376,0.211
resolution_max_b1_gaussian_conv,3,update_002347.pt,2347,transition_window,final,32,0.0,recalibrated,1.5815242919921875,0.423,1.6040654907226561,0.404
resolution_max_b1_gaussian_conv,3,update_002347.pt,2347,transition_window,current,24,0.7,saved,0.9652619323730469,0.637,0.9974237670898437,0.639
resolution_max_b1_gaussian_conv,3,update_002347.pt,2347,transition_window,current,24,0.7,recalibrated,0.9208657531738281,0.66,0.9537730102539063,0.656
resolution_max_b1_gaussian_conv,3,update_002356.pt,2356,transition_window,final,32,0.0,saved,4.262090087890625,0.172,4.240251220703125,0.178
resolution_max_b1_gaussian_conv,3,update_002356.pt,2356,transition_window,final,32,0.0,recalibrated,1.5903858032226563,0.439,1.6179974975585938,0.41
resolution_max_b1_gaussian_conv,3,update_002356.pt,2356,transition_window,current,24,0.7,saved,0.8912059631347656,0.679,0.945932373046875,0.669
resolution_max_b1_gaussian_conv,3,update_002356.pt,2356,transition_window,current,24,0.7,recalibrated,0.88503662109375,0.666,0.9358976440429687,0.671
resolution_max_b1_gaussian_conv,3,update_002396.pt,2396,transition_window,final,32,0.0,saved,3.2567955322265627,0.194,3.2713751220703124,0.185
resolution_max_b1_gaussian_conv,3,update_002396.pt,2396,transition_window,final,32,0.0,recalibrated,1.6217525024414063,0.407,1.6513627319335937,0.386
resolution_max_b1_gaussian_conv,3,update_002396.pt,2396,transition_window,current,24,0.7,saved,0.8767704162597656,0.695,0.9164573669433593,0.663
resolution_max_b1_gaussian_conv,3,update_002396.pt,2396,transition_window,current,24,0.7,recalibrated,0.85566943359375,0.69,0.8931700744628907,0.67
resolution_max_b1_gaussian_conv,3,epoch_007.pt,2737,epoch_end,final,32,0.0,saved,3.4095382080078127,0.25,3.38480224609375,0.238
resolution_max_b1_gaussian_conv,3,epoch_007.pt,2737,epoch_end,final,32,0.0,recalibrated,1.5974267578125,0.447,1.63530078125,0.433
resolution_max_b1_gaussian_conv,3,epoch_007.pt,2737,epoch_end,current,24,0.7,saved,0.7767168273925781,0.722,0.8558388366699219,0.707
resolution_max_b1_gaussian_conv,3,epoch_007.pt,2737,epoch_end,current,24,0.7,recalibrated,0.73284619140625,0.739,0.8201747436523438,0.713
resolution_max_b1_gaussian_conv,3,epoch_008.pt,3128,epoch_end,final,32,0.0,saved,3.494291259765625,0.248,3.4636776123046875,0.248
resolution_max_b1_gaussian_conv,3,epoch_008.pt,3128,epoch_end,final,32,0.0,recalibrated,1.6117471313476563,0.429,1.6438718872070313,0.427
resolution_max_b1_gaussian_conv,3,epoch_008.pt,3128,epoch_end,current,24,0.7,saved,0.7220611572265625,0.738,0.807605224609375,0.727
resolution_max_b1_gaussian_conv,3,epoch_008.pt,3128,epoch_end,current,24,0.7,recalibrated,0.6721896362304688,0.766,0.7603522338867188,0.738
resolution_max_b1_gaussian_conv,3,update_003469.pt,3469,transition_window,final,32,0.0,saved,3.73286669921875,0.274,3.7452774658203123,0.259
resolution_max_b1_gaussian_conv,3,update_003469.pt,3469,transition_window,final,32,0.0,recalibrated,1.5704663696289063,0.452,1.6125220947265626,0.417
resolution_max_b1_gaussian_conv,3,update_003469.pt,3469,transition_window,current,24,0.7,saved,0.6392762756347656,0.772,0.7418193664550782,0.752
resolution_max_b1_gaussian_conv,3,update_003469.pt,3469,transition_window,current,24,0.7,recalibrated,0.6278331298828125,0.786,0.7321846313476562,0.747
resolution_max_b1_gaussian_conv,3,update_003509.pt,3509,transition_window,final,32,0.0,saved,4.4164697265625,0.185,4.41633837890625,0.177
resolution_max_b1_gaussian_conv,3,update_003509.pt,3509,transition_window,final,32,0.0,recalibrated,1.55338916015625,0.487,1.6081427001953126,0.437
resolution_max_b1_gaussian_conv,3,update_003509.pt,3509,transition_window,current,24,0.7,saved,0.6285725708007812,0.79,0.7497862854003906,0.752
resolution_max_b1_gaussian_conv,3,update_003509.pt,3509,transition_window,current,24,0.7,recalibrated,0.5957124633789063,0.797,0.7073630676269531,0.758
resolution_max_b1_gaussian_conv,3,update_003518.pt,3518,transition_window,final,32,0.0,saved,3.99489599609375,0.21,3.993283935546875,0.209
resolution_max_b1_gaussian_conv,3,update_003518.pt,3518,transition_window,final,32,0.0,recalibrated,1.592552978515625,0.446,1.6381027221679687,0.428
resolution_max_b1_gaussian_conv,3,update_003518.pt,3518,transition_window,current,24,0.7,saved,0.6446908569335937,0.771,0.7397606811523437,0.749
resolution_max_b1_gaussian_conv,3,update_003518.pt,3518,transition_window,current,24,0.7,recalibrated,0.6397568969726563,0.772,0.7332473449707031,0.748
resolution_max_b1_gaussian_conv,3,epoch_009.pt,3519,epoch_end,final,32,0.0,saved,3.67368310546875,0.216,3.6840546875,0.209
resolution_max_b1_gaussian_conv,3,epoch_009.pt,3519,epoch_end,final,32,0.0,recalibrated,1.5876288452148437,0.452,1.63521435546875,0.431
resolution_max_b1_gaussian_conv,3,epoch_009.pt,3519,epoch_end,current,24,0.7,saved,0.6610306091308594,0.768,0.7596583557128906,0.741
resolution_max_b1_gaussian_conv,3,epoch_009.pt,3519,epoch_end,current,24,0.7,recalibrated,0.6412930908203125,0.776,0.7345807800292968,0.75
resolution_max_b1_gaussian_conv,3,update_003520.pt,3520,transition_window,final,32,0.0,saved,3.1714136962890627,0.212,3.1908638916015626,0.204
resolution_max_b1_gaussian_conv,3,update_003520.pt,3520,transition_window,final,32,0.0,recalibrated,1.5813125,0.455,1.6301685791015625,0.428
resolution_max_b1_gaussian_conv,3,update_003520.pt,3520,transition_window,current,24,0.6,saved,0.7662722473144531,0.72,0.8525982666015625,0.698
resolution_max_b1_gaussian_conv,3,update_003520.pt,3520,transition_window,current,24,0.6,recalibrated,0.6780609741210938,0.772,0.7585902709960938,0.739
resolution_max_b1_gaussian_conv,3,update_003529.pt,3529,transition_window,final,32,0.0,saved,2.943045654296875,0.221,2.9891422119140625,0.212
resolution_max_b1_gaussian_conv,3,update_003529.pt,3529,transition_window,final,32,0.0,recalibrated,1.5309761352539062,0.48,1.5840989379882813,0.436
resolution_max_b1_gaussian_conv,3,update_003529.pt,3529,transition_window,current,24,0.6,saved,0.6795140686035156,0.769,0.7573692321777343,0.74
resolution_max_b1_gaussian_conv,3,update_003529.pt,3529,transition_window,current,24,0.6,recalibrated,0.66877587890625,0.775,0.7468051147460938,0.744
resolution_max_b1_gaussian_conv,3,update_003569.pt,3569,transition_window,final,32,0.0,saved,3.3211878662109373,0.218,3.36391845703125,0.211
resolution_max_b1_gaussian_conv,3,update_003569.pt,3569,transition_window,final,32,0.0,recalibrated,1.381677001953125,0.542,1.4353939819335937,0.494
resolution_max_b1_gaussian_conv,3,update_003569.pt,3569,transition_window,current,24,0.6,saved,0.6124378051757813,0.787,0.7008555297851562,0.756
resolution_max_b1_gaussian_conv,3,update_003569.pt,3569,transition_window,current,24,0.6,recalibrated,0.5940344848632813,0.801,0.6779873046875,0.763
resolution_max_b1_gaussian_conv,3,epoch_010.pt,3910,epoch_end,final,32,0.0,saved,3.423633056640625,0.251,3.4511456298828125,0.226
resolution_max_b1_gaussian_conv,3,epoch_010.pt,3910,epoch_end,final,32,0.0,recalibrated,1.2915016479492187,0.587,1.3530189208984376,0.542
resolution_max_b1_gaussian_conv,3,epoch_010.pt,3910,epoch_end,current,24,0.6,saved,0.5692185668945312,0.8,0.6603523559570312,0.775
resolution_max_b1_gaussian_conv,3,epoch_010.pt,3910,epoch_end,current,24,0.6,recalibrated,0.554610107421875,0.808,0.6495918579101563,0.778
resolution_max_b1_gaussian_conv,3,epoch_011.pt,4301,epoch_end,final,32,0.0,saved,3.833701171875,0.219,3.88619140625,0.206
resolution_max_b1_gaussian_conv,3,epoch_011.pt,4301,epoch_end,final,32,0.0,recalibrated,1.2373712768554688,0.588,1.3092071533203125,0.55
resolution_max_b1_gaussian_conv,3,epoch_011.pt,4301,epoch_end,current,24,0.6,saved,0.5220915832519532,0.831,0.6592597961425781,0.762
resolution_max_b1_gaussian_conv,3,epoch_011.pt,4301,epoch_end,current,24,0.6,recalibrated,0.5061586303710938,0.834,0.6405669860839843,0.782
resolution_max_b1_gaussian_conv,3,update_004642.pt,4642,transition_window,final,32,0.0,saved,3.478416259765625,0.259,3.506721435546875,0.232
resolution_max_b1_gaussian_conv,3,update_004642.pt,4642,transition_window,final,32,0.0,recalibrated,1.2299095458984375,0.614,1.3083409423828125,0.556
resolution_max_b1_gaussian_conv,3,update_004642.pt,4642,transition_window,current,24,0.6,saved,0.5013940124511719,0.835,0.6373485107421875,0.783
resolution_max_b1_gaussian_conv,3,update_004642.pt,4642,transition_window,current,24,0.6,recalibrated,0.49258645629882813,0.838,0.6228490600585938,0.783
resolution_max_b1_gaussian_conv,3,update_004682.pt,4682,transition_window,final,32,0.0,saved,3.2844111328125,0.227,3.3494849853515625,0.211
resolution_max_b1_gaussian_conv,3,update_004682.pt,4682,transition_window,final,32,0.0,recalibrated,1.2223103637695312,0.621,1.3130360107421875,0.563
resolution_max_b1_gaussian_conv,3,update_004682.pt,4682,transition_window,current,24,0.6,saved,0.5272279357910157,0.813,0.6502867736816407,0.779
resolution_max_b1_gaussian_conv,3,update_004682.pt,4682,transition_window,current,24,0.6,recalibrated,0.5048941040039062,0.82,0.6336250610351563,0.78
resolution_max_b1_gaussian_conv,3,update_004691.pt,4691,transition_window,final,32,0.0,saved,3.597604248046875,0.202,3.6539998779296874,0.181
resolution_max_b1_gaussian_conv,3,update_004691.pt,4691,transition_window,final,32,0.0,recalibrated,1.231278076171875,0.622,1.32258740234375,0.546
resolution_max_b1_gaussian_conv,3,update_004691.pt,4691,transition_window,current,24,0.6,saved,0.497357421875,0.832,0.6264556274414063,0.781
resolution_max_b1_gaussian_conv,3,update_004691.pt,4691,transition_window,current,24,0.6,recalibrated,0.4829566955566406,0.836,0.6138415832519531,0.787
resolution_max_b1_gaussian_conv,3,epoch_012.pt,4692,epoch_end,final,32,0.0,saved,3.737318115234375,0.187,3.798335205078125,0.176
resolution_max_b1_gaussian_conv,3,epoch_012.pt,4692,epoch_end,final,32,0.0,recalibrated,1.232994384765625,0.624,1.3236993408203126,0.547
resolution_max_b1_gaussian_conv,3,epoch_012.pt,4692,epoch_end,current,24,0.6,saved,0.4891329650878906,0.839,0.6190553588867187,0.782
resolution_max_b1_gaussian_conv,3,epoch_012.pt,4692,epoch_end,current,24,0.6,recalibrated,0.4832899475097656,0.838,0.6142568054199219,0.787
resolution_max_b1_gaussian_conv,3,update_004693.pt,4693,transition_window,final,32,0.0,saved,3.076925048828125,0.282,3.1397353515625,0.246
resolution_max_b1_gaussian_conv,3,update_004693.pt,4693,transition_window,final,32,0.0,recalibrated,1.2267313232421875,0.621,1.317286376953125,0.548
resolution_max_b1_gaussian_conv,3,update_004693.pt,4693,transition_window,current,32,0.5,saved,2.9513065185546874,0.257,3.0369068603515625,0.248
resolution_max_b1_gaussian_conv,3,update_004693.pt,4693,transition_window,current,32,0.5,recalibrated,0.8329502258300782,0.701,0.9252180480957031,0.679
resolution_max_b1_gaussian_conv,3,update_004702.pt,4702,transition_window,final,32,0.0,saved,2.75262744140625,0.331,2.6905389404296876,0.315
resolution_max_b1_gaussian_conv,3,update_004702.pt,4702,transition_window,final,32,0.0,recalibrated,1.1568441162109375,0.626,1.2313611450195312,0.583
resolution_max_b1_gaussian_conv,3,update_004702.pt,4702,transition_window,current,32,0.5,saved,0.7665162353515625,0.732,0.8606831665039063,0.697
resolution_max_b1_gaussian_conv,3,update_004702.pt,4702,transition_window,current,32,0.5,recalibrated,0.7053948974609375,0.751,0.7984886779785156,0.713
resolution_max_b1_gaussian_conv,3,update_004742.pt,4742,transition_window,final,32,0.0,saved,3.481790283203125,0.287,3.452355712890625,0.261
resolution_max_b1_gaussian_conv,3,update_004742.pt,4742,transition_window,final,32,0.0,recalibrated,1.0684003295898437,0.656,1.1241707153320313,0.628
resolution_max_b1_gaussian_conv,3,update_004742.pt,4742,transition_window,current,32,0.5,saved,0.7192910461425781,0.749,0.8216709594726562,0.709
resolution_max_b1_gaussian_conv,3,update_004742.pt,4742,transition_window,current,32,0.5,recalibrated,0.6652450256347656,0.768,0.7638873901367188,0.737
resolution_max_b1_gaussian_conv,3,epoch_013.pt,5083,epoch_end,final,32,0.0,saved,3.8873995361328126,0.327,3.84019287109375,0.304
resolution_max_b1_gaussian_conv,3,epoch_013.pt,5083,epoch_end,final,32,0.0,recalibrated,1.062013671875,0.637,1.1188511962890626,0.616
resolution_max_b1_gaussian_conv,3,epoch_013.pt,5083,epoch_end,current,32,0.5,saved,0.5555895385742188,0.804,0.6924713134765625,0.751
resolution_max_b1_gaussian_conv,3,epoch_013.pt,5083,epoch_end,current,32,0.5,recalibrated,0.5462473449707032,0.819,0.6744706726074219,0.759
resolution_max_b1_gaussian_conv,3,epoch_014.pt,5474,epoch_end,final,32,0.0,saved,3.4994171142578123,0.34,3.414847412109375,0.323
resolution_max_b1_gaussian_conv,3,epoch_014.pt,5474,epoch_end,final,32,0.0,recalibrated,1.0035398254394532,0.689,1.0500812377929687,0.677
resolution_max_b1_gaussian_conv,3,epoch_014.pt,5474,epoch_end,current,32,0.5,saved,0.5075165100097656,0.824,0.6404405822753906,0.784
resolution_max_b1_gaussian_conv,3,epoch_014.pt,5474,epoch_end,current,32,0.5,recalibrated,0.5091787719726563,0.826,0.6409238891601563,0.773
resolution_max_b1_gaussian_conv,3,update_005815.pt,5815,transition_window,final,32,0.0,saved,2.9560860595703127,0.363,2.7910396728515625,0.371
