method,seed,checkpoint,update,reason,state_label,resolution,sigma_G,policy,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1,3,epoch_007.pt,2737,epoch_end,final,32,,saved,4.154047119140625,0.165,4.12345654296875,0.172
resolution_max_b1,3,epoch_007.pt,2737,epoch_end,final,32,,recalibrated,1.184735595703125,0.578,1.2980167236328124,0.533
resolution_max_b1,3,epoch_007.pt,2737,epoch_end,current,24,,saved,0.8282787475585938,0.697,0.8921551208496094,0.683
resolution_max_b1,3,epoch_007.pt,2737,epoch_end,current,24,,recalibrated,0.8271547241210937,0.693,0.883943359375,0.682
resolution_max_b1,3,epoch_008.pt,3128,epoch_end,final,32,,saved,4.80992333984375,0.114,4.772075439453125,0.114
resolution_max_b1,3,epoch_008.pt,3128,epoch_end,final,32,,recalibrated,1.1478052978515625,0.597,1.2476096801757812,0.569
resolution_max_b1,3,epoch_008.pt,3128,epoch_end,current,24,,saved,0.7584821472167969,0.717,0.8386950988769531,0.708
resolution_max_b1,3,epoch_008.pt,3128,epoch_end,current,24,,recalibrated,0.7468957824707031,0.724,0.825073486328125,0.712
resolution_max_b1,3,epoch_009.pt,3519,epoch_end,final,32,,saved,3.6844073486328126,0.222,3.6670640869140625,0.202
resolution_max_b1,3,epoch_009.pt,3519,epoch_end,final,32,,recalibrated,1.0632732543945314,0.619,1.19435400390625,0.564
resolution_max_b1,3,epoch_009.pt,3519,epoch_end,current,24,,saved,0.6821592102050781,0.742,0.7896833190917969,0.718
resolution_max_b1,3,epoch_009.pt,3519,epoch_end,current,24,,recalibrated,0.6796097412109375,0.739,0.7741551208496094,0.725
resolution_max_b1,3,epoch_010.pt,3910,epoch_end,final,32,,saved,4.010865478515625,0.212,4.015787719726562,0.202
resolution_max_b1,3,epoch_010.pt,3910,epoch_end,final,32,,recalibrated,1.0270176086425782,0.649,1.1347694091796876,0.617
resolution_max_b1,3,epoch_010.pt,3910,epoch_end,current,24,,saved,0.6113008728027344,0.784,0.7237083435058593,0.739
resolution_max_b1,3,epoch_010.pt,3910,epoch_end,current,24,,recalibrated,0.6093854064941406,0.793,0.7256306762695313,0.736
resolution_max_b1,3,epoch_011.pt,4301,epoch_end,final,32,,saved,3.629890869140625,0.227,3.678938232421875,0.204
resolution_max_b1,3,epoch_011.pt,4301,epoch_end,final,32,,recalibrated,0.9592068786621094,0.668,1.069386505126953,0.632
resolution_max_b1,3,epoch_011.pt,4301,epoch_end,current,24,,saved,0.5771157531738281,0.791,0.7222146606445312,0.736
resolution_max_b1,3,epoch_011.pt,4301,epoch_end,current,24,,recalibrated,0.5670796203613281,0.796,0.7095703735351563,0.744
resolution_max_b1,3,update_004642.pt,4642,transition_window,final,32,,saved,3.768856689453125,0.207,3.8022620849609376,0.196
resolution_max_b1,3,update_004642.pt,4642,transition_window,final,32,,recalibrated,1.0288870239257812,0.648,1.1581699829101562,0.611
resolution_max_b1,3,update_004642.pt,4642,transition_window,current,24,,saved,0.514844482421875,0.811,0.7121455078125,0.744
resolution_max_b1,3,update_004642.pt,4642,transition_window,current,24,,recalibrated,0.5063245849609375,0.822,0.6998248291015625,0.747
resolution_max_b1,3,update_004682.pt,4682,transition_window,final,32,,saved,3.8842169189453126,0.204,3.8891563720703126,0.184
resolution_max_b1,3,update_004682.pt,4682,transition_window,final,32,,recalibrated,0.9742666931152344,0.667,1.1108041687011718,0.613
resolution_max_b1,3,update_004682.pt,4682,transition_window,current,24,,saved,0.5327728424072266,0.821,0.7326522827148437,0.736
resolution_max_b1,3,update_004682.pt,4682,transition_window,current,24,,recalibrated,0.5168301391601563,0.824,0.7174968872070312,0.748
resolution_max_b1,3,update_004691.pt,4691,transition_window,final,32,,saved,3.663156494140625,0.211,3.6812515869140623,0.192
resolution_max_b1,3,update_004691.pt,4691,transition_window,final,32,,recalibrated,0.9759935302734375,0.668,1.1096747436523438,0.612
resolution_max_b1,3,update_004691.pt,4691,transition_window,current,24,,saved,0.523095458984375,0.817,0.7365254516601563,0.742
resolution_max_b1,3,update_004691.pt,4691,transition_window,current,24,,recalibrated,0.5131721801757813,0.834,0.7185393371582032,0.747
resolution_max_b1,3,epoch_012.pt,4692,epoch_end,final,32,,saved,3.7391563720703127,0.205,3.7522493896484375,0.185
resolution_max_b1,3,epoch_012.pt,4692,epoch_end,final,32,,recalibrated,0.9738525390625,0.669,1.10557275390625,0.61
resolution_max_b1,3,epoch_012.pt,4692,epoch_end,current,24,,saved,0.5234846038818359,0.819,0.7369509582519531,0.745
resolution_max_b1,3,epoch_012.pt,4692,epoch_end,current,24,,recalibrated,0.513119384765625,0.83,0.7193437805175781,0.745
resolution_max_b1,3,update_004693.pt,4693,transition_window,final,32,,saved,2.6678062744140627,0.281,2.7128765869140623,0.273
resolution_max_b1,3,update_004693.pt,4693,transition_window,final,32,,recalibrated,0.9479089660644531,0.68,1.067957275390625,0.619
resolution_max_b1,3,update_004702.pt,4702,transition_window,final,32,,saved,0.8137144165039063,0.696,0.8829317016601562,0.683
resolution_max_b1,3,update_004702.pt,4702,transition_window,final,32,,recalibrated,0.7709805603027344,0.727,0.8461414794921875,0.707
resolution_max_b1,3,update_004742.pt,4742,transition_window,final,32,,saved,0.7689539794921875,0.727,0.8469423217773437,0.711
resolution_max_b1,3,update_004742.pt,4742,transition_window,final,32,,recalibrated,0.7207478942871094,0.741,0.7963261413574219,0.73
resolution_max_b1,3,epoch_013.pt,5083,epoch_end,final,32,,saved,0.6266167602539062,0.783,0.72540234375,0.744
resolution_max_b1,3,epoch_013.pt,5083,epoch_end,final,32,,recalibrated,0.6151775207519531,0.783,0.7154214477539063,0.744
resolution_max_b1,3,epoch_014.pt,5474,epoch_end,final,32,,saved,0.5646083374023437,0.81,0.6790135192871094,0.755
resolution_max_b1,3,epoch_014.pt,5474,epoch_end,final,32,,recalibrated,0.5547871398925781,0.798,0.67696484375,0.769
resolution_max_b1,3,epoch_015.pt,5865,epoch_end,final,32,,saved,0.504622299194336,0.826,0.6424537353515625,0.779
resolution_max_b1,3,epoch_015.pt,5865,epoch_end,final,32,,recalibrated,0.5075961456298829,0.825,0.6398202819824219,0.776
resolution_max_b1,3,epoch_016.pt,6256,epoch_end,final,32,,saved,0.491232666015625,0.828,0.64605029296875,0.779
resolution_max_b1,3,epoch_016.pt,6256,epoch_end,final,32,,recalibrated,0.46848989868164065,0.835,0.6313672790527344,0.776
resolution_max_b1,3,epoch_017.pt,6647,epoch_end,final,32,,saved,0.45109431457519533,0.851,0.6329557189941406,0.776
resolution_max_b1,3,epoch_017.pt,6647,epoch_end,final,32,,recalibrated,0.43717578125,0.846,0.6123344421386718,0.782
resolution_max_b1,3,epoch_018.pt,7038,epoch_end,final,32,,saved,0.4174730072021484,0.856,0.6160137939453125,0.78
resolution_max_b1,3,epoch_018.pt,7038,epoch_end,final,32,,recalibrated,0.4137192993164063,0.852,0.6047063598632813,0.772
resolution_max_b1,3,epoch_019.pt,7429,epoch_end,final,32,,saved,0.3940007781982422,0.867,0.5971749572753906,0.788
resolution_max_b1,3,epoch_019.pt,7429,epoch_end,final,32,,recalibrated,0.389683837890625,0.864,0.5920894775390625,0.796
resolution_max_b1,3,epoch_020.pt,7820,epoch_end,final,32,,saved,0.3754680023193359,0.877,0.609544189453125,0.79
resolution_max_b1,3,epoch_020.pt,7820,epoch_end,final,32,,recalibrated,0.37615126037597657,0.882,0.6061735534667969,0.783
resolution_max_b1,3,epoch_021.pt,8211,epoch_end,final,32,,saved,0.35512815856933594,0.875,0.5921400146484375,0.79
resolution_max_b1,3,epoch_021.pt,8211,epoch_end,final,32,,recalibrated,0.34987478637695313,0.874,0.5853116455078125,0.794
resolution_max_b1,3,epoch_022.pt,8602,epoch_end,final,32,,saved,0.33515916442871097,0.885,0.5905180969238282,0.796
resolution_max_b1,3,epoch_022.pt,8602,epoch_end,final,32,,recalibrated,0.3340440216064453,0.889,0.5832527160644532,0.799
resolution_max_b1,3,epoch_023.pt,8993,epoch_end,final,32,,saved,0.3219106140136719,0.895,0.5890093383789062,0.793
resolution_max_b1,3,epoch_023.pt,8993,epoch_end,final,32,,recalibrated,0.3186714782714844,0.893,0.5857466125488281,0.796
resolution_max_b1,3,epoch_024.pt,9384,epoch_end,final,32,,saved,0.3119884033203125,0.898,0.5875075073242187,0.792
resolution_max_b1,3,epoch_024.pt,9384,epoch_end,final,32,,recalibrated,0.3092455749511719,0.901,0.5810929565429688,0.793
resolution_max_b1,3,epoch_025.pt,9775,epoch_end,final,32,,saved,0.29717138671875,0.904,0.5837383728027343,0.802
resolution_max_b1,3,epoch_025.pt,9775,epoch_end,final,32,,recalibrated,0.2969817199707031,0.905,0.5788317565917969,0.801
resolution_max_b1,3,epoch_026.pt,10166,epoch_end,final,32,,saved,0.2921680603027344,0.906,0.5780800476074218,0.801
resolution_max_b1,3,epoch_026.pt,10166,epoch_end,final,32,,recalibrated,0.28943136596679686,0.904,0.5712944946289062,0.808
resolution_max_b1,3,epoch_027.pt,10557,epoch_end,final,32,,saved,0.29066986083984375,0.903,0.5751960144042969,0.803
resolution_max_b1,3,epoch_027.pt,10557,epoch_end,final,32,,recalibrated,0.2875882263183594,0.908,0.5722185668945312,0.803
resolution_max_b1,3,epoch_028.pt,10948,epoch_end,final,32,,saved,0.28945632934570314,0.909,0.5768011779785156,0.8
resolution_max_b1,3,epoch_028.pt,10948,epoch_end,final,32,,recalibrated,0.2859206085205078,0.907,0.5742775268554687,0.801
resolution_max_b1,3,epoch_029.pt,11339,epoch_end,final,32,,saved,0.28717001342773435,0.905,0.5736629333496094,0.803
resolution_max_b1,3,epoch_029.pt,11339,epoch_end,final,32,,recalibrated,0.28444580078125,0.908,0.5727004699707031,0.799
resolution_max_b1,3,epoch_030.pt,11730,epoch_end,final,32,,saved,0.28469744873046876,0.91,0.5767434997558594,0.802
resolution_max_b1,3,epoch_030.pt,11730,epoch_end,final,32,,recalibrated,0.2843556213378906,0.908,0.5726373291015625,0.797
resolution_max_b1_gaussian_conv,1,epoch_000.pt,0,initialization,final,32,0.0,saved,2.56784814453125,0.1,2.55886328125,0.1
resolution_max_b1_gaussian_conv,1,epoch_000.pt,0,initialization,final,32,0.0,recalibrated,2.306453857421875,0.09,2.3063531494140626,0.101
resolution_max_b1_gaussian_conv,1,epoch_000.pt,0,initialization,current,16,1.0,saved,2.3793245849609375,0.099,2.37423193359375,0.108
resolution_max_b1_gaussian_conv,1,epoch_000.pt,0,initialization,current,16,1.0,recalibrated,2.313255859375,0.092,2.311796142578125,0.102
resolution_max_b1_gaussian_conv,1,epoch_001.pt,391,epoch_end,final,32,0.0,saved,3.96397412109375,0.134,3.937927490234375,0.139
resolution_max_b1_gaussian_conv,1,epoch_001.pt,391,epoch_end,final,32,0.0,recalibrated,1.9210784301757813,0.285,1.9072901000976563,0.295
resolution_max_b1_gaussian_conv,1,epoch_001.pt,391,epoch_end,current,16,1.0,saved,1.4453206787109374,0.476,1.4578743896484374,0.463
resolution_max_b1_gaussian_conv,1,epoch_001.pt,391,epoch_end,current,16,1.0,recalibrated,1.4020895385742187,0.481,1.40477197265625,0.488
resolution_max_b1_gaussian_conv,1,epoch_002.pt,782,epoch_end,final,32,0.0,saved,3.67018017578125,0.167,3.66437255859375,0.18
resolution_max_b1_gaussian_conv,1,epoch_002.pt,782,epoch_end,final,32,0.0,recalibrated,1.8438394165039063,0.321,1.845986083984375,0.305
resolution_max_b1_gaussian_conv,1,epoch_002.pt,782,epoch_end,current,16,1.0,saved,1.31656494140625,0.52,1.28655859375,0.53
resolution_max_b1_gaussian_conv,1,epoch_002.pt,782,epoch_end,current,16,1.0,recalibrated,1.1839194946289062,0.56,1.1812830810546875,0.562
resolution_max_b1_gaussian_conv,1,update_001123.pt,1123,transition_window,final,32,0.0,saved,4.804564208984375,0.195,4.784454345703125,0.192
resolution_max_b1_gaussian_conv,1,update_001123.pt,1123,transition_window,final,32,0.0,recalibrated,1.8269593505859374,0.312,1.8403253173828125,0.31
resolution_max_b1_gaussian_conv,1,update_001123.pt,1123,transition_window,current,16,1.0,saved,1.0362806396484374,0.617,1.0925838623046875,0.602
resolution_max_b1_gaussian_conv,1,update_001123.pt,1123,transition_window,current,16,1.0,recalibrated,1.0159639282226562,0.625,1.0535340576171874,0.616
resolution_max_b1_gaussian_conv,1,update_001163.pt,1163,transition_window,final,32,0.0,saved,4.92988330078125,0.191,4.900740966796875,0.179
resolution_max_b1_gaussian_conv,1,update_001163.pt,1163,transition_window,final,32,0.0,recalibrated,1.8523671264648438,0.319,1.8612835693359375,0.324
resolution_max_b1_gaussian_conv,1,update_001163.pt,1163,transition_window,current,16,1.0,saved,1.04977490234375,0.607,1.0815955810546876,0.602
resolution_max_b1_gaussian_conv,1,update_001163.pt,1163,transition_window,current,16,1.0,recalibrated,1.0381175537109375,0.615,1.073480712890625,0.602
resolution_max_b1_gaussian_conv,1,update_001172.pt,1172,transition_window,final,32,0.0,saved,4.26739404296875,0.192,4.26200048828125,0.187
resolution_max_b1_gaussian_conv,1,update_001172.pt,1172,transition_window,final,32,0.0,recalibrated,1.8729210205078124,0.291,1.8777101440429687,0.266
resolution_max_b1_gaussian_conv,1,update_001172.pt,1172,transition_window,current,16,1.0,saved,1.0495549926757812,0.613,1.0974310913085938,0.609
resolution_max_b1_gaussian_conv,1,update_001172.pt,1172,transition_window,current,16,1.0,recalibrated,1.0359849853515626,0.609,1.0904296875,0.599
resolution_max_b1_gaussian_conv,1,epoch_003.pt,1173,epoch_end,final,32,0.0,saved,4.3462978515625,0.196,4.339418212890625,0.204
resolution_max_b1_gaussian_conv,1,epoch_003.pt,1173,epoch_end,final,32,0.0,recalibrated,1.87827392578125,0.291,1.88350830078125,0.273
resolution_max_b1_gaussian_conv,1,epoch_003.pt,1173,epoch_end,current,16,1.0,saved,1.0667848510742188,0.601,1.1166162719726562,0.599
resolution_max_b1_gaussian_conv,1,epoch_003.pt,1173,epoch_end,current,16,1.0,recalibrated,1.0358528442382813,0.619,1.0937632446289063,0.593
resolution_max_b1_gaussian_conv,1,update_001174.pt,1174,transition_window,final,32,0.0,saved,3.7979454345703125,0.189,3.79197705078125,0.184
resolution_max_b1_gaussian_conv,1,update_001174.pt,1174,transition_window,final,32,0.0,recalibrated,1.875491455078125,0.285,1.8812046508789062,0.271
resolution_max_b1_gaussian_conv,1,update_001174.pt,1174,transition_window,current,16,0.85,saved,1.153765869140625,0.589,1.1886019897460938,0.572
resolution_max_b1_gaussian_conv,1,update_001174.pt,1174,transition_window,current,16,0.85,recalibrated,1.11170361328125,0.595,1.1537022094726563,0.57
resolution_max_b1_gaussian_conv,1,update_001183.pt,1183,transition_window,final,32,0.0,saved,3.561843994140625,0.181,3.5631651611328126,0.171
resolution_max_b1_gaussian_conv,1,update_001183.pt,1183,transition_window,final,32,0.0,recalibrated,1.7692214965820312,0.343,1.7764253540039063,0.349
resolution_max_b1_gaussian_conv,1,update_001183.pt,1183,transition_window,current,16,0.85,saved,1.0854578247070312,0.604,1.1261685180664063,0.602
resolution_max_b1_gaussian_conv,1,update_001183.pt,1183,transition_window,current,16,0.85,recalibrated,1.06961865234375,0.614,1.1042305908203125,0.595
resolution_max_b1_gaussian_conv,1,update_001223.pt,1223,transition_window,final,32,0.0,saved,3.68376416015625,0.178,3.6946773681640623,0.181
resolution_max_b1_gaussian_conv,1,update_001223.pt,1223,transition_window,final,32,0.0,recalibrated,1.7306326904296876,0.343,1.7409642333984374,0.346
resolution_max_b1_gaussian_conv,1,update_001223.pt,1223,transition_window,current,16,0.85,saved,1.0183647766113282,0.626,1.0376367797851562,0.627
resolution_max_b1_gaussian_conv,1,update_001223.pt,1223,transition_window,current,16,0.85,recalibrated,1.0204566650390625,0.626,1.0388089599609376,0.628
resolution_max_b1_gaussian_conv,1,epoch_004.pt,1564,epoch_end,final,32,0.0,saved,4.197784423828125,0.194,4.175366943359375,0.187
resolution_max_b1_gaussian_conv,1,epoch_004.pt,1564,epoch_end,final,32,0.0,recalibrated,1.6099239501953124,0.382,1.6343509521484374,0.401
resolution_max_b1_gaussian_conv,1,epoch_004.pt,1564,epoch_end,current,16,0.85,saved,0.9253505249023437,0.648,0.9699237670898437,0.66
resolution_max_b1_gaussian_conv,1,epoch_004.pt,1564,epoch_end,current,16,0.85,recalibrated,0.9128781127929687,0.649,0.949372802734375,0.67
resolution_max_b1_gaussian_conv,1,epoch_005.pt,1955,epoch_end,final,32,0.0,saved,4.369774658203125,0.14,4.338870361328125,0.13
resolution_max_b1_gaussian_conv,1,epoch_005.pt,1955,epoch_end,final,32,0.0,recalibrated,1.6377385864257812,0.405,1.6643192749023437,0.397
resolution_max_b1_gaussian_conv,1,epoch_005.pt,1955,epoch_end,current,16,0.85,saved,0.808593017578125,0.698,0.9139456176757812,0.681
resolution_max_b1_gaussian_conv,1,epoch_005.pt,1955,epoch_end,current,16,0.85,recalibrated,0.8076311340332031,0.711,0.9016083374023437,0.69
resolution_max_b1_gaussian_conv,1,update_002296.pt,2296,transition_window,final,32,0.0,saved,3.4024583740234373,0.141,3.3851798095703125,0.13
resolution_max_b1_gaussian_conv,1,update_002296.pt,2296,transition_window,final,32,0.0,recalibrated,1.6089838256835938,0.417,1.6319401245117187,0.402
resolution_max_b1_gaussian_conv,1,update_002296.pt,2296,transition_window,current,16,0.85,saved,0.7844602966308594,0.722,0.8807820739746094,0.7
resolution_max_b1_gaussian_conv,1,update_002296.pt,2296,transition_window,current,16,0.85,recalibrated,0.7622258911132812,0.725,0.8447137756347656,0.705
resolution_max_b1_gaussian_conv,1,update_002336.pt,2336,transition_window,final,32,0.0,saved,4.025605712890625,0.117,3.9882012939453126,0.109
resolution_max_b1_gaussian_conv,1,update_002336.pt,2336,transition_window,final,32,0.0,recalibrated,1.6064273681640624,0.417,1.635567626953125,0.39
resolution_max_b1_gaussian_conv,1,update_002336.pt,2336,transition_window,current,16,0.85,saved,0.7653049926757812,0.73,0.87344970703125,0.696
resolution_max_b1_gaussian_conv,1,update_002336.pt,2336,transition_window,current,16,0.85,recalibrated,0.7490525817871094,0.734,0.8441702880859375,0.712
resolution_max_b1_gaussian_conv,1,update_002345.pt,2345,transition_window,final,32,0.0,saved,3.9435107421875,0.119,3.929796142578125,0.11
resolution_max_b1_gaussian_conv,1,update_002345.pt,2345,transition_window,final,32,0.0,recalibrated,1.6283184204101562,0.39,1.6626657104492188,0.363
resolution_max_b1_gaussian_conv,1,update_002345.pt,2345,transition_window,current,16,0.85,saved,0.7589037780761718,0.745,0.8610640563964844,0.692
resolution_max_b1_gaussian_conv,1,update_002345.pt,2345,transition_window,current,16,0.85,recalibrated,0.7466583862304688,0.738,0.8417784729003907,0.698
resolution_max_b1_gaussian_conv,1,epoch_006.pt,2346,epoch_end,final,32,0.0,saved,3.8102779541015623,0.128,3.7947874755859377,0.118
resolution_max_b1_gaussian_conv,1,epoch_006.pt,2346,epoch_end,final,32,0.0,recalibrated,1.6209683227539062,0.393,1.6556834716796875,0.373
resolution_max_b1_gaussian_conv,1,epoch_006.pt,2346,epoch_end,current,16,0.85,saved,0.7534578247070313,0.742,0.8504135437011718,0.696
resolution_max_b1_gaussian_conv,1,epoch_006.pt,2346,epoch_end,current,16,0.85,recalibrated,0.7467248840332031,0.742,0.8400605163574218,0.701
resolution_max_b1_gaussian_conv,1,update_002347.pt,2347,transition_window,final,32,0.0,saved,3.5298310546875,0.141,3.5007548828125,0.128
resolution_max_b1_gaussian_conv,1,update_002347.pt,2347,transition_window,final,32,0.0,recalibrated,1.6104512939453124,0.394,1.6417875366210937,0.378
resolution_max_b1_gaussian_conv,1,update_002347.pt,2347,transition_window,current,24,0.7,saved,1.2602783203125,0.558,1.27428515625,0.557
resolution_max_b1_gaussian_conv,1,update_002347.pt,2347,transition_window,current,24,0.7,recalibrated,1.0238333740234375,0.624,1.0434769897460938,0.639
resolution_max_b1_gaussian_conv,1,update_002356.pt,2356,transition_window,final,32,0.0,saved,3.279907958984375,0.197,3.24341845703125,0.194
resolution_max_b1_gaussian_conv,1,update_002356.pt,2356,transition_window,final,32,0.0,recalibrated,1.586118408203125,0.44,1.5872957153320313,0.446
resolution_max_b1_gaussian_conv,1,update_002356.pt,2356,transition_window,current,24,0.7,saved,1.0988252563476562,0.603,1.1007957153320314,0.604
resolution_max_b1_gaussian_conv,1,update_002356.pt,2356,transition_window,current,24,0.7,recalibrated,0.9946192626953125,0.648,0.9984990844726562,0.641
resolution_max_b1_gaussian_conv,1,update_002396.pt,2396,transition_window,final,32,0.0,saved,2.9692967529296874,0.207,2.91020263671875,0.201
resolution_max_b1_gaussian_conv,1,update_002396.pt,2396,transition_window,final,32,0.0,recalibrated,1.6040562744140625,0.437,1.6148931274414062,0.426
resolution_max_b1_gaussian_conv,1,update_002396.pt,2396,transition_window,current,24,0.7,saved,0.917817138671875,0.68,0.9274518737792968,0.678
resolution_max_b1_gaussian_conv,1,update_002396.pt,2396,transition_window,current,24,0.7,recalibrated,0.8823341064453125,0.673,0.8961867065429687,0.689
resolution_max_b1_gaussian_conv,1,epoch_007.pt,2737,epoch_end,final,32,0.0,saved,3.033123046875,0.209,3.0218487548828126,0.204
resolution_max_b1_gaussian_conv,1,epoch_007.pt,2737,epoch_end,final,32,0.0,recalibrated,1.5369176025390625,0.466,1.5542267456054688,0.477
resolution_max_b1_gaussian_conv,1,epoch_007.pt,2737,epoch_end,current,24,0.7,saved,0.7938086547851563,0.725,0.8348034057617187,0.704
resolution_max_b1_gaussian_conv,1,epoch_007.pt,2737,epoch_end,current,24,0.7,recalibrated,0.7704312744140625,0.737,0.8102549438476563,0.711
resolution_max_b1_gaussian_conv,1,epoch_008.pt,3128,epoch_end,final,32,0.0,saved,3.902476318359375,0.14,3.88311376953125,0.131
resolution_max_b1_gaussian_conv,1,epoch_008.pt,3128,epoch_end,final,32,0.0,recalibrated,1.5553507080078126,0.452,1.5800362548828124,0.453
resolution_max_b1_gaussian_conv,1,epoch_008.pt,3128,epoch_end,current,24,0.7,saved,0.7295237121582031,0.738,0.802315185546875,0.713
resolution_max_b1_gaussian_conv,1,epoch_008.pt,3128,epoch_end,current,24,0.7,recalibrated,0.6908252258300781,0.744,0.7591773071289063,0.731
resolution_max_b1_gaussian_conv,1,update_003469.pt,3469,transition_window,final,32,0.0,saved,4.54756494140625,0.141,4.46680615234375,0.138
resolution_max_b1_gaussian_conv,1,update_003469.pt,3469,transition_window,final,32,0.0,recalibrated,1.4977759399414063,0.481,1.5238607177734376,0.473
resolution_max_b1_gaussian_conv,1,update_003469.pt,3469,transition_window,current,24,0.7,saved,0.7074774780273437,0.746,0.7899859008789063,0.733
resolution_max_b1_gaussian_conv,1,update_003469.pt,3469,transition_window,current,24,0.7,recalibrated,0.6845082702636719,0.745,0.7436540222167969,0.738
resolution_max_b1_gaussian_conv,1,update_003509.pt,3509,transition_window,final,32,0.0,saved,4.757162841796875,0.133,4.65818017578125,0.128
resolution_max_b1_gaussian_conv,1,update_003509.pt,3509,transition_window,final,32,0.0,recalibrated,1.5976182250976563,0.411,1.61378564453125,0.434
resolution_max_b1_gaussian_conv,1,update_003509.pt,3509,transition_window,current,24,0.7,saved,0.6786993103027343,0.752,0.7338734436035156,0.742
resolution_max_b1_gaussian_conv,1,update_003509.pt,3509,transition_window,current,24,0.7,recalibrated,0.665453125,0.75,0.7326775512695313,0.752
resolution_max_b1_gaussian_conv,1,update_003518.pt,3518,transition_window,final,32,0.0,saved,5.093701904296875,0.117,4.9777587890625,0.118
resolution_max_b1_gaussian_conv,1,update_003518.pt,3518,transition_window,final,32,0.0,recalibrated,1.5642369384765624,0.461,1.590688232421875,0.449
resolution_max_b1_gaussian_conv,1,update_003518.pt,3518,transition_window,current,24,0.7,saved,0.6825787658691407,0.762,0.7563302001953125,0.735
resolution_max_b1_gaussian_conv,1,update_003518.pt,3518,transition_window,current,24,0.7,recalibrated,0.6559727172851563,0.761,0.727833740234375,0.741
resolution_max_b1_gaussian_conv,1,epoch_009.pt,3519,epoch_end,final,32,0.0,saved,4.96160986328125,0.118,4.85029248046875,0.118
resolution_max_b1_gaussian_conv,1,epoch_009.pt,3519,epoch_end,final,32,0.0,recalibrated,1.562552001953125,0.462,1.589802001953125,0.45
resolution_max_b1_gaussian_conv,1,epoch_009.pt,3519,epoch_end,current,24,0.7,saved,0.6761556396484375,0.765,0.7480316467285156,0.743
resolution_max_b1_gaussian_conv,1,epoch_009.pt,3519,epoch_end,current,24,0.7,recalibrated,0.6552991027832031,0.759,0.7279786071777343,0.746
resolution_max_b1_gaussian_conv,1,update_003520.pt,3520,transition_window,final,32,0.0,saved,4.01799169921875,0.126,3.9706531982421875,0.12
resolution_max_b1_gaussian_conv,1,update_003520.pt,3520,transition_window,final,32,0.0,recalibrated,1.558724609375,0.462,1.5871149291992188,0.457
resolution_max_b1_gaussian_conv,1,update_003520.pt,3520,transition_window,current,24,0.6,saved,0.7804873657226562,0.718,0.819809326171875,0.705
resolution_max_b1_gaussian_conv,1,update_003520.pt,3520,transition_window,current,24,0.6,recalibrated,0.7064066162109375,0.761,0.7599651184082031,0.732
resolution_max_b1_gaussian_conv,1,update_003529.pt,3529,transition_window,final,32,0.0,saved,2.781234130859375,0.197,2.7978123779296875,0.166
resolution_max_b1_gaussian_conv,1,update_003529.pt,3529,transition_window,final,32,0.0,recalibrated,1.52073974609375,0.498,1.54756201171875,0.471
resolution_max_b1_gaussian_conv,1,update_003529.pt,3529,transition_window,current,24,0.6,saved,0.7169388732910156,0.747,0.7658893127441406,0.721
resolution_max_b1_gaussian_conv,1,update_003529.pt,3529,transition_window,current,24,0.6,recalibrated,0.7034659729003906,0.752,0.757442626953125,0.716
resolution_max_b1_gaussian_conv,1,update_003569.pt,3569,transition_window,final,32,0.0,saved,3.4865341796875,0.139,3.4703680419921876,0.128
resolution_max_b1_gaussian_conv,1,update_003569.pt,3569,transition_window,final,32,0.0,recalibrated,1.3812808227539062,0.542,1.4117819213867187,0.525
resolution_max_b1_gaussian_conv,1,update_003569.pt,3569,transition_window,current,24,0.6,saved,0.6677441101074219,0.741,0.7446868591308594,0.735
resolution_max_b1_gaussian_conv,1,update_003569.pt,3569,transition_window,current,24,0.6,recalibrated,0.651287841796875,0.755,0.7196260681152343,0.739
resolution_max_b1_gaussian_conv,1,epoch_010.pt,3910,epoch_end,final,32,0.0,saved,3.1777027587890627,0.219,3.1895281982421877,0.197
resolution_max_b1_gaussian_conv,1,epoch_010.pt,3910,epoch_end,final,32,0.0,recalibrated,1.2983825073242188,0.577,1.3359723510742187,0.546
resolution_max_b1_gaussian_conv,1,epoch_010.pt,3910,epoch_end,current,24,0.6,saved,0.654900146484375,0.768,0.7160420227050781,0.747
resolution_max_b1_gaussian_conv,1,epoch_010.pt,3910,epoch_end,current,24,0.6,recalibrated,0.6276177368164062,0.776,0.6920058288574219,0.747
resolution_max_b1_gaussian_conv,1,epoch_011.pt,4301,epoch_end,final,32,0.0,saved,4.367308349609375,0.114,4.35181005859375,0.111
resolution_max_b1_gaussian_conv,1,epoch_011.pt,4301,epoch_end,final,32,0.0,recalibrated,1.2159028930664062,0.607,1.264772705078125,0.567
resolution_max_b1_gaussian_conv,1,epoch_011.pt,4301,epoch_end,current,24,0.6,saved,0.6148994140625,0.785,0.734387939453125,0.735
resolution_max_b1_gaussian_conv,1,epoch_011.pt,4301,epoch_end,current,24,0.6,recalibrated,0.5348013305664062,0.807,0.644870849609375,0.775
resolution_max_b1_gaussian_conv,1,update_004642.pt,4642,transition_window,final,32,0.0,saved,3.0671824951171875,0.2,3.0781002197265623,0.197
resolution_max_b1_gaussian_conv,1,update_004642.pt,4642,transition_window,final,32,0.0,recalibrated,1.249020263671875,0.606,1.2792530517578125,0.579
