method,seed,epoch,update,lr_last_update,train_loss_epoch,state_resolution,state_sigma_G,current_train_probe500_ce,current_train_probe500_acc,current_test_full_ce,current_test_full_acc,target_train_probe500_ce,target_train_probe500_acc,target_test_full_ce,target_test_full_acc
resolution_max_b1,3,25,9775,0.0003386475114581614,0.38885592334747315,32,,0.30950576782226563,0.908,0.5965099182128907,0.7984,0.30950576782226563,0.908,0.5965099182128907,0.7984
resolution_max_b1,3,26,10166,0.00021860668301331375,0.38200360228061675,32,,0.30070758056640623,0.926,0.5952990417480468,0.7977,0.30070758056640623,0.926,0.5952990417480468,0.7977
resolution_max_b1,3,27,10557,0.00012381872227320984,0.3756327215528488,32,,0.2996830444335937,0.914,0.5918943908691406,0.8001,0.2996830444335937,0.914,0.5918943908691406,0.8001
resolution_max_b1,3,28,10948,5.53328423720989e-05,0.36873132571697237,32,,0.29876654052734375,0.91,0.5929298797607422,0.7973,0.29876654052734375,0.91,0.5929298797607422,0.7973
resolution_max_b1,3,29,11339,1.3907117269393864e-05,0.3661663465642929,32,,0.2938895263671875,0.914,0.5909890380859375,0.7999,0.2938895263671875,0.914,0.5909890380859375,0.7999
resolution_max_b1,3,30,11730,9.058745198409212e-11,0.36397552117347715,32,,0.2944188232421875,0.914,0.5919819396972656,0.8,0.2944188232421875,0.914,0.5919819396972656,0.8
resolution_max_b1_gaussian_conv,3,0,0,8.333333333333333e-05,,,,3.287017578125,0.112,3.293061975097656,0.1151,3.68685595703125,0.104,3.691997595214844,0.0972
resolution_max_b1_gaussian_conv,3,1,391,0.004990141512569891,1.7075048641204833,16,1.0,1.49646484375,0.46,1.4414998657226563,0.472,2.953868408203125,0.202,2.942412756347656,0.2137
resolution_max_b1_gaussian_conv,3,2,782,0.004953056580549272,1.2943265184783936,16,1.0,1.1380533447265626,0.604,1.154728350830078,0.5835,3.10609619140625,0.23,3.1129513916015625,0.2265
resolution_max_b1_gaussian_conv,3,3,1173,0.004888818630747975,1.104272504196167,16,1.0,0.990234619140625,0.672,1.0289267333984375,0.6283,4.118626953125,0.18,4.1769274291992184,0.176
resolution_max_b1_gaussian_conv,3,4,1564,0.004798138716554241,0.9829469870758056,16,0.85,0.9101892700195312,0.688,0.9940702819824219,0.6452,3.447374755859375,0.21,3.4934617309570313,0.2065
resolution_max_b1_gaussian_conv,3,5,1955,0.004682020578909872,0.8876316187095642,16,0.85,0.7748634643554687,0.734,0.899409487915039,0.6834,3.90279052734375,0.234,3.96163447265625,0.2135
resolution_max_b1_gaussian_conv,3,6,2346,0.004541749535846712,0.8167806009674072,16,0.85,0.72476611328125,0.76,0.835555239868164,0.706,3.504468017578125,0.22,3.5101654174804686,0.2045
resolution_max_b1_gaussian_conv,3,7,2737,0.0043788782552308895,0.8640696550941467,24,0.7,0.7905916137695312,0.712,0.8445644012451172,0.7028,3.374600341796875,0.252,3.4012394775390624,0.2348
resolution_max_b1_gaussian_conv,3,8,3128,0.004195209568197074,0.7698965630531311,24,0.7,0.7685390625,0.738,0.8253604797363281,0.7119,3.5146259765625,0.248,3.510735546875,0.2431
resolution_max_b1_gaussian_conv,3,9,3519,0.0039927765135118086,0.7210413799667358,24,0.7,0.6882646484375,0.75,0.7513079528808594,0.7391,3.6932216796875,0.212,3.667918371582031,0.2195
resolution_max_b1_gaussian_conv,3,10,3910,0.0037738198337559444,0.6730247608089447,24,0.6,0.6173453369140625,0.786,0.695760073852539,0.7562,3.48533447265625,0.244,3.4459233154296873,0.2327
resolution_max_b1_gaussian_conv,3,11,4301,0.0035407631724221527,0.628088320760727,24,0.6,0.576771240234375,0.806,0.6751102813720703,0.7618,3.908422119140625,0.21,3.869282275390625,0.2057
resolution_max_b1_gaussian_conv,3,12,4692,0.003296186246472237,0.5967305729579926,24,0.6,0.5158372192382813,0.83,0.6413630737304687,0.7772,3.793844970703125,0.184,3.788398388671875,0.175
resolution_max_b1_gaussian_conv,3,13,5083,0.0030427962913086395,0.6775227060985565,32,0.5,0.5994507446289062,0.798,0.6947248291015625,0.7592,3.77213720703125,0.332,3.9144196044921875,0.3114
resolution_max_b1_gaussian_conv,3,14,5474,0.0027833980942373526,0.6072519632816314,32,0.5,0.54574462890625,0.826,0.6443946075439453,0.7738,3.353955078125,0.328,3.4578903564453123,0.3263
resolution_max_b1_gaussian_conv,3,15,5865,0.0025208629481234496,0.5716798104667663,32,0.5,0.5114505310058594,0.856,0.6135607238769532,0.7876,2.933918212890625,0.322,3.0035066162109376,0.3329
resolution_max_b1_gaussian_conv,3,16,6256,0.0022580968688929426,0.5675037570762634,32,0.4,0.505935302734375,0.838,0.6015765106201172,0.792,0.7912998046875,0.73,0.8569844848632813,0.7031
resolution_max_b1_gaussian_conv,3,17,6647,0.0019980084286831713,0.5198304379463196,32,0.4,0.514737060546875,0.826,0.6159345306396484,0.7873,0.8292581787109375,0.702,0.9131645080566406,0.6819
resolution_max_b1_gaussian_conv,3,18,7038,0.0017434765606983522,0.48977722299575804,32,0.4,0.4402979736328125,0.852,0.5715590560913086,0.8049,0.7009938354492188,0.764,0.7900265838623047,0.727
resolution_max_b1_gaussian_conv,3,19,7429,0.0014973186921401005,0.5073840737533569,32,0.3,0.44885943603515627,0.858,0.5769907318115234,0.8008,0.4540448303222656,0.854,0.5831041397094726,0.7978
resolution_max_b1_gaussian_conv,3,20,7820,0.0012622595579512698,0.46869582093715667,32,0.3,0.4270281677246094,0.862,0.5625050903320312,0.8053,0.43098931884765623,0.862,0.5672312149047851,0.804
resolution_max_b1_gaussian_conv,3,21,8211,0.0010409010405754784,0.444254651556015,32,0.3,0.39656304931640624,0.882,0.5503963684082032,0.8117,0.39912942504882815,0.878,0.5541552352905273,0.8117
resolution_max_b1_gaussian_conv,3,22,8602,0.0008356933695777008,0.42846887188911437,32,0.0,0.39639352416992185,0.88,0.5531729614257812,0.8108,0.39639352416992185,0.88,0.5531729614257812,0.8108
resolution_max_b1_gaussian_conv,3,23,8993,0.0006489079999188671,0.4115885336875916,32,0.0,0.36522430419921875,0.892,0.551381396484375,0.8125,0.36522430419921875,0.892,0.551381396484375,0.8125
resolution_max_b1_gaussian_conv,3,24,9384,0.0004826124690963721,0.396116277756691,32,0.0,0.3590489501953125,0.894,0.548380029296875,0.8113,0.3590489501953125,0.894,0.548380029296875,0.8113
resolution_max_b1_gaussian_conv,3,25,9775,0.0003386475114581614,0.3869871420431137,32,0.0,0.34690985107421873,0.892,0.5478011047363281,0.8128,0.34690985107421873,0.892,0.5478011047363281,0.8128
resolution_max_b1_gaussian_conv,3,26,10166,0.00021860668301331375,0.37727286848068237,32,0.0,0.3427614440917969,0.9,0.5478219116210937,0.8133,0.3427614440917969,0.9,0.5478219116210937,0.8133
resolution_max_b1_gaussian_conv,3,27,10557,0.00012381872227320984,0.37329366730213165,32,0.0,0.33383038330078124,0.906,0.5436491897583008,0.8122,0.33383038330078124,0.906,0.5436491897583008,0.8122
resolution_max_b1_gaussian_conv,3,28,10948,5.53328423720989e-05,0.3668281076097488,32,0.0,0.3382140808105469,0.89,0.5452852371215821,0.8136,0.3382140808105469,0.89,0.5452852371215821,0.8136
resolution_max_b1_gaussian_conv,3,29,11339,1.3907117269393864e-05,0.36625580392360685,32,0.0,0.3345403442382813,0.9,0.5406871826171875,0.8144,0.3345403442382813,0.9,0.5406871826171875,0.8144
resolution_max_b1_gaussian_conv,3,30,11730,9.058745198409212e-11,0.36420818866252896,32,0.0,0.3329942626953125,0.904,0.5436371322631836,0.8153,0.3329942626953125,0.904,0.5436371322631836,0.8153
gaussian_postrelu,1,0,0,8.333333333333333e-05,,,,2.455652587890625,0.1,2.458291809082031,0.1,2.553639892578125,0.1,2.5560952514648436,0.1
gaussian_postrelu,1,1,391,0.004990141512569891,1.7444045184707642,,1.0,1.49100634765625,0.484,1.4734012329101562,0.4534,2.728997314453125,0.178,2.73562099609375,0.177
gaussian_postrelu,1,2,782,0.004953056580549272,1.36584195892334,,1.0,1.322298583984375,0.526,1.2994422790527345,0.5211,3.0393173828125,0.146,3.0727239868164062,0.1673
gaussian_postrelu,1,3,1173,0.004888818630747975,1.2164825569915771,,1.0,1.1612958984375,0.572,1.1830009460449218,0.5675,3.5508623046875,0.186,3.5569133422851564,0.1834
gaussian_postrelu,1,4,1564,0.004798138716554241,1.0772397754859924,,0.85,0.9751134033203125,0.648,0.9960911743164063,0.6423,3.42183203125,0.198,3.4412498046875,0.2021
gaussian_postrelu,1,5,1955,0.004682020578909872,0.9686018572235108,,0.85,0.8249973754882812,0.706,0.9404286163330078,0.6642,5.00719091796875,0.106,5.0165246337890625,0.1092
gaussian_postrelu,1,6,2346,0.004541749535846712,0.8924571089172363,,0.85,0.8441514282226562,0.706,0.8758033599853515,0.6837,4.86437890625,0.146,4.8174531982421875,0.145
gaussian_postrelu,1,7,2737,0.0043788782552308895,0.8178212191390991,,0.7,0.7297208251953125,0.76,0.8207771179199219,0.7097,3.82022216796875,0.178,3.792617810058594,0.1861
gaussian_postrelu,1,8,3128,0.004195209568197074,0.7655064019584655,,0.7,0.6735450439453124,0.758,0.7745500244140625,0.7294,4.017423828125,0.164,4.007381555175781,0.1692
gaussian_postrelu,1,9,3519,0.0039927765135118086,0.7249573244094849,,0.7,0.6227109375,0.796,0.7423716064453125,0.7379,5.02185009765625,0.128,5.0182197265625,0.1307
gaussian_postrelu,1,10,3910,0.0037738198337559444,0.6729775047111511,,0.6,0.5896790771484375,0.784,0.7159632141113281,0.7486,3.134244140625,0.274,3.1321832397460936,0.2721
gaussian_postrelu,1,11,4301,0.0035407631724221527,0.6397961538982392,,0.6,0.5620443115234375,0.792,0.6986917724609375,0.7546,3.56498486328125,0.22,3.549398156738281,0.2185
gaussian_postrelu,1,12,4692,0.003296186246472237,0.6062843581867218,,0.6,0.5071509399414063,0.838,0.6652256408691406,0.7735,3.415669189453125,0.21,3.426569580078125,0.2135
gaussian_postrelu,1,13,5083,0.0030427962913086395,0.5850191983127594,,0.5,0.5273821411132813,0.82,0.6518482849121093,0.7747,2.32635009765625,0.356,2.303385681152344,0.3524
gaussian_postrelu,1,14,5474,0.0027833980942373526,0.5543539752197265,,0.5,0.4639852905273438,0.848,0.6290640228271485,0.7821,1.90554931640625,0.462,1.9588241027832032,0.4239
gaussian_postrelu,1,15,5865,0.0025208629481234496,0.5195541969776154,,0.5,0.45761431884765624,0.848,0.6068252746582031,0.7892,2.380442626953125,0.376,2.3828789306640625,0.3666
gaussian_postrelu,1,16,6256,0.0022580968688929426,0.5536053758907318,,0.4,0.4884588928222656,0.844,0.6273363464355469,0.7833,0.7958349609375,0.728,0.8865362579345704,0.6927
gaussian_postrelu,1,17,6647,0.0019980084286831713,0.499209788980484,,0.4,0.44920330810546877,0.854,0.6277395446777344,0.7842,0.74726953125,0.732,0.8693766174316406,0.7005
gaussian_postrelu,1,18,7038,0.0017434765606983522,0.46996730882644655,,0.4,0.4313319091796875,0.854,0.6128021514892578,0.7901,0.7712909545898438,0.738,0.910768228149414,0.6933
gaussian_postrelu,1,19,7429,0.0014973186921401005,0.511055153427124,,0.3,0.436480712890625,0.856,0.6318710479736328,0.7798,0.45110394287109373,0.86,0.6412149047851563,0.7786
gaussian_postrelu,1,20,7820,0.0012622595579512698,0.46332281494140626,,0.3,0.3889455871582031,0.874,0.6091989807128906,0.79,0.3985395812988281,0.868,0.6178196792602539,0.7866
gaussian_postrelu,1,21,8211,0.0010409010405754784,0.43788616156578064,,0.3,0.36129800415039065,0.882,0.6131278411865234,0.7871,0.37243988037109377,0.882,0.6243443572998046,0.7827
gaussian_postrelu,1,22,8602,0.0008356933695777008,0.4211382350444794,,0.0,0.35800384521484374,0.876,0.6020676895141601,0.7959,0.35800384521484374,0.876,0.6020676895141601,0.7959
gaussian_postrelu,1,23,8993,0.0006489079999188671,0.40058418811798097,,0.0,0.34081353759765626,0.906,0.6057402404785156,0.7936,0.34081353759765626,0.906,0.6057402404785156,0.7936
gaussian_postrelu,1,24,9384,0.0004826124690963721,0.3824158335494995,,0.0,0.31680673217773436,0.9,0.5982055160522461,0.7982,0.31680673217773436,0.9,0.5982055160522461,0.7982
gaussian_postrelu,1,25,9775,0.0003386475114581614,0.3729712702703476,,0.0,0.3163192138671875,0.9,0.5935863510131836,0.7998,0.3163192138671875,0.9,0.5935863510131836,0.7998
