kind,method,seed,grid,checkpoint_update,state_label,a_dir0,b_dir1,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.225,0.25,2.2256640625,0.367,2.1242501220703125,0.376
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.25,1.4384278564453126,0.533,1.5366454467773438,0.504
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.225,1.36299658203125,0.556,1.4729757080078125,0.525
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.2,1.3075296020507812,0.573,1.423640869140625,0.544
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.175,1.268918212890625,0.602,1.3834853515625,0.562
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.15,1.2388260498046875,0.606,1.3515860595703124,0.584
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.125,1.218029541015625,0.62,1.3208449096679689,0.594
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.09999999999999998,1.1968277587890626,0.622,1.291024169921875,0.602
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.07499999999999998,1.1847718505859375,0.625,1.2774697875976562,0.609
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.04999999999999999,1.1876534423828125,0.629,1.276724853515625,0.607
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,-0.024999999999999994,1.2054557495117189,0.623,1.28742138671875,0.613
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.0,1.2380533447265625,0.609,1.3122196044921874,0.605
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.025000000000000022,1.2859732666015624,0.593,1.3494168090820313,0.598
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.050000000000000044,1.3495197143554687,0.581,1.394504638671875,0.582
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.07500000000000001,1.4217399291992188,0.546,1.4474749755859375,0.559
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.10000000000000003,1.5012423706054687,0.528,1.5064112548828126,0.531
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.125,1.5885020751953125,0.518,1.5761509399414062,0.516
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.15000000000000002,1.6818115234375,0.488,1.6517815551757813,0.494
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.17500000000000004,1.7823280639648438,0.467,1.7325997314453125,0.482
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.2,1.8864486083984375,0.44,1.819816650390625,0.447
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.22500000000000003,1.9863400268554687,0.416,1.9119371337890625,0.419
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.2,0.25,2.0856203002929687,0.391,2.013252685546875,0.398
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.25,1.2819827880859376,0.575,1.3650447998046875,0.536
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.225,1.1942455444335938,0.603,1.2927420043945312,0.561
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.2,1.1251256103515626,0.62,1.2375233154296874,0.591
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.175,1.076290771484375,0.642,1.1976962280273438,0.613
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.15,1.0441637573242188,0.655,1.1701919555664062,0.628
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.125,1.0246185302734374,0.668,1.14819873046875,0.637
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.09999999999999998,1.015219970703125,0.674,1.13416796875,0.646
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.07499999999999998,1.0122113647460937,0.681,1.1274534912109375,0.645
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.04999999999999999,1.0155313110351563,0.668,1.130682373046875,0.648
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,-0.024999999999999994,1.0349664611816407,0.662,1.1445890502929688,0.646
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.0,1.070511962890625,0.644,1.1702276000976561,0.651
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.025000000000000022,1.1219727172851564,0.63,1.2090369262695313,0.634
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.050000000000000044,1.18551416015625,0.615,1.2541710205078125,0.623
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.07500000000000001,1.2585232543945313,0.598,1.3057702026367188,0.601
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.10000000000000003,1.341314697265625,0.581,1.3652349853515624,0.577
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.125,1.4303724365234376,0.559,1.43471875,0.547
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.15000000000000002,1.52336572265625,0.52,1.5144487915039062,0.526
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.17500000000000004,1.6257058715820312,0.5,1.601970947265625,0.508
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.2,1.7332163696289062,0.475,1.6952241821289062,0.485
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.22500000000000003,1.83844091796875,0.453,1.7934420166015625,0.452
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.175,0.25,1.9464432373046876,0.418,1.90141162109375,0.418
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.25,1.1427291870117187,0.631,1.2292349243164062,0.584
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.225,1.0446682739257813,0.653,1.1418020629882812,0.601
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.2,0.9673561706542969,0.68,1.0747020874023439,0.642
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.175,0.9077977294921875,0.693,1.028043701171875,0.661
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.15,0.8661204833984375,0.712,1.0016774291992188,0.668
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.125,0.8410298461914063,0.718,0.9818181457519531,0.677
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.09999999999999998,0.8343202514648438,0.719,0.976366943359375,0.681
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.07499999999999998,0.8407595520019531,0.721,0.9807044677734374,0.683
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.04999999999999999,0.85104541015625,0.712,0.98883642578125,0.684
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,-0.024999999999999994,0.8725664672851563,0.702,1.0065572509765626,0.677
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.0,0.9070504760742187,0.69,1.0340128784179687,0.671
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.025000000000000022,0.959662841796875,0.676,1.0735167846679687,0.673
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.050000000000000044,1.0262711181640625,0.66,1.1201116333007812,0.655
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.07500000000000001,1.1000118408203126,0.635,1.1707304077148437,0.635
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.10000000000000003,1.183897216796875,0.619,1.23028515625,0.616
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.125,1.2738245849609375,0.587,1.2997850341796875,0.583
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.15000000000000002,1.3691080322265625,0.56,1.3804302978515626,0.562
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.17500000000000004,1.4714791259765625,0.538,1.471874755859375,0.537
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.2,1.581062255859375,0.517,1.5706177978515625,0.51
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.22500000000000003,1.6951238403320312,0.49,1.674349853515625,0.48
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.15,0.25,1.8106277465820313,0.453,1.7847410278320313,0.452
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.25,1.0481676025390625,0.658,1.148357177734375,0.628
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.225,0.935111572265625,0.688,1.0470560607910155,0.66
final,resolution_max_b1_gaussian_conv,3,21,11730,final,-0.125,-0.2,0.8433769226074219,0.716,0.95969921875,0.685
