method,seed,checkpoint_update,state_label,resolution,sigma_G,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,saved,,0.0,0,0.980883056640625,0.648,1.0572351684570314,0.626
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,,0.0,0,0.9783525390625,0.644,1.0530419921875,0.621
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.025,1,0.9905537109375,0.639,1.0616255187988282,0.605
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.025,-1,0.9895800476074219,0.633,1.0626558532714845,0.621
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.05,1,1.0293533935546875,0.626,1.0894797973632813,0.599
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.05,-1,1.019990264892578,0.627,1.088760986328125,0.612
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.1,1,1.1494678955078126,0.6,1.1829046630859374,0.586
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.1,-1,1.1322708129882812,0.572,1.2027159423828124,0.58
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.2,1,1.4664589233398437,0.492,1.5027579956054689,0.486
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.2,-1,1.4467127075195312,0.453,1.5018094482421875,0.473
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.25,1,1.6435145263671875,0.45,1.6851528930664061,0.427
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,0,0.25,-1,1.6048143920898437,0.397,1.638269287109375,0.425
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,saved,,0.0,0,1.3195908813476562,0.534,1.3624722290039062,0.534
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,,0.0,0,1.042334228515625,0.637,1.1045864868164061,0.6
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.025,1,1.0537078857421875,0.626,1.1113953857421874,0.593
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.025,-1,1.0487197875976562,0.627,1.1113724365234374,0.6
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.05,1,1.0838614501953125,0.614,1.1366483154296876,0.583
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.05,-1,1.0699122314453124,0.622,1.1277454223632812,0.593
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.1,1,1.1791512451171875,0.58,1.2145839233398437,0.564
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.1,-1,1.150792236328125,0.574,1.20478759765625,0.578
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.2,1,1.4210216064453125,0.492,1.4417669677734375,0.474
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.2,-1,1.3968020629882814,0.474,1.4459585571289062,0.477
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.25,1,1.5598025512695313,0.452,1.5765778198242189,0.442
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,0,0.25,-1,1.5288229370117188,0.416,1.5707972412109374,0.426
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,saved,,0.0,0,4.1914599609375,0.184,4.162722412109375,0.178
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,,0.0,0,1.7477396850585938,0.363,1.760478271484375,0.341
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.025,1,1.7486495971679688,0.362,1.7624697875976563,0.345
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.025,-1,1.753986083984375,0.358,1.7673577270507812,0.338
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.05,1,1.7594346313476563,0.355,1.7737567138671875,0.334
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.05,-1,1.7682202758789063,0.354,1.7785341796875,0.33
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.1,1,1.8013050537109374,0.353,1.8104481201171876,0.324
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.1,-1,1.813061279296875,0.342,1.8188442993164062,0.329
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.2,1,1.9197840576171874,0.283,1.915666748046875,0.28
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.2,-1,1.9404739990234374,0.251,1.9356683959960939,0.252
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.25,1,1.9865654907226562,0.267,1.97523193359375,0.267
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,0,0.25,-1,2.0056143188476563,0.227,1.9939366455078125,0.237
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.025,1,0.9922337951660156,0.635,1.0612045288085938,0.61
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.025,-1,0.9751388244628906,0.65,1.0559705810546876,0.617
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.05,1,1.0186536865234375,0.621,1.083201416015625,0.601
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.05,-1,0.9845359497070313,0.654,1.0668373107910156,0.604
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.1,1,1.11162548828125,0.593,1.1705179443359375,0.563
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.1,-1,1.0377550048828126,0.631,1.108315673828125,0.589
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.2,1,1.3970387573242187,0.501,1.4356719970703125,0.47
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.2,-1,1.2297963256835938,0.567,1.261069580078125,0.532
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.25,1,1.5535532836914063,0.441,1.576771484375,0.426
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,1,0.25,-1,1.3474965209960938,0.526,1.365295166015625,0.507
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.025,1,1.0490125122070313,0.626,1.11117822265625,0.592
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.025,-1,1.044965576171875,0.636,1.1065960693359376,0.597
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.05,1,1.0652479248046876,0.613,1.1292030029296876,0.588
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.05,-1,1.0566821899414063,0.625,1.1178414916992188,0.592
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.1,1,1.1344318237304687,0.593,1.1988599853515625,0.563
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.1,-1,1.103815185546875,0.598,1.1590639038085937,0.578
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.2,1,1.36809521484375,0.492,1.4289326782226563,0.48
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.2,-1,1.2717074584960937,0.556,1.2925452880859376,0.534
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.25,1,1.5038103637695313,0.449,1.558044677734375,0.414
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,1,0.25,-1,1.3751705932617186,0.521,1.3807799682617188,0.501
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.025,1,1.7541127319335938,0.363,1.7663101806640624,0.34
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.025,-1,1.747851318359375,0.36,1.7610971069335937,0.343
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.05,1,1.76782177734375,0.357,1.7799904174804688,0.321
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.05,-1,1.7541939086914062,0.358,1.7663116455078125,0.336
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.1,1,1.8182738647460936,0.329,1.831544921875,0.288
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.1,-1,1.7830662841796876,0.343,1.7902958374023437,0.328
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.2,1,1.9656401977539062,0.212,1.989515625,0.218
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.2,-1,1.8782490844726563,0.313,1.87283837890625,0.289
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.25,1,2.042556579589844,0.175,2.067820556640625,0.176
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,1,0.25,-1,1.9356648559570313,0.284,1.9250079956054686,0.273
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.025,1,0.9858243408203125,0.652,1.0675872192382811,0.601
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.025,-1,0.979286376953125,0.643,1.0486096496582031,0.621
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.05,1,1.0014244079589845,0.645,1.090586181640625,0.595
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.05,-1,0.9886627807617188,0.643,1.0531841125488282,0.616
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.1,1,1.0602449951171875,0.612,1.164353271484375,0.574
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.1,-1,1.03466357421875,0.619,1.0961202392578124,0.602
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.2,1,1.2870401611328126,0.55,1.4003516845703126,0.508
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.2,-1,1.218093505859375,0.556,1.2646409912109375,0.544
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.25,1,1.4520430908203126,0.485,1.5468685302734375,0.462
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,2,0.25,-1,1.3369285888671876,0.503,1.3791886596679688,0.511
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.025,1,1.050078125,0.63,1.1115505981445313,0.604
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.025,-1,1.04177392578125,0.633,1.1037637939453124,0.593
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.05,1,1.0655407104492187,0.626,1.1280421142578125,0.594
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.05,-1,1.0510444946289061,0.625,1.111895751953125,0.59
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.1,1,1.1170009155273437,0.594,1.1809473876953125,0.578
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.1,-1,1.0913754272460938,0.602,1.151020263671875,0.569
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.2,1,1.3015368041992188,0.531,1.368135009765625,0.52
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.2,-1,1.2340582885742188,0.555,1.28999658203125,0.538
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.25,1,1.4328871459960937,0.486,1.49229296875,0.47
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,2,0.25,-1,1.3263914794921876,0.504,1.37750732421875,0.496
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.025,1,1.7527232666015624,0.355,1.767416259765625,0.344
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.025,-1,1.7473895874023437,0.366,1.75800390625,0.333
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.05,1,1.7625205078125,0.356,1.7775499267578125,0.344
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.05,-1,1.7519549560546874,0.37,1.7607169189453125,0.336
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.1,1,1.7962468872070312,0.341,1.8121221923828126,0.333
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.1,-1,1.774634765625,0.361,1.781735595703125,0.341
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.2,1,1.9041144409179687,0.308,1.9238135986328124,0.294
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.2,-1,1.8581000366210938,0.289,1.8693280029296875,0.293
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.25,1,1.96997021484375,0.298,1.9872390747070312,0.28
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,2,0.25,-1,1.9120473022460938,0.265,1.9212968139648436,0.269
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.025,1,0.9939942016601563,0.642,1.0600218811035156,0.604
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.025,-1,0.9804161987304687,0.646,1.062688720703125,0.611
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.05,1,1.0331944580078125,0.629,1.0831774291992187,0.597
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.05,-1,1.00199658203125,0.64,1.0894481811523438,0.61
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.1,1,1.138281005859375,0.599,1.1573526000976562,0.579
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.1,-1,1.0933930053710939,0.591,1.1992826538085937,0.562
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.2,1,1.3673340454101564,0.509,1.3470198364257813,0.516
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.2,-1,1.3646553955078125,0.496,1.512104248046875,0.459
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.25,1,1.4758961181640624,0.481,1.45280908203125,0.483
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,3,0.25,-1,1.5145748901367186,0.45,1.67472265625,0.4
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.025,1,1.0586072998046876,0.631,1.1125479125976563,0.598
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.025,-1,1.0412088623046876,0.634,1.1100244750976562,0.6
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.05,1,1.0889986572265624,0.603,1.133838623046875,0.578
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.05,-1,1.0551820068359374,0.626,1.128591064453125,0.595
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.1,1,1.1712366943359376,0.584,1.194106689453125,0.557
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.1,-1,1.1187914428710937,0.601,1.2061500854492186,0.571
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.2,1,1.3595711669921875,0.502,1.3574456787109375,0.493
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.2,-1,1.3155997314453125,0.517,1.4366923217773437,0.475
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.25,1,1.4560814208984374,0.471,1.4512529296875,0.459
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,3,0.25,-1,1.4363489990234375,0.469,1.5626309204101563,0.429
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.025,1,1.7516965942382812,0.355,1.7632142333984375,0.342
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.025,-1,1.7515908203125,0.362,1.7648911743164062,0.34
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.05,1,1.7646424560546874,0.349,1.7726303100585938,0.337
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.05,-1,1.7634757080078125,0.354,1.7794552001953126,0.34
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.1,1,1.8023649291992188,0.324,1.8031121826171874,0.331
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.1,-1,1.8049863891601563,0.343,1.8270325927734374,0.315
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.2,1,1.8892410888671876,0.288,1.8839169311523438,0.288
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.2,-1,1.8977039794921875,0.297,1.932963623046875,0.254
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.25,1,1.9339710693359375,0.272,1.929329345703125,0.27
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,3,0.25,-1,1.9523330078125,0.257,1.9971065063476563,0.226
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.025,1,0.9814898681640625,0.643,1.0533468627929687,0.619
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.025,-1,0.9857418212890625,0.65,1.0596500549316406,0.619
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.05,1,0.9962794189453125,0.635,1.060748291015625,0.613
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.05,-1,1.0002905883789062,0.649,1.0728497924804687,0.606
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.1,1,1.0591145629882812,0.623,1.1027605590820313,0.612
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.1,-1,1.0510114135742188,0.635,1.115549072265625,0.579
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.2,1,1.3334151611328124,0.522,1.333174560546875,0.521
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.2,-1,1.2438292236328126,0.554,1.2839113159179687,0.539
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.25,1,1.50535107421875,0.465,1.4964891357421874,0.463
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,4,0.25,-1,1.3895030517578124,0.501,1.4154418334960936,0.495
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.025,1,1.0476953735351562,0.625,1.1044509887695313,0.608
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.025,-1,1.0467246704101563,0.626,1.111560302734375,0.595
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.05,1,1.0620828247070313,0.613,1.1125299682617187,0.602
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.05,-1,1.0577666625976563,0.617,1.12385302734375,0.591
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.1,1,1.1161724853515624,0.599,1.1563323974609374,0.593
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.1,-1,1.0978139038085937,0.619,1.1656717529296876,0.571
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.2,1,1.3417120971679688,0.514,1.3552141723632813,0.515
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.2,-1,1.2484887084960938,0.553,1.3116336669921875,0.509
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.25,1,1.49329931640625,0.452,1.5008902587890625,0.458
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,4,0.25,-1,1.3640880737304688,0.496,1.4178231201171876,0.466
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.025,1,1.7559503173828126,0.359,1.77097802734375,0.338
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.025,-1,1.7448765869140626,0.369,1.7552940063476563,0.346
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.05,1,1.7706288452148438,0.356,1.7861887817382813,0.332
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.05,-1,1.7471029052734375,0.365,1.7546580810546875,0.345
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.1,1,1.819612548828125,0.332,1.8336002807617187,0.329
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.1,-1,1.7631035766601562,0.348,1.7638954467773438,0.341
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.2,1,1.981970703125,0.255,1.9885951538085938,0.253
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.2,-1,1.826705322265625,0.327,1.8179925537109376,0.327
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.25,1,2.071577880859375,0.244,2.0745126953125,0.23
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,4,0.25,-1,1.8714907836914063,0.293,1.8628748779296875,0.309
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.025,1,0.9883648376464844,0.644,1.0607003784179687,0.615
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.025,-1,0.9779379272460937,0.649,1.0515288696289062,0.617
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.05,1,1.0075323486328125,0.636,1.0753515625,0.602
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.05,-1,0.9890408935546875,0.639,1.0570208435058595,0.615
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.1,1,1.074223388671875,0.617,1.1305260009765625,0.59
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.1,-1,1.0419075317382813,0.619,1.0949735107421874,0.601
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.2,1,1.2962977294921876,0.523,1.3256851806640626,0.517
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.2,-1,1.2253642578125,0.562,1.2539002075195314,0.539
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.25,1,1.4337730712890624,0.477,1.4586414794921876,0.478
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,5,0.25,-1,1.3527691650390625,0.528,1.3675757446289063,0.509
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.025,1,1.04736181640625,0.631,1.1081986083984374,0.602
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.025,-1,1.0448192138671875,0.63,1.1053563842773437,0.599
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.05,1,1.0597779541015624,0.623,1.1172946166992188,0.59
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.05,-1,1.0553809814453126,0.624,1.1129244384765624,0.592
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.1,1,1.1036390991210938,0.598,1.1529846801757813,0.586
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.1,-1,1.0977088012695313,0.623,1.1498574829101562,0.577
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.2,1,1.2653238525390624,0.542,1.2853447875976562,0.537
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.2,-1,1.2463077392578126,0.557,1.2807333374023437,0.528
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.25,1,1.370901611328125,0.511,1.3827091674804688,0.51
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,5,0.25,-1,1.3460318603515624,0.525,1.3711785278320312,0.492
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.025,1,1.7523815307617188,0.355,1.76141015625,0.346
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.025,-1,1.74672314453125,0.368,1.762707763671875,0.342
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.05,1,1.7601178588867188,0.355,1.7671583862304687,0.335
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.05,-1,1.7499749755859375,0.365,1.768176513671875,0.335
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.1,1,1.7839366455078125,0.354,1.786044677734375,0.339
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.1,-1,1.7702421875,0.364,1.7893717041015624,0.33
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.2,1,1.8548788452148437,0.318,1.8515615844726563,0.313
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.2,-1,1.8522427978515625,0.325,1.86742724609375,0.297
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.25,1,1.8997014770507812,0.293,1.8955039672851564,0.303
resolution_max_b1_gaussian_conv,3,1173,final,32,0.0,recalibrated,5,0.25,-1,1.9066580810546876,0.289,1.9153561401367187,0.265
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.025,1,0.9789957275390625,0.645,1.0551621704101561,0.611
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.025,-1,0.9842110900878906,0.647,1.0578404541015625,0.621
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.05,1,0.9868446655273437,0.649,1.0641439208984376,0.597
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.05,-1,0.9968516235351562,0.633,1.0672315368652343,0.611
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.1,1,1.0315924682617188,0.628,1.1039841918945312,0.599
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.1,-1,1.042650634765625,0.612,1.0996029663085938,0.601
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.2,1,1.255144775390625,0.543,1.3093214721679687,0.526
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.2,-1,1.19362451171875,0.576,1.2232474365234376,0.551
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.25,1,1.4174947509765625,0.497,1.4645341186523437,0.462
resolution_max_b1_gaussian_conv,3,1173,before,16,1.0,recalibrated,6,0.25,-1,1.2902844848632813,0.544,1.3130927124023437,0.523
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,6,0.025,1,1.0451416625976562,0.633,1.106055908203125,0.603
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,6,0.025,-1,1.046068359375,0.64,1.107109375,0.595
resolution_max_b1_gaussian_conv,3,1173,after,16,0.85,recalibrated,6,0.05,1,1.0546396484375,0.618,1.1127130737304687,0.599
