method,seed,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,1,saved,11,0.05,-1,0.3665075073242188,0.871,0.6143760986328125,0.79
resolution_max_b1_gaussian_conv,1,recalibrated,11,0.05,-1,0.32070816040039063,0.9,0.5736893005371094,0.793
resolution_max_b1_gaussian_conv,1,saved,11,0.1,1,0.603255615234375,0.791,0.832310791015625,0.725
resolution_max_b1_gaussian_conv,1,recalibrated,11,0.1,1,0.4190787658691406,0.853,0.64498779296875,0.779
resolution_max_b1_gaussian_conv,1,saved,11,0.1,-1,0.63461962890625,0.785,0.8769426879882812,0.725
resolution_max_b1_gaussian_conv,1,recalibrated,11,0.1,-1,0.4004907836914062,0.853,0.6415850830078125,0.777
resolution_max_b1_gaussian_conv,1,saved,11,0.2,1,1.5929849853515625,0.494,1.7457294311523437,0.488
resolution_max_b1_gaussian_conv,1,recalibrated,11,0.2,1,0.7857603759765625,0.721,0.9516858215332031,0.688
resolution_max_b1_gaussian_conv,1,saved,11,0.2,-1,2.1697236328125,0.484,2.416183837890625,0.446
resolution_max_b1_gaussian_conv,1,recalibrated,11,0.2,-1,0.6875204467773437,0.77,0.9072661437988281,0.699
resolution_max_b1_gaussian_conv,1,saved,11,0.25,1,2.3919180908203126,0.351,2.5178067626953125,0.341
resolution_max_b1_gaussian_conv,1,recalibrated,11,0.25,1,1.0487371826171874,0.631,1.20742578125,0.612
resolution_max_b1_gaussian_conv,1,saved,11,0.25,-1,3.575352294921875,0.321,3.871027099609375,0.285
resolution_max_b1_gaussian_conv,1,recalibrated,11,0.25,-1,0.9046302795410156,0.707,1.1088572998046875,0.656
resolution_max_b1_gaussian_conv,1,saved,12,0.025,1,0.3106988525390625,0.898,0.571677978515625,0.802
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.025,1,0.3036971130371094,0.907,0.5557980346679687,0.808
resolution_max_b1_gaussian_conv,1,saved,12,0.025,-1,0.3196748962402344,0.892,0.5712453918457031,0.802
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.025,-1,0.30535809326171875,0.901,0.560137451171875,0.801
resolution_max_b1_gaussian_conv,1,saved,12,0.05,1,0.36480140686035156,0.875,0.6212427673339844,0.784
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.05,1,0.3287359161376953,0.895,0.5714468688964843,0.805
resolution_max_b1_gaussian_conv,1,saved,12,0.05,-1,0.40240135192871096,0.868,0.6321159057617187,0.787
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.05,-1,0.33668768310546876,0.892,0.5774819946289063,0.792
resolution_max_b1_gaussian_conv,1,saved,12,0.1,1,0.5808924255371094,0.796,0.8179963989257812,0.727
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.1,1,0.4166435241699219,0.854,0.6410016479492188,0.783
resolution_max_b1_gaussian_conv,1,saved,12,0.1,-1,0.8365744934082031,0.729,1.020574188232422,0.684
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.1,-1,0.43023138427734375,0.858,0.6458704528808594,0.773
resolution_max_b1_gaussian_conv,1,saved,12,0.2,1,1.6086145629882813,0.516,1.816457763671875,0.5
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.2,1,0.7246246032714844,0.743,0.9112979736328125,0.695
resolution_max_b1_gaussian_conv,1,saved,12,0.2,-1,4.98175634765625,0.269,4.8901728515625,0.273
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.2,-1,0.779448974609375,0.747,0.9244213256835937,0.696
resolution_max_b1_gaussian_conv,1,saved,12,0.25,1,2.6446947021484375,0.363,2.808095703125,0.351
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.25,1,0.9595515441894531,0.669,1.1195669555664063,0.629
resolution_max_b1_gaussian_conv,1,saved,12,0.25,-1,8.72475830078125,0.154,8.555849609375,0.165
resolution_max_b1_gaussian_conv,1,recalibrated,12,0.25,-1,1.0194324340820313,0.677,1.1106455078125,0.622
resolution_max_b1_gaussian_conv,1,saved,13,0.025,1,0.3112975158691406,0.906,0.5701756591796875,0.804
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.025,1,0.3006164245605469,0.912,0.5578846130371093,0.798
resolution_max_b1_gaussian_conv,1,saved,13,0.025,-1,0.31854150390625,0.897,0.5696007385253906,0.794
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.025,-1,0.3103897247314453,0.898,0.5572984924316406,0.802
resolution_max_b1_gaussian_conv,1,saved,13,0.05,1,0.3716707153320313,0.875,0.6204396362304687,0.791
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.05,1,0.3272046813964844,0.897,0.5752792053222656,0.8
resolution_max_b1_gaussian_conv,1,saved,13,0.05,-1,0.39505859375,0.866,0.6358418884277344,0.776
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.05,-1,0.34394281005859373,0.884,0.5779724426269531,0.804
resolution_max_b1_gaussian_conv,1,saved,13,0.1,1,0.5935200500488281,0.79,0.8185528564453125,0.735
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.1,1,0.4124527282714844,0.862,0.6460845031738282,0.775
resolution_max_b1_gaussian_conv,1,saved,13,0.1,-1,0.7431265258789063,0.752,0.947315185546875,0.693
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.1,-1,0.4600682678222656,0.845,0.66582666015625,0.772
resolution_max_b1_gaussian_conv,1,saved,13,0.2,1,1.5708704223632812,0.559,1.7301187133789062,0.531
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.2,1,0.7482251281738281,0.734,0.9475794372558594,0.683
resolution_max_b1_gaussian_conv,1,saved,13,0.2,-1,2.30293505859375,0.444,2.392161865234375,0.422
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.2,-1,0.8624324645996094,0.712,0.9529090576171875,0.688
resolution_max_b1_gaussian_conv,1,saved,13,0.25,1,2.337404296875,0.43,2.4867584228515627,0.428
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.25,1,1.0392951049804688,0.638,1.2105010986328124,0.593
resolution_max_b1_gaussian_conv,1,saved,13,0.25,-1,3.37343701171875,0.331,3.4318499755859375,0.316
resolution_max_b1_gaussian_conv,1,recalibrated,13,0.25,-1,1.13094287109375,0.651,1.166118408203125,0.628
resolution_max_b1_gaussian_conv,1,saved,14,0.025,1,0.31000318908691404,0.895,0.5653526611328125,0.796
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.025,1,0.30309176635742185,0.906,0.5506435546875,0.798
resolution_max_b1_gaussian_conv,1,saved,14,0.025,-1,0.3136163787841797,0.905,0.5697953491210938,0.805
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.025,-1,0.3006311950683594,0.906,0.5575867614746094,0.806
resolution_max_b1_gaussian_conv,1,saved,14,0.05,1,0.3714776153564453,0.866,0.6170157470703125,0.788
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.05,1,0.324861328125,0.89,0.5560762023925782,0.799
resolution_max_b1_gaussian_conv,1,saved,14,0.05,-1,0.3625966033935547,0.886,0.6103706359863281,0.789
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.05,-1,0.31886106872558595,0.899,0.5665845336914063,0.811
resolution_max_b1_gaussian_conv,1,saved,14,0.1,1,0.7014198608398438,0.764,0.9097883911132812,0.706
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.1,1,0.40502186584472655,0.852,0.596181884765625,0.778
resolution_max_b1_gaussian_conv,1,saved,14,0.1,-1,0.5389408264160156,0.812,0.7664637145996094,0.725
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.1,-1,0.38723173522949217,0.872,0.6058477172851563,0.8
resolution_max_b1_gaussian_conv,1,saved,14,0.2,1,2.9647921142578126,0.417,2.945913330078125,0.405
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.2,1,0.7608090209960937,0.758,0.8554213256835937,0.704
resolution_max_b1_gaussian_conv,1,saved,14,0.2,-1,1.3129986572265624,0.599,1.426626953125,0.594
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.2,-1,0.6884201965332031,0.752,0.8352273864746094,0.722
resolution_max_b1_gaussian_conv,1,saved,14,0.25,1,5.143697265625,0.284,5.04052783203125,0.269
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.25,1,1.0535453491210938,0.662,1.1210286254882813,0.643
resolution_max_b1_gaussian_conv,1,saved,14,0.25,-1,1.989587890625,0.467,2.0532093505859375,0.473
resolution_max_b1_gaussian_conv,1,recalibrated,14,0.25,-1,0.9207398071289062,0.694,1.0387759704589843,0.664
resolution_max_b1_gaussian_conv,1,saved,15,0.025,1,0.3119490661621094,0.907,0.5632054138183594,0.806
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.025,1,0.2995636138916016,0.911,0.5533287658691406,0.806
resolution_max_b1_gaussian_conv,1,saved,15,0.025,-1,0.3047179260253906,0.902,0.5678355102539062,0.8
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.025,-1,0.3006014099121094,0.902,0.5568137817382812,0.802
resolution_max_b1_gaussian_conv,1,saved,15,0.05,1,0.36108505249023437,0.878,0.6002764892578125,0.803
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.05,1,0.3141130218505859,0.899,0.559677490234375,0.806
resolution_max_b1_gaussian_conv,1,saved,15,0.05,-1,0.3467957763671875,0.88,0.6061268615722656,0.79
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.05,-1,0.3158130340576172,0.897,0.5689878540039063,0.797
resolution_max_b1_gaussian_conv,1,saved,15,0.1,1,0.5694480285644531,0.791,0.7821408996582031,0.73
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.1,1,0.3679438018798828,0.875,0.5965151672363281,0.804
resolution_max_b1_gaussian_conv,1,saved,15,0.1,-1,0.5297007141113281,0.82,0.7765538635253906,0.744
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.1,-1,0.37060592651367186,0.873,0.6138398132324219,0.782
resolution_max_b1_gaussian_conv,1,saved,15,0.2,1,1.5900661010742188,0.546,1.7570744018554687,0.492
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.2,1,0.5748607177734375,0.798,0.7824045104980468,0.735
resolution_max_b1_gaussian_conv,1,saved,15,0.2,-1,1.5696510009765625,0.571,1.8221046142578126,0.529
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.2,-1,0.593209228515625,0.791,0.8131858520507812,0.733
resolution_max_b1_gaussian_conv,1,saved,15,0.25,1,2.5324202880859374,0.39,2.6650712890625,0.388
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.25,1,0.7390857238769531,0.74,0.9379326171875,0.686
resolution_max_b1_gaussian_conv,1,saved,15,0.25,-1,2.607568603515625,0.435,2.87599560546875,0.395
resolution_max_b1_gaussian_conv,1,recalibrated,15,0.25,-1,0.7777029113769531,0.722,0.9838972778320313,0.674
resolution_max_b1_gaussian_conv,1,saved,16,0.025,1,0.29899485778808593,0.907,0.55765087890625,0.795
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.025,1,0.29880316162109377,0.911,0.5558845825195312,0.802
resolution_max_b1_gaussian_conv,1,saved,16,0.025,-1,0.3111334075927734,0.899,0.5636716918945313,0.8
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.025,-1,0.3038805999755859,0.908,0.5556286926269531,0.806
resolution_max_b1_gaussian_conv,1,saved,16,0.05,1,0.3278710632324219,0.893,0.5787389526367187,0.792
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.05,1,0.3128159484863281,0.902,0.5638073425292969,0.802
resolution_max_b1_gaussian_conv,1,saved,16,0.05,-1,0.3506510314941406,0.879,0.591916259765625,0.798
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.05,-1,0.32314349365234374,0.892,0.567597900390625,0.801
resolution_max_b1_gaussian_conv,1,saved,16,0.1,1,0.4635269775390625,0.835,0.6727017822265625,0.778
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.1,1,0.3696789398193359,0.869,0.5993819580078125,0.795
resolution_max_b1_gaussian_conv,1,saved,16,0.1,-1,0.4975889587402344,0.815,0.7109490051269531,0.752
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.1,-1,0.3921045227050781,0.865,0.6103033447265624,0.791
resolution_max_b1_gaussian_conv,1,saved,16,0.2,1,1.1383637084960938,0.618,1.2557438354492187,0.595
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.2,1,0.5847739868164062,0.794,0.7561253662109375,0.739
resolution_max_b1_gaussian_conv,1,saved,16,0.2,-1,1.2347206420898438,0.596,1.3950821533203126,0.575
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.2,-1,0.6435723876953126,0.782,0.826270751953125,0.72
resolution_max_b1_gaussian_conv,1,saved,16,0.25,1,1.6637863159179687,0.506,1.76549169921875,0.482
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.25,1,0.74795947265625,0.742,0.8882814331054687,0.704
resolution_max_b1_gaussian_conv,1,saved,16,0.25,-1,2.0092002563476563,0.451,2.144252685546875,0.443
resolution_max_b1_gaussian_conv,1,recalibrated,16,0.25,-1,0.8447191772460938,0.715,1.0148348388671875,0.664
resolution_max_b1_gaussian_conv,1,saved,17,0.025,1,0.3563868408203125,0.873,0.5972749938964844,0.802
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.025,1,0.30525096130371093,0.905,0.5503741149902344,0.8
resolution_max_b1_gaussian_conv,1,saved,17,0.025,-1,0.3419581298828125,0.875,0.6065224609375,0.784
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.025,-1,0.3020099792480469,0.904,0.56014697265625,0.806
resolution_max_b1_gaussian_conv,1,saved,17,0.05,1,0.5393623962402344,0.805,0.7581441345214843,0.76
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.05,1,0.32693775939941405,0.889,0.5604189147949219,0.798
resolution_max_b1_gaussian_conv,1,saved,17,0.05,-1,0.5064300231933594,0.81,0.7666104125976563,0.739
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.05,-1,0.3257722930908203,0.885,0.5740602416992188,0.807
resolution_max_b1_gaussian_conv,1,saved,17,0.1,1,1.3541280517578125,0.634,1.4867072143554687,0.611
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.1,1,0.4014501190185547,0.861,0.6163584594726562,0.787
resolution_max_b1_gaussian_conv,1,saved,17,0.1,-1,1.26559814453125,0.6,1.523412841796875,0.555
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.1,-1,0.4106351623535156,0.861,0.6365946655273438,0.787
resolution_max_b1_gaussian_conv,1,saved,17,0.2,1,4.72904931640625,0.399,4.83073046875,0.369
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.2,1,0.6605084533691407,0.775,0.8482449340820313,0.706
resolution_max_b1_gaussian_conv,1,saved,17,0.2,-1,4.45636669921875,0.25,4.575541015625,0.261
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.2,-1,0.6975260925292969,0.752,0.8974058227539062,0.699
resolution_max_b1_gaussian_conv,1,saved,17,0.25,1,7.182825439453125,0.303,7.32076220703125,0.279
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.25,1,0.8562700805664063,0.713,1.02378857421875,0.652
resolution_max_b1_gaussian_conv,1,saved,17,0.25,-1,6.31921630859375,0.2,6.3802314453125,0.204
resolution_max_b1_gaussian_conv,1,recalibrated,17,0.25,-1,0.8956905517578125,0.686,1.0978981018066407,0.643
resolution_max_b1_gaussian_conv,1,saved,18,0.025,1,0.3262011413574219,0.893,0.5709179382324219,0.805
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.025,1,0.30825497436523436,0.903,0.559753173828125,0.803
resolution_max_b1_gaussian_conv,1,saved,18,0.025,-1,0.304826416015625,0.912,0.5712310791015625,0.799
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.025,-1,0.3007789001464844,0.912,0.5564875793457031,0.801
resolution_max_b1_gaussian_conv,1,saved,18,0.05,1,0.4113415069580078,0.85,0.6309328002929687,0.786
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.05,1,0.3399344024658203,0.881,0.578318359375,0.795
resolution_max_b1_gaussian_conv,1,saved,18,0.05,-1,0.36064044189453126,0.874,0.6255826721191406,0.786
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.05,-1,0.3224457702636719,0.9,0.5735579223632813,0.8
resolution_max_b1_gaussian_conv,1,saved,18,0.1,1,0.7720587768554688,0.735,0.9278995056152344,0.689
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.1,1,0.4581429901123047,0.83,0.6627318420410157,0.767
resolution_max_b1_gaussian_conv,1,saved,18,0.1,-1,0.6411314086914063,0.771,0.8819452209472656,0.706
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.1,-1,0.4115150451660156,0.858,0.6336084594726562,0.788
resolution_max_b1_gaussian_conv,1,saved,18,0.2,1,2.49220556640625,0.419,2.42396728515625,0.416
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.2,1,0.8866493835449218,0.701,1.0193597412109374,0.645
resolution_max_b1_gaussian_conv,1,saved,18,0.2,-1,2.3445670166015624,0.444,2.518881103515625,0.429
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.2,-1,0.7662809143066406,0.719,0.91258251953125,0.698
resolution_max_b1_gaussian_conv,1,saved,18,0.25,1,3.70620263671875,0.304,3.6049564208984375,0.296
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.25,1,1.2063531494140625,0.618,1.3031483154296875,0.592
resolution_max_b1_gaussian_conv,1,saved,18,0.25,-1,3.9646917724609376,0.28,4.0688955078125,0.298
resolution_max_b1_gaussian_conv,1,recalibrated,18,0.25,-1,1.0307297973632812,0.634,1.1361554565429688,0.644
resolution_max_b1_gaussian_conv,1,saved,19,0.025,1,0.326416748046875,0.894,0.5831376647949219,0.803
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.025,1,0.3012633972167969,0.9,0.5628773193359375,0.804
resolution_max_b1_gaussian_conv,1,saved,19,0.025,-1,0.3149327850341797,0.887,0.5704201965332031,0.791
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.025,-1,0.30102316284179687,0.907,0.5507569885253907,0.808
resolution_max_b1_gaussian_conv,1,saved,19,0.05,1,0.4221146545410156,0.841,0.6699327392578125,0.782
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.05,1,0.3195940856933594,0.894,0.5825116882324218,0.802
resolution_max_b1_gaussian_conv,1,saved,19,0.05,-1,0.38609771728515624,0.865,0.6320005493164063,0.777
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.05,-1,0.3185140228271484,0.894,0.5578764343261718,0.799
resolution_max_b1_gaussian_conv,1,saved,19,0.1,1,0.85306494140625,0.714,1.0775728759765626,0.677
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.1,1,0.38732781982421877,0.872,0.6491614990234374,0.781
resolution_max_b1_gaussian_conv,1,saved,19,0.1,-1,0.6824928588867187,0.779,0.9136378784179687,0.704
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.1,-1,0.3841603393554687,0.873,0.6041209716796875,0.782
resolution_max_b1_gaussian_conv,1,saved,19,0.2,1,3.046693115234375,0.388,3.2143917236328123,0.377
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.2,1,0.6410898132324219,0.789,0.8927206420898437,0.701
resolution_max_b1_gaussian_conv,1,saved,19,0.2,-1,2.202806640625,0.497,2.3403499755859376,0.49
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.2,-1,0.6427066040039062,0.768,0.8135694274902344,0.717
resolution_max_b1_gaussian_conv,1,saved,19,0.25,1,4.732761962890625,0.27,4.86473876953125,0.28
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.25,1,0.8546245727539062,0.703,1.0794293212890624,0.648
resolution_max_b1_gaussian_conv,1,saved,19,0.25,-1,3.635641845703125,0.363,3.699357666015625,0.366
resolution_max_b1_gaussian_conv,1,recalibrated,19,0.25,-1,0.8425019226074218,0.699,0.9956768188476562,0.652
resolution_max_b1_gaussian_conv,4,saved,,0.0,0,0.29715513610839844,0.904,0.5009721374511719,0.829
resolution_max_b1_gaussian_conv,4,recalibrated,,0.0,0,0.29518101501464844,0.906,0.4987561950683594,0.835
resolution_max_b1_gaussian_conv,4,saved,0,0.025,1,0.32176416015625,0.9,0.5255457000732422,0.821
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.025,1,0.31086474609375,0.908,0.5053679504394532,0.833
resolution_max_b1_gaussian_conv,4,saved,0,0.025,-1,0.3253625335693359,0.887,0.5138128662109375,0.828
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.025,-1,0.30750347900390623,0.899,0.5063656158447266,0.83
resolution_max_b1_gaussian_conv,4,saved,0,0.05,1,0.3986141967773438,0.867,0.5921135559082031,0.796
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.05,1,0.3500130615234375,0.885,0.5294798278808593,0.824
resolution_max_b1_gaussian_conv,4,saved,0,0.05,-1,0.39848257446289065,0.858,0.5726359558105468,0.817
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.05,-1,0.34564608764648436,0.884,0.536700439453125,0.817
resolution_max_b1_gaussian_conv,4,saved,0,0.1,1,0.732729736328125,0.754,0.8588428649902343,0.709
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.1,1,0.47881626892089846,0.833,0.6075038146972657,0.792
resolution_max_b1_gaussian_conv,4,saved,0,0.1,-1,0.647002197265625,0.77,0.813242431640625,0.741
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.1,-1,0.4599624786376953,0.84,0.6248342895507812,0.795
resolution_max_b1_gaussian_conv,4,saved,0,0.2,1,2.3893251953125,0.424,2.3881390380859373,0.404
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.2,1,0.9335154724121094,0.691,0.9615330810546875,0.686
resolution_max_b1_gaussian_conv,4,saved,0,0.2,-1,1.7333383178710937,0.52,1.9187652587890625,0.504
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.2,-1,0.7628492431640626,0.736,0.8972793579101562,0.697
resolution_max_b1_gaussian_conv,4,saved,0,0.25,1,3.7184072265625,0.286,3.6807581787109376,0.298
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.25,1,1.2240849609375,0.617,1.2201256103515625,0.614
resolution_max_b1_gaussian_conv,4,saved,0,0.25,-1,2.6663411865234377,0.385,2.8417110595703123,0.406
resolution_max_b1_gaussian_conv,4,recalibrated,0,0.25,-1,0.9695339660644531,0.68,1.070825927734375,0.648
resolution_max_b1_gaussian_conv,4,saved,1,0.025,1,0.33416477966308594,0.886,0.5324813079833984,0.831
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.025,1,0.30833424377441404,0.904,0.5128756866455079,0.825
resolution_max_b1_gaussian_conv,4,saved,1,0.025,-1,0.3272308044433594,0.891,0.5247402954101562,0.829
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.025,-1,0.3082941741943359,0.904,0.5039337310791016,0.84
resolution_max_b1_gaussian_conv,4,saved,1,0.05,1,0.41620828247070313,0.852,0.6151145629882813,0.797
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.05,1,0.34575221252441407,0.888,0.5482785339355469,0.811
resolution_max_b1_gaussian_conv,4,saved,1,0.05,-1,0.4305209503173828,0.853,0.6198520202636719,0.79
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.05,-1,0.3406712646484375,0.887,0.524253173828125,0.837
resolution_max_b1_gaussian_conv,4,saved,1,0.1,1,0.6988244934082031,0.772,0.9070678100585937,0.71
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.1,1,0.477499267578125,0.828,0.6770051879882812,0.763
resolution_max_b1_gaussian_conv,4,saved,1,0.1,-1,0.9402200012207031,0.705,1.0829971313476563,0.668
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.1,-1,0.4495280914306641,0.842,0.5946945495605469,0.802
resolution_max_b1_gaussian_conv,4,saved,1,0.2,1,2.230060791015625,0.423,2.2795450439453124,0.417
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.2,1,0.9600052795410157,0.677,1.1280299072265625,0.628
resolution_max_b1_gaussian_conv,4,saved,1,0.2,-1,2.97635009765625,0.354,3.076947265625,0.335
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.2,-1,0.8057041625976562,0.733,0.8903551635742187,0.703
resolution_max_b1_gaussian_conv,4,saved,1,0.25,1,3.5286688232421874,0.276,3.482296630859375,0.294
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.25,1,1.2730877075195313,0.575,1.4000699462890625,0.543
resolution_max_b1_gaussian_conv,4,saved,1,0.25,-1,3.9914190673828127,0.262,4.122161499023438,0.25
resolution_max_b1_gaussian_conv,4,recalibrated,1,0.25,-1,1.0549990844726562,0.653,1.1253901977539063,0.622
resolution_max_b1_gaussian_conv,4,saved,2,0.025,1,0.3004648742675781,0.912,0.5140815124511718,0.83
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.025,1,0.29931671142578126,0.912,0.501960220336914,0.829
resolution_max_b1_gaussian_conv,4,saved,2,0.025,-1,0.32015802001953125,0.893,0.5099586334228515,0.828
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.025,-1,0.30455746459960936,0.903,0.5059428405761719,0.827
resolution_max_b1_gaussian_conv,4,saved,2,0.05,1,0.3318768310546875,0.903,0.5489105834960938,0.819
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.05,1,0.3158585205078125,0.903,0.5148572692871094,0.828
resolution_max_b1_gaussian_conv,4,saved,2,0.05,-1,0.36312939453125,0.877,0.54253173828125,0.816
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.05,-1,0.32266041564941406,0.892,0.521302001953125,0.819
resolution_max_b1_gaussian_conv,4,saved,2,0.1,1,0.487654296875,0.833,0.69523779296875,0.77
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.1,1,0.3784459075927734,0.881,0.569385986328125,0.813
resolution_max_b1_gaussian_conv,4,saved,2,0.1,-1,0.5202183532714844,0.813,0.6946695251464844,0.777
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.1,-1,0.3868799438476562,0.863,0.592990966796875,0.802
resolution_max_b1_gaussian_conv,4,saved,2,0.2,1,1.4792582397460938,0.536,1.5897581787109376,0.527
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.2,1,0.6247801513671875,0.792,0.7757010498046875,0.746
resolution_max_b1_gaussian_conv,4,saved,2,0.2,-1,1.3334105224609376,0.573,1.4806195678710938,0.549
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.2,-1,0.6639059143066406,0.758,0.9070315856933594,0.706
resolution_max_b1_gaussian_conv,4,saved,2,0.25,1,2.514190185546875,0.382,2.536953857421875,0.395
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.25,1,0.8182987060546875,0.725,0.9335894165039063,0.692
resolution_max_b1_gaussian_conv,4,saved,2,0.25,-1,2.195572509765625,0.407,2.295395751953125,0.398
resolution_max_b1_gaussian_conv,4,recalibrated,2,0.25,-1,0.8903072509765625,0.696,1.1337374267578124,0.632
resolution_max_b1_gaussian_conv,4,saved,3,0.025,1,0.31833758544921875,0.9,0.5109193725585938,0.827
resolution_max_b1_gaussian_conv,4,recalibrated,3,0.025,1,0.3012919616699219,0.909,0.500623291015625,0.831
resolution_max_b1_gaussian_conv,4,saved,3,0.025,-1,0.34578890991210937,0.877,0.5446900024414062,0.829
resolution_max_b1_gaussian_conv,4,recalibrated,3,0.025,-1,0.3129384765625,0.896,0.5075493774414063,0.83
resolution_max_b1_gaussian_conv,4,saved,3,0.05,1,0.41197328186035154,0.858,0.58466796875,0.81
resolution_max_b1_gaussian_conv,4,recalibrated,3,0.05,1,0.32915104675292967,0.896,0.5202665100097656,0.826
