seed,method,checkpoint,update,used_in_fit,dist_to_mean,resid_2pc,resid_5pc,resid_10pc,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
3,plain,epoch_000.pt,0,True,7.60146132878765,7.535230327567881,2.544725971408006,1.030081470955039,-0.778843956024586,0.6292220082917631,0.1734979183088424,-7.086222367942481,0.2437557063016392,-0.5736237779543508,0.4255490297157512,-1.976762476502899,0.6929129388300521,-0.7188240314005339
3,plain,epoch_001.pt,391,True,6.710653764680456,6.628616855215841,2.172885278745905,1.4098634870011302,-0.3775522909931493,0.9755853646576167,-0.0874046178224171,-6.258127004705159,-0.21292675835702543,-0.7781285163184867,0.1458203913809823,-1.3783409760019019,0.002328695807543635,-0.4551247512618367
3,plain,epoch_002.pt,782,True,6.264205712193877,6.081550255570673,2.407966162203304,1.8677402410656796,0.04862810176818251,1.500884739534985,-0.4603030260592647,-5.51980515160969,-0.7119162065716753,-1.1946165215125923,-0.29922047611784386,-0.7060159571391386,-0.3717374425656476,-0.39567492399776116
3,plain,epoch_003.pt,1173,True,6.03251705018653,5.672123455917824,2.659993955866413,1.9303814608920176,0.4473266219275127,2.0045389382430887,-0.9024700794536307,-4.805423391952619,-1.0912701011633366,-1.567751038676638,-0.7385505765607848,-0.054425906237278374,-0.49000375450377226,-0.32066981239694203
3,plain,epoch_004.pt,1564,True,5.965246713296894,5.3475244125322074,2.856890669894317,1.7609519462787981,0.8335752150941074,2.5086457240217284,-1.3505948303507276,-4.09561815249449,-1.3549902568232586,-1.8344024880031677,-1.0968620116448289,0.4773911120765568,-0.46171416663922416,-0.22726974387138896
3,plain,epoch_005.pt,1955,True,5.99480467601461,5.0657470232229,2.9393481432181146,1.4660597259035741,1.1895162949503781,2.9767333075575526,-1.7699211254475096,-3.4135679380126036,-1.4956465286018248,-1.9681057263754214,-1.316981353763374,0.8675571960377848,-0.3377949415878269,-0.1256799101363253
3,plain,epoch_006.pt,2346,True,6.123175176401542,4.84081380456359,2.9526787294106493,1.1813321943072026,1.516316568342651,3.429370206760485,-2.1690996222586527,-2.7697890799108142,-1.529196486022425,-1.996013949803283,-1.4264444725402525,1.1259721357774746,-0.18930730865302003,-0.01731753737302122
3,plain,epoch_007.pt,2737,True,6.302456470171289,4.650366097509108,2.890744880818285,0.9985023064923634,1.801963256206808,3.8533078180729534,-2.5316122526712417,-2.1617884617578658,-1.4788877319189848,-1.924136596904697,-1.4399296919108175,1.2567379490405102,-0.032752164875938176,0.056894392074683386
3,plain,epoch_008.pt,3128,True,6.517531047961287,4.5190898521254,2.789285064210056,0.9783743645763584,2.042267125722918,4.229087709748706,-2.875043773169588,-1.5903451418285226,-1.3590392026644418,-1.786584918296542,-1.3848172764801856,1.2981592894354543,0.10818750558562654,0.1279380144056802
3,plain,epoch_009.pt,3519,True,6.766180027961884,4.440893768708693,2.6392485664219043,1.0658839452344486,2.277346162333729,4.56873605746036,-3.1858978004584704,-1.0613682102369966,-1.2163293949123053,-1.5916529604996705,-1.2762106118965815,1.2651328742773862,0.20354748645404075,0.1595586702363343
