arm,seed,target_val.accuracy,target_val.ce,target_train_probe.accuracy,target_train_probe.ce
A,0,0.8464,0.6752853454589843,1.0,0.0028635445594787597
A,1,0.8422,0.6533213714599609,0.9998,0.004046648454666138
A,2,0.8346,0.6979821899414063,1.0,0.003209384799003601
W,0,0.8286,0.7005807373046875,1.0,0.0031142112255096435
W,1,0.8306,0.6931599060058594,1.0,0.0030895335674285887
W,2,0.8288,0.7400725341796875,1.0,0.002933331346511841
P,0,0.826,0.7400187194824219,1.0,0.00321881468296051
P,1,0.8352,0.6833358520507813,1.0,0.003128793954849243
P,2,0.8346,0.7114352844238281,1.0,0.003034945321083069
