seed,evr_pc1,evr_pc1_2,evr_pc1_4,evr_pc1_10,median_unexplained_frac_2pc,max_unexplained_frac_2pc,median_unexplained_frac_5pc,max_unexplained_frac_5pc,median_unexplained_frac_10pc,max_unexplained_frac_10pc
0,0.31780697073577047,0.579296005243752,0.9341835645750618,0.9861226796368167,0.36959112663418214,0.9922968985554,0.05321024239308826,0.31090814342855577,0.01808309530552579,0.10421633350582424
1,0.30892373863799893,0.5898671313667041,0.9328167560266005,0.985760742923821,0.5054621662377172,0.9945361149835487,0.0712983208855483,0.23257951196904156,0.01882541733390685,0.08732678013583887
2,0.3096358881993704,0.5691442625287912,0.9319576344040228,0.9857770033156248,0.4896554467856167,0.9969403405501647,0.06204136533401787,0.3271734200394912,0.019420708877688972,0.09982708154927981
3,0.3038152813175986,0.5716917780185986,0.9339387421976426,0.9860082456413082,0.3701961136620242,0.994527165154687,0.05604418258757632,0.27339162503558206,0.019288998580618437,0.10239745432764827
4,0.3024690448541577,0.5661476766178026,0.9319053757210674,0.9855445766608583,0.3644258576396986,0.9945827414749344,0.05980038904199007,0.2860698688884834,0.01967679267253057,0.09700530624426712
