method,seed,epoch,update,state_label,state,produced_state,next_update_state,equals_final,policy,split,centre_ce,centre_acc,S_eps0.1,n_dirs_eps0.1,S_eps0.25,n_dirs_eps0.25
plain,1,18,7038,produced,plain,plain,plain,True,recalibrated,train_probe,0.3522136535644531,0.887,0.15073960876464845,10,0.8719652694702148,10
plain,1,18,7038,produced,plain,plain,plain,True,recalibrated,test_probe,0.695422119140625,0.769,0.09801795959472656,10,0.6732238342285155,10
plain,1,21,8211,produced,plain,plain,plain,True,saved,train_probe,0.3094393920898437,0.894,0.8145782516479493,10,5.560379943847656,10
plain,1,21,8211,produced,plain,plain,plain,True,saved,test_probe,0.734305419921875,0.767,0.7382197204589843,10,5.192271142578124,10
plain,1,21,8211,produced,plain,plain,plain,True,recalibrated,train_probe,0.27862744140625,0.911,0.18141552734375002,10,1.0070831314086914,10
plain,1,21,8211,produced,plain,plain,plain,True,recalibrated,test_probe,0.704830810546875,0.771,0.1017474166870117,10,0.7472911743164061,10
plain,1,30,11730,produced,plain,plain,-,True,saved,train_probe,0.19680810546875,0.948,0.9118539718627929,10,6.362302575683594,10
plain,1,30,11730,produced,plain,plain,-,True,saved,test_probe,0.7176654968261719,0.768,0.8047332885742188,10,5.89986630859375,10
plain,1,30,11730,produced,plain,plain,-,True,recalibrated,train_probe,0.19905135345458985,0.949,0.2198763870239258,10,1.1752786880493162,10
plain,1,30,11730,produced,plain,plain,-,True,recalibrated,test_probe,0.7145313110351562,0.772,0.11957045440673833,10,0.8526654022216797,10
plain,2,3,1173,produced,plain,plain,plain,True,saved,train_probe,1.2149671630859376,0.541,0.20569504089355467,10,1.7016467590332032,10
plain,2,3,1173,produced,plain,plain,plain,True,saved,test_probe,1.2507769775390625,0.514,0.20247817382812502,10,1.6641309875488282,10
plain,2,3,1173,produced,plain,plain,plain,True,recalibrated,train_probe,1.1782116088867187,0.561,0.05473556213378912,10,0.3449132171630859,10
plain,2,3,1173,produced,plain,plain,plain,True,recalibrated,test_probe,1.2088558959960938,0.532,0.054156787109375014,10,0.340444760131836,10
plain,2,6,2346,produced,plain,plain,plain,True,saved,train_probe,0.9095829467773437,0.669,0.23678452453613286,10,1.729429083251953,10
plain,2,6,2346,produced,plain,plain,plain,True,saved,test_probe,1.0045806274414062,0.643,0.23961312713623045,10,1.7046327575683595,10
plain,2,6,2346,produced,plain,plain,plain,True,recalibrated,train_probe,0.8741836853027344,0.691,0.06905076751708984,10,0.40568544921875,10
