method,seed,policy,split,centre_ce,centre_acc
gaussian_postrelu,4,saved,test_probe,0.5957620849609375,0.791
gaussian_postrelu,4,recalibrated,train_probe,0.26275741577148437,0.924
gaussian_postrelu,4,recalibrated,test_probe,0.5919629516601562,0.791
gaussian_postrelu,4,centre_frozen,train_probe,0.26275741577148437,0.924
gaussian_postrelu,4,centre_frozen,test_probe,0.5919629516601562,0.791
resolution_max_b1_gaussian_conv,0,saved,train_probe,0.30663037109375,0.905
resolution_max_b1_gaussian_conv,0,saved,test_probe,0.5324288635253906,0.817
resolution_max_b1_gaussian_conv,0,recalibrated,train_probe,0.30662591552734375,0.903
resolution_max_b1_gaussian_conv,0,recalibrated,test_probe,0.5280258178710937,0.819
resolution_max_b1_gaussian_conv,0,centre_frozen,train_probe,0.30662591552734375,0.903
resolution_max_b1_gaussian_conv,0,centre_frozen,test_probe,0.5280258178710937,0.819
resolution_max_b1_gaussian_conv,1,saved,train_probe,0.2933417663574219,0.913
resolution_max_b1_gaussian_conv,1,saved,test_probe,0.5529106140136719,0.803
resolution_max_b1_gaussian_conv,1,recalibrated,train_probe,0.2950891418457031,0.909
resolution_max_b1_gaussian_conv,1,recalibrated,test_probe,0.5520675659179688,0.806
resolution_max_b1_gaussian_conv,1,centre_frozen,train_probe,0.2950891418457031,0.909
resolution_max_b1_gaussian_conv,1,centre_frozen,test_probe,0.5520675659179688,0.806
resolution_max_b1_gaussian_conv,2,saved,train_probe,0.29345413208007814,0.912
resolution_max_b1_gaussian_conv,2,saved,test_probe,0.5439988098144531,0.819
resolution_max_b1_gaussian_conv,2,recalibrated,train_probe,0.29257167053222655,0.91
resolution_max_b1_gaussian_conv,2,recalibrated,test_probe,0.5407951049804688,0.819
resolution_max_b1_gaussian_conv,2,centre_frozen,train_probe,0.29257167053222655,0.91
resolution_max_b1_gaussian_conv,2,centre_frozen,test_probe,0.5407951049804688,0.819
resolution_max_b1_gaussian_conv,3,saved,train_probe,0.3005762481689453,0.913
resolution_max_b1_gaussian_conv,3,saved,test_probe,0.5388302001953125,0.83
resolution_max_b1_gaussian_conv,3,recalibrated,train_probe,0.3031758270263672,0.91
resolution_max_b1_gaussian_conv,3,recalibrated,test_probe,0.53676806640625,0.822
resolution_max_b1_gaussian_conv,3,centre_frozen,train_probe,0.3031758270263672,0.91
resolution_max_b1_gaussian_conv,3,centre_frozen,test_probe,0.53676806640625,0.822
resolution_max_b1_gaussian_conv,4,saved,train_probe,0.29715513610839844,0.904
resolution_max_b1_gaussian_conv,4,saved,test_probe,0.5009721374511719,0.829
resolution_max_b1_gaussian_conv,4,recalibrated,train_probe,0.29518101501464844,0.906
resolution_max_b1_gaussian_conv,4,recalibrated,test_probe,0.4987561950683594,0.835
resolution_max_b1_gaussian_conv,4,centre_frozen,train_probe,0.29518101501464844,0.906
resolution_max_b1_gaussian_conv,4,centre_frozen,test_probe,0.4987561950683594,0.835
