policy,split,method_state,method,epoch,quantity,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
saved,train_probe,produced,resolution_max_b1,3,centre_ce,5,-0.12321111450195307,0.03068919951480632,5,0,0,-0.1395040283203124,-0.11994073486328127,-0.15176248168945317,-0.0723261718749999,-0.13252215576171866
saved,train_probe,produced,resolution_max_b1,3,S_eps0.1,5,-0.0843368981933594,0.04543975138913504,5,0,0,-0.07052548522949229,-0.10807857055664058,-0.013551318359374953,-0.13268631286621096,-0.09684280395507824
saved,train_probe,produced,resolution_max_b1,3,S_eps0.25,5,-0.8235760070800782,0.2918539533680049,5,0,0,-1.1817086181640626,-0.8183879760742188,-0.38174111328125004,-0.9494466522216796,-0.7865956756591796
saved,train_probe,produced,resolution_max_b1,6,centre_ce,5,-0.09475201416015624,0.033111429928486875,5,0,0,-0.07909661865234385,-0.09938140869140621,-0.14212329101562504,-0.05193777465820304,-0.10122097778320305
saved,train_probe,produced,resolution_max_b1,6,S_eps0.1,5,-0.10406543914794919,0.052619545943919425,5,0,0,-0.046000616455078,-0.16620511932373055,-0.05694571838378901,-0.144238671875,-0.10693706970214845
saved,train_probe,produced,resolution_max_b1,6,S_eps0.25,5,-0.931307357788086,0.38491155618419054,5,0,0,-0.8247585235595698,-1.46449508972168,-0.41476226196289057,-1.090552658081055,-0.8619682556152346
saved,train_probe,produced,resolution_max_b1,9,centre_ce,5,-0.013962225341796896,0.03745594341635756,3,2,0,-0.010821533203125067,0.023203674316406242,-0.0718572387695312,-0.024063964843750063,0.01372793579101561
saved,train_probe,produced,resolution_max_b1,9,S_eps0.1,5,-0.08838254516601561,0.058580043436936256,5,0,0,-0.01896801452636715,-0.15201200561523442,-0.03685950469970703,-0.13380960235595696,-0.10026359863281248
saved,train_probe,produced,resolution_max_b1,9,S_eps0.25,5,-0.7919754516601565,0.3752184117244808,5,0,0,-0.719289642333985,-1.2897899932861334,-0.28067732849121096,-0.9849176269531246,-0.6852026672363285
saved,train_probe,produced,resolution_max_b1,12,centre_ce,5,-0.03832051391601565,0.014190157643753566,5,0,0,-0.04703521728515625,-0.05168838500976569,-0.0468184509277344,-0.025375198364257834,-0.020685317993164087
saved,train_probe,produced,resolution_max_b1,12,S_eps0.1,5,-0.10557639221191403,0.07887790254890052,5,0,0,-0.03705925140380861,-0.21074051513671865,-0.032203611755371064,-0.16314927520751957,-0.08472930755615232
saved,train_probe,produced,resolution_max_b1,12,S_eps0.25,5,-0.8900076434326174,0.5158391957219894,5,0,0,-0.8401068359375006,-1.6930335235595706,-0.32533337707519516,-0.9962888092041018,-0.5952756713867187
saved,train_probe,produced,resolution_max_b1,18,centre_ce,5,0.06897863769531247,0.03693315835979938,0,5,0,0.08452407836914061,0.06561013793945314,0.00659509277343745,0.08902392578124996,0.0991399536132812
saved,train_probe,produced,resolution_max_b1,18,S_eps0.1,5,-0.19338363067626949,0.08119850916200867,5,0,0,-0.15317565155029295,-0.29666282348632816,-0.08695961761474608,-0.24525700988769522,-0.18486305084228516
saved,train_probe,produced,resolution_max_b1,18,S_eps0.25,5,-1.146435210571289,0.4768053241085584,5,0,0,-1.5064534301757808,-1.5276444244384773,-0.3875378662109372,-1.326089358520508,-0.9844509735107412
saved,train_probe,produced,resolution_max_b1,21,centre_ce,5,0.0884443832397461,0.02340807244305381,0,5,0,0.07880049133300782,0.07283995056152348,0.07057976531982418,0.09258332061767577,0.12741838836669922
saved,train_probe,produced,resolution_max_b1,21,S_eps0.1,5,-0.2513426843261718,0.08306271457292218,5,0,0,-0.20457799530029297,-0.3308612243652344,-0.12917082977294914,-0.3051007781982421,-0.28700259399414046
saved,train_probe,produced,resolution_max_b1,21,S_eps0.25,5,-1.4435777511596677,0.45440136019046123,5,0,0,-1.7985012786865235,-1.5999460968017578,-0.6489145645141594,-1.6292030471801748,-1.5413237686157228
saved,train_probe,produced,resolution_max_b1,30,centre_ce,5,0.10828756408691406,0.0174926841178037,0,5,0,0.09702378845214843,0.10655354309082032,0.09438659667968752,0.10531915283203125,0.13815473937988282
saved,train_probe,produced,resolution_max_b1,30,S_eps0.1,5,-0.30704795471191404,0.0824421619797329,5,0,0,-0.25349973449707025,-0.358433773803711,-0.19215530395507796,-0.394103205871582,-0.33704775543212895
saved,train_probe,produced,resolution_max_b1,30,S_eps0.25,5,-1.7358149371337894,0.5302772752194665,5,0,0,-2.0510695739746105,-1.7604089569091794,-0.8400229614257819,-2.1979140686035157,-1.8296591247558598
saved,train_probe,produced,gaussian_postrelu,3,centre_ce,5,-0.09146809082031253,0.022756445407377146,5,0,0,-0.12293994140624998,-0.06094018554687497,-0.10100158691406258,-0.08749761962890634,-0.08496112060546879
saved,train_probe,produced,gaussian_postrelu,3,S_eps0.1,5,0.1253801165771485,0.04558433047823165,0,5,0,0.08836580200195315,0.11086356201171865,0.12928416137695325,0.09636580810546891,0.20202124938964855
saved,train_probe,produced,gaussian_postrelu,3,S_eps0.25,5,0.3508140997314452,0.42799248502183107,1,4,0,-0.38201407775878904,0.3586358337402338,0.5573104248046872,0.706362585449219,0.513775732421875
saved,train_probe,produced,gaussian_postrelu,6,centre_ce,5,-0.09659758300781249,0.03143128899077464,5,0,0,-0.07718374633789071,-0.08476522827148436,-0.09207128906249995,-0.07723815917968746,-0.15172949218749998
saved,train_probe,produced,gaussian_postrelu,6,S_eps0.1,5,0.19341250305175786,0.05017051374818788,0,5,0,0.18875355224609386,0.1681626342773438,0.21812521362304677,0.1297352142333985,0.26228590087890635
saved,train_probe,produced,gaussian_postrelu,6,S_eps0.25,5,0.6940596337890625,0.2969304772638361,0,5,0,0.7064073059082037,0.4504980468749995,1.1902332946777343,0.4844241180419919,0.6387354034423829
saved,train_probe,produced,gaussian_postrelu,9,centre_ce,5,-0.06581416015625,0.029746978003569145,5,0,0,-0.0913316345214844,-0.02651031494140621,-0.09938061523437491,-0.05918481445312507,-0.05266342163085935
