problem,method,seed,source_probe,source_policy,coords,vector,eval_policy,t,train_probe_ce,test_probe_ce,train_probe_acc,test_probe_acc
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.2,8578157.568,8574368.768,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.1,37701.336,37682.888,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.05,1264.7533125,1263.72425,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.02,113.4703515625,113.0621875,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.01,39.681677734375,39.796646484375,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.005,15.50968701171875,15.9453740234375,0.18,0.172
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.002,4.434327392578125,5.113098876953125,0.373,0.344
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.001,1.5094063110351563,2.1660410766601563,0.652,0.549
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,-0.0005,0.5753907165527343,1.1665435791015626,0.799,0.647
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.0,0.2235287322998047,0.7621461791992188,0.941,0.739
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.0005,0.6250416259765625,1.1780254516601563,0.767,0.666
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.001,2.210958251953125,2.7556529541015626,0.496,0.457
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.002,8.8519306640625,9.4198251953125,0.165,0.152
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.005,35.832017578125,36.0818984375,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.01,90.1905546875,90.4324453125,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.02,311.7321875,312.110203125,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.05,5431.306,5428.41975,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.1,256722.584,256198.952,0.1,0.1
plain_s0_train_saved_rel,plain,0,train_probe,saved,relative,top1,saved,0.2,89783623.68,89340039.168,0.1,0.1
