figure,method,seed,split,n_vertices,n_missing,min_ce,max_ce,min_centred,max_centred
wide_random_seed0_g41,plain,0,train_probe,1681,0,0.22218031311035155,4.40173828125,0.0,4.179557968139648
wide_random_seed0_g41,resolution_max_b1,0,train_probe,1681,0,0.31810240173339843,4.055107299804687,0.0,3.737004898071289
wide_random_seed0_g41,gaussian_postrelu,0,train_probe,1681,0,0.2824344940185547,4.235244873046875,0.0,3.9528103790283198
wide_random_seed0_g41,resolution_max_b1_gaussian_conv,0,train_probe,1681,0,0.30662591552734375,3.9363773193359375,0.0,3.629751403808594
wide_random_seed0_g41,plain,0,test_probe,1681,0,0.7525513000488281,4.42411962890625,-0.0044790954589843945,3.6670892333984373
wide_random_seed0_g41,resolution_max_b1,0,test_probe,1681,0,0.5604129028320313,3.9381363525390625,0.0,3.377723449707031
wide_random_seed0_g41,gaussian_postrelu,0,test_probe,1681,0,0.5683609161376953,4.112440673828125,0.0,3.54407975769043
wide_random_seed0_g41,resolution_max_b1_gaussian_conv,0,test_probe,1681,0,0.5280258178710937,4.05005029296875,0.0,3.5220244750976564
wide_random_allseeds_g21,plain,0,train_probe,441,0,0.22218031311035155,4.40173828125,0.0,4.179557968139648
wide_random_allseeds_g21,resolution_max_b1,0,train_probe,441,0,0.31810240173339843,4.055107299804687,0.0,3.737004898071289
wide_random_allseeds_g21,gaussian_postrelu,0,train_probe,441,0,0.2824344940185547,4.235244873046875,0.0,3.9528103790283198
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,0,train_probe,441,0,0.30662591552734375,3.9363773193359375,0.0,3.629751403808594
wide_random_allseeds_g21,plain,1,train_probe,441,0,0.19905135345458985,4.7492431640625,0.0,4.5501918106079104
wide_random_allseeds_g21,resolution_max_b1,1,train_probe,441,0,0.30492636108398435,4.243352294921875,0.0,3.9384259338378906
wide_random_allseeds_g21,gaussian_postrelu,1,train_probe,441,0,0.29103431701660154,4.227227783203125,0.0,3.936193466186523
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,1,train_probe,441,0,0.2950891418457031,4.23855712890625,0.0,3.943467987060547
wide_random_allseeds_g21,plain,2,train_probe,441,0,0.19441744995117188,5.0811181640625,0.0,4.886700714111328
wide_random_allseeds_g21,resolution_max_b1,2,train_probe,441,0,0.2894099578857422,4.09827490234375,0.0,3.8088649444580076
wide_random_allseeds_g21,gaussian_postrelu,2,train_probe,441,0,0.2518327789306641,4.519576904296875,0.0,4.267744125366211
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,2,train_probe,441,0,0.29257167053222655,4.3761103515625,0.0,4.083538681030273
wide_random_allseeds_g21,plain,3,train_probe,441,0,0.17704528045654297,4.58342041015625,0.0,4.406375129699707
wide_random_allseeds_g21,resolution_max_b1,3,train_probe,441,0,0.2843556213378906,4.549271240234375,0.0,4.2649156188964845
wide_random_allseeds_g21,gaussian_postrelu,3,train_probe,441,0,0.25617376708984374,4.565386962890625,0.0,4.3092131958007815
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,3,train_probe,441,0,0.3031758270263672,3.951415771484375,0.0,3.6482399444580076
wide_random_allseeds_g21,plain,4,train_probe,441,0,0.16457229614257812,4.4852197265625,0.0,4.320647430419922
wide_random_allseeds_g21,resolution_max_b1,4,train_probe,441,0,0.3020180816650391,3.97639306640625,0.0,3.674374984741211
wide_random_allseeds_g21,gaussian_postrelu,4,train_probe,441,0,0.26275741577148437,4.090074584960938,0.0,3.8273171691894534
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,4,train_probe,441,0,0.29518101501464844,4.151156005859375,0.0,3.855974990844726
wide_random_allseeds_g21,plain,0,test_probe,441,0,0.7570303955078125,4.42411962890625,0.0,3.6670892333984373
wide_random_allseeds_g21,resolution_max_b1,0,test_probe,441,0,0.5604129028320313,3.9381363525390625,0.0,3.377723449707031
wide_random_allseeds_g21,gaussian_postrelu,0,test_probe,441,0,0.5683609161376953,4.112440673828125,0.0,3.54407975769043
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,0,test_probe,441,0,0.5280258178710937,4.05005029296875,0.0,3.5220244750976564
wide_random_allseeds_g21,plain,1,test_probe,441,0,0.7145313110351562,4.623638671875,0.0,3.9091073608398434
wide_random_allseeds_g21,resolution_max_b1,1,test_probe,441,0,0.5631025390625,4.337776123046875,0.0,3.7746735839843746
wide_random_allseeds_g21,gaussian_postrelu,1,test_probe,441,0,0.5690420837402344,4.230039306640625,0.0,3.660997222900391
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,1,test_probe,441,0,0.5520675659179688,4.302572265625,0.0,3.7505046997070313
wide_random_allseeds_g21,plain,2,test_probe,441,0,0.7352325439453125,5.191520263671875,0.0,4.4562877197265625
wide_random_allseeds_g21,resolution_max_b1,2,test_probe,441,0,0.5525310974121094,4.086889404296875,0.0,3.5343583068847657
wide_random_allseeds_g21,gaussian_postrelu,2,test_probe,441,0,0.5980935974121093,4.482956298828125,0.0,3.884862701416015
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,2,test_probe,441,0,0.5407951049804688,4.20510986328125,0.0,3.6643147583007813
wide_random_allseeds_g21,plain,3,test_probe,441,0,0.7611475219726562,4.546028076171875,0.0,3.7848805541992183
wide_random_allseeds_g21,resolution_max_b1,3,test_probe,441,0,0.5726373291015625,4.40142431640625,0.0,3.828786987304688
wide_random_allseeds_g21,gaussian_postrelu,3,test_probe,441,0,0.5582676391601562,4.60994140625,0.0,4.051673767089843
wide_random_allseeds_g21,resolution_max_b1_gaussian_conv,3,test_probe,441,0,0.53676806640625,3.9373758544921875,0.0,3.4006077880859378
wide_random_allseeds_g21,plain,4,test_probe,441,0,0.7361421203613281,4.511383056640625,0.0,3.775240936279297
wide_random_allseeds_g21,resolution_max_b1,4,test_probe,441,0,0.5623948669433594,4.003896240234375,0.0,3.4415013732910156
wide_random_allseeds_g21,gaussian_postrelu,4,test_probe,441,0,0.5919629516601562,4.097275756835938,0.0,3.5053128051757816
