figure,method,seed,split,T1,T2,n_missing,min_ce,max_ce
hessian_plane_saved_top1_top2_seed0,plain,0,train_probe,0.0012336228849420994,0.0014851169672948318,0,0.2235287322998047,5.687130859375
hessian_plane_saved_top1_top2_seed0,resolution_max_b1,0,train_probe,0.0012336228849420994,0.0014851169672948318,0,0.3195944671630859,4.085820678710937
hessian_plane_saved_top1_top2_seed0,gaussian_postrelu,0,train_probe,0.0012336228849420994,0.0014851169672948318,0,0.28343910217285156,4.896952392578125
hessian_plane_saved_top1_top2_seed0,resolution_max_b1_gaussian_conv,0,train_probe,0.0012336228849420994,0.0014851169672948318,0,0.30663037109375,4.461707763671875
hessian_plane_saved_top1_top2_seed0,plain,0,test_probe,0.0012336228849420994,0.0014851169672948318,0,0.7582268371582032,6.30499609375
hessian_plane_saved_top1_top2_seed0,resolution_max_b1,0,test_probe,0.0012336228849420994,0.0014851169672948318,0,0.5612806396484376,4.43680908203125
hessian_plane_saved_top1_top2_seed0,gaussian_postrelu,0,test_probe,0.0012336228849420994,0.0014851169672948318,0,0.5652096557617188,5.16091845703125
hessian_plane_saved_top1_top2_seed0,resolution_max_b1_gaussian_conv,0,test_probe,0.0012336228849420994,0.0014851169672948318,0,0.5284785766601563,4.792103515625
hessian_plane_saved_top1_min_seed0,plain,0,train_probe,0.0012336228849420994,0.03384305347190719,0,0.2235287322998047,64.081861328125
hessian_plane_saved_top1_min_seed0,resolution_max_b1,0,train_probe,0.0012336228849420994,0.03384305347190719,0,0.3194952392578125,86.0361640625
hessian_plane_saved_top1_min_seed0,gaussian_postrelu,0,train_probe,0.0012336228849420994,0.03384305347190719,0,0.28328302001953126,155.248375
hessian_plane_saved_top1_min_seed0,resolution_max_b1_gaussian_conv,0,train_probe,0.0012336228849420994,0.03384305347190719,0,0.3056568603515625,82.219546875
hessian_plane_saved_top1_min_seed0,plain,0,test_probe,0.0012336228849420994,0.03384305347190719,0,0.7571816711425782,64.665919921875
hessian_plane_saved_top1_min_seed0,resolution_max_b1,0,test_probe,0.0012336228849420994,0.03384305347190719,0,0.5612806396484376,86.05855859375
hessian_plane_saved_top1_min_seed0,gaussian_postrelu,0,test_probe,0.0012336228849420994,0.03384305347190719,0,0.5624115142822266,153.8798359375
hessian_plane_saved_top1_min_seed0,resolution_max_b1_gaussian_conv,0,test_probe,0.0012336228849420994,0.03384305347190719,0,0.5281211547851562,83.12565234375
hessian_plane_centre_frozen_top1_top2_seed0,plain,0,train_probe,0.0012238799570400269,0.0014645035812604406,0,0.22218031311035155,5.783566162109375
hessian_plane_centre_frozen_top1_top2_seed0,resolution_max_b1,0,train_probe,0.0012238799570400269,0.0014645035812604406,0,0.31810240173339843,3.81938671875
hessian_plane_centre_frozen_top1_top2_seed0,gaussian_postrelu,0,train_probe,0.0012238799570400269,0.0014645035812604406,0,0.2824344940185547,4.6391142578125
hessian_plane_centre_frozen_top1_top2_seed0,resolution_max_b1_gaussian_conv,0,train_probe,0.0012238799570400269,0.0014645035812604406,0,0.30662591552734375,4.54765185546875
hessian_plane_centre_frozen_top1_top2_seed0,plain,0,test_probe,0.0012238799570400269,0.0014645035812604406,0,0.7519718627929688,6.4218212890625
hessian_plane_centre_frozen_top1_top2_seed0,resolution_max_b1,0,test_probe,0.0012238799570400269,0.0014645035812604406,0,0.5604129028320313,4.191775512695313
hessian_plane_centre_frozen_top1_top2_seed0,gaussian_postrelu,0,test_probe,0.0012238799570400269,0.0014645035812604406,0,0.567902099609375,4.904390380859375
hessian_plane_centre_frozen_top1_top2_seed0,resolution_max_b1_gaussian_conv,0,test_probe,0.0012238799570400269,0.0014645035812604406,0,0.5259335327148438,4.87285986328125
hessian_plane_centre_frozen_top1_min_seed0,plain,0,train_probe,0.0012238799570400269,0.03189886498952664,0,0.22206446075439454,171.219109375
hessian_plane_centre_frozen_top1_min_seed0,resolution_max_b1,0,train_probe,0.0012238799570400269,0.03189886498952664,0,0.31526727294921875,48.779748046875
hessian_plane_centre_frozen_top1_min_seed0,gaussian_postrelu,0,train_probe,0.0012238799570400269,0.03189886498952664,0,0.2779551086425781,143.2747109375
hessian_plane_centre_frozen_top1_min_seed0,resolution_max_b1_gaussian_conv,0,train_probe,0.0012238799570400269,0.03189886498952664,0,0.3065635528564453,102.60109375
hessian_plane_centre_frozen_top1_min_seed0,plain,0,test_probe,0.0012238799570400269,0.03189886498952664,0,0.7564522705078125,171.0786484375
hessian_plane_centre_frozen_top1_min_seed0,resolution_max_b1,0,test_probe,0.0012238799570400269,0.03189886498952664,0,0.5577645568847657,49.513283203125
hessian_plane_centre_frozen_top1_min_seed0,gaussian_postrelu,0,test_probe,0.0012238799570400269,0.03189886498952664,0,0.5674404296875,142.7255078125
hessian_plane_centre_frozen_top1_min_seed0,resolution_max_b1_gaussian_conv,0,test_probe,0.0012238799570400269,0.03189886498952664,0,0.5238863220214843,102.87523828125
