seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,test_loss_at_a0,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
0,0,0.09757352665994162,2.0851685508703572,0.22518028846153845,58.650935888290405,851.1373133939449,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],1.949916455078125,0.3012,0.3012,0.2181,2.1017762451171875,0.09781609632308379,0.08725531892834103,0.16504700230246067,0.8415836267104643,0.0,0.49983666223638196,0.0
0,1,0.08350638601239582,1.9716376625574552,0.28693910256410254,53.93830609321594,925.5018115275715,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],1.9059040893554688,0.3161,0.3161,0.249,2.0493790405273438,,,,,,,
0,2,0.060526869186137124,1.9333042367910727,0.31161858974358975,53.99928045272827,924.4567627841017,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],1.8590371215820312,0.349,0.349,0.2904,2.0069645751953127,,,,,,,
0,3,0.03461300675454026,1.9100464521310268,0.3246794871794872,53.69283103942871,929.7330580937672,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],1.83050166015625,0.3597,0.3597,0.2755,2.0227588745117187,,,,,,,
0,4,0.0129327274308504,1.8938388051130832,0.3331129807692308,53.73919129371643,928.9309868315231,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],1.8074251953125,0.3731,0.3731,0.28,2.021099377441406,,,,,,,
0,5,0.0011066207421444264,1.8830929267100798,0.3386418269230769,53.84994411468506,927.0204606653742,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.0,1.0,1.0,[1.0],1.7987115356445313,0.3748,0.3748,0.2874,2.000838122558594,0.2162574818585996,0.2477128628273602,0.17153433571077353,0.6635232759387296,0.0,0.5000868895474602,0.0
0,6,0.09973994907550722,1.8666452465913235,0.3416666666666667,53.941766023635864,925.4424480304625,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],1.819261328125,0.3499,0.3499,0.2332,2.3279376220703125,,,,,,,
0,7,0.09052961755456705,1.6778391776940762,0.3900841346153846,53.95789837837219,925.1657588652361,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],1.6320463012695312,0.4218,0.4218,0.2048,2.53168623046875,,,,,,,
0,8,0.07045940774033838,1.5801940178259826,0.42345753205128206,53.995307207107544,924.5247889510831,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],1.5841211303710938,0.4367,0.4367,0.2231,2.4583378173828123,,,,,,,
0,9,0.0448403418404785,1.5200520811936795,0.4482972756410256,53.97347140312195,924.8988197767193,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,0.8888888888888888,0.8888888888888888,0.8888888888888888,[0.8888888888888888],1.5207588134765626,0.4563,0.4563,0.2122,2.6189108642578125,,,,,,,
