seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,ce_loss,penalty_loss,anchor_lambda,anchor_term,theta_dist,alpha_mean,alpha_min_group,alpha_max_group,alpha_groups,test_loss,test_acc,test_acc_at_s1,test_acc_at_a0,test_loss_at_a0,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total,linear_gap_mean,neg_frac_mean,dead_frac_mean
1,0,0.020000000000000004,2.0791061107928934,0.22916666666666666,4.405893087387085,1133.027947112649,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.9221954345703125,1.8064157962799072,0.0001,8.680059492893708e-05,1.3809502469206314,0.961025641025641,0.961025641025641,0.961025641025641,[0.961025641025641],2.258950244140625,0.2779,0.2779,0.1923,2.1837557861328123,nan,nan,3.4969704037418867,12.082593106691174,0.02749671811622292,0.4997655223397648,0.0
1,1,0.04000000000000001,1.9618753836705134,0.30068108974358976,4.3678178787231445,1142.9047956228717,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,2.0151355266571045,6.330556869506836,0.0001,0.0002915302599393405,2.5446200495548688,0.921025641025641,0.921025641025641,0.921025641025641,[0.921025641025641],1.9911821411132813,0.2954,0.2954,0.1926,2.1450657958984376,,,,,,,
1,2,0.06,1.9307666833584125,0.297275641025641,4.54888391494751,1097.4120450944952,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.8986940383911133,13.649660110473633,0.0001,0.0006012850274306078,3.731395861875298,0.8810256410256411,0.8810256410256411,0.8810256410256411,[0.8810256410256411],1.904299267578125,0.3308,0.3308,0.1989,2.1552288818359373,,,,,,,
1,3,0.08000000000000002,1.8811749189327924,0.31790865384615385,4.387117862701416,1137.8768832360754,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.8543802499771118,27.742244720458984,0.0001,0.0011665969574757113,5.311072596756192,0.841025641025641,0.841025641025641,0.841025641025641,[0.841025641025641],1.9559110961914064,0.3271,0.3271,0.231,2.121604541015625,,,,,,,
1,4,0.1,1.811948054876083,0.343349358974359,4.324246883392334,1154.420673614227,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.7140141725540161,48.29955291748047,0.0001,0.001934459016848833,6.997198789685497,0.801025641025641,0.801025641025641,0.801025641025641,[0.801025641025641],2.051918359375,0.3046,0.3046,0.258,2.16399599609375,,,,,,,
1,5,0.09988436608295112,1.7732833532186656,0.3499599358974359,4.295950174331665,1162.0246505248683,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.706490397453308,74.52497863769531,0.0001,0.0028357709820087144,8.67297082799023,0.7610256410256411,0.7610256410256411,0.7610256410256411,[0.7610256410256411],1.8278443969726563,0.3309,0.3309,0.2278,2.1486302490234377,,,,,,,
1,6,0.09952578065845874,1.6921219917444081,0.3890224358974359,4.345296144485474,1148.8284880963165,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.607673168182373,103.35552978515625,0.0001,0.003726099355844351,10.205793485984707,0.721025641025641,0.721025641025641,0.721025641025641,[0.721025641025641],1.9827489135742187,0.3237,0.3237,0.2436,2.1802880859375,,,,,,,
1,7,0.09892591060891241,1.6677308632777288,0.3874198717948718,4.398029088973999,1135.0538841398538,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.666922926902771,135.4256134033203,0.0001,0.004611415758964343,11.672811877836574,0.681025641025641,0.681025641025641,0.681025641025641,[0.681025641025641],1.6089356811523436,0.4138,0.4138,0.3011,2.084679357910156,,,,,,,
1,8,0.0980876784408948,1.6132545073827107,0.42588141025641024,4.3062660694122314,1159.2409571388525,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.5956244468688965,170.43740844726562,0.0001,0.005462737450232872,13.08883767514942,0.641025641025641,0.641025641025641,0.641025641025641,[0.641025641025641],1.6725673217773438,0.3913,0.3913,0.3126,2.0101652465820314,,,,,,,
1,9,0.09701516793726968,1.5705437660217285,0.43209134615384615,4.316586017608643,1156.4694829747727,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.5257289409637451,208.10980224609375,0.0001,0.006253966364933894,14.462612715581106,0.601025641025641,0.601025641025641,0.601025641025641,[0.601025641025641],1.6140494140625,0.4184,0.4184,0.3158,1.9963051391601563,,,,,,,
