method,split,amplitude,n_seeds,ratio_pw_over_cf_median,ratio_pw_over_cf_min,ratio_pw_over_cf_max,delta_centre_frozen_mean,delta_centre_frozen_sd,relchange_centre_frozen_mean,n_below_plain_centre_frozen,delta_pointwise_mean,delta_pointwise_sd,relchange_pointwise_mean,n_below_plain_pointwise,delta_saved_mean,delta_saved_sd,relchange_saved_mean,n_below_plain_saved,n_seeds_sign_differs_cf_vs_pw
resolution_max_b1,train_probe,0.02,5,0.3465607014642438,0.3076633239910843,0.3835090926068503,-0.008910550308227561,0.0023313053927768996,-0.34192976568455924,5.0,-0.003330282020568841,0.0012770088570892323,-0.35691381780018056,5.0,-0.008925029869079578,0.002464793273312508,-0.34328427195523725,5.0,0.0
resolution_max_b1,train_probe,0.025,5,0.3446136230421728,0.3080304611276232,0.38113362951078683,-0.013981828689575159,0.003419871703476484,-0.3431532292643583,5.0,-0.00500147006988528,0.001863809933015542,-0.34905442019533156,5.0,-0.014055639495849601,0.0035416029442743744,-0.3457167876304201,5.0,0.0
resolution_max_b1,train_probe,0.05,5,0.32777578352027287,0.300465366233436,0.36214105071190483,-0.05972382614135746,0.01105271788792115,-0.3560215374926449,5.0,-0.017498008842468236,0.005822603916663706,-0.3268184666592034,5.0,-0.05997340679168704,0.011375132605113147,-0.35828270571170484,5.0,0.0
resolution_max_b1,train_probe,0.1,5,0.28215057291159934,0.25732842142822654,0.3082847857855837,-0.26827393005371086,0.03790528626208519,-0.3628115585526871,5.0,-0.06125487083435057,0.016809852751710187,-0.3127409321865079,5.0,-0.268175668258667,0.040460208446997575,-0.3634890367455531,5.0,0.0
resolution_max_b1,train_probe,0.2,5,0.22057567762251393,0.19553233212739243,0.22957270279104863,-1.053698433532715,0.16354339661769987,-0.3124106960646619,5.0,-0.18969011001586905,0.04369395957615665,-0.2727866906544777,5.0,-1.0575729684448247,0.15357442326720716,-0.3134645049434136,5.0,0.0
resolution_max_b1,train_probe,0.25,5,0.20771116700624478,0.18315472955792864,0.21045753017886126,-1.4621869482421879,0.27964335313555533,-0.27580384789066087,5.0,-0.25700719757080076,0.054719998547914775,-0.24914896567157854,5.0,-1.470098885803223,0.2469984442879006,-0.27719053520494047,5.0,0.0
resolution_max_b1,train_probe,0.35,5,0.18679216494581102,0.1687189572199448,0.18918358495284765,-2.0862051464843754,0.7692609800550249,-0.20695806478270704,5.0,-0.37222272491455083,0.06839424145592272,-0.2060998312078727,5.0,-2.106277615356446,0.7155323085170104,-0.20894366374620404,5.0,0.0
resolution_max_b1,train_probe,0.5,5,0.14061861116785812,0.12693653191566034,0.14400935999325853,-3.140928528442386,2.0142108318072434,-0.1455572041913688,5.0,-0.4561356893920901,0.060468740707811,-0.156485489182903,5.0,-3.185454579467774,1.9903762905621818,-0.14733126482645528,5.0,0.0
gaussian_postrelu,test_probe,0.005,5,0.40086640189492107,0.31246945379156876,0.4270872558391149,-5.668052673336002e-05,0.00024860494704171873,-0.03054760408392631,2.0,0.00026632301330562,0.0001201691599718085,1.4527646933662264,0.0,-0.00011205192565916002,0.0001993626327972607,-0.09008143381376965,4.0,2.0
gaussian_postrelu,test_probe,0.01,5,0.38089691152291144,0.2901945504195288,0.41579261067886897,-0.0005137886047363201,0.0008218150156174463,-0.09192849859089151,4.0,0.0008295471954345799,0.00033556690913985295,0.9280580959621476,0.0,-0.0006205134582519401,0.0008206406919531693,-0.1112291322873512,4.0,4.0
gaussian_postrelu,test_probe,0.02,5,0.3824860786339705,0.29294888871467367,0.392238094548272,-0.002410148239135739,0.003317293205330709,-0.10681672120267387,4.0,0.0030092107391357604,0.0013339507502276723,0.7823618308298955,0.0,-0.00236122306823732,0.003128445054117166,-0.10321199640990542,4.0,4.0
