problem,method,seed,probe,policy,coords,vector,t,C_fd,quad_r1_f64,ratio_C_fd_over_quad,sign_agrees
plain_s1_train_saved_rel,plain,1,train_probe,saved,relative,min,0.0001,-1610.3678216083938,-5003.367747045193,0.3218567778791432,True
plain_s1_train_saved_rel,plain,1,train_probe,saved,relative,min,0.0003,-872.335063688433,-5003.367747045193,0.1743495796813261,True
plain_s1_train_saved_rel,plain,1,train_probe,saved,relative,min,0.001,379.9508058224821,-5003.367747045193,-0.07593901248751248,False
plain_s1_train_saved_rel,plain,1,train_probe,saved,relative,min,0.003,8591.831124921277,-5003.367747045193,-1.7172095994733347,False
plain_s1_train_saved_rel,plain,1,train_probe,saved,relative,min,0.01,115646.12346786218,-5003.367747045193,-23.11365650389352,False
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,top1,1e-05,3818434.1975799887,3887373.858245223,0.982265749789151,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,top1,3e-05,3824468.958369841,3887373.858245223,0.9838181502039072,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,top1,0.0001,3816375.501508573,3887373.858245223,0.9817361644838815,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,top1,0.0003,3830930.895171348,3887373.858245223,0.9854804386889217,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,top1,0.001,3567165.8108819863,3887373.858245223,0.9176286976658891,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,top1,0.003,2337620.2066665464,3887373.858245223,0.6013366071566263,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,top1,0.01,1389373.348145295,3887373.858245223,0.3574066706237676,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,min,1e-05,-6679.034081358281,-9801.840971421409,0.6814060849213843,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,min,3e-05,-14289.004811719587,-9801.840971421409,1.457787863869768,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,min,0.0001,-15973.236076338717,-9801.840971421409,1.6296159183678702,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,min,0.0003,-11353.745129473304,-9801.840971421409,1.1583278245971018,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,min,0.001,-10118.907625589867,-9801.840971421409,1.0323476635759454,True
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,min,0.003,1417.2340629823802,-9801.840971421409,-0.1445885591405245,False
plain_s2_test_centre_frozen_ord,plain,2,test_probe,centre_frozen,ordinary,min,0.01,80312.29479365665,-9801.840971421409,-8.193592920739889,False
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,top1,1e-05,3842877.2967469264,3925124.470123623,0.9790459706430389,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,top1,3e-05,3855967.933405541,3925124.470123623,0.9823810589334243,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,top1,0.0001,3849189.267047004,3925124.470123623,0.9806540649463207,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,top1,0.0003,3864226.032544856,3925124.470123623,0.9844849665170365,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,top1,0.001,3607991.078496911,3925124.470123623,0.919204245867718,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,top1,0.003,2349259.1836043834,3925124.470123623,0.5985183913238789,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,top1,0.01,1410453.1307708288,3925124.470123623,0.35933972069079534,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,min,1e-05,-7764.387368602853,-9883.31616329098,0.7856054830504826,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,min,3e-05,-15272.606046254665,-9883.31616329098,1.5452916606048492,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,min,0.0001,-16680.99238658627,-9883.31616329098,1.6877930555883154,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,min,0.0003,-11417.518550429744,-9883.31616329098,1.1552315398790096,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,min,0.001,-10447.057943275162,-9883.31616329098,1.0570397395641409,True
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,min,0.003,1395.552802884096,-9883.31616329098,-0.14120288978182402,False
plain_s2_test_centre_frozen_rel,plain,2,test_probe,centre_frozen,relative,min,0.01,81385.9251177727,-9883.31616329098,-8.234677892837189,False
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,top1,1e-05,3872055.433329357,3934736.514622813,0.984069814824827,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,top1,3e-05,3892823.231927473,3934736.514622813,0.9893478807184227,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,top1,0.0001,3886195.1918549575,3934736.514622813,0.9876633867128181,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,top1,0.0003,3892573.034434,3934736.514622813,0.98928429387022,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,top1,0.001,3635264.6672554472,3934736.514622813,0.9238902411242971,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,top1,0.003,2333399.8568682536,3934736.514622813,0.5930256951632085,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,top1,0.01,1344236.694566436,3934736.514622813,0.34163321726138396,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,min,1e-05,-25059.761585843884,-11815.25645000375,2.1209663702082344,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,min,3e-05,-10578.48074815916,-11815.25645000375,0.8953238376942553,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,min,0.0001,-11778.65413217738,-11815.25645000375,0.9969021139760061,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,min,0.0003,-11459.630701211096,-11815.25645000375,0.9699011400812598,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,min,0.001,-10821.486874820874,-11815.25645000375,0.9158909855754709,True
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,min,0.003,1754.7347836809952,-11815.25645000375,-0.14851432054024002,False
plain_s2_test_saved_ord,plain,2,test_probe,saved,ordinary,min,0.01,108584.6231436934,-11815.25645000375,-9.190204512544367,False
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,top1,1e-05,3917072.6457538046,3972142.446562252,0.9861359954862373,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,top1,3e-05,3931058.371500207,3972142.446562252,0.9896569482049664,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,top1,0.0001,3921566.7726727687,3972142.446562252,0.987267406803788,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,top1,0.0003,3928094.7844150094,3972142.446562252,0.9889108553532957,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,top1,0.001,3680166.4600842646,3972142.446562252,0.9264940796041485,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,top1,0.003,2342918.669007165,3972142.446562252,0.5898375248437723,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,top1,0.01,1358455.9467752504,3972142.446562252,0.3419957781098575,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,min,1e-05,-25968.239367735176,-11905.23988148686,2.1812445298239527,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,min,3e-05,-11402.300299501178,-11905.23988148686,0.9577547712610333,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,min,0.0001,-12221.896104724903,-11905.23988148686,1.0265980548388998,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,min,0.0003,-11613.019701255884,-11905.23988148686,0.975454490363912,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,min,0.001,-11041.84775978978,-11905.23988148686,0.9274779735400637,True
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,min,0.003,1856.941667992057,-11905.23988148686,-0.155976837634299,False
plain_s2_test_saved_rel,plain,2,test_probe,saved,relative,min,0.01,110697.64756858256,-11905.23988148686,-9.298229071446261,False
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,top1,1e-05,2918653.124333592,2808309.5045475853,1.039291830051967,True
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,top1,3e-05,2891481.413283794,2808309.5045475853,1.0296163612313836,True
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,top1,0.0001,2894514.810367288,2808309.5045475853,1.0306965117912068,True
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,top1,0.0003,3070804.9672798985,2808309.5045475853,1.0934709875486466,True
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,top1,0.001,3379705.0163533324,2808309.5045475853,1.203466003615509,True
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,top1,0.003,2502615.9327485505,2808309.5045475853,0.8911467659444177,True
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,top1,0.01,1582468.3375167856,2808309.5045475853,0.5634949904753177,True
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,min,1e-05,7682.589763802204,-3596.8773529596247,-2.135905400688941,False
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,min,3e-05,6767.415637814405,-3596.8773529596247,-1.8814696676398937,False
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,min,0.0001,1306.9904062690264,-3596.8773529596247,-0.3633680768107351,False
plain_s2_train_centre_frozen_ord,plain,2,train_probe,centre_frozen,ordinary,min,0.0003,678.3315786012485,-3596.8773529596247,-0.188589020985966,False
