method,u1,u2,t1,t2,T1,T2,train_probe_ce,test_probe_ce,train_probe_ce_centred,test_probe_ce_centred
resolution_max_b1_gaussian_conv,-1.0,-1.0,-0.0012238799570400269,-0.0014645035812604406,0.0012238799570400269,0.0014645035812604406,1.8354986572265626,2.066347473144531,1.5288727416992187,1.5383216552734373
resolution_max_b1_gaussian_conv,-1.0,-0.95,-0.0012238799570400269,-0.0013912784021974185,0.0012238799570400269,0.0014645035812604406,1.78686181640625,2.023736328125,1.480235900878906,1.4957105102539063
resolution_max_b1_gaussian_conv,-1.0,-0.9,-0.0012238799570400269,-0.0013180532231343966,0.0012238799570400269,0.0014645035812604406,1.742419677734375,1.984996826171875,1.4357937622070311,1.4569710083007812
resolution_max_b1_gaussian_conv,-1.0,-0.85,-0.0012238799570400269,-0.0012448280440713745,0.0012238799570400269,0.0014645035812604406,1.7019260864257812,1.9495513305664063,1.3953001708984374,1.4215255126953126
resolution_max_b1_gaussian_conv,-1.0,-0.8,-0.0012238799570400269,-0.0011716028650083526,0.0012238799570400269,0.0014645035812604406,1.6649647216796875,1.916900146484375,1.3583388061523438,1.3888743286132812
resolution_max_b1_gaussian_conv,-1.0,-0.75,-0.0012238799570400269,-0.0010983776859453305,0.0012238799570400269,0.0014645035812604406,1.6312877807617188,1.8867272338867187,1.3246618652343751,1.358701416015625
resolution_max_b1_gaussian_conv,-1.0,-0.7,-0.0012238799570400269,-0.0010251525068823084,0.0012238799570400269,0.0014645035812604406,1.6005465698242187,1.8589584350585937,1.2939206542968749,1.3309326171875
resolution_max_b1_gaussian_conv,-1.0,-0.65,-0.0012238799570400269,-0.0009519273278192865,0.0012238799570400269,0.0014645035812604406,1.5726066284179687,1.8334175415039062,1.265980712890625,1.3053917236328125
resolution_max_b1_gaussian_conv,-1.0,-0.6,-0.0012238799570400269,-0.0008787021487562643,0.0012238799570400269,0.0014645035812604406,1.547358642578125,1.810166015625,1.2407327270507813,1.2821401977539062
resolution_max_b1_gaussian_conv,-1.0,-0.55,-0.0012238799570400269,-0.0008054769696932424,0.0012238799570400269,0.0014645035812604406,1.5246134643554687,1.78919482421875,1.217987548828125,1.2611690063476564
resolution_max_b1_gaussian_conv,-1.0,-0.5,-0.0012238799570400269,-0.0007322517906302203,0.0012238799570400269,0.0014645035812604406,1.504398681640625,1.7704155883789063,1.1977727661132813,1.2423897705078126
resolution_max_b1_gaussian_conv,-1.0,-0.45,-0.0012238799570400269,-0.0006590266115671983,0.0012238799570400269,0.0014645035812604406,1.4866741943359374,1.7540645141601563,1.1800482788085938,1.2260386962890626
resolution_max_b1_gaussian_conv,-1.0,-0.4,-0.0012238799570400269,-0.0005858014325041763,0.0012238799570400269,0.0014645035812604406,1.4711265258789064,1.7400473022460938,1.1645006103515625,1.2120214843750001
resolution_max_b1_gaussian_conv,-1.0,-0.35,-0.0012238799570400269,-0.0005125762534411542,0.0012238799570400269,0.0014645035812604406,1.4578763427734376,1.7287587280273438,1.1512504272460937,1.20073291015625
resolution_max_b1_gaussian_conv,-1.0,-0.3,-0.0012238799570400269,-0.00043935107437813217,0.0012238799570400269,0.0014645035812604406,1.447079833984375,1.7200103759765626,1.1404539184570313,1.1919845581054689
resolution_max_b1_gaussian_conv,-1.0,-0.25,-0.0012238799570400269,-0.00036612589531511016,0.0012238799570400269,0.0014645035812604406,1.438774169921875,1.7135450439453126,1.1321482543945312,1.185519226074219
resolution_max_b1_gaussian_conv,-1.0,-0.2,-0.0012238799570400269,-0.00029290071625208815,0.0012238799570400269,0.0014645035812604406,1.432778076171875,1.7093013916015625,1.1261521606445313,1.1812755737304688
resolution_max_b1_gaussian_conv,-1.0,-0.15,-0.0012238799570400269,-0.00021967553718906608,0.0012238799570400269,0.0014645035812604406,1.4289801025390625,1.7073731689453124,1.1223541870117186,1.1793473510742187
resolution_max_b1_gaussian_conv,-1.0,-0.1,-0.0012238799570400269,-0.00014645035812604407,0.0012238799570400269,0.0014645035812604406,1.4275403442382812,1.70773828125,1.1209144287109374,1.1797124633789062
resolution_max_b1_gaussian_conv,-1.0,-0.05,-0.0012238799570400269,-7.322517906302204e-05,0.0012238799570400269,0.0014645035812604406,1.4285843505859375,1.7103235473632812,1.1219584350585938,1.1822977294921875
resolution_max_b1_gaussian_conv,-1.0,0.0,-0.0012238799570400269,0.0,0.0012238799570400269,0.0014645035812604406,1.4321458740234374,1.7148079833984375,1.1255199584960938,1.1867821655273438
resolution_max_b1_gaussian_conv,-1.0,0.05,-0.0012238799570400269,7.322517906302204e-05,0.0012238799570400269,0.0014645035812604406,1.4381146240234375,1.7213366088867188,1.1314887084960938,1.193310791015625
resolution_max_b1_gaussian_conv,-1.0,0.1,-0.0012238799570400269,0.00014645035812604407,0.0012238799570400269,0.0014645035812604406,1.4464714965820313,1.730049072265625,1.1398455810546877,1.2020232543945313
resolution_max_b1_gaussian_conv,-1.0,0.15,-0.0012238799570400269,0.00021967553718906608,0.0012238799570400269,0.0014645035812604406,1.45720654296875,1.7410011596679686,1.150580627441406,1.212975341796875
resolution_max_b1_gaussian_conv,-1.0,0.2,-0.0012238799570400269,0.00029290071625208815,0.0012238799570400269,0.0014645035812604406,1.4703529052734374,1.7539037475585937,1.1637269897460936,1.2258779296875
resolution_max_b1_gaussian_conv,-1.0,0.25,-0.0012238799570400269,0.00036612589531511016,0.0012238799570400269,0.0014645035812604406,1.4858206176757813,1.768940673828125,1.1791947021484375,1.2409148559570313
resolution_max_b1_gaussian_conv,-1.0,0.3,-0.0012238799570400269,0.00043935107437813217,0.0012238799570400269,0.0014645035812604406,1.5038408203125,1.7861104125976563,1.1972149047851564,1.2580845947265626
resolution_max_b1_gaussian_conv,-1.0,0.35,-0.0012238799570400269,0.0005125762534411542,0.0012238799570400269,0.0014645035812604406,1.5243936767578126,1.80578857421875,1.2177677612304687,1.2777627563476563
resolution_max_b1_gaussian_conv,-1.0,0.4,-0.0012238799570400269,0.0005858014325041763,0.0012238799570400269,0.0014645035812604406,1.5476722412109376,1.8277677612304688,1.2410463256835937,1.299741943359375
