objective,method,seed,probe,draw,rademacher_seed,z_sha256,trace_ordinary,trace_relative,trace_covariance,zHz_direct,seconds
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,22,394963065,1acba97ac5d5cfd7f9158fdec7fa0844e1944d5bbd51441a17d56a9e63a0ef0a,11774.570377061289,19913.878529598802,151.4796449639029,11774.570377061289,1.0522255897521973
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,23,561826254,c7279aabbbbe7ecfdbb060a670fdef0c9b8026af7411c4666bdc4c222c6a6520,7584.413150698238,13442.67240990238,111.90786006591989,7584.413150698238,1.0526118278503418
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,24,1067743,d0945949739531268950d65affaa1d85e2659c325b7b55b4369bb0a3b584d9f1,9034.525814037013,15010.09179667901,88.27637584019335,9034.525814037013,1.0518455505371094
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,25,1746733386,c25269f50496e64091d8d2e81a9ea13a3e98846ab5ff8dd05825ebf6fd7f54d6,10325.661142952362,19070.43778730746,207.9460867035629,10325.661142952362,1.0513277053833008
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,26,1389959170,85c71faf3b2b512553f53100e0cb65721584f016e1e693bdaf2b10658eace6bf,6700.560512517477,13101.675059331626,174.07494502966983,6700.560512517477,1.0495495796203613
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,27,1826130905,0ae7827a6207e415a08ee177253fd387558bdddeb346d36403640b8b773f5743,11543.648856367974,19290.81185356266,87.26116341695055,11543.648856367974,1.0529210567474365
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,28,147788426,9fc84b5746b2d223f0169b86b72b88178a025f35f1fcd76e0f36dd85853c9c5d,13817.580482657184,23081.891972066747,104.27382663622319,13817.580482657184,1.0508997440338135
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,29,371653344,511be69ba9ecf60ef837a84f322251d26a150b7a4de4aa48f32d2d926c204485,10810.116998519574,17771.13931320584,68.71366317313901,10810.116998519574,1.0560965538024902
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,30,1179779755,fa9c440aa634df1ccfb1dab8295463e01e60d6f7062feb2d5676527b46617fb8,12372.375389281951,20662.046488327596,85.19646330532733,12372.375389281951,1.0499169826507568
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,31,1390313924,a2a5167e47c95538fd174371ab97b9ac3ab60b1d86b4a4a2c53269fed448ec97,10851.267302888766,18421.95443362569,101.32334670857526,10851.267302888766,1.0514259338378906
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,32,394973828,a2f7b19dae01882ac5a0c29f42fd2b89fb5b0e6515eae1f229809f345b0f6472,11400.911971157766,18533.1447419096,80.95952866665324,11400.911971157766,1.0540530681610107
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,33,1981298119,c405e989f6d2dfb538847a615f8fd1ae6349c1be72c70711b52d57613e46e7a2,10074.199979827885,19404.53808819878,252.38101398226422,10074.199979827885,1.0536885261535645
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,34,1968470141,5f9c9e195386a4e862d25844948e626fc96cc0c35db2d2c0af98709cf9547ac2,11651.040898214997,21107.143302384986,223.36954189937873,11651.040898214997,1.0575575828552246
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,35,427631760,8b4b938e33971db43914877b0bbb7572700dedfa12d0f4b14844866ef7600f9c,8861.354428198363,15376.085323161591,133.7004051626085,8861.354428198363,1.062631368637085
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,36,895834345,e682520774fa7694be9af0a288255a4a1384e482dbb5b66ce5a77a8053d43bf0,11996.127907289192,21033.934844578987,145.5010522878411,11996.127907289192,1.0569860935211182
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,37,824245661,9f817f8451c0251ef34bba2acecd337c70cbde61fada71cc7e57d71bad568787,9314.258460885612,15745.638204766996,92.22169653055983,9314.258460885612,1.0635714530944824
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,38,1665006587,dc510906a7389bb3da3f06896921feff3b084a3821b4f050769c55ab03883386,7283.829858597659,11936.803973165617,44.41017264198206,7283.829858597659,1.0588874816894531
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,39,208442013,2d519f0186006d06524ff505800fbde3ec0d54bf8a92b86147b1988ab07d2590,13301.795776633517,22305.48556665071,107.55708369125888,13301.795776633517,1.0618140697479248
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,40,1222663757,d7fe8a697b81f16f70f6aa652c3f360f2eda8d40f09a1376dbd41174d34c1749,16217.539158606058,26637.890424722915,139.47591139841862,16217.539158606058,1.062574863433838
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,41,1039888548,9ffc86e90d496337850b078d21ac49bcfc4ec32142542d7232e22d7d4378260c,7630.528516823717,12886.99116874066,78.15533840817643,7630.528516823717,1.0673425197601318
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,42,851011425,0ab5417d4ef26204232376e6ef000c639bb199a186cc340f6595245cf949b322,11282.335920225189,22490.25806490759,302.03199577911505,11282.335920225189,1.0652036666870117
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,43,1957016349,c26ab1b91e82c80a4f6e0f410851fe025ae7f3b7e83b5a68a3e4d944e2335538,10534.773434070172,16902.843463941932,104.83006482142913,10534.773434070172,1.070970058441162
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,44,1563155971,bcafcd6ca7efbb7f599af869257d8273dfb8675021e534da4c1ea6fbf0a1529e,10603.719032155903,19354.100315678395,158.4292437252669,10603.719032155903,1.0718598365783691
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,45,369421365,c6b4278d79324545bc77a5d2d315a386952b12b6b8b97f7b40bb7621aef9570c,12059.901035500981,20405.606149005707,102.79362824702547,12059.901035500981,1.0730371475219727
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,46,644313581,2d992239c1904bc31507526fb0778638b29868e0386f3ac865d7f71db6bcc52d,7256.090586267295,12450.982147271483,87.77010796809145,7256.090586267295,1.0726728439331055
gaussian_s0_test_centre_frozen,gaussian_postrelu,0,test_probe,47,1747624977,9270635ee9cc132f033830314253eb063f3a994e9fe729143e33c2389f5ffa9c,9377.988439850014,17226.70739924773,167.8558989901652,9377.988439850014,1.076655626296997
