policy,probe,method,amplitude,n_seeds,median,min,max
centre_frozen,test_probe,plain,0.005,5,0.6767456581660656,0.6314997178502175,0.7445440562640594
centre_frozen,test_probe,plain,0.01,5,0.6994494900531608,0.6628060494573911,0.7263377537046661
centre_frozen,test_probe,plain,0.02,5,0.715674134689578,0.673161235741458,0.742797444817995
centre_frozen,test_probe,plain,0.025,5,0.7300996910304663,0.6810914296503086,0.7483260597302587
centre_frozen,test_probe,plain,0.05,5,0.7703475965641844,0.7169794578386572,0.7797041311647063
centre_frozen,test_probe,plain,0.1,5,0.8628400344537397,0.7836749490183172,0.8982345537724097
centre_frozen,test_probe,plain,0.2,5,1.028243507626359,0.918398815834652,1.145630279999868
centre_frozen,test_probe,plain,0.25,5,1.0304324914526308,0.9467559677955752,1.2059863350271842
centre_frozen,test_probe,plain,0.35,5,1.0023143604995264,0.9564004866553024,1.2424347658137254
centre_frozen,test_probe,plain,0.5,5,1.0663311713379648,1.0324464604031447,1.3320855907834366
centre_frozen,train_probe,plain,0.005,5,1.260469349090085,1.216163185547292,1.335903763340651
centre_frozen,train_probe,plain,0.01,5,1.2354158091738312,1.193605991032075,1.266460134211109
centre_frozen,train_probe,plain,0.02,5,1.2352810775642509,1.1917679772749683,1.24314167001035
centre_frozen,train_probe,plain,0.025,5,1.232884403058734,1.2006062992859836,1.253075926476033
centre_frozen,train_probe,plain,0.05,5,1.2603529632555697,1.2369693478124295,1.314358713009926
centre_frozen,train_probe,plain,0.1,5,1.391387228278052,1.3688159092738614,1.450101577063997
centre_frozen,train_probe,plain,0.2,5,1.5686795570228524,1.541545580397697,1.7255017746354957
centre_frozen,train_probe,plain,0.25,5,1.5632455037412558,1.529096469525528,1.774685483942397
centre_frozen,train_probe,plain,0.35,5,1.528354584163418,1.416239743539503,1.7667815146089003
centre_frozen,train_probe,plain,0.5,5,1.6286288816517591,1.4608353719519995,1.8433867744996475
saved,test_probe,plain,0.005,5,0.6447129617148446,0.6147480688445665,0.7427456302762441
saved,test_probe,plain,0.01,5,0.6803961111498688,0.6287037190558621,0.7438385303626276
saved,test_probe,plain,0.02,5,0.7135727104628713,0.6596692414203885,0.7423467963638214
saved,test_probe,plain,0.025,5,0.7166020887629814,0.6723782686275008,0.7461326499671744
saved,test_probe,plain,0.05,5,0.7608204603665736,0.7107451825295306,0.7690598369014269
saved,test_probe,plain,0.1,5,0.8645080709557454,0.7842103310900774,0.8798395321442599
saved,test_probe,plain,0.2,5,1.0337093192327187,0.9195521990819816,1.1272475414673957
saved,test_probe,plain,0.25,5,1.03672280494222,0.9472643605121772,1.1895581614456057
saved,test_probe,plain,0.35,5,1.0180248872274826,0.956716882598347,1.2310980872500563
saved,test_probe,plain,0.5,5,1.0680801257994317,1.0398839114216485,1.3237567399191337
saved,train_probe,plain,0.005,5,1.1861201462677489,1.1329249500542369,1.3231348572500157
