method,seed,vector,t,test_probe_ce_centre_frozen,test_probe_ce_pointwise,train_probe_ce_centre_frozen,train_probe_ce_pointwise,train_probe_rise_centre_frozen,train_probe_rise_pointwise,test_probe_rise_centre_frozen,test_probe_rise_pointwise
plain,0,min,-0.5,1721532284.928,7.7208623046875,1725396877.312,7.8705576171875,1725396877.0898197,7.648377304077148,1721532284.1709695,6.963831909179687
plain,0,min,-0.35,34778468.352,7.298326171875,34954338.304,7.415847900390625,34954338.08181968,7.193667587280273,34778467.5949696,6.541295776367187
plain,0,min,-0.2,260231.992,6.725236328125,261531.376,6.967212158203125,261531.15381968688,6.7450318450927735,260231.2349696045,5.968205932617187
plain,0,min,-0.1,4450.54725,5.033251953125,4460.22425,5.20787451171875,4460.00206968689,4.985694198608399,4449.7902196044915,4.276221557617188
plain,0,min,-0.05,465.761109375,2.923415283203125,466.7866875,2.66727880859375,466.56450718688967,2.4450984954833985,465.0040789794922,2.1663848876953122
plain,0,min,-0.02,59.864455078125,1.3332113647460937,59.585689453125,0.7850969543457031,59.36350914001465,0.5629166412353517,59.107424682617186,0.5761809692382812
plain,0,min,-0.01,9.0399677734375,0.9261599426269532,8.20476953125,0.3664617309570313,7.982589218139648,0.14428141784667978,8.282937377929688,0.16912954711914074
plain,0,min,-0.005,1.088968780517578,0.8064136047363282,0.484836669921875,0.2626734924316406,0.26265635681152355,0.040493179321289124,0.3319383850097656,0.04938320922851569
plain,0,min,-0.002,0.7599281005859375,0.7685694274902344,0.2241813354492187,0.2308348617553711,0.0020010223388672033,0.008654548645019605,0.0028977050781250346,0.011539031982421899
plain,0,min,-0.001,0.7551310424804687,0.7615175170898437,0.2213954010009765,0.22521337890625,-0.0007849121093750078,0.003033065795898515,-0.0018993530273437864,0.004487121582031239
plain,0,min,-0.0005,0.7558011779785156,0.7589729614257813,0.2217239685058593,0.2233790740966796,-0.0004563446044922037,0.0011987609863280957,-0.0012292175292968333,0.0019425659179688193
plain,0,min,0.0,0.7570303955078125,0.7570303955078125,0.2221803131103515,0.2221803131103515,0.0,0.0,0.0,0.0
plain,0,min,0.0005,0.7582190246582031,0.7558236694335938,0.2226442642211914,0.2216300048828125,0.0004639511108399108,-0.000550308227538987,0.001188629150390641,-0.001206726074218678
plain,0,min,0.001,0.7598471069335937,0.7553593444824219,0.2232978057861328,0.2217051086425781,0.0011174926757813175,-0.00047520446777338243,0.0028167114257812154,-0.0016710510253905575
plain,0,min,0.002,0.767642333984375,0.7567442321777343,0.2273112564086914,0.2236965408325195,0.005130943298339907,0.001516227722168001,0.010611938476562499,-0.00028616333007813743
plain,0,min,0.005,0.9936881103515623,0.7819190673828125,0.4167124328613281,0.2439896011352539,0.1945321197509766,0.021809288024902396,0.23665771484374987,0.02488867187499999
plain,0,min,0.01,5.345990234375,0.9009042358398438,4.6451845703125,0.3352031555175781,4.423004257202148,0.11302284240722663,4.588959838867187,0.14387384033203132
plain,0,min,0.02,35.926962890625,1.4167181396484374,35.57783984375,0.7943505859375,35.35565953063965,0.5721702728271485,35.16993249511719,0.6596877441406249
plain,0,min,0.05,227.3071796875,2.7317325439453124,227.176703125,2.1881407470703125,226.95452281188963,1.965960433959961,226.55014929199217,1.9747021484374998
plain,0,min,0.1,1290.2771875,4.084587646484375,1293.711625,3.600414306640625,1293.4894446868896,3.3782339935302734,1289.5201571044922,3.3275572509765627
plain,0,min,0.2,20851.697,6.278553955078125,20988.421,5.72601123046875,20988.198819686888,5.503830917358398,20850.939969604493,5.521523559570312
plain,0,min,0.35,1009091.712,7.56216259765625,1009657.12,7.338958984375,1009656.8978196869,7.116778671264648,1009090.9549696045,6.805132202148437
plain,0,min,0.5,45635868.672,7.18568359375,45245749.248,7.34006494140625,45245749.02581969,7.117884628295898,45635867.9149696,6.428653198242188
plain,0,top1,-0.5,6775989514272.768,6.7750546875,6849730881519.616,8.46914599609375,6849730881519.394,8.246965682983399,6775989514272.011,6.018024291992187
plain,0,top1,-0.35,51469084524.544,6.431671630859375,51905631879.168,7.66247021484375,51905631878.945816,7.440289901733398,51469084523.78697,5.6746412353515625
plain,0,top1,-0.2,82024964.096,5.937845458984375,82448195.584,6.8307451171875,82448195.3618197,6.608564804077148,82024963.3389696,5.180815063476563
plain,0,top1,-0.1,239617.184,5.06563427734375,240067.128,5.50086181640625,240066.9058196869,5.278681503295898,239616.4269696045,4.308603881835937
plain,0,top1,-0.05,5241.49475,3.667332153320313,5244.1205,3.680155517578125,5243.898319686889,3.457975204467773,5240.737719604492,2.9103017578125003
plain,0,top1,-0.02,305.4988125,1.7853078002929688,305.1358125,1.38651220703125,304.91363218688963,1.1643318939208986,304.7417821044922,1.0282774047851562
plain,0,top1,-0.01,89.35525390625,1.1067109985351562,89.12565234375,0.58682861328125,88.90347203063965,0.36464830017089855,88.59822351074219,0.3496806030273437
plain,0,top1,-0.005,35.93012109375,0.8668380737304687,35.684599609375,0.3163065643310547,35.46241929626465,0.0941262512207032,35.17309069824219,0.10980767822265625
plain,0,top1,-0.002,9.4979326171875,0.7810794982910156,8.92023046875,0.2359659042358398,8.698050155639649,0.0137855911254883,8.740902221679688,0.024049102783203158
plain,0,top1,-0.001,2.82446142578125,0.7653177795410157,2.27389697265625,0.2253985290527344,2.051716659545898,0.0032182159423828904,2.0674310302734376,0.008287384033203171
plain,0,top1,-0.0005,1.2075482177734376,0.7602962036132812,0.6533286437988282,0.2229029235839843,0.4311483306884767,0.0007226104736328121,0.4505178222656251,0.003265808105468726
plain,0,top1,0.0,0.7570303955078125,0.7570303955078125,0.2221803131103515,0.2221803131103515,0.0,0.0,0.0,0.0
plain,0,top1,0.0005,1.1457887573242187,0.7557737121582031,0.5604367980957031,0.2234629745483398,0.33825648498535166,0.0012826614379883028,0.3887583618164062,-0.0012566833496093777
plain,0,top1,0.001,2.1587081298828124,0.7563521118164063,1.4997070922851563,0.2266733779907226,1.2775267791748048,0.0044930648803711,1.4016777343749998,-0.0006782836914062118
plain,0,top1,0.002,5.16432275390625,0.7636248168945312,4.4751552734375,0.238318260192871,4.2529749603271485,0.016137947082519505,4.407292358398437,0.00659442138671873
plain,0,top1,0.005,16.35458349609375,0.83208935546875,15.897998046875,0.3195271759033203,15.675817733764648,0.09734686279296881,15.597553100585937,0.07505895996093748
plain,0,top1,0.01,41.35676953125,1.0604179077148437,41.23491796875,0.5978805847167968,41.01273765563965,0.37570027160644537,40.59973913574219,0.3033875122070312
plain,0,top1,0.02,118.48684765625,1.6300379638671876,118.960234375,1.28759326171875,118.73805406188964,1.0654129486083985,117.7298172607422,0.8730075683593751
