method,seed,split,amplitude,S_centre_frozen,S_pointwise,S_saved,ratio_pointwise_over_centre_frozen,ratio_saved_over_centre_frozen,delta_vs_plain_centre_frozen,relchange_vs_plain_centre_frozen,delta_vs_plain_pointwise,relchange_vs_plain_pointwise,delta_vs_plain_saved,relchange_vs_plain_saved,delta_sign_differs_cf_vs_pw
plain,0,test_probe,0.005,0.0010359008789062,0.0001626983642578,0.00102818069458,0.15705978011100058,0.9925473715840923,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.01,0.004364289855957,0.0006327911376953,0.0043024307250976,0.14499292177662698,0.9858260718464963,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.02,0.0187836654663086,0.0029808158874511,0.0181219261169433,0.1586919173362437,0.9647704889893703,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.025,0.0299410629272461,0.0049569831848144,0.0289611083984374,0.16555802300203543,0.9672705497734033,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.05,0.1279012756347656,0.021817236328125,0.1239748176574706,0.17057872347126712,0.9693008693008865,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.1,0.5893791793823243,0.0909640235900879,0.5734753532409668,0.15433871227928203,0.9730159688402551,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.2,3.006834379577637,0.382791194152832,2.938939015197754,0.1273070431656438,0.9774196527613803,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.25,4.945696209716798,0.6163014587402345,4.845928305053711,0.12461369089540689,0.9798273285635554,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.35,9.986532415771483,1.2211476867675777,9.829694747924805,0.12227944955538815,0.9842950824853891,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,test_probe,0.5,21.85129454956055,2.220445587158203,21.570463598632816,0.10161620320123589,0.9871480863391967,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.005,0.0015583850860595,0.000535580253601,0.0014294296264648,0.34367644967346106,0.9172505815486376,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.01,0.006109712600708,0.002084628868103,0.0057830202102661,0.3411991699677381,0.9465290085160402,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.02,0.0241044591903686,0.0080669456481933,0.0233250782012939,0.3346661123771075,0.9676665224919828,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.025,0.0376566144943237,0.012399027633667,0.0365932947158813,0.32926559650060977,0.9717627356383117,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.05,0.1549480293273926,0.0463568111419677,0.1515513202667236,0.29917651320378863,0.9780783977994839,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.1,0.6926625160217285,0.1722601829528808,0.678169100189209,0.24869280344813274,0.9790757901614747,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.2,3.3557221298217774,0.6232255348205566,3.292234831237793,0.18572024461800601,0.9810808833008601,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.25,5.392771322631836,0.935511552429199,5.297419009399414,0.17347510147577352,0.9823184949763665,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.35,10.522756619262696,1.6691335281372068,10.37160915222168,0.15862131839880556,0.9856361339038927,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,0,train_probe,0.5,22.406141085815435,2.760580569458008,22.12906711730957,0.12320642625988093,0.9876340166097914,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.005,0.0013751670837402,0.0001516151428223,0.0012489349365234,0.11025216107553627,0.9082059564184216,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.01,0.0055645683288574,0.0008530570983887,0.0055292274475097,0.15330157668561908,0.9936489446693599,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.02,0.0233477478027344,0.004010863494873,0.0236289688110351,0.17178802549868485,1.012044888041311,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.025,0.0368143882751465,0.0065214599609375,0.0371733695983886,0.17714432499045915,1.0097511147152336,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.05,0.1543806289672852,0.0269831237792969,0.1546098899841308,0.1747830926703563,1.0014850374582565,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.1,0.7116880706787108,0.111430435180664,0.7120375671386718,0.1565720148637547,1.0004910809585832,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.2,3.4267766571044924,0.497115071105957,3.4327272186279294,0.14506783512585322,1.0017364894531717,0.0,0.0,0.0,0.0,0.0,0.0,False
plain,1,test_probe,0.25,5.419981973266602,0.7965117141723632,5.4326855773925775,0.14695836962208725,1.0023438461951781,0.0,0.0,0.0,0.0,0.0,0.0,False
