seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,test_loss,test_acc,test_acc_at_s1,grad_norm_total
0,0,0.020000000000000004,1.5338756289237585,0.4430889423076923,17.547549724578857,2844.841632223845,1.0,1.0,1.0,[1.0],0,1.6296340698242187,0.4883,0.4883,16.851108365373733
0,1,0.04000000000000001,1.0602590738198696,0.6287459935897436,14.5532865524292,3430.1530324548908,1.0,1.0,1.0,[1.0],0,1.3298652709960936,0.5795,0.5795,
0,2,0.06,0.8510978585634477,0.7042267628205128,14.98752474784851,3330.770146495746,1.0,1.0,1.0,[1.0],0,0.8704491394042969,0.7124,0.7124,
0,3,0.08000000000000002,0.7404373965966395,0.742988782051282,15.602917194366455,3199.4017130350453,1.0,1.0,1.0,[1.0],0,0.7113646362304687,0.7589,0.7589,
0,4,0.1,0.6849334800854707,0.7654447115384615,16.11126685142517,3098.4528069922803,1.0,1.0,1.0,[1.0],0,0.8647418151855468,0.7165,0.7165,
0,5,0.09994191032883207,0.6350020127418714,0.7814102564102564,16.282241344451904,3065.9169670771403,1.0,1.0,1.0,[1.0],0,0.674354345703125,0.7585,0.7585,2.4695983005325575
0,6,0.09976717939597349,0.5835216159239793,0.8002403846153846,15.762495994567871,3167.0111140522167,1.0,1.0,1.0,[1.0],0,0.6855778259277344,0.7667,0.7667,
0,7,0.09947621490965608,0.5596993966744497,0.8084334935897436,15.53063440322876,3214.2923916631394,1.0,1.0,1.0,[1.0],0,0.5829677673339844,0.799,0.799,
0,8,0.09906969643091962,0.5334814806779226,0.8177884615384615,15.518588304519653,3216.7874435757303,1.0,1.0,1.0,[1.0],0,0.6542837036132813,0.7782,0.7782,
0,9,0.09854857340250733,0.5153426887897344,0.8246193910256411,15.732007503509521,3173.1487535118304,1.0,1.0,1.0,[1.0],0,0.6605112121582031,0.7829,0.7829,
0,10,0.09791406293139851,0.5071667477106436,0.8280048076923077,15.798283100128174,3159.837033151722,1.0,1.0,1.0,[1.0],0,0.7037576599121094,0.7663,0.7663,3.492022366027689
0,11,0.09716764694619869,0.49042650766861745,0.831650641025641,15.803958177566528,3158.702360454273,1.0,1.0,1.0,[1.0],0,0.6718592834472656,0.7645,0.7645,
0,12,0.09631106873602673,0.48199233397459373,0.8351161858974359,15.782499313354492,3162.9971279491697,1.0,1.0,1.0,[1.0],0,0.6064075561523438,0.7994,0.7994,
0,13,0.09534632887898234,0.47018311482209424,0.8403245192307692,15.649263143539429,3189.926550670135,1.0,1.0,1.0,[1.0],0,0.6168626098632812,0.7876,0.7876,
0,14,0.09427568056970322,0.464850482191795,0.84140625,15.724880456924438,3174.586931630235,1.0,1.0,1.0,[1.0],0,0.6179351196289062,0.7896,0.7896,
0,15,0.09310162435692454,0.45247325736742755,0.8450520833333334,15.805666446685791,3158.3609693640897,1.0,1.0,1.0,[1.0],0,0.564522705078125,0.8114,0.8114,2.024176194364496
0,16,0.09182690230333156,0.4485448018098489,0.8461538461538461,15.812748908996582,3156.9463530530275,1.0,1.0,1.0,[1.0],0,0.5165882720947266,0.8228,0.8228,
0,17,0.09045449158134511,0.44107250747008203,0.8481169871794871,15.81671953201294,3156.153834489019,1.0,1.0,1.0,[1.0],0,0.5107671447753906,0.8242,0.8242,
0,18,0.08898759751979754,0.43042064366432337,0.8527844551282051,15.762248516082764,3167.06083837372,1.0,1.0,1.0,[1.0],0,0.7265472412109375,0.7657,0.7657,
0,19,0.08742964611773862,0.42292877584695815,0.8551883012820513,15.761673927307129,3167.1762929642587,1.0,1.0,1.0,[1.0],0,0.54870126953125,0.8151,0.8151,
0,20,0.0857842760428561,0.418676508581027,0.8576322115384616,15.757302284240723,3168.054981716398,1.0,1.0,1.0,[1.0],0,0.49500389404296874,0.8288,0.8288,2.7034883531426233
0,21,0.08405533013319864,0.4120531000387974,0.8608573717948718,15.776309490203857,3164.238127490927,1.0,1.0,1.0,[1.0],0,0.5029498504638672,0.827,0.827,
0,22,0.08224684642204957,0.4065434155555872,0.8607772435897436,15.808205842971802,3157.853617031057,1.0,1.0,1.0,[1.0],0,0.5098856384277344,0.8298,0.8298,
0,23,0.08036304870691298,0.3953272710243861,0.8651041666666667,15.823175191879272,3154.86616274209,1.0,1.0,1.0,[1.0],0,0.5743315246582031,0.8128,0.8128,
0,24,0.07840833668463902,0.39395604733473216,0.8658253205128205,15.83720326423645,3152.071686339297,1.0,1.0,1.0,[1.0],0,0.5574533813476562,0.8144,0.8144,
