campaign,arm,seed,test_acc_P0_minus_P1_pp,test_ce_P0_minus_P1,test_acc_P2_minus_P1_pp,test_ce_P2_minus_P1,test_acc_P3_minus_P1_pp,test_ce_P3_minus_P1
adamw_long_aug_160,cbs_budget_matched,2,2.3399999999999976,-0.04738342742919921,-0.09000000000000119,0.004695646667480569,2.52,-0.05022200317382808
adamw_long_aug_160,resolution_max_b1,1,2.499999999999991,-0.06480730133056645,-0.060000000000004494,0.005022488403320313,2.539999999999998,-0.06745520782470704
adamw_long_aug_160,resolution_max_b1_gaussian_conv,1,4.2200000000000015,-0.14327755432128908,-0.08000000000000229,0.0074602050781250595,4.310000000000002,-0.14087150878906252
adamw_long_noaug_160,gaussian_postrelu,1,0.019999999999997797,0.006359463500976714,-0.029999999999996696,0.009141033935546883,-0.07000000000000339,0.023531735229492146
adamw_long_noaug_160,gaussian_postrelu,2,0.07000000000000339,0.019391857910156185,0.08000000000000229,0.007996716308593665,-0.05999999999999339,0.019810900878906246
adamw_long_noaug_160,sdpoint,0,-2.939999999999998,0.2907471527099609,-0.060000000000004494,0.002906904602050786,-0.04999999999999449,0.005818005371093671
adamw_long_noaug_160,sdpoint,2,-2.4500000000000077,0.2105043685913085,0.009999999999998899,0.0021419631958007335,-0.12000000000000899,0.0062277725219725966
historical_adamw_30,cbs_budget_matched,0,0.15999999999999348,0.0020228790283203235,0.039999999999995595,0.005834109497070306,0.029999999999996696,0.01138547668457024
historical_adamw_30,cbs_budget_matched,1,0.019999999999997797,0.01801487731933593,-0.010000000000010001,0.00690274047851569,-0.09000000000000119,0.0173533752441406
historical_adamw_30,cbs_budget_matched,2,-0.26999999999999247,0.02091537475585936,-0.05999999999999339,0.007011251831054666,-0.009999999999998899,0.011915875244140617
historical_adamw_30,cbs_published_schedule,0,0.04999999999999449,0.0040185668945311726,-0.029999999999996696,0.00623417358398437,-0.21999999999999797,0.013035964965820268
historical_adamw_30,cbs_published_schedule,1,-0.29999999999998916,0.014769696044921843,-0.009999999999998899,0.005991461181640623,0.010000000000010001,0.007247305297851558
historical_adamw_30,cbs_published_schedule,2,-0.2500000000000058,0.01645846557617192,0.08000000000000229,0.004455453491211014,-0.20000000000000018,0.008758920288086003
historical_adamw_30,gaussian_postrelu,0,-0.0400000000000067,0.0019016540527343473,-0.019999999999997797,0.005356527709960979,-0.009999999999998899,0.007930441284179746
historical_adamw_30,gaussian_postrelu,1,-0.30999999999999917,0.013084140014648415,-0.10000000000000009,0.005790850830078131,-0.15999999999999348,0.007490927124023439
historical_adamw_30,gaussian_postrelu,2,-0.08999999999999009,0.015252148437500002,-0.04999999999999449,0.005938333129882789,-0.17999999999999128,0.007408728027343714
historical_adamw_30,plain,0,-0.039999999999995595,0.002784249877929801,-0.009999999999998899,0.007134832763671994,0.0400000000000067,0.01122123718261725
historical_adamw_30,plain,1,0.07000000000000339,0.021357022094726563,0.019999999999997797,0.006629177856445345,0.050000000000005596,0.01197623291015626
historical_adamw_30,plain,2,-0.12999999999999678,0.027195184326172073,-0.009999999999998899,0.007746371459961043,0.09000000000000119,0.017933029174804882
historical_adamw_30,resolution_max_b1,0,0.0,0.010331469726562514,-0.019999999999997797,0.004803506469726604,-0.10000000000000009,0.011884869384765628
historical_adamw_30,resolution_max_b1,1,-0.15999999999999348,0.02341058959960929,0.009999999999998899,0.004346838378906259,-0.05999999999999339,0.003257519531249975
historical_adamw_30,resolution_max_b1,2,0.029999999999996696,0.013045431518554751,-0.009999999999998899,0.004615093994140618,-0.04999999999999449,0.016953045654296894
historical_adamw_30,resolution_max_b1_gaussian_conv,0,-0.07000000000000339,0.004994355773925707,0.019999999999997797,0.004652317810058593,-0.16999999999999238,0.009066468811035122
historical_adamw_30,resolution_max_b1_gaussian_conv,1,-0.20999999999999908,0.020011561584472592,-0.009999999999998899,0.004784484863281202,-0.35000000000000586,0.010622460937499967
historical_adamw_30,resolution_max_b1_gaussian_conv,2,0.0,0.0069334442138672125,-0.039999999999995595,0.004793606567382813,-0.009999999999998899,0.01469723815917967
historical_adamw_30,sdpoint,0,-0.9600000000000053,0.0430623123168945,0.04999999999999449,0.0011507659912109447,0.06999999999999229,0.0036954864501952955
historical_adamw_30,sdpoint,1,-1.1199999999999988,0.05535925445556639,0.010000000000010001,0.001002787780761738,-0.12999999999999678,0.003643371582031263
historical_adamw_30,sdpoint,2,-2.7699999999999947,0.1148615798950195,0.0,0.0012944931030273166,-0.13999999999999568,0.004624073791503869
historical_sgd_30,cbs_budget_matched,0,0.019999999999997797,0.0020695465087890996,-0.009999999999998899,0.0023634735107421756,-0.10999999999999899,0.005515267944335878
historical_sgd_30,cbs_budget_matched,1,-0.20999999999999908,0.004837725830078132,-0.029999999999996696,0.0023768768310546973,0.0,0.008167630004882742
historical_sgd_30,cbs_budget_matched,2,-0.11999999999999789,0.008075756835937531,0.019999999999997797,0.0023236480712890417,-0.24999999999999467,0.006106634521484411
historical_sgd_30,cbs_published_schedule,0,-0.13999999999999568,0.003656405639648419,-0.029999999999996696,0.001544937133789115,-0.17000000000000348,0.005005325317382847
historical_sgd_30,cbs_published_schedule,1,-0.009999999999998899,0.0026173980712890232,-0.039999999999995595,0.0013851898193359968,-0.2500000000000058,0.00668382873535156
historical_sgd_30,cbs_published_schedule,2,-0.1300000000000079,0.004335162353515609,-0.019999999999997797,0.0012625366210937683,-0.050000000000005596,0.005960076904296896
historical_sgd_30,gaussian_postrelu,0,-0.14999999999999458,0.0009795288085937548,-0.029999999999996696,0.0010089385986328248,-0.13999999999999568,0.004607090759277344
historical_sgd_30,gaussian_postrelu,1,0.15999999999999348,0.004146432495117258,0.04999999999999449,0.0011256088256835772,0.20000000000000018,0.004804852294921891
historical_sgd_30,gaussian_postrelu,2,-0.060000000000004494,0.0045767211914062855,0.029999999999996696,0.0012641769409179604,0.13999999999999568,0.00640642852783202
historical_sgd_30,plain,0,0.009999999999998899,0.0019736480712890803,-0.029999999999996696,0.002192025756835969,-0.14999999999999458,0.007075900268554647
historical_sgd_30,plain,1,-0.050000000000005596,0.0062708374023437985,0.0,0.002117611694335997,-0.009999999999998899,0.006210775756835929
historical_sgd_30,plain,2,0.07999999999999119,0.007410705566406328,0.029999999999996696,0.002444525146484411,0.07999999999999119,0.006895928955078179
historical_sgd_30,resolution_max_b1,0,-0.029999999999996696,0.0025550964355468553,0.0,0.0008401123046875014,-0.16000000000000458,0.004640490722656265
historical_sgd_30,resolution_max_b1,1,0.0,0.001940895080566385,-0.0400000000000067,0.0006289962768555313,-0.16000000000000458,0.005102456665039057
historical_sgd_30,resolution_max_b1,2,-0.20999999999999908,0.004292597961425781,-0.009999999999998899,0.000868748474121106,-0.20999999999999908,0.003129180908203133
historical_sgd_30,resolution_max_b1_gaussian_conv,0,-0.22999999999999687,0.0017459747314453322,-0.019999999999997797,0.0005083969116210785,-0.24999999999999467,0.004634877014160099
historical_sgd_30,resolution_max_b1_gaussian_conv,1,-0.14999999999999458,0.00259187316894538,0.030000000000007798,0.0004985839843750783,-0.009999999999998899,0.004890736389160155
historical_sgd_30,resolution_max_b1_gaussian_conv,2,-0.060000000000004494,0.003417361450195333,0.039999999999995595,0.000510742187500024,-0.0400000000000067,0.004189656066894587
historical_sgd_30,sdpoint,0,-0.7500000000000062,0.018411618041992206,0.039999999999995595,-0.0006020141601562612,0.18999999999999018,0.0002895782470703212
historical_sgd_30,sdpoint,1,-1.3899999999999912,0.03587914123535152,0.0200000000000089,-0.0005712722778320467,-0.13999999999999568,0.0019853607177734434
historical_sgd_30,sdpoint,2,-3.5700000000000065,0.13157376098632823,0.0,-0.0005533477783202789,-0.0200000000000089,0.0012421203613282028
sgd_standard_aug_160,cbs_budget_matched,2,1.9000000000000017,-0.05195902709960937,-0.029999999999996696,0.0060321868896484054,1.980000000000004,-0.053538996887207035
sgd_standard_aug_160,sdpoint,2,1.6599999999999948,-0.05407000427246095,-0.11999999999999789,0.0029205108642578193,3.479999999999994,-0.09536197738647462
