regime,arm,seed,priority,run,config_sha256,allocated_account,allocated_gpu_queue,completed_account,kaggle_kernel,gpu_type,status,attempts,output_location
sgd_standard_aug_160,sdpoint,2,1,sgd_standard_aug_160__sdpoint__seed2,82274702720593810bff165b0a208c17464912f540d97221034ad1830241e1cc,maxmonstre,1,maxmonstre,maxmonstre (tag t2),Tesla T4,done,t1:failed;t2:done,raw/t2/maxmonstre/ovn/cells/sgd_standard_aug_160__sdpoint__seed2
adamw_long_noaug_160,plain,0,2,adamw_long_noaug_160__plain__seed0,4f7de105db1d1107ebf8639b6791a4ba89d0cf439379deaa26b76e47e4c96509,maxlebossdu91,1,,maxlebossdu91/t1,,failed,t1:failed,
adamw_long_noaug_160,resolution_max_b1,0,2,adamw_long_noaug_160__resolution_max_b1__seed0,473e45b9d7450c7872942ded068a6d64891e731045af5a876c8dc02693dddecd,maxnicaise,1,,maxnicaise/t1,,failed,t1:failed,
adamw_long_noaug_160,gaussian_postrelu,0,2,adamw_long_noaug_160__gaussian_postrelu__seed0,16fe43250dc5f946745f628ad6f0ce7f58052e42dcae9bc2dc8314b46f4c3e26,maxnikezz,0,,maxnikezz/t1,,failed,t1:failed,
adamw_long_noaug_160,resolution_max_b1_gaussian_conv,0,2,adamw_long_noaug_160__resolution_max_b1_gaussian_conv__seed0,4bebd9d03632ad7bc6198e7440ccdd42c2f78d4c4acf58976527e65b0c04f77d,maximemonstrenikez,0,,maximemonstrenikez/t1,,failed,t1:failed,
adamw_long_noaug_160,cbs_published_schedule,0,2,adamw_long_noaug_160__cbs_published_schedule__seed0,40c731d17453fd93fccaacc4d1c19f01a4747b74466097890bccd6dbfe930836,maxlefrr,0,,maxlefrr/t1,,failed,t1:failed,
adamw_long_noaug_160,cbs_budget_matched,0,2,adamw_long_noaug_160__cbs_budget_matched__seed0,a85a9497d3fc44badd72493a48a87ae2ed24b1c67eec762ebdf4c588c963c75a,maximemonstrenikez,1,,maximemonstrenikez/t1,,failed,t1:failed,
adamw_long_noaug_160,sdpoint,0,2,adamw_long_noaug_160__sdpoint__seed0,100f14f24fd3d95f1c9f7f611d9cb868cb52330577ffe6616982e7415593dd19,maxmonstre,1,maxmonstre,maxmonstre (tag t2),Tesla T4,done,t1:failed;t2:done,raw/t2/maxmonstre/ovn/cells/adamw_long_noaug_160__sdpoint__seed0
adamw_long_noaug_160,plain,1,2,adamw_long_noaug_160__plain__seed1,27c27b0fc697adb58695d30b2c03e95207d3036eb11214ea468a5c3b3cbe877f,maxnikezz,1,,maxnikezz/t1,,failed,t1:failed,
adamw_long_noaug_160,resolution_max_b1,1,2,adamw_long_noaug_160__resolution_max_b1__seed1,0baea82d2f274ed7229600eb38d10b9f98353bba400091de24a338e77d127fee,maxlefrr,1,,maxlefrr/t1,,failed,t1:failed,
adamw_long_noaug_160,gaussian_postrelu,1,2,adamw_long_noaug_160__gaussian_postrelu__seed1,26999701561426bb51f2d6902ca5ed7e639655d5f8a5bdb44e1d6ac25f9a5858,maxmonstre,0,maxmonstre,maxmonstre (tag t2),Tesla T4,done,t1:failed;t2:done,raw/t2/maxmonstre/ovn/cells/adamw_long_noaug_160__gaussian_postrelu__seed1
adamw_long_noaug_160,resolution_max_b1_gaussian_conv,1,2,adamw_long_noaug_160__resolution_max_b1_gaussian_conv__seed1,1ca4f6b155cf04ea7ee2e69afa1bbb4b03a015e2093b2daebee3dbea8925b780,maxnicaise,0,,maxnicaise/t1,,failed,t1:failed,
adamw_long_noaug_160,cbs_published_schedule,1,2,adamw_long_noaug_160__cbs_published_schedule__seed1,d27ad15a461be3d026f52887d22c3394b9f1ce37224da28a0f33982ce1cccdb4,maxlebossdu91,1,,maxlebossdu91/t1,,failed,t1:failed,
adamw_long_noaug_160,cbs_budget_matched,1,2,adamw_long_noaug_160__cbs_budget_matched__seed1,363176a79f9596925a7d6c2d238a87d1cfc875c96c5d9a7ec86ad1844afcf4a6,maxlebossdu91,0,,maxlebossdu91/t1,,failed,t1:failed,
adamw_long_noaug_160,sdpoint,1,2,adamw_long_noaug_160__sdpoint__seed1,cbbd33761435c7a3d6fa82b60084a48ffc4a9f0324c1e8d83e5b15858d79c5f3,maxnicaise,1,,maxnicaise/t1,,failed,t1:failed,
adamw_long_noaug_160,plain,2,2,adamw_long_noaug_160__plain__seed2,e0158701d4b7b61959ab24d508ebd549d304c365e002e07292a4ece788c47417,maxlefrr,0,,maxlefrr/t1,,failed,t1:failed,
adamw_long_noaug_160,resolution_max_b1,2,2,adamw_long_noaug_160__resolution_max_b1__seed2,622922d8d6117aa16a07bfe72880e2b8c0eb699987ff008f11de121f00cbc512,maximemonstrenikez,1,,maximemonstrenikez/t1,,failed,t1:failed,
adamw_long_noaug_160,gaussian_postrelu,2,2,adamw_long_noaug_160__gaussian_postrelu__seed2,b1e28b9fb290e829b2cacd60877125cc2da95c564ecc6c801a38f0a88b11200c,maxmonstre,1,maxmonstre,maxmonstre (tag t2),Tesla T4,done,t1:failed;t2:done,raw/t2/maxmonstre/ovn/cells/adamw_long_noaug_160__gaussian_postrelu__seed2
adamw_long_noaug_160,resolution_max_b1_gaussian_conv,2,2,adamw_long_noaug_160__resolution_max_b1_gaussian_conv__seed2,20a74dd221e63429e13d46476f00e8f754995f0c957035f2fbf095ebb9286851,maxnikezz,0,,maxnikezz/t1,,failed,t1:failed,
adamw_long_noaug_160,cbs_published_schedule,2,2,adamw_long_noaug_160__cbs_published_schedule__seed2,90d5456987a4f30a14e8e8450f1a4cd7ea1a308539262ce84dd8dd6f8f2546e2,maxnikezz,1,,maxnikezz/t1,,failed,t1:failed,
adamw_long_noaug_160,cbs_budget_matched,2,2,adamw_long_noaug_160__cbs_budget_matched__seed2,e25564146746e83ca7e8f581031b7cb269bfccc695403a65f7b41b873b7ddd4f,maxlefrr,1,,maxlefrr/t1,,failed,t1:failed,
adamw_long_noaug_160,sdpoint,2,2,adamw_long_noaug_160__sdpoint__seed2,80cdc1cb8ba0bf7ce303b9016504cfb5aab9b9d97c71b41eed0194cbd67d6128,maxmonstre,0,maxmonstre,maxmonstre (tag t2),Tesla T4,done,t1:failed;t2:done,raw/t2/maxmonstre/ovn/cells/adamw_long_noaug_160__sdpoint__seed2
adamw_long_aug_160,plain,0,3,adamw_long_aug_160__plain__seed0,ad0f67e7ac9c083d58e2e5476c7f2b800ad339f5a26a1a44ce988153d20f4007,maxnicaise,1,,maxnicaise/t1,,failed,t1:failed,
adamw_long_aug_160,resolution_max_b1,0,3,adamw_long_aug_160__resolution_max_b1__seed0,9278ec4f19f3e1f11695a98b9d81af8509ac820cd5e881c6c6a5e130c7db720e,maxlebossdu91,1,,maxlebossdu91/t1,,failed,t1:failed,
adamw_long_aug_160,gaussian_postrelu,0,3,adamw_long_aug_160__gaussian_postrelu__seed0,80250c2e0952b767fbe27e0e287592b340ccfbc4d836baedebd692b74df74f78,maxlebossdu91,0,,maxlebossdu91/t1,,failed,t1:failed,
adamw_long_aug_160,resolution_max_b1_gaussian_conv,0,3,adamw_long_aug_160__resolution_max_b1_gaussian_conv__seed0,e04ccf92cf7e27d49ec62477e3deda5465b0f9b95d3ea24971209ad26ce0045d,maximemonstrenikez,0,,maximemonstrenikez/t1,,failed,t1:failed,
adamw_long_aug_160,cbs_published_schedule,0,3,adamw_long_aug_160__cbs_published_schedule__seed0,6e1d3a0145527e946f0de0cc91377b114d71c6e38b81438c12287eb60918db39,maxlefrr,0,,maxlefrr/t1,,failed,t1:failed,
adamw_long_aug_160,cbs_budget_matched,0,3,adamw_long_aug_160__cbs_budget_matched__seed0,0cd2bf00883e039c01d4427a0e7364dba90e9e8fd31c0a04db5662c3c0eb8a06,maximemonstrenikez,1,,maximemonstrenikez/t1,,failed,t1:failed,
adamw_long_aug_160,sdpoint,0,3,adamw_long_aug_160__sdpoint__seed0,c8cc32ba0823e736d4281a2f3fef3902b82aadd390391c8b09b1ccbdc17797ca,maxnikezz,1,,maxnikezz/t1,,failed,t1:failed,
adamw_long_aug_160,plain,1,3,adamw_long_aug_160__plain__seed1,4310485be9ea863d076fcf48b84ba971291ca8015cf70e09abfdab7b94b97b63,maxlefrr,1,,maxlefrr/t1,,failed,t1:failed,
adamw_long_aug_160,resolution_max_b1,1,3,adamw_long_aug_160__resolution_max_b1__seed1,9c1cebf1f125aff3c308107868acfdf548fb695186ee757e4cb88bf946053e66,maxmonstre,1,maxmonstre,maxmonstre (tag t2),Tesla T4,done,t1:failed;t2:done,raw/t2/maxmonstre/ovn/cells/adamw_long_aug_160__resolution_max_b1__seed1
adamw_long_aug_160,gaussian_postrelu,1,3,adamw_long_aug_160__gaussian_postrelu__seed1,b00d03b8e86864a21222dcf8ef93feb9c993b321a3d572979b00c6f0099cae28,maxnicaise,0,,maxnicaise/t1,,failed,t1:failed,
adamw_long_aug_160,resolution_max_b1_gaussian_conv,1,3,adamw_long_aug_160__resolution_max_b1_gaussian_conv__seed1,85d595f61d88e54b4680e570689d1d02c2a8357cc6c20316638c688a7cfc995a,maxmonstre,0,maxmonstre,maxmonstre (tag t2),Tesla T4,done,t1:failed;t2:done,raw/t2/maxmonstre/ovn/cells/adamw_long_aug_160__resolution_max_b1_gaussian_conv__seed1
adamw_long_aug_160,cbs_published_schedule,1,3,adamw_long_aug_160__cbs_published_schedule__seed1,8a412dc5674bc877346d474b1b79cb90c11640e7b7ccef2da0a1333afa485e1b,maxnicaise,1,,maxnicaise/t1,,failed,t1:failed,
adamw_long_aug_160,cbs_budget_matched,1,3,adamw_long_aug_160__cbs_budget_matched__seed1,d49fe72db95b2d192f8d6d69f7692d86f73749e19544b44b6c05c93c6e8e5e5d,maxlebossdu91,1,,maxlebossdu91/t1,,failed,t1:failed,
adamw_long_aug_160,sdpoint,1,3,adamw_long_aug_160__sdpoint__seed1,a4d44a6a63185cdb80f12c2e762e452d32192f002b905f78ef0d73a9b30b35ee,maxlebossdu91,0,,maxlebossdu91/t1,,failed,t1:failed,
adamw_long_aug_160,plain,2,3,adamw_long_aug_160__plain__seed2,c1b6ac04d79db4eddbe4334dd092f71715bd07ed613a9fcd2d2c82d057b4a7e7,maxnikezz,0,,maxnikezz/t1,,failed,t1:failed,
adamw_long_aug_160,resolution_max_b1,2,3,adamw_long_aug_160__resolution_max_b1__seed2,c0f7bf88e1e6cf40bff94f39d9714c9695c98d75905dcdce32beb19ab1e63c4c,maxlefrr,0,,maxlefrr/t1,,failed,t1:failed,
adamw_long_aug_160,gaussian_postrelu,2,3,adamw_long_aug_160__gaussian_postrelu__seed2,7f388a8de4e8282dc8a2b43c869ecd1ae9abee6fd6cfecb51c1040c9d650daaf,maximemonstrenikez,1,,maximemonstrenikez/t1,,failed,t1:failed,
adamw_long_aug_160,resolution_max_b1_gaussian_conv,2,3,adamw_long_aug_160__resolution_max_b1_gaussian_conv__seed2,32b03f0a5d3f9ea9a1aa6b54ddbc9771b0a7ece6ae459264e50abcfe60f8ba55,maxnikezz,1,,maxnikezz/t1,,failed,t1:failed,
adamw_long_aug_160,cbs_published_schedule,2,3,adamw_long_aug_160__cbs_published_schedule__seed2,985670f0a9054350d1788e44a154e6418c7764f6bd4975f72431d30706007d32,maxlefrr,1,,maxlefrr/t1,,failed,t1:failed,
adamw_long_aug_160,cbs_budget_matched,2,3,adamw_long_aug_160__cbs_budget_matched__seed2,28c1de3df2a18893135d766ff8074754d7f9566176051eab93991a338c684cd9,maxmonstre,1,maxmonstre,maxmonstre (tag t2),Tesla T4,done,t1:failed;t2:done,raw/t2/maxmonstre/ovn/cells/adamw_long_aug_160__cbs_budget_matched__seed2
adamw_long_aug_160,sdpoint,2,3,adamw_long_aug_160__sdpoint__seed2,03872bb8e4a332d356f740ffe0bdb4b3b2743f892e493249225521b8b5a5d3d4,maxnicaise,0,,maxnicaise/t1,,failed,t1:failed,
