campaign,arm,seed,P0_test_acc,P0_train_acc,P1_test_acc,P1_train_acc,P2_test_acc,P2_train_acc,P3_test_acc,P3_train_acc,P0_test_ce,P0_train_ce,P1_test_ce,P1_train_ce,P2_test_ce,P2_train_ce,P3_test_ce,P3_train_ce
adamw_long_aug_160,cbs_budget_matched,2,0.8915,0.9941,0.8681,0.96086,0.8672,0.96044,0.8933,0.99406,0.5698677947998047,0.018020783801078796,0.6172512222290039,0.1150241459274292,0.6219468688964844,0.11654322341918945,0.5670292190551758,0.01829848042011261
adamw_long_aug_160,resolution_max_b1,1,0.9046,0.99672,0.8796,0.96256,0.879,0.9618,0.905,0.99692,0.5095092758178711,0.010315364706516266,0.5743165771484375,0.11067355503082275,0.5793390655517578,0.11287661609649659,0.5068613693237305,0.009942856471538544
adamw_long_aug_160,resolution_max_b1_gaussian_conv,1,0.8948,0.99132,0.8526,0.92302,0.8518,0.9224,0.8957,0.9914,0.5013689849853515,0.025929753217697145,0.6446465393066406,0.24913114517211915,0.6521067443847657,0.2523832908630371,0.5037750305175781,0.024674921054840086
adamw_long_noaug_160,gaussian_postrelu,1,0.8389,1.0,0.8387,1.0,0.8384,1.0,0.838,1.0,1.2429984619140626,1.658931290730834e-05,1.2366389984130859,1.3813359411433339e-05,1.2457800323486328,1.3205807129852474e-05,1.260170733642578,1.530639685690403e-05
adamw_long_noaug_160,gaussian_postrelu,2,0.856,1.0,0.8553,1.0,0.8561,1.0,0.8547,1.0,1.138316012573242,1.5623317239806056e-05,1.118924154663086,1.475007972214371e-05,1.1269208709716796,1.400343457236886e-05,1.1387350555419922,1.581709889229387e-05
adamw_long_noaug_160,sdpoint,0,0.8598,0.97856,0.8892,0.9999,0.8886,0.9999,0.8887,0.9999,0.9258659790039062,0.06364595788955689,0.6351188262939453,0.0011981821674108505,0.6380257308959961,0.001165566516816616,0.640936831665039,0.001231296724677086
adamw_long_noaug_160,sdpoint,2,0.8662,0.98776,0.8907,0.99994,0.8908,0.99994,0.8895,0.99994,0.8199888549804687,0.0337165175819397,0.6094844863891602,0.0011747108176350593,0.6116264495849609,0.0011577850005030632,0.6157122589111328,0.0011826925447583198
historical_adamw_30,cbs_budget_matched,0,0.8301,0.99996,0.8285,0.99996,0.8289,0.99996,0.8288,0.99996,0.897450375366211,0.0031035349428653,0.8954274963378906,0.0027585373115539,0.901261605834961,0.0026817444157600403,0.9068129730224609,0.0027823543643951416
historical_adamw_30,cbs_budget_matched,1,0.8324,0.99998,0.8322,0.99998,0.8321,0.99998,0.8313,0.99996,0.8926022094726562,0.0022013271212577,0.8745873321533203,0.0020636048495769,0.881490072631836,0.0019924288547039032,0.8919407073974609,0.0022027225410938263
historical_adamw_30,cbs_budget_matched,2,0.8334,0.99996,0.8361,0.99998,0.8355,0.99998,0.836,0.99996,0.8907222412109375,0.0023220164728164,0.8698068664550781,0.0023040689337253,0.8768181182861328,0.0022389966773986815,0.8817227416992187,0.0025947081995010375
historical_adamw_30,cbs_published_schedule,0,0.8069,0.96372,0.8064,0.96474,0.8061,0.9649,0.8042,0.96366,0.7004058349609374,0.1216415083312988,0.6963872680664063,0.1200813145446777,0.7026214416503906,0.11911451309204102,0.7094232330322265,0.12108643295288087
historical_adamw_30,cbs_published_schedule,1,0.7999,0.96338,0.8029,0.96462,0.8028,0.96454,0.803,0.963,0.7092247772216796,0.1228381730651855,0.6944550811767578,0.1222697328186035,0.7004465423583984,0.12129330459594727,0.7017023864746094,0.12414072662353516
historical_adamw_30,cbs_published_schedule,2,0.8049,0.95644,0.8074,0.95816,0.8082,0.95814,0.8054,0.95678,0.6799863555908203,0.1413022839355468,0.6635278900146484,0.1396127033233642,0.6679833435058594,0.1387119157409668,0.6722868103027344,0.1414945255279541
historical_adamw_30,gaussian_postrelu,0,0.836,0.99682,0.8364,0.99696,0.8362,0.99702,0.8363,0.99686,0.6768333343505859,0.0217490077018737,0.6749316802978516,0.0208920721054077,0.6802882080078125,0.020473121490478516,0.6828621215820313,0.021489965934753417
historical_adamw_30,gaussian_postrelu,1,0.8329,0.9944,0.836,0.99512,0.835,0.99518,0.8344,0.99468,0.7099740051269531,0.0299000262451171,0.6968898651123047,0.0291323332214355,0.7026807159423828,0.028642430362701417,0.7043807922363281,0.029855636653900147
historical_adamw_30,gaussian_postrelu,2,0.8393,0.99602,0.8402,0.9965,0.8397,0.99656,0.8384,0.99594,0.6930372222900391,0.0239141062355041,0.677785073852539,0.0232221074962615,0.6837234069824218,0.02282251853942871,0.6851938018798828,0.024094320459365846
historical_adamw_30,plain,0,0.8445,1.0,0.8449,0.99998,0.8448,0.99998,0.8453,0.99996,0.9518047180175782,0.0003555729788541,0.9490204681396484,0.0003208165396749,0.9561553009033203,0.00030907122313976286,0.9602417053222656,0.0003709008215367794
historical_adamw_30,plain,1,0.8416,0.99996,0.8409,0.99996,0.8411,0.99996,0.8414,0.99996,0.9707822235107422,0.0004347793486714,0.9494252014160156,0.000466206356585,0.956054379272461,0.00047444757997989654,0.9614014343261719,0.000502960084527731
historical_adamw_30,plain,2,0.8413,1.0,0.8426,1.0,0.8425,1.0,0.8435,1.0,0.9884797790527344,0.0002343473656475,0.9612845947265624,0.0002357580046355,0.9690309661865234,0.00022921991288661956,0.9792176239013672,0.00025400682412087916
historical_adamw_30,resolution_max_b1,0,0.8653,1.0,0.8653,1.0,0.8651,1.0,0.8643,1.0,0.7082962829589844,0.0012378626090288,0.6979648132324219,0.0011944174349308,0.7027683197021485,0.0011542839688062669,0.7098496826171875,0.0012361676543951035
historical_adamw_30,resolution_max_b1,1,0.8646,0.99996,0.8662,0.99996,0.8663,0.99996,0.8656,0.99996,0.730058755493164,0.0011935279220342,0.7066481658935547,0.0012095337295532,0.710995004272461,0.0011833269369602203,0.7099056854248047,0.0012663658499717713
historical_adamw_30,resolution_max_b1,2,0.8683,1.0,0.868,1.0,0.8679,1.0,0.8675,1.0,0.6961928405761719,0.0011423773050308,0.6831474090576172,0.0010879166489839,0.6877625030517578,0.0010511012381315232,0.7001004547119141,0.0011093299692869186
historical_adamw_30,resolution_max_b1_gaussian_conv,0,0.8634,0.9997,0.8641,0.99968,0.8643,0.99968,0.8624,0.99962,0.6497211730957031,0.0076115018415451,0.6447268173217774,0.0071988267040252,0.649379135131836,0.007035542497634888,0.6537932861328125,0.007583785276412964
historical_adamw_30,resolution_max_b1_gaussian_conv,1,0.8627,0.99984,0.8648,0.9999,0.8647,0.9999,0.8613,0.99982,0.6541672653198242,0.0056164533114433,0.6341557037353516,0.0053965057706832,0.6389401885986328,0.005237747225761414,0.6447781646728515,0.005656620087623596
historical_adamw_30,resolution_max_b1_gaussian_conv,2,0.8583,0.99982,0.8583,0.9998,0.8579,0.99982,0.8582,0.9998,0.6483796844482422,0.0052419525313377,0.641446240234375,0.0050811824011802,0.6462398468017578,0.0049471973371505735,0.6561434783935547,0.005175920145511628
historical_adamw_30,sdpoint,0,0.867,0.9554,0.8766,0.96576,0.8771,0.96584,0.8773,0.96446,0.4227607025146484,0.1305387070465088,0.3796983901977539,0.1095106439208984,0.38084915618896487,0.10899711708068847,0.3833938766479492,0.11140810798645019
historical_adamw_30,sdpoint,1,0.8582,0.94958,0.8694,0.96198,0.8695,0.962,0.8681,0.96052,0.4493821853637695,0.1442406172180176,0.3940229309082031,0.1200265966796875,0.39502571868896486,0.11954605644226074,0.3976663024902344,0.1213460824584961
historical_adamw_30,sdpoint,2,0.8534,0.93996,0.8811,0.96582,0.8811,0.96586,0.8797,0.96558,0.4998555694580078,0.1681649322509765,0.3849939895629883,0.1048007408142089,0.3862884826660156,0.1042612181854248,0.3896180633544922,0.10534500946044922
historical_sgd_30,cbs_budget_matched,0,0.7824,0.94416,0.7822,0.94578,0.7821,0.9459,0.7811,0.94404,0.6689102355957032,0.2042651605224609,0.6668406890869141,0.2023000874328613,0.6692041625976562,0.20086470581054688,0.67235595703125,0.2044766828918457
historical_sgd_30,cbs_budget_matched,1,0.7795,0.9473,0.7816,0.94852,0.7813,0.94838,0.7816,0.9462,0.673045736694336,0.1949364297485351,0.6682080108642579,0.1943410031127929,0.6705848876953125,0.19298770889282227,0.6763756408691406,0.19682415145874024
historical_sgd_30,cbs_budget_matched,2,0.7963,0.95138,0.7975,0.95356,0.7977,0.95338,0.795,0.95142,0.6439658172607422,0.1787840631103515,0.6358900604248047,0.1779041287231445,0.6382137084960937,0.1766144467163086,0.6419966949462891,0.180639033203125
historical_sgd_30,cbs_published_schedule,0,0.7738,0.87414,0.7752,0.87492,0.7749,0.87538,0.7735,0.87394,0.6596459655761718,0.3818135208129883,0.6559895599365234,0.3804446398925781,0.6575344970703125,0.3787638592529297,0.6609948852539063,0.3814829666137695
historical_sgd_30,cbs_published_schedule,1,0.7781,0.87882,0.7782,0.87944,0.7778,0.87954,0.7757,0.87876,0.6472990783691406,0.3680180456542968,0.6446816802978516,0.3681220346069336,0.6460668701171876,0.3663754263305664,0.6513655090332031,0.3690804736328125
historical_sgd_30,cbs_published_schedule,2,0.7857,0.88078,0.787,0.88188,0.7868,0.8822,0.7865,0.88044,0.6318459838867188,0.3623785284423828,0.6275108215332031,0.3612837014770508,0.6287733581542969,0.35960112518310544,0.6334708984375,0.3625769052124023
