campaign,campaign_label,policy,split,arm,arm_short,n_seeds,acc_mean_pct,acc_sd_pct,ce_mean,ce_sd,acc_seed0_pct,ce_seed0,acc_seed1_pct,ce_seed1,acc_seed2_pct,ce_seed2
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,test,cbs_budget_matched,CBS-bm,3,89.17999999999999,0.051961524227067006,0.5719717219034831,0.013344333211130611,89.14999999999999,0.559804330444336,89.24,0.5862430404663086,89.14999999999999,0.5698677947998047
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,test,cbs_published_schedule,CBS-pub,3,89.47333333333334,0.2929732638541192,0.5614023905436198,0.00931009423119368,89.69,0.5627511840820313,89.14,0.5699645202636718,89.59,0.5514914672851563
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,test,gaussian_postrelu,G,3,88.45,0.22068076490714272,0.5494709386189779,0.012245315333251737,88.66000000000001,0.5437208908081055,88.22,0.5635330291748046,88.47,0.5411588958740234
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,test,plain,Plain,3,90.83666666666667,0.3937427248005154,0.571208571879069,0.0297334816144241,91.29,0.5389217559814453,90.64,0.5772400527954101,90.58,0.5974639068603516
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,test,resolution_max_b1,R,3,90.49666666666667,0.25696951829610676,0.5178023813883464,0.008520314130865177,90.25999999999999,0.5265330429077149,90.46,0.5095092758178711,90.77,0.5173648254394532
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,test,resolution_max_b1_gaussian_conv,RG,3,89.41666666666667,0.11846237095944549,0.5138921483357747,0.013359581383019568,89.49000000000001,0.5123526916503907,89.48,0.5013689849853515,89.28,0.5279547683715821
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,test,sdpoint,SDPoint,3,88.59333333333333,0.5493025881363836,0.3871694844563802,0.004623395075914501,88.75999999999999,0.3825505386352539,87.98,0.3917973159790039,89.03999999999999,0.3871605987548828
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,train,cbs_budget_matched,CBS-bm,3,99.484,0.0695413546028575,0.01559444669564565,0.002163865323055427,99.494,0.014897978563308717,99.548,0.013864577722549438,99.41,0.018020783801078796
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,train,cbs_published_schedule,CBS-pub,3,99.56466666666667,0.08514301693816374,0.013469852317174277,0.0027022325673473346,99.66199999999999,0.010494040851593018,99.528,0.014145064725875855,99.504,0.015770451374053956
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,train,gaussian_postrelu,G,3,98.91866666666665,0.20200330030306926,0.03135272522767385,0.005104998454448942,99.11999999999999,0.025999089760780334,98.92,0.03189296867370606,98.71600000000001,0.036166117248535155
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,train,plain,Plain,3,99.85399999999998,0.012165525060595829,0.004576326078772545,0.000499502991319281,99.868,0.0041743354552984235,99.846,0.005135519509315491,99.848,0.00441912327170372
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,train,resolution_max_b1,R,3,99.69000000000001,0.03117691453623892,0.009672128796577454,0.0005570850885328017,99.67200000000001,0.009345082306861877,99.67200000000001,0.010315364706516266,99.726,0.009355939376354218
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,train,resolution_max_b1_gaussian_conv,RG,3,99.14333333333333,0.05193585787616725,0.02481592126369476,0.0019248741298610742,99.098,0.025924740619659423,99.132,0.025929753217697145,99.2,0.02259326995372772
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P0,train,sdpoint,SDPoint,3,94.71133333333334,0.8452794409740125,0.1454015390396118,0.02380764765404462,94.998,0.13501943016052245,93.76,0.17263716079711913,95.376,0.12854802616119385
adamw_long_aug_160,"AdamW lr 0.02, cosine, crop+flip, 160 ep",P1,test,cbs_budget_matched,CBS-bm,3,86.40333333333334,0.48952357791359785,0.6367234970092773,0.02475636896777864,86.53999999999999,0.6283350463867188,85.86,0.6645842224121093,86.81,0.6172512222290039
