policy,from,to,arm,pairing,n_pairs,gain_from_seed0_pp,gain_from_seed1_pp,gain_from_seed2_pp,gain_to_seed0_pp,gain_to_seed1_pp,gain_to_seed2_pp,gain_from_mean_pp,gain_to_mean_pp,change_mean_pp,change_sd_pp,change_n_positive,change_n_negative
P2,historical_sgd_30,sgd_standard_aug_160,resolution_max_b1_gaussian_conv,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,7.06,5.720000000000002,5.779999999999996,-2.410000000000001,-1.3499999999999956,-3.63,6.186666666666665,-2.4633333333333325,-8.649999999999999,1.36864896887405,0,3
P2,historical_sgd_30,sgd_standard_aug_160,cbs_published_schedule,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,3.0000000000000027,2.080000000000004,2.4900000000000033,-0.550000000000006,-1.2799999999999923,-0.6800000000000028,2.523333333333337,-0.836666666666667,-3.3600000000000043,0.19000000000000128,0,3
P2,historical_sgd_30,sgd_standard_aug_160,cbs_budget_matched,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,3.720000000000001,2.429999999999999,3.5799999999999943,-0.15000000000000568,-0.979999999999992,-0.32999999999999696,3.243333333333332,-0.48666666666666486,-3.7299999999999964,0.27784887978900025,0,3
P2,historical_sgd_30,sgd_standard_aug_160,sdpoint,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,5.24,3.9000000000000035,4.020000000000001,-1.5900000000000025,-1.2499999999999956,-0.979999999999992,4.3866666666666685,-1.27333333333333,-5.6599999999999975,1.0160216533125703,0,3
P3,historical_adamw_30,adamw_long_noaug_160,resolution_max_b1,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,1.8999999999999906,2.42,2.400000000000002,0.550000000000006,0.7299999999999973,1.3000000000000012,2.2399999999999975,0.8600000000000015,-1.3799999999999961,0.29614185789921865,0,3
P3,historical_adamw_30,adamw_long_noaug_160,gaussian_postrelu,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-0.9000000000000008,-0.7000000000000006,-0.5099999999999993,-0.10000000000000009,-0.9000000000000008,0.31999999999999806,-0.7033333333333336,-0.2266666666666676,0.47666666666666596,0.5862024678669757,2,1
P3,historical_adamw_30,adamw_long_noaug_160,resolution_max_b1_gaussian_conv,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,1.7100000000000004,1.9899999999999918,1.4699999999999935,1.3600000000000056,1.880000000000004,1.4499999999999957,1.7233333333333285,1.563333333333335,-0.15999999999999348,0.17058722109231958,0,3
P3,historical_adamw_30,adamw_long_noaug_160,cbs_published_schedule,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-4.110000000000003,-3.839999999999999,-3.8100000000000023,-1.7999999999999905,-1.2399999999999967,-1.7199999999999993,-3.9200000000000017,-1.5866666666666622,2.3333333333333393,0.2557994005726615,3,0
P3,historical_adamw_30,adamw_long_noaug_160,cbs_budget_matched,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-1.650000000000007,-1.0099999999999998,-0.7500000000000062,-1.2199999999999989,-0.7000000000000006,-1.5100000000000002,-1.136666666666671,-1.1433333333333333,-0.006666666666662231,0.6551590137770616,2,1
P3,historical_adamw_30,adamw_long_noaug_160,sdpoint,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,3.1999999999999917,2.6699999999999946,3.620000000000001,4.150000000000009,4.0100000000000025,3.7999999999999923,3.163333333333329,3.9866666666666677,0.8233333333333389,0.5902824182824229,3,0
