campaign,arm,seed,epoch,update,evaluated_state,state_note,per_site_sigma_max,train_acc,train_ce,test_acc,test_ce,bn
adamw_long_aug_160,cbs_published_schedule,2,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.08862938119652507}",scheduled state of the last update of epoch 119,0.08862938119652507,0.95772,0.11950937000274658,0.8709,0.5557038955688477,P1
adamw_long_aug_160,cbs_published_schedule,2,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",native inference state (endpoint P1 reused),0.038152042447694615,0.96442,0.10319304588317871,0.8706,0.6001864212036133,P1
adamw_long_aug_160,gaussian_postrelu,0,40,15640,"{""label"": ""epoch 39"", ""resolution"": null, ""sigma"": 0.7}",scheduled state of the last update of epoch 39,0.7,0.80772,0.5572448077392578,0.7788,0.6718515045166016,P1
adamw_long_aug_160,gaussian_postrelu,0,80,31280,"{""label"": ""epoch 79"", ""resolution"": null, ""sigma"": 0.5}",scheduled state of the last update of epoch 79,0.5,0.8671,0.40155731201171874,0.8141,0.6323368377685546,P1
adamw_long_aug_160,gaussian_postrelu,0,120,46920,"{""label"": ""epoch 119"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.88696,0.365041240234375,0.8184,0.7408505981445312,P1
adamw_long_aug_160,gaussian_postrelu,0,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.89164,0.365905770111084,0.8197,0.7852083953857422,P1
adamw_long_aug_160,gaussian_postrelu,1,40,15640,"{""label"": ""epoch 39"", ""resolution"": null, ""sigma"": 0.7}",scheduled state of the last update of epoch 39,0.7,0.80534,0.566978109741211,0.7725,0.6854863494873047,P1
adamw_long_aug_160,gaussian_postrelu,1,80,31280,"{""label"": ""epoch 79"", ""resolution"": null, ""sigma"": 0.5}",scheduled state of the last update of epoch 79,0.5,0.88262,0.3363834371948242,0.8173,0.6119542114257812,P1
adamw_long_aug_160,gaussian_postrelu,1,120,46920,"{""label"": ""epoch 119"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.89912,0.313071097869873,0.8247,0.6954995788574219,P1
adamw_long_aug_160,gaussian_postrelu,1,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.9022,0.31399238677978514,0.8253,0.7408078369140625,P1
