campaign,arm,seed,gpu,account,training_loop_seconds,training_gpu_hours,periodic_saved_bn_eval_seconds,p1_curve_diagnostic_seconds,final_policy_evaluation_seconds,final_P0_seconds,final_P1_seconds,final_P2_seconds,final_P3_seconds,run_wall_seconds_total,peak_cuda_memory_allocated_mib,sessions,concurrency,timing_scope
adamw_long_aug_160,cbs_budget_matched,2,Tesla T4,maxmonstre,2829.564213163998,0.7859900592122216,192.0500058810121,27.394999572989036,31.89653820700005,3.0934551330010436,5.806911024999863,9.238034826999865,8.59306447399831,3080.905756824999,540.6064453125,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
adamw_long_aug_160,resolution_max_b1,1,Tesla T4,maxmonstre,2761.1009539729985,0.7669724872147218,160.4287271099911,23.557012059010958,31.840764204000152,3.097130809999726,5.842258852999294,9.27520605799873,8.392551242999616,2976.9274573460007,540.4990234375,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
adamw_long_aug_160,resolution_max_b1_gaussian_conv,1,Tesla T4,maxmonstre,4000.406980545009,1.1112241612625025,233.02728029200443,38.868701592986326,32.32581099199888,2.9158467430006567,5.616240114999528,9.129739709000205,9.4857095389998,4304.628773421999,611.56494140625,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
adamw_long_noaug_160,gaussian_postrelu,1,Tesla T4,maxmonstre,3168.9879433680003,0.8802744287133334,215.0969791480029,33.076408264996644,30.786772886999643,2.903221368999766,5.579977354999755,9.248461219000092,8.071466338999926,3447.9481036679995,610.419921875,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
adamw_long_noaug_160,gaussian_postrelu,2,Tesla T4,maxmonstre,3144.587619319007,0.8734965609219464,224.31566729600127,34.180243350992896,32.5829049719996,3.090650533000371,5.822041540999635,9.921953488001236,8.430534332999741,3435.6664349380007,609.669921875,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
adamw_long_noaug_160,sdpoint,0,Tesla T4,maxmonstre,2528.3908958600014,0.702330804405556,173.02088853399528,23.93419293800298,33.76133297399974,3.0982417260001966,5.8300163100002464,10.769998371999463,8.954741240000658,2759.1073103059994,539.353515625,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
adamw_long_noaug_160,sdpoint,2,Tesla T4,maxmonstre,2570.693626041014,0.7140815627891706,161.40735779199076,23.981231171995205,35.087852054000905,2.9384393540003657,5.639587061999919,11.320189402000324,9.735298842999327,2791.1700670590008,540.103515625,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
sgd_standard_aug_160,cbs_budget_matched,2,Tesla T4,maxmonstre,2487.7200711150035,0.691033353087501,182.14376844099775,27.706180701999187,29.197278469999674,2.92509120800014,5.5769535300000825,9.778312926000126,5.581127521000326,2726.767298728,540.3134765625,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
sgd_standard_aug_160,sdpoint,2,Tesla T4,maxmonstre,2067.706394151002,0.5743628872641672,174.47867794399946,25.19399886399816,30.78536109300012,3.1823782510000456,6.002803272999699,10.217389484999785,5.927396604000023,2298.164432052,539.4560546875,1,"one run at a time on this GPU; 2 GPU worker(s) in the kernel, each running its own queue",training_loop = wall of Trainer.run minus periodic evaluation minus P1-curve diagnostics; includes checkpoint writes
