seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,test_loss,test_acc,test_acc_at_s1,ratio_mean,ratio_last_block,grad_norm_mean
0,0,0.04971170810820279,2.16253266795989,0.18724798387096775,1.478931188583374,2683.0186763461484,0.0967741935483871,0.0967741935483871,0.0967741935483871,"[0.0967741935483871, 0.0967741935483871, 0.0967741935483871, 0.0967741935483871, 0.0967741935483871, 0.0967741935483871, 0.0967741935483871, 0.0967741935483871]",2.1032093017578126,0.2093,0.1,0.1496019702894198,0.18681685541125764,0.3378418870268127
0,1,0.04881525289050823,1.9599214715342368,0.2540322580645161,0.4655120372772217,8523.947142610572,0.1967741935483871,0.1967741935483871,0.1967741935483871,"[0.1967741935483871, 0.1967741935483871, 0.1967741935483871, 0.1967741935483871, 0.1967741935483871, 0.1967741935483871, 0.1967741935483871, 0.1967741935483871]",2.0206912109375,0.2387,0.1,0.3135016399168147,0.3803742769478649,1.003710866703227
0,2,0.04733238710835648,1.8269653666403987,0.2991431451612903,0.4695091247558594,8451.379942963462,0.2967741935483871,0.2967741935483871,0.2967741935483871,"[0.2967741935483871, 0.2967741935483871, 0.2967741935483871, 0.2967741935483871, 0.2967741935483871, 0.2967741935483871, 0.2967741935483871, 0.2967741935483871]",1.8070066162109375,0.305,0.1013,0.45469341992621115,0.5841494922284014,0.8866456881511408
0,3,0.045299623838653484,1.699830078309582,0.34349798387096775,0.4691028594970703,8458.69923763443,0.3967741935483871,0.3967741935483871,0.3967741935483871,"[0.3967741935483871, 0.3967741935483871, 0.3967741935483871, 0.3967741935483871, 0.3967741935483871, 0.3967741935483871, 0.3967741935483871, 0.3967741935483871]",1.8630245178222655,0.3052,0.1,0.5129187521567067,0.6023984537381506,2.7184766256539357
0,4,0.042767016459453834,1.5940040349960327,0.40423387096774194,0.4693441390991211,8454.350804542582,0.4967741935483871,0.4967741935483871,0.4967741935483871,"[0.4967741935483871, 0.4967741935483871, 0.4967741935483871, 0.4967741935483871, 0.4967741935483871, 0.4967741935483871, 0.4967741935483871, 0.4967741935483871]",1.5993281494140625,0.4002,0.1293,0.6231709606957085,0.7086266490715868,1.4495715870740051
0,5,0.03979692616967543,1.52041922461602,0.43119959677419356,0.4682607650756836,8473.910897400649,0.5967741935483871,0.5967741935483871,0.5967741935483871,"[0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871, 0.5967741935483871]",1.5703142395019531,0.4307,0.187,0.6575728649577844,0.7344391468376548,1.5299492469527578
0,6,0.03646248644941716,1.4248524981160318,0.4639616935483871,0.48012328147888184,8264.544030811661,0.6967741935483871,0.6967741935483871,0.6967741935483871,"[0.6967741935483871, 0.6967741935483871, 0.6967741935483871, 0.6967741935483871, 0.6967741935483871, 0.6967741935483871, 0.6967741935483871, 0.6967741935483871]",1.467824951171875,0.4722,0.3343,0.7360409234232215,0.7841636702180484,1.2526859740311356
0,7,0.03284580227096273,1.3490023305339198,0.4939516129032258,0.4689600467681885,8461.27517119048,0.7967741935483871,0.7967741935483871,0.7967741935483871,"[0.7967741935483871, 0.7967741935483871, 0.7967741935483871, 0.7967741935483871, 0.7967741935483871, 0.7967741935483871, 0.7967741935483871, 0.7967741935483871]",1.6565485290527344,0.4406,0.2783,0.831714996040541,0.8516153043179944,4.861623271454425
0,8,0.029035928401872337,1.2890782702353694,0.5206653225806451,0.4684891700744629,8469.779566877321,0.896774193548387,0.896774193548387,0.896774193548387,"[0.896774193548387, 0.896774193548387, 0.896774193548387, 0.896774193548387, 0.896774193548387, 0.896774193548387, 0.896774193548387, 0.896774193548387]",1.8009092529296875,0.4207,0.3871,0.8973478083990368,0.8727038565060842,6.534021558242547
0,9,0.025126676581049414,1.2312926207819292,0.5524193548387096,0.4688408374786377,8463.426567829212,0.9967741935483871,0.9967741935483871,0.9967741935483871,"[0.9967741935483871, 0.9967741935483871, 0.9967741935483871, 0.9967741935483871, 0.9967741935483871, 0.9967741935483871, 0.9967741935483871, 0.9967741935483871]",1.390185400390625,0.5134,0.5143,0.9557538035619149,0.9334920959639759,1.9823136460464468
0,10,0.021214305562385592,1.1598956085020495,0.5758568548387096,0.4638972282409668,8553.618686289848,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.349065399169922,0.5275,0.5275,0.9459676781058872,0.889571149311264,3.1708760041826984
