seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,test_loss,test_acc,test_acc_at_s1,ratio_mean,ratio_last_block,grad_norm_mean,grad_norm_total
1,0,0.09363299794378072,2.132924932699937,0.20833333333333334,4.427623271942139,1127.467197047752,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,2.2517816650390623,0.2049,0.2049,nan,nan,3.8249358204571946,11.609434000436272
1,1,0.0755790754323405,1.7857482616718,0.32872596153846156,4.280900716781616,1166.109734904805,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.7633837036132813,0.3354,0.3354,,,,
1,2,0.050671260315669875,1.6500262847313514,0.3786057692307692,4.424668073654175,1128.2202228284407,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.6387088500976563,0.3954,0.3954,nan,nan,1.5793792817029269,4.855884504495832
1,3,0.025583581539504463,1.5214650294719598,0.43048878205128205,4.215141773223877,1184.3018025422089,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.5180018432617188,0.4397,0.4397,,,,
1,4,0.007038262371889159,1.398883336629623,0.47576121794871795,4.193711042404175,1190.3538297045334,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.4250453247070312,0.4735,0.4735,nan,nan,1.789526150101674,5.295992889620243
1,5,4.506107163948503e-06,1.3180805230752015,0.522636217948718,4.228784084320068,1180.4811738934281,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,1.41957158203125,0.484,0.484,nan,nan,2.0357533663679592,5.973468771064326
