seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,test_loss,test_acc,test_acc_at_s1,grad_norm_total
0,0,0.020000000000000004,2.1281105188223033,0.25540865384615385,5.152075529098511,968.9298947202119,1.0,1.0,1.0,[1.0],0,3.74407861328125,0.2712,0.2712,33.06857892112768
0,1,0.04000000000000001,2.2260076113236256,0.31690705128205127,1.4124042987823486,3534.39875841759,1.0,1.0,1.0,[1.0],0,3.701100439453125,0.3292,0.3292,
0,2,0.06,1.7005963906263695,0.40184294871794873,1.414597511291504,3528.9189752938187,1.0,1.0,1.0,[1.0],0,1.7444718627929687,0.3856,0.3856,
0,3,0.08000000000000002,1.5151933951255603,0.4543269230769231,1.421457290649414,3511.8888431177065,1.0,1.0,1.0,[1.0],0,1.59030166015625,0.4663,0.4663,
0,4,0.1,1.3848237838500586,0.5076121794871795,1.4250421524047852,3503.0542721672527,1.0,1.0,1.0,[1.0],0,1.7389001586914064,0.4251,0.4251,
0,5,0.09992258230283507,1.2758956322303185,0.5364583333333334,1.4355731010437012,3477.3568802387554,1.0,1.0,1.0,[1.0],0,1.5089865966796876,0.5008,0.5008,6.440704553257617
0,6,0.09968238114591566,1.1693539222081502,0.5863381410256411,1.4356653690338135,3477.1333958968166,1.0,1.0,1.0,[1.0],0,1.4978061157226563,0.5132,0.5132,
0,7,0.09928012638829403,1.0603898610824194,0.6229967948717948,1.439737319946289,3467.2991599510888,1.0,1.0,1.0,[1.0],0,1.3183253662109375,0.5514,0.5514,
0,8,0.09871713010137997,1.0088662719115233,0.6454326923076923,1.4417836666107178,3462.3779666855125,1.0,1.0,1.0,[1.0],0,1.2706594604492187,0.5695,0.5695,
0,9,0.09799522866204138,0.9446461980159466,0.6612580128205128,1.4472455978393555,3449.310889217929,1.0,1.0,1.0,[1.0],0,1.1339577758789063,0.6018,0.6018,
0,10,0.09711677676272448,0.8904403539804312,0.6881009615384616,1.4522581100463867,3437.405489744898,1.0,1.0,1.0,[1.0],0,1.104725146484375,0.6164,0.6164,4.1846956720570425
0,11,0.09608463973093667,0.8401966996681995,0.703926282051282,1.4558601379394531,3428.9008057225956,1.0,1.0,1.0,[1.0],0,1.2499710205078125,0.599,0.599,
0,12,0.09490218418314356,0.7818148762751849,0.7231570512820513,1.46089506149292,3417.083219446692,1.0,1.0,1.0,[1.0],0,1.1166692016601563,0.633,0.633,
0,13,0.09357326704356601,0.7416942257147568,0.7385817307692307,1.46402907371521,3409.768350659864,1.0,1.0,1.0,[1.0],0,1.3593837524414063,0.5883,0.5883,
0,14,0.09210222296369489,0.711624162319379,0.7489983974358975,1.472581386566162,3389.9654345357385,1.0,1.0,1.0,[1.0],0,1.0416159057617187,0.6536,0.6536,
0,15,0.09049385018355886,0.6530689398447672,0.7718349358974359,1.4847033023834229,3362.287934556518,1.0,1.0,1.0,[1.0],0,1.0087417907714844,0.6669,0.6669,3.1997811806427765
0,16,0.08875339488086281,0.6041065637881939,0.7838541666666666,1.4767706394195557,3380.3488955888943,1.0,1.0,1.0,[1.0],0,1.1456750366210937,0.6478,0.6478,
0,17,0.08688653405904652,0.5758756452646011,0.7956730769230769,1.4723124504089355,3390.5846538304213,1.0,1.0,1.0,[1.0],0,1.0529699951171876,0.6705,0.6705,
0,18,0.0848993570300795,0.562708433621969,0.7986778846153846,1.478602409362793,3376.161142704558,1.0,1.0,1.0,[1.0],0,0.9574624389648437,0.6892,0.6892,
0,19,0.082798345552391,0.5145305654941461,0.8191105769230769,1.4892597198486328,3352.000952867632,1.0,1.0,1.0,[1.0],0,0.9988620483398437,0.687,0.687,
0,20,0.08059035268872122,0.4850011872939574,0.828926282051282,1.496070146560669,3336.7419378537566,1.0,1.0,1.0,[1.0],0,1.0593789489746093,0.6765,0.6765,3.682676996663669
0,21,0.07828258045285512,0.4351933323420011,0.8455528846153846,1.4936070442199707,3342.244547733135,1.0,1.0,1.0,[1.0],0,1.1934952270507813,0.6735,0.6735,
0,22,0.07588255631815038,0.4177850156258314,0.8545673076923077,1.5074667930603027,3311.515731544414,1.0,1.0,1.0,[1.0],0,1.2717433837890626,0.6409,0.6409,
0,23,0.07339810866448397,0.41908667102838176,0.8563701923076923,1.504645824432373,3317.7242902882012,1.0,1.0,1.0,[1.0],0,1.056128662109375,0.6843,0.6843,
0,24,0.07083734124370404,0.3655472986209087,0.8705929487179487,1.5090534687042236,3308.0338792014254,1.0,1.0,1.0,[1.0],0,1.0383063354492188,0.6968,0.6968,
0,25,0.06820860674687586,0.3334297438462575,0.8834134615384616,1.5198159217834473,3284.6083058151376,1.0,1.0,1.0,[1.0],0,1.277824609375,0.6528,0.6528,6.303335422334878
0,26,0.06552047955953963,0.32548879086971283,0.8848157051282052,1.5235037803649902,3276.6574420997185,1.0,1.0,1.0,[1.0],0,1.070717822265625,0.7054,0.7054,
0,27,0.06278172779384712,0.2782452603181203,0.9052483974358975,1.5310580730438232,3260.4903026804486,1.0,1.0,1.0,[1.0],0,1.1328750366210938,0.6915,0.6915,
0,28,0.060001284688802226,0.26996030448338926,0.9046474358974359,1.5401599407196045,3241.221816006721,1.0,1.0,1.0,[1.0],0,1.19790234375,0.6895,0.6895,
0,29,0.057188219471892204,0.26202956033058655,0.9088541666666666,1.5394070148468018,3242.807101601257,1.0,1.0,1.0,[1.0],0,1.2398013427734376,0.6878,0.6878,
0,30,0.05435170777715262,0.23494968314965567,0.9184695512820513,1.551473617553711,3217.5861345751696,1.0,1.0,1.0,[1.0],0,1.2001311889648438,0.6864,0.6864,5.849754953961057
0,31,0.051501001716156285,0.21519660720458397,0.9252804487179487,1.5574934482574463,3205.1499193047302,1.0,1.0,1.0,[1.0],0,1.14263349609375,0.7188,0.7188,
0,32,0.04864539969954848,0.1935810102866246,0.9338942307692307,1.5590729713439941,3201.9027279375264,1.0,1.0,1.0,[1.0],0,1.26554189453125,0.6939,0.6939,
0,33,0.045794216107564005,0.16731137266525856,0.9397035256410257,1.5685734748840332,3182.509509392963,1.0,1.0,1.0,[1.0],0,1.1943112548828125,0.7196,0.7196,
0,34,0.04295675090845491,0.15043189453008848,0.9465144230769231,1.5711455345153809,3177.29955012715,1.0,1.0,1.0,[1.0],0,1.2708438598632812,0.7009,0.7009,
0,35,0.04014225932392713,0.14703629719905364,0.9521233974358975,1.5708844661712646,3177.8275917178435,1.0,1.0,1.0,[1.0],0,1.2387467651367188,0.7159,0.7159,4.5519175046216
0,36,0.03735992164053089,0.11087663997060214,0.9619391025641025,1.5727534294128418,3174.0512572677526,1.0,1.0,1.0,[1.0],0,1.1954711303710936,0.7297,0.7297,
0,37,0.03461881326547427,0.097490772127341,0.9671474358974359,1.5730478763580322,3173.457130597721,1.0,1.0,1.0,[1.0],0,1.1623657958984375,0.7331,0.7331,
0,38,0.03192787512453105,0.0968644295174342,0.9671474358974359,1.5921342372894287,3135.4140141466733,1.0,1.0,1.0,[1.0],0,1.165910791015625,0.7295,0.7295,
0,39,0.029295884498599413,0.07406565475349243,0.9769631410256411,1.5869176387786865,3145.7209107852073,1.0,1.0,1.0,[1.0],0,1.169545361328125,0.7408,0.7408,
0,40,0.026731426394035907,0.06294246887167294,0.9771634615384616,1.5909767150878906,3137.695198590148,1.0,1.0,1.0,[1.0],0,1.1893369750976563,0.7428,0.7428,1.139330929011316
0,41,0.024242865540149185,0.0520201386549534,0.9829727564102564,1.5700271129608154,3179.5629252452213,1.0,1.0,1.0,[1.0],0,1.1564325073242188,0.7535,0.7535,
0,42,0.02183831910519158,0.0489430521399929,0.9827724358974359,1.5713489055633545,3176.8883297183993,1.0,1.0,1.0,[1.0],0,1.1916245483398438,0.7448,0.7448,
0,43,0.01952563021984352,0.03316861964189089,0.9895833333333334,1.5677297115325928,3184.2223587890567,1.0,1.0,1.0,[1.0],0,1.2141087768554688,0.7503,0.7503,
0,44,0.01731234239455135,0.024367835456266616,0.9931891025641025,1.565058708190918,3189.6567035305343,1.0,1.0,1.0,[1.0],0,1.233528955078125,0.7469,0.7469,
0,45,0.015205674914164264,0.02904351104576236,0.9923878205128205,1.5670750141143799,3185.552672997718,1.0,1.0,1.0,[1.0],0,1.2167055908203126,0.7502,0.7502,0.6907081523247208
0,46,0.013212499290127683,0.022128877719529927,0.9931891025641025,1.5702300071716309,3179.1520842171494,1.0,1.0,1.0,[1.0],0,1.184759228515625,0.7536,0.7536,
0,47,0.011339316847041132,0.017887235714648016,0.9951923076923077,1.566321849822998,3187.0844428072814,1.0,1.0,1.0,[1.0],0,1.1652067749023438,0.7587,0.7587,
0,48,0.009592237516688707,0.015557726552614417,0.9961939102564102,1.5596239566802979,3200.771556898631,1.0,1.0,1.0,[1.0],0,1.1793788696289063,0.7586,0.7586,
0,49,0.007976959908711652,0.01178993252464212,0.9973958333333334,1.5344970226287842,3253.1832427071663,1.0,1.0,1.0,[1.0],0,1.1781776733398437,0.7613,0.7613,
0,50,0.006498752722928042,0.009570351022725495,0.9981971153846154,1.527151107788086,3268.8317315438253,1.0,1.0,1.0,[1.0],0,1.1754324584960938,0.7614,0.7614,0.21645408199850688
0,51,0.005162437563929184,0.010366044269922452,0.9971955128205128,1.5273499488830566,3268.406172174638,1.0,1.0,1.0,[1.0],0,1.1749767944335938,0.76,0.76,
0,52,0.003972373214007591,0.010399161336513666,0.9977964743589743,1.517920970916748,3288.7087639253596,1.0,1.0,1.0,[1.0],0,1.1871776123046875,0.7596,0.7596,
0,53,0.002932441415715137,0.009766673812499413,0.9977964743589743,1.5181617736816406,3288.187126391726,1.0,1.0,1.0,[1.0],0,1.1808937622070312,0.7594,0.7594,
0,54,0.0020460342104256625,0.008917265243302936,0.9983974358974359,1.515784740447998,3293.3436171976427,1.0,1.0,1.0,[1.0],0,1.184643896484375,0.7598,0.7598,
0,55,0.0013160428742010678,0.0070501497486988324,0.9989983974358975,1.5160112380981445,3292.8515795585577,1.0,1.0,1.0,[1.0],0,1.1813848022460938,0.761,0.761,0.08642542258318607
0,56,0.0007448484870497652,0.009399790310850129,0.9977964743589743,1.5097441673278809,3306.5204741512043,1.0,1.0,1.0,[1.0],0,1.1814523803710937,0.7618,0.7618,
0,57,0.000334314166338584,0.007086374761106877,0.9981971153846154,1.5163285732269287,3292.1624561729564,1.0,1.0,1.0,[1.0],0,1.1802667114257812,0.7616,0.7616,
0,58,8.577898969119868e-05,0.006080436672513874,0.999198717948718,1.5077974796295166,3310.7894577636466,1.0,1.0,1.0,[1.0],0,1.1821952514648437,0.7621,0.7621,
0,59,5.362719522894466e-08,0.008025520719969884,0.9983974358974359,1.5101935863494873,3305.5364856017586,1.0,1.0,1.0,[1.0],0,1.1818575927734376,0.7609,0.7609,0.08063034177740591
