augmentation,epochs,lr,arm,n_pairs,seeds,plain_test_acc_mean_pct,plain_trainprobe500_acc_mean_pct,arm_test_acc_mean_pct,diff_seed0_pp,diff_seed1_pp,diff_seed2_pp,diff_mean_pp,diff_sd_pp,n_positive,n_negative,test_ce_diff_mean,report_json_gain_pp,report_json_matches,doc_table_gain_pp,doc_table_matches_2dp,doc_baseline_matches_2dp
crop_flip,30,0.005,R,3,"0,1,2",79.77999999999999,81.73333333333333,80.19666666666666,0.32999999999999696,0.34000000000000696,0.5800000000000027,0.4166666666666689,0.14153915830374825,3,0,-0.018284687296549456,0.4166666666666652,True,0.42,True,True
crop_flip,30,0.005,G,3,"0,1,2",79.77999999999999,81.73333333333333,80.63666666666667,0.5699999999999927,1.1700000000000044,0.8300000000000085,0.8566666666666686,0.3008875759039189,3,0,-0.020729045104980453,0.8566666666666833,True,0.86,True,True
crop_flip,30,0.005,RG,3,"0,1,2",79.77999999999999,81.73333333333333,81.10333333333334,1.6699999999999937,1.2800000000000034,1.0199999999999987,1.323333333333332,0.32715949219506285,3,0,-0.03721681111653644,1.323333333333343,True,1.32,True,True
crop_flip,30,0.01,R,3,"0,1,2",84.69666666666667,87.93333333333334,84.78333333333335,-0.28000000000000247,0.10999999999999899,0.42999999999999705,0.08666666666666452,0.3555746522649403,2,1,0.0024047378540038946,0.08666666666665712,True,0.09,True,True
crop_flip,30,0.01,G,3,"0,1,2",84.69666666666667,87.93333333333334,83.74,-0.770000000000004,-1.1599999999999944,-0.9399999999999964,-0.9566666666666649,0.19553345834749483,0,3,0.024821533203124985,-0.9566666666666723,True,-0.96,True,True
crop_flip,30,0.01,RG,3,"0,1,2",84.69666666666667,87.93333333333334,84.94666666666667,0.40000000000000036,0.5900000000000016,-0.23999999999999577,0.25000000000000205,0.43485629810317633,2,1,-0.006156362406412763,0.24999999999999467,True,0.25,True,True
crop_flip,60,0.005,R,3,"0,1,2",85.51333333333334,89.39999999999999,85.70333333333333,0.16000000000000458,0.649999999999995,-0.23999999999999577,0.19000000000000128,0.4457577817604486,2,1,-0.00958141479492188,0.19000000000000128,True,0.19,True,True
crop_flip,60,0.005,G,3,"0,1,2",85.51333333333334,89.39999999999999,85.42,-0.009999999999998899,0.48999999999999044,-0.759999999999994,-0.09333333333333416,0.6291528696058882,1,2,0.00336369222005208,-0.09333333333333416,True,-0.09,True,True
crop_flip,60,0.005,RG,3,"0,1,2",85.51333333333334,89.39999999999999,86.03666666666668,0.31999999999999806,1.1299999999999977,0.12000000000000899,0.5233333333333349,0.5348208422764849,3,0,-0.013912590535481772,0.5233333333333423,True,0.52,True,True
crop_flip,60,0.01,R,3,"0,1,2",88.26666666666667,94.2,88.45333333333333,-0.25999999999999357,0.43000000000000815,0.39000000000000146,0.186666666666672,0.3873413653785673,2,1,-0.003811414591471348,0.1866666666666683,True,0.19,True,True
crop_flip,60,0.01,G,3,"0,1,2",88.26666666666667,94.2,87.83,-0.5599999999999938,-0.039999999999995595,-0.7099999999999995,-0.436666666666663,0.35161532010612706,0,3,0.007450070190429721,-0.436666666666663,True,-0.44,True,True
crop_flip,60,0.01,RG,3,"0,1,2",88.26666666666667,94.2,88.38666666666666,-0.019999999999997797,0.20000000000000018,0.18000000000000238,0.12000000000000159,0.12165525060596377,2,1,-0.007363700358072915,0.12000000000000899,True,0.12,True,True
none,60,0.01,R,3,"0,1,2",80.27333333333333,100.0,83.52,3.1200000000000006,3.620000000000001,3.0000000000000027,3.246666666666668,0.32883633213702673,3,0,-0.16646846923828126,3.2466666666666644,True,3.25,True,True
none,60,0.01,G,3,"0,1,2",80.27333333333333,100.0,82.83999999999999,2.2600000000000064,2.839999999999998,2.6000000000000023,2.5666666666666687,0.29143323992525444,3,0,-0.14216048177083332,2.5666666666666615,True,2.57,True,True
none,60,0.01,RG,3,"0,1,2",80.27333333333333,100.0,84.51333333333334,3.9800000000000058,4.470000000000008,4.270000000000007,4.240000000000006,0.24637369989509936,3,0,-0.21506976572672523,4.240000000000011,True,4.24,True,True
