source_commit,kaggle_job,record,method,augmentation,epochs,lr,seed,optimizer,weight_decay,schedule,loss,method_schedule_stretched,updates,summary_epochs,test_acc,test_ce,trainprobe500_acc,trainprobe500_ce,bn_eval,path,assets_dir,shard_json_test_acc,shard_json_matches_summary
badce2a,cc-a60-s1-20260917-122134,results/kaggle_outputs/cc-a60-s1-20260917-122134/runs/resolution_max_b1__crop_flip__e60__lr0.005__seed2/summary.json,resolution_max_b1,crop_flip,60,0.005,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8558,0.4288141632080078,0.898,0.3161309814453125,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn-e60,0.8558,True
badce2a,cc-a60-s1-20260917-122134,results/kaggle_outputs/cc-a60-s1-20260917-122134/runs/resolution_max_b1__crop_flip__e60__lr0.01__seed2/summary.json,resolution_max_b1,crop_flip,60,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8862,0.3593711181640625,0.942,0.15510260009765625,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn-e60,0.8862,True
badce2a,cc-a60-s1-20260917-122134,results/kaggle_outputs/cc-a60-s1-20260917-122134/runs/resolution_max_b1__none__e60__lr0.01__seed2/summary.json,resolution_max_b1,none,60,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8358,0.665540869140625,1.0,0.0017746751308441162,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn-e60,0.8358,True
badce2a,cc-a60-s1-20260917-122134,results/kaggle_outputs/cc-a60-s1-20260917-122134/runs/resolution_max_b1_gaussian_conv__crop_flip__e60__lr0.005__seed0/summary.json,resolution_max_b1_gaussian_conv,crop_flip,60,0.005,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8611,0.4187443649291992,0.9,0.29229547119140625,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn-e60,0.8611,True
badce2a,cc-a60-s1-20260917-122134,results/kaggle_outputs/cc-a60-s1-20260917-122134/runs/resolution_max_b1_gaussian_conv__crop_flip__e60__lr0.01__seed0/summary.json,resolution_max_b1_gaussian_conv,crop_flip,60,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.885,0.35029342193603513,0.938,0.16289593505859376,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn-e60,0.885,True
badce2a,cc-a60-s1-20260917-122134,results/kaggle_outputs/cc-a60-s1-20260917-122134/runs/resolution_max_b1_gaussian_conv__none__e60__lr0.01__seed0/summary.json,resolution_max_b1_gaussian_conv,none,60,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8416,0.6317828552246094,1.0,0.0023210268020629884,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn-e60,0.8416,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/gaussian_postrelu__crop_flip__e60__lr0.005__seed0/summary.json,gaussian_postrelu,crop_flip,60,0.005,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8578,0.43380771484375,0.91,0.2768365478515625,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8578,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/gaussian_postrelu__crop_flip__e60__lr0.01__seed0/summary.json,gaussian_postrelu,crop_flip,60,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8796,0.36621318664550784,0.944,0.15808839416503906,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8796,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/gaussian_postrelu__none__e60__lr0.01__seed0/summary.json,gaussian_postrelu,none,60,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8244,0.7068220916748047,1.0,0.0027200706005096435,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8244,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/plain__crop_flip__e60__lr0.005__seed2/summary.json,plain,crop_flip,60,0.005,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8582,0.4305513687133789,0.902,0.28777716064453124,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8582,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/plain__crop_flip__e60__lr0.01__seed2/summary.json,plain,crop_flip,60,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8823,0.36123705444335935,0.95,0.14929647827148437,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8823,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/plain__none__e60__lr0.01__seed2/summary.json,plain,none,60,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8058,0.8158874755859375,1.0,0.0012841904163360595,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8058,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/resolution_max_b1_gaussian_conv__crop_flip__e60__lr0.005__seed1/summary.json,resolution_max_b1_gaussian_conv,crop_flip,60,0.005,1,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8606,0.4248386260986328,0.92,0.24689494323730468,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8606,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/resolution_max_b1_gaussian_conv__crop_flip__e60__lr0.01__seed1/summary.json,resolution_max_b1_gaussian_conv,crop_flip,60,0.01,1,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8825,0.35325275421142577,0.942,0.16182095336914062,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8825,True
badce2a,cc-a60-s2-20260917-122121,results/kaggle_outputs/cc-a60-s2-20260917-122121/runs/resolution_max_b1_gaussian_conv__none__e60__lr0.01__seed1/summary.json,resolution_max_b1_gaussian_conv,none,60,0.01,1,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8453,0.614509814453125,1.0,0.0022657227516174314,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8453,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/gaussian_postrelu__crop_flip__e60__lr0.005__seed1/summary.json,gaussian_postrelu,crop_flip,60,0.005,1,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8542,0.43378509826660155,0.904,0.27739105224609373,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8542,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/gaussian_postrelu__crop_flip__e60__lr0.01__seed1/summary.json,gaussian_postrelu,crop_flip,60,0.01,1,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8801,0.3677409164428711,0.94,0.17518002319335937,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8801,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/gaussian_postrelu__none__e60__lr0.01__seed1/summary.json,gaussian_postrelu,none,60,0.01,1,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.829,0.677291943359375,1.0,0.0027092795372009276,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.829,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/resolution_max_b1__crop_flip__e60__lr0.005__seed0/summary.json,resolution_max_b1,crop_flip,60,0.005,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8595,0.4194235916137695,0.89,0.31568484497070315,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8595,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/resolution_max_b1__crop_flip__e60__lr0.01__seed0/summary.json,resolution_max_b1,crop_flip,60,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8826,0.35822194061279294,0.944,0.16657882690429687,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8826,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/resolution_max_b1__none__e60__lr0.01__seed0/summary.json,resolution_max_b1,none,60,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.833,0.6600180236816406,1.0,0.0020933358669281005,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.833,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/resolution_max_b1_gaussian_conv__crop_flip__e60__lr0.005__seed2/summary.json,resolution_max_b1_gaussian_conv,crop_flip,60,0.005,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8594,0.42267291259765627,0.918,0.2676174926757813,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8594,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/resolution_max_b1_gaussian_conv__crop_flip__e60__lr0.01__seed2/summary.json,resolution_max_b1_gaussian_conv,crop_flip,60,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8841,0.358140364074707,0.946,0.151890625,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8841,True
badce2a,cc-a60-s3-20260917-122203,results/kaggle_outputs/cc-a60-s3-20260917-122203/runs/resolution_max_b1_gaussian_conv__none__e60__lr0.01__seed2/summary.json,resolution_max_b1_gaussian_conv,none,60,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,23460,60,0.8485,0.5986959121704102,1.0,0.0023333702087402343,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselk/cc-assets-r20bn-e60,0.8485,True
badce2a,cc-aug-s0-20260917-095310,results/kaggle_outputs/cc-aug-s0-20260917-095310/runs/gaussian_postrelu__crop_flip__e30__lr0.005__seed2/summary.json,gaussian_postrelu,crop_flip,30,0.005,2,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.806,0.5853269897460938,0.82,0.5113046264648438,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.806,True
badce2a,cc-aug-s0-20260917-095310,results/kaggle_outputs/cc-aug-s0-20260917-095310/runs/gaussian_postrelu__crop_flip__e30__lr0.01__seed2/summary.json,gaussian_postrelu,crop_flip,30,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8383,0.47950479125976564,0.864,0.35754879760742186,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.8383,True
badce2a,cc-aug-s0-20260917-095310,results/kaggle_outputs/cc-aug-s0-20260917-095310/runs/plain__crop_flip__e30__lr0.005__seed0/summary.json,plain,crop_flip,30,0.005,0,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.7991,0.5839461517333985,0.81,0.5640118408203125,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.7991,True
badce2a,cc-aug-s0-20260917-095310,results/kaggle_outputs/cc-aug-s0-20260917-095310/runs/plain__crop_flip__e30__lr0.01__seed0/summary.json,plain,crop_flip,30,0.01,0,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8474,0.44414388122558596,0.866,0.3809680480957031,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.8474,True
badce2a,cc-aug-s0-20260917-095310,results/kaggle_outputs/cc-aug-s0-20260917-095310/runs/resolution_max_b1__crop_flip__e30__lr0.005__seed1/summary.json,resolution_max_b1,crop_flip,30,0.005,1,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8,0.5835624664306641,0.816,0.5332192993164062,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.8,True
badce2a,cc-aug-s0-20260917-095310,results/kaggle_outputs/cc-aug-s0-20260917-095310/runs/resolution_max_b1__crop_flip__e30__lr0.01__seed1/summary.json,resolution_max_b1,crop_flip,30,0.01,1,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8469,0.46024487915039064,0.88,0.34166558837890626,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.8469,True
badce2a,cc-aug-s1-20260917-095343,results/kaggle_outputs/cc-aug-s1-20260917-095343/runs/plain__crop_flip__e30__lr0.005__seed1/summary.json,plain,crop_flip,30,0.005,1,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.7966,0.5980015167236328,0.82,0.5609884033203125,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.7966,True
badce2a,cc-aug-s1-20260917-095343,results/kaggle_outputs/cc-aug-s1-20260917-095343/runs/plain__crop_flip__e30__lr0.01__seed1/summary.json,plain,crop_flip,30,0.01,1,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8458,0.45734986419677737,0.894,0.34795852661132814,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.8458,True
badce2a,cc-aug-s1-20260917-095343,results/kaggle_outputs/cc-aug-s1-20260917-095343/runs/resolution_max_b1__crop_flip__e30__lr0.005__seed2/summary.json,resolution_max_b1,crop_flip,30,0.005,2,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8035,0.565683023071289,0.818,0.5341194458007813,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.8035,True
badce2a,cc-aug-s1-20260917-095343,results/kaggle_outputs/cc-aug-s1-20260917-095343/runs/resolution_max_b1__crop_flip__e30__lr0.01__seed2/summary.json,resolution_max_b1,crop_flip,30,0.01,2,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.852,0.4413899688720703,0.87,0.36795599365234377,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.852,True
badce2a,cc-aug-s1-20260917-095343,results/kaggle_outputs/cc-aug-s1-20260917-095343/runs/resolution_max_b1_gaussian_conv__crop_flip__e30__lr0.005__seed0/summary.json,resolution_max_b1_gaussian_conv,crop_flip,30,0.005,0,sgd,0.0005,warmup_cosine,cross_entropy,False,11730,30,0.8158,0.5441001373291016,0.83,0.5230648193359375,saved running statistics (historical per-epoch evaluation),target,/kaggle/input/datasets/idrisselkhamlichi/cc-assets-r20bn,0.8158,True
