seed,epoch,lr,train_loss,train_acc_batchwise,epoch_s,img_per_s,s_mean,s_min_block,s_max_block,s_blocks,phase,test_loss,test_acc,test_acc_at_s1
1,0,0.0937173308072291,2.561346169440977,0.16204637096774194,0.7597079277038574,5223.059883017004,1.0,1.0,1.0,[1.0],0,2.0501672119140624,0.2135,0.2135
1,1,0.07572777000143145,1.9338375137698265,0.2618447580645161,0.18345284461975098,21629.53650691332,1.0,1.0,1.0,[1.0],0,1.9051868041992188,0.2565,0.2565
1,2,0.050844474000696555,1.7650768564593406,0.3215725806451613,0.18291401863098145,21693.252544001083,1.0,1.0,1.0,[1.0],0,1.8165202880859375,0.3061,0.3061
1,3,0.02573490187344596,1.6342702258017756,0.37600806451612906,0.18761086463928223,21150.16104013613,1.0,1.0,1.0,[1.0],0,1.7656911987304686,0.3309,0.3309
1,4,0.007127143193467445,1.547597050666809,0.4034778225806452,0.18390989303588867,21575.7833061524,1.0,1.0,1.0,[1.0],0,1.5674291381835936,0.4168,0.4168
1,5,7.13187201450971e-06,1.503011626581992,0.4362399193548387,0.1823902130126953,21755.553296732025,1.0,1.0,1.0,[1.0],0,1.532903466796875,0.4291,0.4291
